City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15933km,15933,352.50ms,352.5,45.26%,45.26,352.33ms,352.33,352.71ms,352.71,0.67ms,0.67,2018-11-10 12:19:48
"Albany United States, North America",6174km,6174,143.30ms,143.3,43.17%,43.17,84.68ms,84.68,234.69ms,234.69,39.85ms,39.85,2018-11-10 12:19:48
"Alblasserdam Netherlands, Eurasia",954km,954,23.32ms,23.32,41.48%,41.48,23.23ms,23.23,23.61ms,23.61,0.16ms,0.16,2018-11-10 12:19:48
"Albuquerque United States, North America",8911km,8911,146.48ms,146.48,61.03%,61.03,140.11ms,140.11,190.46ms,190.46,12.53ms,12.53,2018-11-10 12:19:48
"Algiers Algeria, Africa",753km,753,26.84ms,26.84,28.96%,28.96,26.40ms,26.4,27.70ms,27.7,0.31ms,0.31,2018-11-10 12:19:48
"Amsterdam Netherlands, Eurasia",1002km,1002,24.20ms,24.2,41.75%,41.75,24.08ms,24.08,24.55ms,24.55,0.22ms,0.22,2018-11-10 12:19:48
"Anchorage United States, North America",8183km,8183,193.12ms,193.12,42.40%,42.4,192.97ms,192.97,193.31ms,193.31,0.58ms,0.58,2018-11-10 12:19:49
"Ankara Turkey, Eurasia",2306km,2306,72.05ms,72.05,32.03%,32.03,71.83ms,71.83,72.39ms,72.39,0.17ms,0.17,2018-11-10 12:19:49
"Antwerp Belgium, Eurasia",884km,884,21.09ms,21.09,42.10%,42.1,21.04ms,21.04,21.20ms,21.2,0.18ms,0.18,2018-11-10 12:19:49
"Arezzo Italy, Eurasia",525km,525,18.73ms,18.73,29.17%,29.17,18.65ms,18.65,18.92ms,18.92,0.19ms,0.19,2018-11-10 12:19:49
"Asheville United States, North America",7243km,7243,106.55ms,106.55,68.33%,68.33,106.47ms,106.47,106.89ms,106.89,0.29ms,0.29,2018-11-10 12:19:49
"Athens Greece, Eurasia",1653km,1653,62.40ms,62.4,26.66%,26.66,62.25ms,62.25,63.27ms,63.27,0.24ms,0.24,2018-11-10 12:19:49
"Atlanta United States, North America",7501km,7501,101.55ms,101.55,74.27%,74.27,101.44ms,101.44,101.74ms,101.74,0.19ms,0.19,2018-11-10 12:19:49
"Auckland New Zealand, Oceania",18867km,18867,308.68ms,308.68,61.26%,61.26,308.60ms,308.6,308.84ms,308.84,0.56ms,0.56,2018-11-10 12:19:49
"Austin United States, North America",8709km,8709,129.16ms,129.16,67.51%,67.51,118.98ms,118.98,149.13ms,149.13,8.78ms,8.78,2018-11-10 12:19:49
"Baltimore United States, North America",6579km,6579,92.44ms,92.44,71.51%,71.51,91.82ms,91.82,97.03ms,97.03,1.24ms,1.24,2018-11-10 12:19:49
"Bangalore India, Eurasia",7591km,7591,113.29ms,113.29,67.18%,67.18,113.23ms,113.23,113.39ms,113.39,0.30ms,0.3,2018-11-10 12:19:49
"Bangkok Thailand, Eurasia",9372km,9372,367.87ms,367.87,25.54%,25.54,350.47ms,350.47,446.70ms,446.7,23.91ms,23.91,2018-11-10 12:19:49
"Barcelona Spain, Eurasia",338km,338,8.55ms,8.55,42.25%,42.25,8.38ms,8.38,8.90ms,8.9,0.14ms,0.14,2018-11-10 12:19:49
"Basel Switzerland, Eurasia",504km,504,14.34ms,14.34,36.00%,36.0,14.28ms,14.28,14.53ms,14.53,0.14ms,0.14,2018-11-10 12:19:49
"Belfast United Kingdom, Eurasia",1499km,1499,32.88ms,32.88,46.84%,46.84,32.76ms,32.76,33.03ms,33.03,0.22ms,0.22,2018-11-10 12:19:49
"Bergen Norway, Eurasia",1900km,1900,58.12ms,58.12,32.76%,32.76,57.92ms,57.92,58.47ms,58.47,0.36ms,0.36,2018-11-10 12:19:49
"Berkeley Springs United States, North America",6674km,6674,101.87ms,101.87,66.08%,66.08,101.64ms,101.64,102.09ms,102.09,0.14ms,0.14,2018-11-10 12:19:49
"Bern Switzerland, Eurasia",437km,437,21.79ms,21.79,20.81%,20.81,21.63ms,21.63,21.93ms,21.93,0.08ms,0.08,2018-11-10 12:19:49
"Bogota Colombia, South America",8806km,8806,178.39ms,178.39,49.47%,49.47,177.19ms,177.19,187.85ms,187.85,2.73ms,2.73,2018-11-10 12:19:49
"Boston United States, North America",6002km,6002,81.34ms,81.34,74.10%,74.1,81.04ms,81.04,83.66ms,83.66,0.55ms,0.55,2018-11-10 12:19:49
"Brasilia Brazil, South America",8515km,8515,232.83ms,232.83,36.70%,36.7,231.75ms,231.75,239.33ms,239.33,2.03ms,2.03,2018-11-10 12:19:49
"Bratislava Slovakia, Eurasia",1057km,1057,34.64ms,34.64,31.09%,31.09,34.55ms,34.55,34.73ms,34.73,0.17ms,0.17,2018-11-10 12:19:49
"Brisbane Australia, Oceania",16632km,16632,300.09ms,300.09,55.44%,55.44,299.90ms,299.9,303.42ms,303.42,0.84ms,0.84,2018-11-10 12:19:49
"Bristol United Kingdom, Eurasia",1086km,1086,22.16ms,22.16,49.36%,49.36,21.96ms,21.96,22.72ms,22.72,0.25ms,0.25,2018-11-10 12:19:49
"Brno Czech Republic, Eurasia",1084km,1084,37.77ms,37.77,29.30%,29.3,37.69ms,37.69,38.15ms,38.15,0.22ms,0.22,2018-11-10 12:19:49
"Bruges Belgium, Eurasia",895km,895,22.09ms,22.09,40.68%,40.68,21.28ms,21.28,34.90ms,34.9,2.44ms,2.44,2018-11-10 12:19:49
"Brunswick United States, North America",5842km,5842,85.79ms,85.79,68.73%,68.73,85.68ms,85.68,85.91ms,85.91,0.31ms,0.31,2018-11-10 12:19:49
"Brussels Belgium, Eurasia",843km,843,16.80ms,16.8,52.69%,52.69,16.72ms,16.72,16.86ms,16.86,0.18ms,0.18,2018-11-10 12:19:49
"Bucharest Romania, Eurasia",1662km,1662,39.95ms,39.95,42.62%,42.62,39.81ms,39.81,40.15ms,40.15,0.27ms,0.27,2018-11-10 12:19:49
"Budapest Hungary, Eurasia",1164km,1164,40.43ms,40.43,29.10%,29.1,39.80ms,39.8,41.16ms,41.16,0.35ms,0.35,2018-11-10 12:19:49
"Buenos Aires Argentina, South America",10805km,10805,236.30ms,236.3,45.78%,45.78,232.76ms,232.76,249.53ms,249.53,4.24ms,4.24,2018-11-10 12:19:49
"Buffalo United States, North America",6524km,6524,94.88ms,94.88,69.40%,69.4,92.91ms,92.91,108.45ms,108.45,3.15ms,3.15,2018-11-10 12:19:49
"Bursa Turkey, Eurasia",1988km,1988,81.36ms,81.36,24.54%,24.54,80.96ms,80.96,85.88ms,85.88,1.03ms,1.03,2018-11-10 12:19:49
"Cairo Egypt, Africa",2718km,2718,48.76ms,48.76,56.62%,56.62,45.54ms,45.54,60.57ms,60.57,3.14ms,3.14,2018-11-10 12:19:49
"Calgary Canada, North America",8012km,8012,179.24ms,179.24,44.76%,44.76,178.03ms,178.03,187.86ms,187.86,2.04ms,2.04,2018-11-10 12:19:49
"Canberra Australia, Oceania",16804km,16804,330.69ms,330.69,50.92%,50.92,329.84ms,329.84,339.73ms,339.73,1.95ms,1.95,2018-11-10 12:19:49
"Cape Town South Africa, Africa",8696km,8696,161.83ms,161.83,54.01%,54.01,161.70ms,161.7,162.39ms,162.39,0.39ms,0.39,2018-11-10 12:19:49
"Caracas Venezuela, South America",7781km,7781,159.06ms,159.06,48.94%,48.94,157.38ms,157.38,167.50ms,167.5,2.64ms,2.64,2018-11-10 12:19:49
"Cardiff United Kingdom, Eurasia",1113km,1113,23.48ms,23.48,48.39%,48.39,23.11ms,23.11,25.18ms,25.18,0.45ms,0.45,2018-11-10 12:19:49
"Carlow Ireland, Eurasia",1396km,1396,32.48ms,32.48,43.62%,43.62,32.37ms,32.37,32.82ms,32.82,0.27ms,0.27,2018-11-10 12:19:49
"Charlotte United States, North America",7143km,7143,96.67ms,96.67,74.41%,74.41,96.58ms,96.58,96.75ms,96.75,0.14ms,0.14,2018-11-10 12:19:49
"Cheltenham United Kingdom, Eurasia",1106km,1106,22.24ms,22.24,50.27%,50.27,22.16ms,22.16,22.30ms,22.3,0.06ms,0.06,2018-11-10 12:19:49
"Chennai India, Eurasia",7800km,7800,147.90ms,147.9,53.06%,53.06,147.74ms,147.74,148.09ms,148.09,0.39ms,0.39,2018-11-10 12:19:49
"Chicago United States, North America",7184km,7184,104.71ms,104.71,69.08%,69.08,104.59ms,104.59,105.06ms,105.06,0.43ms,0.43,2018-11-10 12:19:49
"Chisinau Moldova, Eurasia",1884km,1884,51.80ms,51.8,36.94%,36.94,51.68ms,51.68,51.95ms,51.95,0.31ms,0.31,2018-11-10 12:19:49
"Christchurch New Zealand, Oceania",18989km,18989,334.29ms,334.29,56.85%,56.85,334.19ms,334.19,334.45ms,334.45,0.69ms,0.69,2018-11-10 12:19:49
"Cincinnati United States, North America",7152km,7152,107.59ms,107.59,66.84%,66.84,107.51ms,107.51,108.57ms,108.57,0.29ms,0.29,2018-11-10 12:19:49
"Cleveland United States, North America",6766km,6766,114.45ms,114.45,59.35%,59.35,114.37ms,114.37,114.57ms,114.57,0.47ms,0.47,2018-11-10 12:19:49
"Colorado Springs United States, North America",8498km,8498,133.04ms,133.04,63.89%,63.89,131.84ms,131.84,142.86ms,142.86,2.93ms,2.93,2018-11-10 12:19:49
"Columbus United States, North America",6990km,6990,105.85ms,105.85,66.57%,66.57,105.57ms,105.57,107.27ms,107.27,0.49ms,0.49,2018-11-10 12:19:49
"Copenhagen Denmark, Eurasia",1469km,1469,35.99ms,35.99,41.97%,41.97,35.90ms,35.9,36.04ms,36.04,0.24ms,0.24,2018-11-10 12:19:49
"Coventry United Kingdom, Eurasia",1134km,1134,23.55ms,23.55,49.30%,49.3,23.43ms,23.43,23.71ms,23.71,0.15ms,0.15,2018-11-10 12:19:49
"Cromwell United States, North America",6158km,6158,90.19ms,90.19,68.42%,68.42,89.91ms,89.91,91.10ms,91.1,0.47ms,0.47,2018-11-10 12:19:49
"Dagupan Philippines, Eurasia",10685km,10685,319.38ms,319.38,33.50%,33.5,311.37ms,311.37,528.03ms,528.03,38.77ms,38.77,2018-11-10 12:19:49
"Dallas United States, North America",8450km,8450,121.22ms,121.22,69.83%,69.83,121.12ms,121.12,121.33ms,121.33,0.36ms,0.36,2018-11-10 12:19:49
"Dar es Salaam Tanzania, Africa",6536km,6536,156.82ms,156.82,41.90%,41.9,156.72ms,156.72,157.00ms,157.0,0.54ms,0.54,2018-11-10 12:19:49
"Denver United States, North America",8441km,8441,126.52ms,126.52,66.99%,66.99,126.44ms,126.44,126.82ms,126.82,0.11ms,0.11,2018-11-10 12:19:49
"Des Moines United States, North America",7593km,7593,110.91ms,110.91,69.03%,69.03,110.84ms,110.84,111.01ms,111.01,0.44ms,0.44,2018-11-10 12:19:49
"Detroit United States, North America",6843km,6843,99.36ms,99.36,69.12%,69.12,99.23ms,99.23,99.64ms,99.64,0.36ms,0.36,2018-11-10 12:19:49
"Dhaka Bangladesh, Eurasia",7842km,7842,154.92ms,154.92,50.92%,50.92,154.41ms,154.41,156.23ms,156.23,0.59ms,0.59,2018-11-10 12:19:49
"Dronten Netherlands, Eurasia",1025km,1025,26.71ms,26.71,39.42%,39.42,26.51ms,26.51,29.18ms,29.18,0.53ms,0.53,2018-11-10 12:19:49
"Dubai United Arab Emirates, Eurasia",4944km,4944,123.72ms,123.72,40.20%,40.2,123.54ms,123.54,124.53ms,124.53,0.41ms,0.41,2018-11-10 12:19:49
"Dublin Ireland, Eurasia",1406km,1406,29.08ms,29.08,48.48%,48.48,28.70ms,28.7,35.99ms,35.99,1.30ms,1.3,2018-11-10 12:19:49
"Dusseldorf Germany, Eurasia",889km,889,24.49ms,24.49,37.04%,37.04,24.38ms,24.38,24.62ms,24.62,0.11ms,0.11,2018-11-10 12:19:49
"Edinburgh United Kingdom, Eurasia",1534km,1534,28.59ms,28.59,54.79%,54.79,28.51ms,28.51,28.91ms,28.91,0.21ms,0.21,2018-11-10 12:19:49
"Edmonton Canada, North America",7778km,7778,154.87ms,154.87,50.51%,50.51,154.76ms,154.76,155.09ms,155.09,0.43ms,0.43,2018-11-10 12:19:49
