City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15637km,15637,260.78ms,260.78,60.14%,60.14,260.50ms,260.5,263.14ms,263.14,0.73ms,0.73,2018-11-10 12:19:20
"Albany United States, North America",1638km,1638,99.63ms,99.63,16.55%,16.55,42.12ms,42.12,182.70ms,182.7,38.50ms,38.5,2018-11-10 12:19:20
"Alblasserdam Netherlands, Eurasia",7307km,7307,124.78ms,124.78,58.93%,58.93,124.55ms,124.55,126.44ms,126.44,0.51ms,0.51,2018-11-10 12:19:20
"Albuquerque United States, North America",1504km,1504,88.03ms,88.03,17.09%,17.09,82.68ms,82.68,134.00ms,134.0,12.64ms,12.64,2018-11-10 12:19:20
"Algiers Algeria, Africa",8008km,8008,163.47ms,163.47,49.13%,49.13,163.10ms,163.1,164.02ms,164.02,0.46ms,0.46,2018-11-10 12:19:20
"Amsterdam Netherlands, Eurasia",7289km,7289,122.78ms,122.78,59.75%,59.75,122.64ms,122.64,123.13ms,123.13,0.19ms,0.19,2018-11-10 12:19:20
"Anchorage United States, North America",5048km,5048,132.40ms,132.4,38.24%,38.24,132.18ms,132.18,132.57ms,132.57,0.28ms,0.28,2018-11-10 12:19:20
"Ankara Turkey, Eurasia",9826km,9826,175.43ms,175.43,56.15%,56.15,174.82ms,174.82,186.44ms,186.44,2.10ms,2.1,2018-11-10 12:19:20
"Antwerp Belgium, Eurasia",7324km,7324,135.46ms,135.46,54.25%,54.25,135.40ms,135.4,135.63ms,135.63,0.42ms,0.42,2018-11-10 12:19:20
"Arezzo Italy, Eurasia",8244km,8244,156.26ms,156.26,52.85%,52.85,156.17ms,156.17,156.35ms,156.35,0.51ms,0.51,2018-11-10 12:19:20
"Asheville United States, North America",681km,681,59.19ms,59.19,11.54%,11.54,59.10ms,59.1,59.70ms,59.7,0.27ms,0.27,2018-11-10 12:19:20
"Athens Greece, Eurasia",9407km,9407,176.16ms,176.16,53.45%,53.45,176.02ms,176.02,176.54ms,176.54,0.18ms,0.18,2018-11-10 12:19:20
"Atlanta United States, North America",541km,541,50.34ms,50.34,10.82%,10.82,50.22ms,50.22,50.63ms,50.63,0.24ms,0.24,2018-11-10 12:19:20
"Auckland New Zealand, Oceania",12665km,12665,249.09ms,249.09,50.86%,50.86,249.00ms,249.0,249.58ms,249.58,0.57ms,0.57,2018-11-10 12:19:20
