City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15955km,15955,217.14ms,217.14,73.53%,73.53,216.71ms,216.71,220.26ms,220.26,0.78ms,0.78,2018-11-10 12:18:44
"Albany United States, North America",1151km,1151,76.35ms,76.35,15.14%,15.14,22.16ms,22.16,122.99ms,122.99,37.45ms,37.45,2018-11-10 12:18:44
"Alblasserdam Netherlands, Eurasia",6549km,6549,96.73ms,96.73,68.22%,68.22,96.42ms,96.42,98.05ms,98.05,0.48ms,0.48,2018-11-10 12:18:44
"Albuquerque United States, North America",1834km,1834,42.74ms,42.74,43.67%,43.67,36.54ms,36.54,84.95ms,84.95,13.66ms,13.66,2018-11-10 12:18:44
"Algiers Algeria, Africa",7398km,7398,127.49ms,127.49,58.25%,58.25,126.91ms,126.91,127.97ms,127.97,0.55ms,0.55,2018-11-10 12:18:44
"Amsterdam Netherlands, Eurasia",6527km,6527,105.16ms,105.16,62.16%,62.16,104.87ms,104.87,105.97ms,105.97,0.49ms,0.49,2018-11-10 12:18:44
"Anchorage United States, North America",4474km,4474,86.40ms,86.4,52.02%,52.02,86.15ms,86.15,86.94ms,86.94,0.44ms,0.44,2018-11-10 12:18:44
"Ankara Turkey, Eurasia",9042km,9042,160.65ms,160.65,56.51%,56.51,159.72ms,159.72,173.66ms,173.66,2.54ms,2.54,2018-11-10 12:18:44
"Antwerp Belgium, Eurasia",6573km,6573,115.45ms,115.45,57.16%,57.16,115.24ms,115.24,116.96ms,116.96,0.35ms,0.35,2018-11-10 12:18:44
"Arezzo Italy, Eurasia",7529km,7529,123.55ms,123.55,61.21%,61.21,123.18ms,123.18,124.73ms,124.73,0.58ms,0.58,2018-11-10 12:18:44
"Asheville United States, North America",946km,946,35.53ms,35.53,27.03%,27.03,35.20ms,35.2,36.73ms,36.73,0.45ms,0.45,2018-11-10 12:18:44
"Athens Greece, Eurasia",8678km,8678,158.86ms,158.86,54.92%,54.92,158.40ms,158.4,160.91ms,160.91,0.58ms,0.58,2018-11-10 12:18:44
"Atlanta United States, North America",1077km,1077,19.66ms,19.66,56.68%,56.68,19.12ms,19.12,21.78ms,21.78,0.67ms,0.67,2018-11-10 12:18:44
"Auckland New Zealand, Oceania",13230km,13230,263.77ms,263.77,50.30%,50.3,263.50ms,263.5,264.62ms,264.62,0.50ms,0.5,2018-11-10 12:18:44
