City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15476km,15476,224.65ms,224.65,69.09%,69.09,223.42ms,223.42,228.63ms,228.63,1.52ms,1.52,2018-11-10 12:18:56
"Albany United States, North America",1653km,1653,88.15ms,88.15,18.78%,18.78,31.12ms,31.12,141.54ms,141.54,39.09ms,39.09,2018-11-10 12:18:56
"Alblasserdam Netherlands, Eurasia",6707km,6707,107.00ms,107.0,63.27%,63.27,105.42ms,105.42,110.95ms,110.95,1.41ms,1.41,2018-11-10 12:18:56
"Albuquerque United States, North America",1565km,1565,49.76ms,49.76,31.94%,31.94,42.41ms,42.41,91.99ms,91.99,12.47ms,12.47,2018-11-10 12:18:56
"Algiers Algeria, Africa",7686km,7686,141.75ms,141.75,54.51%,54.51,140.19ms,140.19,145.77ms,145.77,1.45ms,1.45,2018-11-10 12:18:56
"Amsterdam Netherlands, Eurasia",6681km,6681,120.50ms,120.5,55.67%,55.67,118.86ms,118.86,126.61ms,126.61,2.04ms,2.04,2018-11-10 12:18:56
"Anchorage United States, North America",3932km,3932,93.43ms,93.43,42.28%,42.28,92.06ms,92.06,99.38ms,99.38,1.52ms,1.52,2018-11-10 12:18:56
"Ankara Turkey, Eurasia",9147km,9147,162.25ms,162.25,56.46%,56.46,161.09ms,161.09,167.04ms,167.04,1.15ms,1.15,2018-11-10 12:18:56
"Antwerp Belgium, Eurasia",6737km,6737,117.23ms,117.23,57.58%,57.58,114.87ms,114.87,134.75ms,134.75,3.84ms,3.84,2018-11-10 12:18:56
"Arezzo Italy, Eurasia",7725km,7725,127.41ms,127.41,60.83%,60.83,126.46ms,126.46,130.16ms,130.16,1.14ms,1.14,2018-11-10 12:18:56
"Asheville United States, North America",1476km,1476,40.30ms,40.3,36.90%,36.9,37.95ms,37.95,56.18ms,56.18,3.68ms,3.68,2018-11-10 12:18:56
"Athens Greece, Eurasia",8849km,8849,158.10ms,158.1,56.01%,56.01,157.10ms,157.1,160.27ms,160.27,0.95ms,0.95,2018-11-10 12:18:56
"Atlanta United States, North America",1554km,1554,31.05ms,31.05,50.13%,50.13,29.66ms,29.66,37.61ms,37.61,1.91ms,1.91,2018-11-10 12:18:56
"Auckland New Zealand, Oceania",12905km,12905,270.71ms,270.71,47.80%,47.8,269.59ms,269.59,274.67ms,274.67,1.30ms,1.3,2018-11-10 12:18:56
"Austin United States, North America",1731km,1731,45.92ms,45.92,38.47%,38.47,35.45ms,35.45,69.48ms,69.48,10.09ms,10.09,2018-11-10 12:18:56
"Baltimore United States, North America",1596km,1596,28.91ms,28.91,57.00%,57.0,27.69ms,27.69,33.15ms,33.15,1.20ms,1.2,2018-11-10 12:18:56
"Bangalore India, Eurasia",13458km,13458,238.74ms,238.74,56.55%,56.55,237.33ms,237.33,243.38ms,243.38,1.42ms,1.42,2018-11-10 12:18:56
