City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",12105km,12105,385.21ms,385.21,31.44%,31.44,384.57ms,384.57,391.18ms,391.18,1.25ms,1.25,2018-11-10 12:22:04
"Albany United States, North America",8817km,8817,230.07ms,230.07,38.33%,38.33,167.42ms,167.42,313.80ms,313.8,39.93ms,39.93,2018-11-10 12:22:04
"Alblasserdam Netherlands, Eurasia",11312km,11312,236.78ms,236.78,47.93%,47.93,236.15ms,236.15,238.32ms,238.32,0.57ms,0.57,2018-11-10 12:22:04
"Albuquerque United States, North America",9381km,9381,206.03ms,206.03,45.54%,45.54,201.10ms,201.1,250.56ms,250.56,10.13ms,10.13,2018-11-10 12:22:04
"Algiers Algeria, Africa",10049km,10049,286.41ms,286.41,35.14%,35.14,284.86ms,284.86,299.43ms,299.43,2.83ms,2.83,2018-11-10 12:22:04
"Amsterdam Netherlands, Eurasia",11348km,11348,249.51ms,249.51,45.57%,45.57,247.96ms,247.96,259.12ms,259.12,2.40ms,2.4,2018-11-10 12:22:04
"Anchorage United States, North America",13546km,13546,244.93ms,244.93,55.52%,55.52,244.08ms,244.08,249.73ms,249.73,1.13ms,1.13,2018-11-10 12:22:04
"Ankara Turkey, Eurasia",12334km,12334,307.78ms,307.78,40.18%,40.18,307.20ms,307.2,309.17ms,309.17,0.59ms,0.59,2018-11-10 12:22:04
"Antwerp Belgium, Eurasia",11251km,11251,266.97ms,266.97,42.30%,42.3,266.42ms,266.42,268.08ms,268.08,0.80ms,0.8,2018-11-10 12:22:04
"Arezzo Italy, Eurasia",11105km,11105,290.74ms,290.74,38.29%,38.29,290.33ms,290.33,291.39ms,291.39,0.61ms,0.61,2018-11-10 12:22:04
"Asheville United States, North America",8303km,8303,170.76ms,170.76,48.84%,48.84,170.19ms,170.19,174.51ms,174.51,0.95ms,0.95,2018-11-10 12:22:04
