City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16252km,16252,329.52ms,329.52,49.40%,49.4,329.25ms,329.25,332.39ms,332.39,0.89ms,0.89,2018-11-10 12:19:15
"Albany United States, North America",5202km,5202,130.39ms,130.39,40.02%,40.02,71.25ms,71.25,172.43ms,172.43,35.03ms,35.03,2018-11-10 12:19:15
"Alblasserdam Netherlands, Eurasia",538km,538,11.50ms,11.5,48.91%,48.91,11.22ms,11.22,15.19ms,15.19,0.70ms,0.7,2018-11-10 12:19:16
"Albuquerque United States, North America",7736km,7736,130.35ms,130.35,59.51%,59.51,127.01ms,127.01,172.80ms,172.8,9.70ms,9.7,2018-11-10 12:19:16
"Algiers Algeria, Africa",2058km,2058,48.25ms,48.25,42.88%,42.88,47.81ms,47.81,49.98ms,49.98,0.46ms,0.46,2018-11-10 12:19:16
"Amsterdam Netherlands, Eurasia",510km,510,18.51ms,18.51,28.33%,28.33,18.28ms,18.28,19.74ms,19.74,0.38ms,0.38,2018-11-10 12:19:16
"Anchorage United States, North America",6800km,6800,160.68ms,160.68,42.50%,42.5,160.48ms,160.48,161.12ms,161.12,0.17ms,0.17,2018-11-10 12:19:16
"Ankara Turkey, Eurasia",3037km,3037,55.95ms,55.95,55.22%,55.22,54.98ms,54.98,60.81ms,60.81,1.68ms,1.68,2018-11-10 12:19:16
"Antwerp Belgium, Eurasia",578km,578,16.46ms,16.46,36.12%,36.12,16.41ms,16.41,16.53ms,16.53,0.07ms,0.07,2018-11-10 12:19:16
"Arezzo Italy, Eurasia",1604km,1604,36.23ms,36.23,44.56%,44.56,35.91ms,35.91,41.13ms,41.13,0.95ms,0.95,2018-11-10 12:19:16
"Asheville United States, North America",6299km,6299,94.16ms,94.16,67.01%,67.01,94.09ms,94.09,94.25ms,94.25,0.09ms,0.09,2018-11-10 12:19:16
"Athens Greece, Eurasia",2680km,2680,60.57ms,60.57,44.67%,44.67,60.38ms,60.38,61.41ms,61.41,0.21ms,0.21,2018-11-10 12:19:16
"Atlanta United States, North America",6564km,6564,90.43ms,90.43,72.93%,72.93,90.28ms,90.28,90.73ms,90.73,0.33ms,0.33,2018-11-10 12:19:16
"Auckland New Zealand, Oceania",17983km,17983,299.97ms,299.97,60.14%,60.14,299.77ms,299.77,302.50ms,302.5,0.86ms,0.86,2018-11-10 12:19:16
"Austin United States, North America",7668km,7668,118.00ms,118.0,64.98%,64.98,110.17ms,110.17,141.53ms,141.53,9.46ms,9.46,2018-11-10 12:19:16
"Baltimore United States, North America",5640km,5640,79.90ms,79.9,71.39%,71.39,79.55ms,79.55,80.73ms,80.73,0.41ms,0.41,2018-11-10 12:19:16
"Bangalore India, Eurasia",8143km,8143,249.16ms,249.16,32.70%,32.7,248.49ms,248.49,249.57ms,249.57,0.23ms,0.23,2018-11-10 12:19:16
"Bangkok Thailand, Eurasia",9511km,9511,180.35ms,180.35,52.84%,52.84,172.72ms,172.72,230.64ms,230.64,11.85ms,11.85,2018-11-10 12:19:16
"Barcelona Spain, Eurasia",1537km,1537,30.05ms,30.05,51.23%,51.23,29.92ms,29.92,30.30ms,30.3,0.25ms,0.25,2018-11-10 12:19:16
"Basel Switzerland, Eurasia",1041km,1041,26.09ms,26.09,40.04%,40.04,26.01ms,26.01,26.29ms,26.29,0.22ms,0.22,2018-11-10 12:19:16
"Belfast United Kingdom, Eurasia",281km,281,24.49ms,24.49,11.71%,11.71,24.32ms,24.32,24.70ms,24.7,0.19ms,0.19,2018-11-10 12:19:16
"Bergen Norway, Eurasia",727km,727,47.53ms,47.53,15.47%,15.47,47.35ms,47.35,48.74ms,48.74,0.34ms,0.34,2018-11-10 12:19:16
"Berkeley Springs United States, North America",5712km,5712,94.05ms,94.05,60.77%,60.77,93.91ms,93.91,94.42ms,94.42,0.42ms,0.42,2018-11-10 12:19:16
"Bern Switzerland, Eurasia",1093km,1093,27.43ms,27.43,40.48%,40.48,27.30ms,27.3,27.56ms,27.56,0.22ms,0.22,2018-11-10 12:19:16
"Bogota Colombia, South America",8480km,8480,167.45ms,167.45,50.78%,50.78,167.05ms,167.05,174.51ms,174.51,1.40ms,1.4,2018-11-10 12:19:16
