City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14992km,14992,244.62ms,244.62,61.44%,61.44,244.37ms,244.37,245.46ms,245.46,0.56ms,0.56,2018-11-10 12:19:10
"Albany United States, North America",2195km,2195,99.13ms,99.13,22.17%,22.17,38.59ms,38.59,191.76ms,191.76,40.87ms,40.87,2018-11-10 12:19:10
"Alblasserdam Netherlands, Eurasia",7728km,7728,110.84ms,110.84,70.25%,70.25,110.59ms,110.59,113.09ms,113.09,0.58ms,0.58,2018-11-10 12:19:10
"Albuquerque United States, North America",824km,824,37.21ms,37.21,22.27%,22.27,32.24ms,32.24,76.44ms,76.44,12.15ms,12.15,2018-11-10 12:19:10
"Algiers Algeria, Africa",8548km,8548,142.70ms,142.7,60.20%,60.2,142.05ms,142.05,143.94ms,143.94,0.42ms,0.42,2018-11-10 12:19:10
"Amsterdam Netherlands, Eurasia",7706km,7706,127.22ms,127.22,60.68%,60.68,127.12ms,127.12,127.57ms,127.57,0.50ms,0.5,2018-11-10 12:19:10
"Anchorage United States, North America",4623km,4623,90.83ms,90.83,51.37%,51.37,90.66ms,90.66,91.28ms,91.28,0.26ms,0.26,2018-11-10 12:19:10
"Ankara Turkey, Eurasia",10215km,10215,180.90ms,180.9,56.75%,56.75,180.67ms,180.67,182.65ms,182.65,0.50ms,0.5,2018-11-10 12:19:10
"Antwerp Belgium, Eurasia",7752km,7752,127.57ms,127.57,61.04%,61.04,127.48ms,127.48,127.86ms,127.86,0.15ms,0.15,2018-11-10 12:19:10
"Arezzo Italy, Eurasia",8707km,8707,140.87ms,140.87,62.19%,62.19,140.50ms,140.5,147.02ms,147.02,1.23ms,1.23,2018-11-10 12:19:10
"Asheville United States, North America",1354km,1354,42.30ms,42.3,32.24%,32.24,42.13ms,42.13,42.56ms,42.56,0.20ms,0.2,2018-11-10 12:19:10
"Athens Greece, Eurasia",9857km,9857,177.65ms,177.65,55.69%,55.69,177.39ms,177.39,178.06ms,178.06,0.17ms,0.17,2018-11-10 12:19:10
"Atlanta United States, North America",1217km,1217,27.31ms,27.31,45.07%,45.07,27.11ms,27.11,27.91ms,27.91,0.27ms,0.27,2018-11-10 12:19:10
"Auckland New Zealand, Oceania",12100km,12100,206.10ms,206.1,58.74%,58.74,205.84ms,205.84,207.43ms,207.43,0.62ms,0.62,2018-11-10 12:19:10
"Austin United States, North America",582km,582,26.50ms,26.5,22.38%,22.38,16.44ms,16.44,54.40ms,54.4,10.82ms,10.82,2018-11-10 12:19:10
"Baltimore United States, North America",1891km,1891,41.12ms,41.12,46.12%,46.12,40.91ms,40.91,42.22ms,42.22,0.36ms,0.36,2018-11-10 12:19:10
"Bangalore India, Eurasia",14607km,14607,260.88ms,260.88,56.18%,56.18,256.81ms,256.81,271.77ms,271.77,5.66ms,5.66,2018-11-10 12:19:10
"Bangkok Thailand, Eurasia",14225km,14225,249.14ms,249.14,57.13%,57.13,241.39ms,241.39,329.66ms,329.66,18.46ms,18.46,2018-11-10 12:19:10
"Barcelona Spain, Eurasia",8196km,8196,131.15ms,131.15,62.56%,62.56,130.78ms,130.78,132.91ms,132.91,0.53ms,0.53,2018-11-10 12:19:10
"Basel Switzerland, Eurasia",8168km,8168,142.29ms,142.29,57.52%,57.52,142.14ms,142.14,142.46ms,142.46,0.41ms,0.41,2018-11-10 12:19:11
"Belfast United Kingdom, Eurasia",6964km,6964,125.81ms,125.81,55.71%,55.71,125.67ms,125.67,126.02ms,126.02,0.47ms,0.47,2018-11-10 12:19:11
"Bergen Norway, Eurasia",7283km,7283,161.85ms,161.85,45.24%,45.24,161.24ms,161.24,166.74ms,166.74,1.30ms,1.3,2018-11-10 12:19:11
