City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",7751km,7751,280.15ms,280.15,27.68%,27.68,279.46ms,279.46,283.11ms,283.11,1.20ms,1.2,2018-11-10 12:20:28
"Albany United States, North America",10908km,10908,242.54ms,242.54,45.07%,45.07,176.76ms,176.76,314.95ms,314.95,38.38ms,38.38,2018-11-10 12:20:28
"Alblasserdam Netherlands, Eurasia",9271km,9271,239.38ms,239.38,38.79%,38.79,239.00ms,239.0,240.23ms,240.23,0.46ms,0.46,2018-11-10 12:20:28
"Albuquerque United States, North America",9928km,9928,143.85ms,143.85,69.43%,69.43,141.56ms,141.56,187.38ms,187.38,8.23ms,8.23,2018-11-10 12:20:28
"Algiers Algeria, Africa",10674km,10674,282.38ms,282.38,37.85%,37.85,281.32ms,281.32,284.76ms,284.76,1.18ms,1.18,2018-11-10 12:20:28
"Amsterdam Netherlands, Eurasia",9232km,9232,266.86ms,266.86,34.71%,34.71,265.31ms,265.31,271.38ms,271.38,1.75ms,1.75,2018-11-10 12:20:28
"Anchorage United States, North America",5877km,5877,144.85ms,144.85,40.81%,40.81,144.38ms,144.38,147.46ms,147.46,0.82ms,0.82,2018-11-10 12:20:28
"Ankara Turkey, Eurasia",8548km,8548,301.78ms,301.78,28.40%,28.4,300.89ms,300.89,307.67ms,307.67,1.46ms,1.46,2018-11-10 12:20:28
"Antwerp Belgium, Eurasia",9338km,9338,233.46ms,233.46,40.08%,40.08,233.01ms,233.01,236.33ms,236.33,0.99ms,0.99,2018-11-10 12:20:28
"Arezzo Italy, Eurasia",9620km,9620,230.94ms,230.94,41.83%,41.83,230.55ms,230.55,231.71ms,231.71,0.57ms,0.57,2018-11-10 12:20:28
"Asheville United States, North America",11261km,11261,178.69ms,178.69,63.26%,63.26,178.54ms,178.54,179.37ms,179.37,0.38ms,0.38,2018-11-10 12:20:28
"Athens Greece, Eurasia",9310km,9310,268.06ms,268.06,34.74%,34.74,267.81ms,267.81,268.71ms,268.71,0.54ms,0.54,2018-11-10 12:20:28
"Atlanta United States, North America",11347km,11347,156.68ms,156.68,72.74%,72.74,155.61ms,155.61,160.43ms,160.43,1.22ms,1.22,2018-11-10 12:20:28
"Auckland New Zealand, Oceania",8932km,8932,220.36ms,220.36,40.60%,40.6,220.03ms,220.03,222.66ms,222.66,0.49ms,0.49,2018-11-10 12:20:28
