City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15182km,15182,425.40ms,425.4,35.72%,35.72,353.49ms,353.49,674.60ms,674.6,76.84ms,76.84,2018-11-10 12:32:30
"Albany United States, North America",7050km,7050,273.30ms,273.3,25.82%,25.82,117.33ms,117.33,647.98ms,647.98,147.10ms,147.1,2018-11-10 12:32:30
"Alblasserdam Netherlands, Eurasia",1673km,1673,82.86ms,82.86,20.40%,20.4,45.19ms,45.19,396.19ms,396.19,87.10ms,87.1,2018-11-10 12:32:30
"Albuquerque United States, North America",9797km,9797,454.44ms,454.44,21.58%,21.58,182.32ms,182.32,1135.89ms,1135.89,294.37ms,294.37,2018-11-10 12:32:30
"Algiers Algeria, Africa",922km,922,584.42ms,584.42,1.58%,1.58,269.98ms,269.98,884.26ms,884.26,165.57ms,165.57,2018-11-10 12:32:30
"Amsterdam Netherlands, Eurasia",1714km,1714,914.69ms,914.69,1.88%,1.88,180.56ms,180.56,1409.25ms,1409.25,381.13ms,381.13,2018-11-10 12:32:30
"Anchorage United States, North America",8868km,8868,758.76ms,758.76,11.70%,11.7,261.90ms,261.9,1093.25ms,1093.25,236.86ms,236.86,2018-11-10 12:32:30
"Ankara Turkey, Eurasia",1693km,1693,889.62ms,889.62,1.90%,1.9,428.88ms,428.88,1351.36ms,1351.36,234.73ms,234.73,2018-11-10 12:32:30
"Antwerp Belgium, Eurasia",1617km,1617,1093.48ms,1093.48,1.48%,1.48,675.03ms,675.03,1445.77ms,1445.77,192.58ms,192.58,2018-11-10 12:32:30
"Arezzo Italy, Eurasia",608km,608,519.45ms,519.45,1.17%,1.17,142.04ms,142.04,953.69ms,953.69,205.08ms,205.08,2018-11-10 12:32:30
"Asheville United States, North America",8113km,8113,555.38ms,555.38,14.62%,14.62,340.24ms,340.24,836.04ms,836.04,122.98ms,122.98,2018-11-10 12:32:30
"Athens Greece, Eurasia",906km,906,833.28ms,833.28,1.09%,1.09,387.59ms,387.59,1008.22ms,1008.22,127.26ms,127.26,2018-11-10 12:32:30
"Atlanta United States, North America",8369km,8369,740.03ms,740.03,11.31%,11.31,388.52ms,388.52,1091.69ms,1091.69,215.87ms,215.87,2018-11-10 12:32:30
