City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16490km,16490,341.26ms,341.26,48.36%,48.36,341.00ms,341.0,342.13ms,342.13,0.44ms,0.44,2018-11-10 12:20:43
"Albany United States, North America",4491km,4491,168.71ms,168.71,26.73%,26.73,102.01ms,102.01,243.39ms,243.39,39.32ms,39.32,2018-11-10 12:20:43
"Alblasserdam Netherlands, Eurasia",7466km,7466,170.13ms,170.13,43.92%,43.92,169.88ms,169.88,171.38ms,171.38,0.53ms,0.53,2018-11-10 12:20:43
"Albuquerque United States, North America",6174km,6174,126.85ms,126.85,49.00%,49.0,122.50ms,122.5,169.41ms,169.41,12.14ms,12.14,2018-11-10 12:20:43
"Algiers Algeria, Africa",6817km,6817,210.92ms,210.92,32.46%,32.46,202.96ms,202.96,383.48ms,383.48,35.99ms,35.99,2018-11-10 12:20:43
"Amsterdam Netherlands, Eurasia",7486km,7486,188.46ms,188.46,39.82%,39.82,179.18ms,179.18,451.43ms,451.43,48.83ms,48.83,2018-11-10 12:20:43
"Anchorage United States, North America",9690km,9690,176.69ms,176.69,55.06%,55.06,176.33ms,176.33,179.57ms,179.57,0.60ms,0.6,2018-11-10 12:20:43
"Ankara Turkey, Eurasia",9428km,9428,244.24ms,244.24,38.64%,38.64,224.40ms,224.4,424.88ms,424.88,57.16ms,57.16,2018-11-10 12:20:43
"Antwerp Belgium, Eurasia",7424km,7424,192.99ms,192.99,38.67%,38.67,192.82ms,192.82,193.19ms,193.19,0.45ms,0.45,2018-11-10 12:20:43
"Arezzo Italy, Eurasia",7722km,7722,199.94ms,199.94,38.80%,38.8,199.79ms,199.79,200.18ms,200.18,0.09ms,0.09,2018-11-10 12:20:43
"Asheville United States, North America",4331km,4331,109.90ms,109.9,39.73%,39.73,92.20ms,92.2,357.07ms,357.07,65.79ms,65.79,2018-11-10 12:20:43
"Athens Greece, Eurasia",8639km,8639,230.63ms,230.63,37.56%,37.56,224.04ms,224.04,410.80ms,410.8,33.46ms,33.46,2018-11-10 12:20:44
"Atlanta United States, North America",4321km,4321,81.53ms,81.53,53.35%,53.35,80.80ms,80.8,96.72ms,96.72,2.84ms,2.84,2018-11-10 12:20:44
"Auckland New Zealand, Oceania",13902km,13902,291.19ms,291.19,47.77%,47.77,291.05ms,291.05,291.99ms,291.99,0.60ms,0.6,2018-11-10 12:20:44
"Austin United States, North America",5206km,5206,113.43ms,113.43,46.07%,46.07,100.61ms,100.61,176.47ms,176.47,16.67ms,16.67,2018-11-10 12:20:44
"Baltimore United States, North America",4294km,4294,96.95ms,96.95,44.73%,44.73,96.63ms,96.63,97.62ms,97.62,0.41ms,0.41,2018-11-10 12:20:44
"Bangalore India, Eurasia",14401km,14401,326.05ms,326.05,44.17%,44.17,315.88ms,315.88,618.09ms,618.09,54.23ms,54.23,2018-11-10 12:20:44
"Bangkok Thailand, Eurasia",16562km,16562,335.88ms,335.88,49.44%,49.44,330.99ms,330.99,362.04ms,362.04,8.66ms,8.66,2018-11-10 12:20:44
"Barcelona Spain, Eurasia",6893km,6893,218.75ms,218.75,31.62%,31.62,205.12ms,205.12,409.93ms,409.93,49.92ms,49.92,2018-11-10 12:20:44
"Basel Switzerland, Eurasia",7511km,7511,193.72ms,193.72,38.92%,38.92,193.56ms,193.56,194.00ms,194.0,0.53ms,0.53,2018-11-10 12:20:44
"Belfast United Kingdom, Eurasia",6970km,6970,187.72ms,187.72,37.27%,37.27,187.57ms,187.57,187.87ms,187.87,0.26ms,0.26,2018-11-10 12:20:44
"Bergen Norway, Eurasia",7864km,7864,220.18ms,220.18,35.75%,35.75,212.08ms,212.08,450.31ms,450.31,42.74ms,42.74,2018-11-10 12:20:44
"Berkeley Springs United States, North America",4407km,4407,110.73ms,110.73,40.06%,40.06,100.70ms,100.7,396.96ms,396.96,53.15ms,53.15,2018-11-10 12:20:44
"Bern Switzerland, Eurasia",7481km,7481,191.28ms,191.28,39.17%,39.17,191.12ms,191.12,191.51ms,191.51,0.37ms,0.37,2018-11-10 12:20:44
"Bogota Colombia, South America",2094km,2094,123.92ms,123.92,17.02%,17.02,123.32ms,123.32,130.28ms,130.28,1.49ms,1.49,2018-11-10 12:20:44
"Boston United States, North America",4351km,4351,107.48ms,107.48,40.66%,40.66,107.20ms,107.2,107.80ms,107.8,0.38ms,0.38,2018-11-10 12:20:44
"Brasilia Brazil, South America",2539km,2539,205.64ms,205.64,12.39%,12.39,184.34ms,184.34,490.03ms,490.03,60.14ms,60.14,2018-11-10 12:20:44
"Bratislava Slovakia, Eurasia",8217km,8217,200.87ms,200.87,41.09%,41.09,200.71ms,200.71,201.19ms,201.19,0.44ms,0.44,2018-11-10 12:20:44
"Brisbane Australia, Oceania",16189km,16189,294.44ms,294.44,55.06%,55.06,294.32ms,294.32,294.65ms,294.65,0.47ms,0.47,2018-11-10 12:20:44
"Bristol United Kingdom, Eurasia",6992km,6992,171.31ms,171.31,40.89%,40.89,171.08ms,171.08,171.96ms,171.96,0.58ms,0.58,2018-11-10 12:20:44
"Brno Czech Republic, Eurasia",8201km,8201,199.81ms,199.81,41.21%,41.21,199.59ms,199.59,201.05ms,201.05,0.65ms,0.65,2018-11-10 12:20:44
"Bruges Belgium, Eurasia",7348km,7348,178.65ms,178.65,41.28%,41.28,178.37ms,178.37,179.86ms,179.86,0.32ms,0.32,2018-11-10 12:20:44
"Brunswick United States, North America",4471km,4471,108.33ms,108.33,41.40%,41.4,108.20ms,108.2,108.59ms,108.59,0.40ms,0.4,2018-11-10 12:20:44
