City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",2130km,2130,28.28ms,28.28,76.07%,76.07,28.10ms,28.1,28.39ms,28.39,0.13ms,0.13,2018-11-10 12:21:08
"Albany United States, North America",18551km,18551,323.06ms,323.06,57.43%,57.43,256.67ms,256.67,400.34ms,400.34,38.24ms,38.24,2018-11-10 12:21:08
"Alblasserdam Netherlands, Eurasia",14157km,14157,327.99ms,327.99,43.29%,43.29,327.82ms,327.82,328.21ms,328.21,0.77ms,0.77,2018-11-10 12:21:08
"Albuquerque United States, North America",16097km,16097,229.41ms,229.41,70.29%,70.29,225.54ms,225.54,285.46ms,285.46,12.98ms,12.98,2018-11-10 12:21:08
"Algiers Algeria, Africa",13954km,13954,360.61ms,360.61,38.76%,38.76,359.98ms,359.98,361.17ms,361.17,0.50ms,0.5,2018-11-10 12:21:08
"Amsterdam Netherlands, Eurasia",14159km,14159,330.76ms,330.76,42.91%,42.91,330.63ms,330.63,330.99ms,330.99,0.79ms,0.79,2018-11-10 12:21:08
"Anchorage United States, North America",13303km,13303,240.68ms,240.68,55.43%,55.43,240.48ms,240.48,241.44ms,241.44,0.70ms,0.7,2018-11-10 12:21:08
"Ankara Turkey, Eurasia",11688km,11688,309.88ms,309.88,37.83%,37.83,309.48ms,309.48,315.66ms,315.66,1.17ms,1.17,2018-11-10 12:21:08
"Antwerp Belgium, Eurasia",14166km,14166,334.15ms,334.15,42.41%,42.41,334.12ms,334.12,334.20ms,334.2,0.73ms,0.73,2018-11-10 12:21:08
"Arezzo Italy, Eurasia",13442km,13442,276.43ms,276.43,48.70%,48.7,276.32ms,276.32,276.60ms,276.6,0.47ms,0.47,2018-11-10 12:21:08
"Asheville United States, North America",18273km,18273,244.00ms,244.0,74.89%,74.89,243.97ms,243.97,244.18ms,244.18,0.41ms,0.41,2018-11-10 12:21:08
"Athens Greece, Eurasia",12293km,12293,377.51ms,377.51,32.61%,32.61,377.28ms,377.28,378.88ms,378.88,0.49ms,0.49,2018-11-10 12:21:08
"Atlanta United States, North America",18121km,18121,236.74ms,236.74,76.78%,76.78,236.43ms,236.43,240.51ms,240.51,0.79ms,0.79,2018-11-10 12:21:08
"Auckland New Zealand, Oceania",5346km,5346,71.36ms,71.36,75.30%,75.3,71.21ms,71.21,72.17ms,72.17,0.36ms,0.36,2018-11-10 12:21:08
"Austin United States, North America",16827km,16827,233.19ms,233.19,72.22%,72.22,224.56ms,224.56,257.22ms,257.22,8.27ms,8.27,2018-11-10 12:21:08
"Baltimore United States, North America",18631km,18631,274.91ms,274.91,68.00%,68.0,274.43ms,274.43,280.64ms,280.64,1.31ms,1.31,2018-11-10 12:21:08
"Bangalore India, Eurasia",6447km,6447,85.82ms,85.82,75.85%,75.85,85.73ms,85.73,86.03ms,86.03,0.39ms,0.39,2018-11-10 12:21:08
"Bangkok Thailand, Eurasia",5340km,5340,80.86ms,80.86,66.75%,66.75,75.03ms,75.03,109.03ms,109.03,9.13ms,9.13,2018-11-10 12:21:08
"Barcelona Spain, Eurasia",14156km,14156,344.10ms,344.1,41.15%,41.15,343.89ms,343.89,344.30ms,344.3,0.44ms,0.44,2018-11-10 12:21:08
"Basel Switzerland, Eurasia",13875km,13875,349.56ms,349.56,39.76%,39.76,349.24ms,349.24,355.06ms,355.06,1.30ms,1.3,2018-11-10 12:21:08
"Belfast United Kingdom, Eurasia",14865km,14865,370.50ms,370.5,40.18%,40.18,370.39ms,370.39,370.81ms,370.81,0.71ms,0.71,2018-11-10 12:21:08
"Bergen Norway, Eurasia",14167km,14167,298.82ms,298.82,47.54%,47.54,298.39ms,298.39,308.17ms,308.17,1.78ms,1.78,2018-11-10 12:21:08
"Berkeley Springs United States, North America",18492km,18492,250.57ms,250.57,73.97%,73.97,250.45ms,250.45,250.88ms,250.88,0.66ms,0.66,2018-11-10 12:21:08
"Bern Switzerland, Eurasia",13872km,13872,349.83ms,349.83,39.75%,39.75,349.65ms,349.65,350.30ms,350.3,0.39ms,0.39,2018-11-10 12:21:08
"Bogota Colombia, South America",16806km,16806,310.25ms,310.25,54.21%,54.21,310.11ms,310.11,310.46ms,310.46,0.72ms,0.72,2018-11-10 12:21:08
"Boston United States, North America",18711km,18711,258.34ms,258.34,72.52%,72.52,258.02ms,258.02,260.79ms,260.79,0.68ms,0.68,2018-11-10 12:21:08
"Brasilia Brazil, South America",14434km,14434,375.01ms,375.01,38.49%,38.49,367.38ms,367.38,547.11ms,547.11,32.61ms,32.61,2018-11-10 12:21:08
"Bratislava Slovakia, Eurasia",13203km,13203,286.25ms,286.25,46.16%,46.16,286.10ms,286.1,286.35ms,286.35,0.69ms,0.69,2018-11-10 12:21:08
"Brisbane Australia, Oceania",3608km,3608,59.27ms,59.27,61.15%,61.15,59.21ms,59.21,59.41ms,59.41,0.26ms,0.26,2018-11-10 12:21:08
"Bristol United Kingdom, Eurasia",14653km,14653,324.95ms,324.95,45.23%,45.23,324.76ms,324.76,326.01ms,326.01,0.49ms,0.49,2018-11-10 12:21:08
"Brno Czech Republic, Eurasia",13271km,13271,278.21ms,278.21,47.74%,47.74,278.16ms,278.16,278.34ms,278.34,0.58ms,0.58,2018-11-10 12:21:08
"Bruges Belgium, Eurasia",14247km,14247,330.81ms,330.81,43.17%,43.17,330.67ms,330.67,331.77ms,331.77,0.81ms,0.81,2018-11-10 12:21:08
