City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",17211km,17211,242.18ms,242.18,71.12%,71.12,241.80ms,241.8,243.36ms,243.36,0.66ms,0.66,2018-11-10 12:18:34
"Albany United States, North America",495km,495,72.11ms,72.11,6.88%,6.88,14.64ms,14.64,137.03ms,137.03,39.20ms,39.2,2018-11-10 12:18:34
"Alblasserdam Netherlands, Eurasia",5273km,5273,88.82ms,88.82,59.92%,59.92,87.92ms,87.92,91.52ms,91.52,0.95ms,0.95,2018-11-10 12:18:34
"Albuquerque United States, North America",3211km,3211,60.20ms,60.2,53.52%,53.52,55.87ms,55.87,104.22ms,104.22,10.42ms,10.42,2018-11-10 12:18:34
"Algiers Algeria, Africa",6028km,6028,120.44ms,120.44,50.23%,50.23,119.72ms,119.72,122.19ms,122.19,0.62ms,0.62,2018-11-10 12:18:34
"Amsterdam Netherlands, Eurasia",5255km,5255,88.75ms,88.75,59.72%,59.72,88.10ms,88.1,91.66ms,91.66,0.73ms,0.73,2018-11-10 12:18:34
"Anchorage United States, North America",5036km,5036,96.47ms,96.47,52.46%,52.46,96.06ms,96.06,97.99ms,97.99,0.56ms,0.56,2018-11-10 12:18:34
"Ankara Turkey, Eurasia",7796km,7796,140.46ms,140.46,55.69%,55.69,139.58ms,139.58,149.08ms,149.08,1.81ms,1.81,2018-11-10 12:18:34
"Antwerp Belgium, Eurasia",5289km,5289,106.75ms,106.75,49.90%,49.9,106.34ms,106.34,107.98ms,107.98,0.56ms,0.56,2018-11-10 12:18:34
"Arezzo Italy, Eurasia",6210km,6210,103.52ms,103.52,60.29%,60.29,103.04ms,103.04,106.35ms,106.35,0.79ms,0.79,2018-11-10 12:18:34
"Asheville United States, North America",1564km,1564,30.29ms,30.29,52.13%,52.13,29.87ms,29.87,31.52ms,31.52,0.42ms,0.42,2018-11-10 12:18:34
"Athens Greece, Eurasia",7372km,7372,133.49ms,133.49,55.43%,55.43,133.04ms,133.04,135.26ms,135.26,0.70ms,0.7,2018-11-10 12:18:34
"Atlanta United States, North America",1828km,1828,35.17ms,35.17,52.23%,52.23,34.50ms,34.5,40.45ms,40.45,1.24ms,1.24,2018-11-10 12:18:34
"Auckland New Zealand, Oceania",14607km,14607,241.72ms,241.72,60.61%,60.61,240.91ms,240.91,248.53ms,248.53,1.50ms,1.5,2018-11-10 12:18:34
"Austin United States, North America",2929km,2929,62.75ms,62.75,47.24%,47.24,51.42ms,51.42,99.71ms,99.71,11.87ms,11.87,2018-11-10 12:18:34
"Baltimore United States, North America",945km,945,19.30ms,19.3,49.74%,49.74,18.57ms,18.57,25.25ms,25.25,1.32ms,1.32,2018-11-10 12:18:34
"Bangalore India, Eurasia",12680km,12680,248.16ms,248.16,51.13%,51.13,247.04ms,247.04,262.49ms,262.49,2.85ms,2.85,2018-11-10 12:18:34
"Bangkok Thailand, Eurasia",13233km,13233,240.08ms,240.08,55.14%,55.14,237.44ms,237.44,266.40ms,266.4,5.51ms,5.51,2018-11-10 12:18:34
"Barcelona Spain, Eurasia",5675km,5675,107.67ms,107.67,53.04%,53.04,106.92ms,106.92,112.01ms,112.01,1.17ms,1.17,2018-11-10 12:18:34
"Basel Switzerland, Eurasia",5684km,5684,105.18ms,105.18,54.13%,54.13,104.61ms,104.61,106.67ms,106.67,0.50ms,0.5,2018-11-10 12:18:34
"Belfast United Kingdom, Eurasia",4507km,4507,96.30ms,96.3,46.95%,46.95,95.29ms,95.29,99.17ms,99.17,0.95ms,0.95,2018-11-10 12:18:34
"Bergen Norway, Eurasia",4956km,4956,122.31ms,122.31,40.62%,40.62,121.35ms,121.35,125.87ms,125.87,1.13ms,1.13,2018-11-10 12:18:34
"Berkeley Springs United States, North America",980km,980,27.68ms,27.68,36.30%,36.3,27.04ms,27.04,29.31ms,29.31,0.53ms,0.53,2018-11-10 12:18:34
"Bern Switzerland, Eurasia",5710km,5710,115.51ms,115.51,49.65%,49.65,114.87ms,114.87,117.89ms,117.89,0.81ms,0.81,2018-11-10 12:18:34
"Bogota Colombia, South America",4703km,4703,102.77ms,102.77,46.11%,46.11,101.98ms,101.98,108.64ms,108.64,1.29ms,1.29,2018-11-10 12:18:34
"Boston United States, North America",495km,495,14.17ms,14.17,35.36%,35.36,13.47ms,13.47,18.07ms,18.07,1.00ms,1.0,2018-11-10 12:18:34
