City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14540km,14540,320.69ms,320.69,45.44%,45.44,320.45ms,320.45,320.95ms,320.95,0.32ms,0.32,2018-11-10 12:20:45
"Albany United States, North America",4797km,4797,161.10ms,161.1,29.80%,29.8,94.76ms,94.76,235.87ms,235.87,37.67ms,37.67,2018-11-10 12:20:45
"Alblasserdam Netherlands, Eurasia",9554km,9554,178.44ms,178.44,53.67%,53.67,178.09ms,178.09,180.20ms,180.2,0.68ms,0.68,2018-11-10 12:20:45
"Albuquerque United States, North America",4892km,4892,133.97ms,133.97,36.78%,36.78,127.73ms,127.73,201.72ms,201.72,15.66ms,15.66,2018-11-10 12:20:45
"Algiers Algeria, Africa",9268km,9268,206.63ms,206.63,44.99%,44.99,206.07ms,206.07,207.90ms,207.9,0.41ms,0.41,2018-11-10 12:20:45
"Amsterdam Netherlands, Eurasia",9562km,9562,178.55ms,178.55,53.72%,53.72,178.21ms,178.21,179.42ms,179.42,0.41ms,0.41,2018-11-10 12:20:45
"Anchorage United States, North America",9047km,9047,179.31ms,179.31,50.54%,50.54,176.25ms,176.25,196.25ms,196.25,5.53ms,5.53,2018-11-10 12:20:45
"Ankara Turkey, Eurasia",11825km,11825,228.46ms,228.46,51.86%,51.86,227.50ms,227.5,241.51ms,241.51,2.63ms,2.63,2018-11-10 12:20:45
"Antwerp Belgium, Eurasia",9530km,9530,189.09ms,189.09,50.42%,50.42,188.83ms,188.83,190.26ms,190.26,0.34ms,0.34,2018-11-10 12:20:45
"Arezzo Italy, Eurasia",10051km,10051,188.45ms,188.45,53.46%,53.46,188.19ms,188.19,189.78ms,189.78,0.59ms,0.59,2018-11-10 12:20:45
"Asheville United States, North America",4002km,4002,97.45ms,97.45,41.26%,41.26,97.28ms,97.28,97.98ms,97.98,0.26ms,0.26,2018-11-10 12:20:45
"Athens Greece, Eurasia",11088km,11088,221.56ms,221.56,50.17%,50.17,221.29ms,221.29,222.45ms,222.45,0.36ms,0.36,2018-11-10 12:20:45
"Atlanta United States, North America",3824km,3824,83.30ms,83.3,46.07%,46.07,83.07ms,83.07,83.78ms,83.78,0.28ms,0.28,2018-11-10 12:20:45
"Auckland New Zealand, Oceania",11484km,11484,369.42ms,369.42,31.12%,31.12,369.20ms,369.2,369.89ms,369.89,0.41ms,0.41,2018-11-10 12:20:45
"Austin United States, North America",3952km,3952,111.66ms,111.66,35.60%,35.6,102.63ms,102.63,134.15ms,134.15,7.69ms,7.69,2018-11-10 12:20:45
"Baltimore United States, North America",4393km,4393,92.70ms,92.7,47.75%,47.75,89.78ms,89.78,110.34ms,110.34,6.03ms,6.03,2018-11-10 12:20:45
"Bangalore India, Eurasia",17022km,17022,322.59ms,322.59,52.86%,52.86,322.23ms,322.23,324.29ms,324.29,0.58ms,0.58,2018-11-10 12:20:45
"Bangkok Thailand, Eurasia",18507km,18507,323.30ms,323.3,57.30%,57.3,314.45ms,314.45,369.45ms,369.45,14.47ms,14.47,2018-11-10 12:20:45
"Barcelona Spain, Eurasia",9244km,9244,211.11ms,211.11,43.81%,43.81,210.78ms,210.78,211.79ms,211.79,0.30ms,0.3,2018-11-10 12:20:45
"Basel Switzerland, Eurasia",9729km,9729,183.21ms,183.21,53.16%,53.16,182.86ms,182.86,184.95ms,184.95,0.41ms,0.41,2018-11-10 12:20:45
"Belfast United Kingdom, Eurasia",8913km,8913,169.68ms,169.68,52.74%,52.74,169.35ms,169.35,170.94ms,170.94,0.60ms,0.6,2018-11-10 12:20:45
"Bergen Norway, Eurasia",9687km,9687,209.81ms,209.81,46.35%,46.35,209.44ms,209.44,211.46ms,211.46,0.66ms,0.66,2018-11-10 12:20:45
"Berkeley Springs United States, North America",4427km,4427,112.13ms,112.13,39.53%,39.53,109.77ms,109.77,130.82ms,130.82,5.38ms,5.38,2018-11-10 12:20:45
"Bern Switzerland, Eurasia",9715km,9715,192.47ms,192.47,50.60%,50.6,192.10ms,192.1,193.73ms,193.73,0.54ms,0.54,2018-11-10 12:20:45
