City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14648km,14648,346.71ms,346.71,42.34%,42.34,345.93ms,345.93,348.07ms,348.07,0.90ms,0.9,2018-11-10 12:20:06
"Albany United States, North America",6569km,6569,172.18ms,172.18,38.19%,38.19,111.83ms,111.83,222.00ms,222.0,35.88ms,35.88,2018-11-10 12:20:06
"Alblasserdam Netherlands, Eurasia",1374km,1374,35.61ms,35.61,39.26%,39.26,35.26ms,35.26,37.98ms,37.98,0.52ms,0.52,2018-11-10 12:20:06
"Albuquerque United States, North America",8785km,8785,159.46ms,159.46,55.25%,55.25,153.72ms,153.72,201.44ms,201.44,13.32ms,13.32,2018-11-10 12:20:06
"Algiers Algeria, Africa",2734km,2734,72.63ms,72.63,37.97%,37.97,72.04ms,72.04,73.75ms,73.75,0.44ms,0.44,2018-11-10 12:20:06
"Amsterdam Netherlands, Eurasia",1346km,1346,34.83ms,34.83,39.59%,39.59,34.59ms,34.59,35.72ms,35.72,0.32ms,0.32,2018-11-10 12:20:06
"Anchorage United States, North America",6867km,6867,193.25ms,193.25,35.58%,35.58,192.90ms,192.9,193.71ms,193.71,0.24ms,0.24,2018-11-10 12:20:06
"Ankara Turkey, Eurasia",1996km,1996,78.73ms,78.73,25.59%,25.59,77.86ms,77.86,94.37ms,94.37,2.93ms,2.93,2018-11-10 12:20:06
"Antwerp Belgium, Eurasia",1427km,1427,71.52ms,71.52,20.10%,20.1,71.45ms,71.45,71.61ms,71.61,0.14ms,0.14,2018-11-10 12:20:06
"Arezzo Italy, Eurasia",1727km,1727,47.68ms,47.68,36.74%,36.74,47.46ms,47.46,49.35ms,49.35,0.54ms,0.54,2018-11-10 12:20:06
"Asheville United States, North America",7658km,7658,122.78ms,122.78,62.77%,62.77,122.71ms,122.71,123.10ms,123.1,0.19ms,0.19,2018-11-10 12:20:06
