City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",11706km,11706,349.56ms,349.56,33.54%,33.54,340.06ms,340.06,494.30ms,494.3,30.53ms,30.53,2018-11-10 12:23:26
"Albany United States, North America",10365km,10365,259.68ms,259.68,40.02%,40.02,183.21ms,183.21,410.10ms,410.1,49.26ms,49.26,2018-11-10 12:23:26
"Alblasserdam Netherlands, Eurasia",4658km,4658,124.13ms,124.13,37.56%,37.56,120.99ms,120.99,172.79ms,172.79,9.81ms,9.81,2018-11-10 12:23:26
"Albuquerque United States, North America",12805km,12805,310.40ms,310.4,41.31%,41.31,279.91ms,279.91,490.80ms,490.8,55.87ms,55.87,2018-11-10 12:23:26
"Algiers Algeria, Africa",4346km,4346,285.21ms,285.21,15.25%,15.25,165.21ms,165.21,355.34ms,355.34,59.77ms,59.77,2018-11-10 12:23:26
"Amsterdam Netherlands, Eurasia",4675km,4675,138.17ms,138.17,33.88%,33.88,124.07ms,124.07,307.27ms,307.27,38.61ms,38.61,2018-11-10 12:23:26
"Anchorage United States, North America",10355km,10355,306.06ms,306.06,33.84%,33.84,276.93ms,276.93,426.11ms,426.11,41.79ms,41.79,2018-11-10 12:23:26
"Ankara Turkey, Eurasia",2137km,2137,281.71ms,281.71,7.60%,7.6,155.02ms,155.02,504.09ms,504.09,109.16ms,109.16,2018-11-10 12:23:26
"Antwerp Belgium, Eurasia",4644km,4644,225.20ms,225.2,20.64%,20.64,132.70ms,132.7,388.62ms,388.62,77.93ms,77.93,2018-11-10 12:23:26
"Arezzo Italy, Eurasia",3791km,3791,193.62ms,193.62,19.64%,19.64,152.31ms,152.31,284.64ms,284.64,36.94ms,36.94,2018-11-10 12:23:26
"Asheville United States, North America",11457km,11457,263.70ms,263.7,43.56%,43.56,253.39ms,253.39,359.15ms,359.15,23.90ms,23.9,2018-11-10 12:23:26
"Athens Greece, Eurasia",2629km,2629,168.07ms,168.07,15.65%,15.65,167.41ms,167.41,170.29ms,170.29,0.84ms,0.84,2018-11-10 12:23:26
"Atlanta United States, North America",11721km,11721,268.61ms,268.61,43.74%,43.74,256.68ms,256.68,454.99ms,454.99,37.09ms,37.09,2018-11-10 12:23:26
"Auckland New Zealand, Oceania",14934km,14934,362.95ms,362.95,41.25%,41.25,354.94ms,354.94,430.55ms,430.55,16.98ms,16.98,2018-11-10 12:23:26
"Austin United States, North America",12836km,12836,277.61ms,277.61,46.34%,46.34,223.42ms,223.42,445.88ms,445.88,64.35ms,64.35,2018-11-10 12:23:26
"Baltimore United States, North America",10794km,10794,301.75ms,301.75,35.86%,35.86,261.14ms,261.14,498.49ms,498.49,63.49ms,63.49,2018-11-10 12:23:26
"Bangalore India, Eurasia",3489km,3489,178.02ms,178.02,19.60%,19.6,171.05ms,171.05,252.50ms,252.5,20.21ms,20.21,2018-11-10 12:23:26
"Bangkok Thailand, Eurasia",5740km,5740,192.28ms,192.28,29.90%,29.9,179.52ms,179.52,379.44ms,379.44,41.51ms,41.51,2018-11-10 12:23:26
"Barcelona Spain, Eurasia",4492km,4492,121.00ms,121.0,37.12%,37.12,110.45ms,110.45,260.92ms,260.92,30.73ms,30.73,2018-11-10 12:23:26
"Basel Switzerland, Eurasia",4273km,4273,144.17ms,144.17,29.67%,29.67,140.67ms,140.67,199.21ms,199.21,10.59ms,10.59,2018-11-10 12:23:26
"Belfast United Kingdom, Eurasia",5423km,5423,135.64ms,135.64,40.17%,40.17,132.92ms,132.92,167.30ms,167.3,6.92ms,6.92,2018-11-10 12:23:26
"Bergen Norway, Eurasia",5073km,5073,153.72ms,153.72,33.16%,33.16,147.48ms,147.48,205.38ms,205.38,12.18ms,12.18,2018-11-10 12:23:26
"Berkeley Springs United States, North America",10874km,10874,199.64ms,199.64,54.64%,54.64,193.35ms,193.35,238.25ms,238.25,11.26ms,11.26,2018-11-10 12:23:26
"Bern Switzerland, Eurasia",4257km,4257,190.13ms,190.13,22.41%,22.41,137.05ms,137.05,349.68ms,349.68,71.74ms,71.74,2018-11-10 12:23:26
"Bogota Colombia, South America",12846km,12846,343.63ms,343.63,37.45%,37.45,291.48ms,291.48,493.48ms,493.48,58.26ms,58.26,2018-11-10 12:23:26
"Boston United States, North America",10215km,10215,314.48ms,314.48,32.53%,32.53,195.31ms,195.31,406.08ms,406.08,58.85ms,58.85,2018-11-10 12:23:26
