City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15336km,15336,342.59ms,342.59,44.84%,44.84,342.42ms,342.42,342.87ms,342.87,0.24ms,0.24,2018-11-10 12:19:58
"Albany United States, North America",6754km,6754,164.22ms,164.22,41.18%,41.18,101.28ms,101.28,249.24ms,249.24,40.16ms,40.16,2018-11-10 12:19:58
"Alblasserdam Netherlands, Eurasia",1257km,1257,34.80ms,34.8,36.97%,36.97,34.44ms,34.44,35.45ms,35.45,0.31ms,0.31,2018-11-10 12:19:58
"Albuquerque United States, North America",9449km,9449,157.64ms,157.64,60.18%,60.18,152.47ms,152.47,208.72ms,208.72,14.62ms,14.62,2018-11-10 12:19:58
"Algiers Algeria, Africa",992km,992,82.08ms,82.08,12.10%,12.1,81.47ms,81.47,83.71ms,83.71,0.57ms,0.57,2018-11-10 12:19:58
"Amsterdam Netherlands, Eurasia",1297km,1297,34.53ms,34.53,38.15%,38.15,34.35ms,34.35,34.77ms,34.77,0.20ms,0.2,2018-11-10 12:19:58
"Anchorage United States, North America",8441km,8441,195.76ms,195.76,43.29%,43.29,195.54ms,195.54,196.53ms,196.53,0.48ms,0.48,2018-11-10 12:19:58
"Ankara Turkey, Eurasia",1721km,1721,62.29ms,62.29,27.76%,27.76,61.58ms,61.58,66.92ms,66.92,1.31ms,1.31,2018-11-10 12:19:58
"Antwerp Belgium, Eurasia",1205km,1205,31.73ms,31.73,38.87%,38.87,31.61ms,31.61,32.03ms,32.03,0.25ms,0.25,2018-11-10 12:19:58
"Arezzo Italy, Eurasia",182km,182,18.13ms,18.13,10.11%,10.11,17.70ms,17.7,24.45ms,24.45,1.25ms,1.25,2018-11-10 12:19:58
"Asheville United States, North America",7830km,7830,116.51ms,116.51,67.50%,67.5,116.38ms,116.38,116.81ms,116.81,0.31ms,0.31,2018-11-10 12:19:58
"Athens Greece, Eurasia",1050km,1050,63.68ms,63.68,16.67%,16.67,63.48ms,63.48,64.12ms,64.12,0.19ms,0.19,2018-11-10 12:19:58
"Atlanta United States, North America",8090km,8090,129.04ms,129.04,62.71%,62.71,128.89ms,128.89,129.85ms,129.85,0.22ms,0.22,2018-11-10 12:19:58
"Auckland New Zealand, Oceania",18396km,18396,287.82ms,287.82,64.10%,64.1,287.69ms,287.69,288.12ms,288.12,0.35ms,0.35,2018-11-10 12:19:58
"Austin United States, North America",9282km,9282,152.87ms,152.87,61.07%,61.07,142.23ms,142.23,182.36ms,182.36,11.93ms,11.93,2018-11-10 12:19:58
"Baltimore United States, North America",7165km,7165,105.93ms,105.93,68.24%,68.24,105.53ms,105.53,108.93ms,108.93,0.70ms,0.7,2018-11-10 12:19:58
"Bangalore India, Eurasia",6997km,6997,179.96ms,179.96,39.09%,39.09,179.86ms,179.86,180.27ms,180.27,0.41ms,0.41,2018-11-10 12:19:58
"Bangkok Thailand, Eurasia",8829km,8829,188.50ms,188.5,46.96%,46.96,184.46ms,184.46,220.00ms,220.0,7.70ms,7.7,2018-11-10 12:19:58
"Barcelona Spain, Eurasia",860km,860,46.40ms,46.4,18.70%,18.7,46.21ms,46.21,46.73ms,46.73,0.29ms,0.29,2018-11-10 12:19:58
