City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13171km,13171,180.96ms,180.96,73.17%,73.17,180.70ms,180.7,181.77ms,181.77,0.52ms,0.52,2018-11-10 12:19:35
"Albany United States, North America",3975km,3975,141.22ms,141.22,28.19%,28.19,79.80ms,79.8,202.07ms,202.07,38.94ms,38.94,2018-11-10 12:19:35
"Alblasserdam Netherlands, Eurasia",8323km,8323,151.12ms,151.12,55.12%,55.12,150.90ms,150.9,151.88ms,151.88,0.25ms,0.25,2018-11-10 12:19:35
"Albuquerque United States, North America",1697km,1697,57.21ms,57.21,29.77%,29.77,51.21ms,51.21,102.09ms,102.09,12.31ms,12.31,2018-11-10 12:19:35
"Algiers Algeria, Africa",9607km,9607,181.00ms,181.0,53.37%,53.37,180.12ms,180.12,181.72ms,181.72,0.49ms,0.49,2018-11-10 12:19:35
"Amsterdam Netherlands, Eurasia",8287km,8287,171.72ms,171.72,48.46%,48.46,171.07ms,171.07,174.70ms,174.7,0.91ms,0.91,2018-11-10 12:19:35
"Anchorage United States, North America",2661km,2661,39.09ms,39.09,68.23%,68.23,38.79ms,38.79,40.13ms,40.13,0.26ms,0.26,2018-11-10 12:19:35
"Ankara Turkey, Eurasia",10468km,10468,206.10ms,206.1,50.82%,50.82,205.83ms,205.83,206.71ms,206.71,0.54ms,0.54,2018-11-10 12:19:35
"Antwerp Belgium, Eurasia",8371km,8371,144.39ms,144.39,58.13%,58.13,144.24ms,144.24,144.68ms,144.68,0.22ms,0.22,2018-11-10 12:19:35
"Arezzo Italy, Eurasia",9399km,9399,180.65ms,180.65,52.22%,52.22,180.44ms,180.44,181.03ms,181.03,0.20ms,0.2,2018-11-10 12:19:35
"Asheville United States, North America",3569km,3569,89.96ms,89.96,40.10%,40.1,89.88ms,89.88,90.15ms,90.15,0.17ms,0.17,2018-11-10 12:19:35
"Athens Greece, Eurasia",10399km,10399,227.06ms,227.06,45.81%,45.81,226.74ms,226.74,228.69ms,228.69,0.72ms,0.72,2018-11-10 12:19:35
"Atlanta United States, North America",3516km,3516,89.01ms,89.01,39.51%,39.51,88.40ms,88.4,92.38ms,92.38,0.94ms,0.94,2018-11-10 12:19:35
"Auckland New Zealand, Oceania",10879km,10879,261.30ms,261.3,41.68%,41.68,261.04ms,261.04,261.92ms,261.92,0.48ms,0.48,2018-11-10 12:19:35
"Austin United States, North America",2683km,2683,65.67ms,65.67,41.28%,41.28,54.81ms,54.81,88.16ms,88.16,9.37ms,9.37,2018-11-10 12:19:35
"Baltimore United States, North America",3881km,3881,87.32ms,87.32,44.61%,44.61,86.92ms,86.92,88.46ms,88.46,0.38ms,0.38,2018-11-10 12:19:35
"Bangalore India, Eurasia",13417km,13417,227.68ms,227.68,59.11%,59.11,227.55ms,227.55,227.88ms,227.88,0.62ms,0.62,2018-11-10 12:19:35
"Bangkok Thailand, Eurasia",12274km,12274,259.96ms,259.96,47.39%,47.39,254.16ms,254.16,329.15ms,329.15,15.08ms,15.08,2018-11-10 12:19:35
"Barcelona Spain, Eurasia",9147km,9147,211.18ms,211.18,43.35%,43.35,210.83ms,210.83,213.56ms,213.56,0.51ms,0.51,2018-11-10 12:19:35
