City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13964km,13964,221.12ms,221.12,63.19%,63.19,220.91ms,220.91,221.56ms,221.56,0.37ms,0.37,2018-11-10 12:19:21
"Albany United States, North America",3144km,3144,114.98ms,114.98,27.58%,27.58,54.03ms,54.03,192.91ms,192.91,40.75ms,40.75,2018-11-10 12:19:21
"Alblasserdam Netherlands, Eurasia",8038km,8038,126.60ms,126.6,63.79%,63.79,126.40ms,126.4,127.00ms,127.0,0.35ms,0.35,2018-11-10 12:19:21
"Albuquerque United States, North America",779km,779,27.71ms,27.71,28.85%,28.85,21.65ms,21.65,70.83ms,70.83,13.85ms,13.85,2018-11-10 12:19:21
"Algiers Algeria, Africa",9149km,9149,162.67ms,162.67,56.48%,56.48,162.18ms,162.18,164.23ms,164.23,0.51ms,0.51,2018-11-10 12:19:22
"Amsterdam Netherlands, Eurasia",8007km,8007,135.65ms,135.65,59.31%,59.31,135.48ms,135.48,135.94ms,135.94,0.24ms,0.24,2018-11-10 12:19:22
"Anchorage United States, North America",3419km,3419,72.17ms,72.17,47.49%,47.49,71.97ms,71.97,72.55ms,72.55,0.19ms,0.19,2018-11-10 12:19:22
"Ankara Turkey, Eurasia",10363km,10363,180.02ms,180.02,57.57%,57.57,179.22ms,179.22,196.49ms,196.49,3.10ms,3.1,2018-11-10 12:19:22
"Antwerp Belgium, Eurasia",8077km,8077,142.51ms,142.51,56.88%,56.88,142.41ms,142.41,142.64ms,142.64,0.45ms,0.45,2018-11-10 12:19:22
"Arezzo Italy, Eurasia",9091km,9091,157.56ms,157.56,57.90%,57.9,157.41ms,157.41,157.75ms,157.75,0.32ms,0.32,2018-11-10 12:19:22
"Asheville United States, North America",2614km,2614,78.52ms,78.52,33.51%,33.51,78.42ms,78.42,78.66ms,78.66,0.30ms,0.3,2018-11-10 12:19:22
"Athens Greece, Eurasia",10170km,10170,184.68ms,184.68,55.27%,55.27,184.44ms,184.44,185.19ms,185.19,0.31ms,0.31,2018-11-10 12:19:22
"Atlanta United States, North America",2543km,2543,55.60ms,55.6,46.24%,46.24,55.42ms,55.42,56.35ms,56.35,0.35ms,0.35,2018-11-10 12:19:22
"Auckland New Zealand, Oceania",11410km,11410,187.68ms,187.68,61.02%,61.02,187.55ms,187.55,188.53ms,188.53,0.56ms,0.56,2018-11-10 12:19:22
"Austin United States, North America",1728km,1728,53.55ms,53.55,32.60%,32.6,42.16ms,42.16,88.62ms,88.62,9.97ms,9.97,2018-11-10 12:19:22
"Baltimore United States, North America",2988km,2988,73.62ms,73.62,40.93%,40.93,72.92ms,72.92,78.97ms,78.97,1.36ms,1.36,2018-11-10 12:19:22
"Bangalore India, Eurasia",13966km,13966,243.27ms,243.27,57.47%,57.47,243.14ms,243.14,243.45ms,243.45,0.51ms,0.51,2018-11-10 12:19:22
"Bangkok Thailand, Eurasia",13102km,13102,256.96ms,256.96,51.18%,51.18,249.90ms,249.9,307.48ms,307.48,12.54ms,12.54,2018-11-10 12:19:22
"Barcelona Spain, Eurasia",8727km,8727,145.84ms,145.84,60.19%,60.19,145.65ms,145.65,146.31ms,146.31,0.21ms,0.21,2018-11-10 12:19:22
