City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13000km,13000,177.38ms,177.38,73.45%,73.45,177.21ms,177.21,178.51ms,178.51,0.48ms,0.48,2018-11-10 12:19:26
"Albany United States, North America",4109km,4109,139.04ms,139.04,29.56%,29.56,79.36ms,79.36,228.98ms,228.98,40.50ms,40.5,2018-11-10 12:19:26
"Alblasserdam Netherlands, Eurasia",8807km,8807,140.71ms,140.71,62.91%,62.91,140.47ms,140.47,140.98ms,140.98,0.48ms,0.48,2018-11-10 12:19:26
"Albuquerque United States, North America",1443km,1443,38.66ms,38.66,37.97%,37.97,35.32ms,35.32,83.40ms,83.4,10.37ms,10.37,2018-11-10 12:19:26
"Algiers Algeria, Africa",10016km,10016,172.92ms,172.92,58.23%,58.23,172.29ms,172.29,175.34ms,175.34,0.59ms,0.59,2018-11-10 12:19:26
"Amsterdam Netherlands, Eurasia",8772km,8772,153.20ms,153.2,57.33%,57.33,153.06ms,153.06,153.92ms,153.92,0.54ms,0.54,2018-11-10 12:19:26
"Anchorage United States, North America",3226km,3226,50.76ms,50.76,64.52%,64.52,50.52ms,50.52,51.56ms,51.56,0.33ms,0.33,2018-11-10 12:19:26
"Ankara Turkey, Eurasia",11017km,11017,208.84ms,208.84,52.97%,52.97,208.27ms,208.27,214.11ms,214.11,1.14ms,1.14,2018-11-10 12:19:26
"Antwerp Belgium, Eurasia",8851km,8851,164.11ms,164.11,53.97%,53.97,164.03ms,164.03,164.45ms,164.45,0.36ms,0.36,2018-11-10 12:19:26
"Arezzo Italy, Eurasia",9877km,9877,164.19ms,164.19,60.23%,60.23,163.92ms,163.92,167.75ms,167.75,0.81ms,0.81,2018-11-10 12:19:26
"Asheville United States, North America",3536km,3536,82.55ms,82.55,43.12%,43.12,82.48ms,82.48,82.72ms,82.72,0.24ms,0.24,2018-11-10 12:19:26
"Athens Greece, Eurasia",10909km,10909,199.34ms,199.34,54.82%,54.82,199.00ms,199.0,204.24ms,204.24,1.07ms,1.07,2018-11-10 12:19:26
"Atlanta United States, North America",3437km,3437,61.36ms,61.36,56.34%,56.34,61.15ms,61.15,62.67ms,62.67,0.45ms,0.45,2018-11-10 12:19:26
"Auckland New Zealand, Oceania",10511km,10511,165.50ms,165.5,63.70%,63.7,165.41ms,165.41,165.67ms,165.67,0.34ms,0.34,2018-11-10 12:19:26
"Austin United States, North America",2414km,2414,56.11ms,56.11,43.11%,43.11,45.04ms,45.04,85.94ms,85.94,11.92ms,11.92,2018-11-10 12:19:26
"Baltimore United States, North America",3945km,3945,72.22ms,72.22,54.79%,54.79,71.94ms,71.94,73.50ms,73.5,0.48ms,0.48,2018-11-10 12:19:26
"Bangalore India, Eurasia",14002km,14002,218.03ms,218.03,64.23%,64.23,217.90ms,217.9,218.32ms,218.32,0.25ms,0.25,2018-11-10 12:19:26
"Bangkok Thailand, Eurasia",12750km,12750,263.75ms,263.75,48.48%,48.48,247.31ms,247.31,348.26ms,348.26,24.53ms,24.53,2018-11-10 12:19:26
"Barcelona Spain, Eurasia",9574km,9574,175.47ms,175.47,54.71%,54.71,175.15ms,175.15,176.35ms,176.35,0.24ms,0.24,2018-11-10 12:19:26
"Basel Switzerland, Eurasia",9313km,9313,168.28ms,168.28,55.43%,55.43,168.16ms,168.16,169.14ms,169.14,0.44ms,0.44,2018-11-10 12:19:26
"Belfast United Kingdom, Eurasia",8101km,8101,152.72ms,152.72,53.30%,53.3,152.62ms,152.62,152.92ms,152.92,0.19ms,0.19,2018-11-10 12:19:26
"Bergen Norway, Eurasia",8113km,8113,181.25ms,181.25,44.82%,44.82,181.03ms,181.03,182.64ms,182.64,0.56ms,0.56,2018-11-10 12:19:26
