City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",8680km,8680,150.81ms,150.81,57.87%,57.87,150.53ms,150.53,152.71ms,152.71,0.56ms,0.56,2018-11-10 12:21:06
"Albany United States, North America",9853km,9853,244.18ms,244.18,40.38%,40.38,181.06ms,181.06,327.74ms,327.74,39.47ms,39.47,2018-11-10 12:21:06
"Alblasserdam Netherlands, Eurasia",8669km,8669,247.28ms,247.28,35.10%,35.1,247.00ms,247.0,249.55ms,249.55,0.67ms,0.67,2018-11-10 12:21:06
"Albuquerque United States, North America",8931km,8931,157.40ms,157.4,56.89%,56.89,155.28ms,155.28,175.00ms,175.0,4.84ms,4.84,2018-11-10 12:21:06
"Algiers Algeria, Africa",10191km,10191,313.67ms,313.67,32.56%,32.56,312.93ms,312.93,314.78ms,314.78,0.56ms,0.56,2018-11-10 12:21:06
"Amsterdam Netherlands, Eurasia",8626km,8626,268.91ms,268.91,32.19%,32.19,268.59ms,268.59,269.83ms,269.83,0.39ms,0.39,2018-11-10 12:21:06
"Anchorage United States, North America",4832km,4832,131.72ms,131.72,36.89%,36.89,131.36ms,131.36,133.39ms,133.39,0.53ms,0.53,2018-11-10 12:21:06
"Ankara Turkey, Eurasia",8329km,8329,323.14ms,323.14,25.79%,25.79,322.84ms,322.84,324.11ms,324.11,0.62ms,0.62,2018-11-10 12:21:06
"Antwerp Belgium, Eurasia",8740km,8740,260.78ms,260.78,33.62%,33.62,260.44ms,260.44,263.37ms,263.37,0.83ms,0.83,2018-11-10 12:21:06
"Arezzo Italy, Eurasia",9162km,9162,275.65ms,275.65,33.32%,33.32,275.17ms,275.17,277.60ms,277.6,0.89ms,0.89,2018-11-10 12:21:06
"Asheville United States, North America",10204km,10204,179.03ms,179.03,57.01%,57.01,178.75ms,178.75,182.23ms,182.23,0.60ms,0.6,2018-11-10 12:21:06
"Athens Greece, Eurasia",9031km,9031,324.29ms,324.29,27.87%,27.87,323.75ms,323.75,327.93ms,327.93,1.05ms,1.05,2018-11-10 12:21:06
"Atlanta United States, North America",10294km,10294,159.74ms,159.74,64.74%,64.74,159.52ms,159.52,160.55ms,160.55,0.54ms,0.54,2018-11-10 12:21:06
"Auckland New Zealand, Oceania",9508km,9508,225.46ms,225.46,42.26%,42.26,225.26ms,225.26,225.73ms,225.73,0.58ms,0.58,2018-11-10 12:21:06
"Austin United States, North America",9883km,9883,166.71ms,166.71,59.54%,59.54,154.64ms,154.64,211.33ms,211.33,13.58ms,13.58,2018-11-10 12:21:06
"Baltimore United States, North America",10096km,10096,175.16ms,175.16,57.69%,57.69,174.44ms,174.44,181.07ms,181.07,1.51ms,1.51,2018-11-10 12:21:06
"Bangalore India, Eurasia",6905km,6905,121.02ms,121.02,57.07%,57.07,120.83ms,120.83,121.64ms,121.64,0.41ms,0.41,2018-11-10 12:21:06
"Bangkok Thailand, Eurasia",5078km,5078,121.33ms,121.33,41.97%,41.97,115.89ms,115.89,186.20ms,186.2,14.01ms,14.01,2018-11-10 12:21:06
"Barcelona Spain, Eurasia",9776km,9776,301.20ms,301.2,32.48%,32.48,300.91ms,300.91,302.52ms,302.52,0.73ms,0.73,2018-11-10 12:21:06
"Basel Switzerland, Eurasia",8967km,8967,247.39ms,247.39,36.30%,36.3,246.84ms,246.84,256.34ms,256.34,1.76ms,1.76,2018-11-10 12:21:06
"Belfast United Kingdom, Eurasia",8723km,8723,256.84ms,256.84,34.07%,34.07,256.58ms,256.58,257.25ms,257.25,0.66ms,0.66,2018-11-10 12:21:06
"Bergen Norway, Eurasia",7841km,7841,288.46ms,288.46,27.23%,27.23,287.94ms,287.94,291.28ms,291.28,0.80ms,0.8,2018-11-10 12:21:06
"Berkeley Springs United States, North America",9998km,9998,190.80ms,190.8,52.62%,52.62,190.46ms,190.46,193.41ms,193.41,0.76ms,0.76,2018-11-10 12:21:06
"Bern Switzerland, Eurasia",9030km,9030,232.72ms,232.72,38.92%,38.92,232.40ms,232.4,233.95ms,233.95,0.67ms,0.67,2018-11-10 12:21:06
"Bogota Colombia, South America",13635km,13635,257.75ms,257.75,53.05%,53.05,257.14ms,257.14,266.29ms,266.29,1.67ms,1.67,2018-11-10 12:21:06
"Boston United States, North America",9982km,9982,188.26ms,188.26,53.10%,53.1,187.96ms,187.96,188.93ms,188.93,0.22ms,0.22,2018-11-10 12:21:06
"Brasilia Brazil, South America",16863km,16863,296.29ms,296.29,56.97%,56.97,295.20ms,295.2,303.45ms,303.45,1.69ms,1.69,2018-11-10 12:21:06
"Bratislava Slovakia, Eurasia",8503km,8503,286.39ms,286.39,29.73%,29.73,286.22ms,286.22,286.65ms,286.65,0.68ms,0.68,2018-11-10 12:21:06
"Brisbane Australia, Oceania",7935km,7935,143.78ms,143.78,55.49%,55.49,143.54ms,143.54,143.92ms,143.92,0.24ms,0.24,2018-11-10 12:21:06
"Bristol United Kingdom, Eurasia",8947km,8947,253.41ms,253.41,35.36%,35.36,253.11ms,253.11,254.34ms,254.34,0.59ms,0.59,2018-11-10 12:21:06
"Brno Czech Republic, Eurasia",8433km,8433,261.04ms,261.04,32.31%,32.31,260.23ms,260.23,267.47ms,267.47,1.44ms,1.44,2018-11-10 12:21:06
"Bruges Belgium, Eurasia",8781km,8781,245.79ms,245.79,35.84%,35.84,245.38ms,245.38,247.74ms,247.74,0.70ms,0.7,2018-11-10 12:21:06
"Brunswick United States, North America",9857km,9857,179.76ms,179.76,55.07%,55.07,179.59ms,179.59,179.95ms,179.95,0.57ms,0.57,2018-11-10 12:21:06
"Brussels Belgium, Eurasia",8777km,8777,243.66ms,243.66,36.12%,36.12,243.12ms,243.12,254.31ms,254.31,2.06ms,2.06,2018-11-10 12:21:06
"Bucharest Romania, Eurasia",8365km,8365,320.73ms,320.73,26.14%,26.14,320.46ms,320.46,321.37ms,321.37,0.75ms,0.75,2018-11-10 12:21:06
"Budapest Hungary, Eurasia",8467km,8467,285.05ms,285.05,29.71%,29.71,283.97ms,283.97,295.06ms,295.06,2.01ms,2.01,2018-11-10 12:21:06
"Buenos Aires Argentina, South America",18076km,18076,336.37ms,336.37,53.80%,53.8,329.78ms,329.78,371.33ms,371.33,9.28ms,9.28,2018-11-10 12:21:06
"Buffalo United States, North America",9653km,9653,196.78ms,196.78,49.25%,49.25,193.66ms,193.66,213.99ms,213.99,5.00ms,5.0,2018-11-10 12:21:06
"Bursa Turkey, Eurasia",8539km,8539,321.36ms,321.36,26.60%,26.6,321.01ms,321.01,323.64ms,323.64,0.58ms,0.58,2018-11-10 12:21:06
"Cairo Egypt, Africa",9215km,9215,343.16ms,343.16,26.87%,26.87,332.34ms,332.34,374.33ms,374.33,10.08ms,10.08,2018-11-10 12:21:06
"Calgary Canada, North America",7280km,7280,143.37ms,143.37,50.91%,50.91,142.38ms,142.38,152.72ms,152.72,1.92ms,1.92,2018-11-10 12:21:06
"Canberra Australia, Oceania",8752km,8752,234.19ms,234.19,37.40%,37.4,233.77ms,233.77,235.41ms,235.41,0.78ms,0.78,2018-11-10 12:21:06
"Cape Town South Africa, Africa",15049km,15049,375.44ms,375.44,40.13%,40.13,375.12ms,375.12,376.63ms,376.63,0.26ms,0.26,2018-11-10 12:21:06
"Caracas Venezuela, South America",13410km,13410,228.30ms,228.3,58.82%,58.82,227.28ms,227.28,238.01ms,238.01,2.08ms,2.08,2018-11-10 12:21:06
"Cardiff United Kingdom, Eurasia",8962km,8962,262.94ms,262.94,34.21%,34.21,262.61ms,262.61,264.09ms,264.09,0.64ms,0.64,2018-11-10 12:21:06
"Carlow Ireland, Eurasia",8929km,8929,255.10ms,255.1,35.02%,35.02,254.85ms,254.85,256.22ms,256.22,0.54ms,0.54,2018-11-10 12:21:06
"Charlotte United States, North America",10318km,10318,175.03ms,175.03,58.96%,58.96,174.71ms,174.71,176.44ms,176.44,0.50ms,0.5,2018-11-10 12:21:06
"Cheltenham United Kingdom, Eurasia",8887km,8887,248.05ms,248.05,35.83%,35.83,247.76ms,247.76,252.47ms,252.47,1.04ms,1.04,2018-11-10 12:21:06
"Chennai India, Eurasia",6683km,6683,132.72ms,132.72,50.63%,50.63,131.87ms,131.87,143.04ms,143.04,2.17ms,2.17,2018-11-10 12:21:06
"Chicago United States, North America",9381km,9381,175.67ms,175.67,53.61%,53.61,175.46ms,175.46,176.92ms,176.92,0.52ms,0.52,2018-11-10 12:21:06
