City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14626km,14626,221.20ms,221.2,66.18%,66.18,220.42ms,220.42,226.04ms,226.04,1.40ms,1.4,2018-11-10 12:19:47
"Albany United States, North America",2658km,2658,106.73ms,106.73,25.08%,25.08,44.99ms,44.99,179.66ms,179.66,40.67ms,40.67,2018-11-10 12:19:47
"Alblasserdam Netherlands, Eurasia",6797km,6797,116.27ms,116.27,58.59%,58.59,115.94ms,115.94,117.89ms,117.89,0.43ms,0.43,2018-11-10 12:19:47
"Albuquerque United States, North America",1893km,1893,56.33ms,56.33,33.80%,33.8,50.52ms,50.52,102.37ms,102.37,12.77ms,12.77,2018-11-10 12:19:47
"Algiers Algeria, Africa",8026km,8026,149.78ms,149.78,53.87%,53.87,148.91ms,148.91,150.66ms,150.66,0.55ms,0.55,2018-11-10 12:19:47
"Amsterdam Netherlands, Eurasia",6763km,6763,143.30ms,143.3,47.29%,47.29,143.08ms,143.08,143.50ms,143.5,0.53ms,0.53,2018-11-10 12:19:47
"Anchorage United States, North America",2765km,2765,68.56ms,68.56,40.66%,40.66,66.68ms,66.68,70.98ms,70.98,1.18ms,1.18,2018-11-10 12:19:47
"Ankara Turkey, Eurasia",9060km,9060,178.26ms,178.26,50.90%,50.9,177.84ms,177.84,184.19ms,184.19,1.25ms,1.25,2018-11-10 12:19:47
"Antwerp Belgium, Eurasia",6840km,6840,151.30ms,151.3,45.30%,45.3,151.19ms,151.19,151.47ms,151.47,0.53ms,0.53,2018-11-10 12:19:47
"Arezzo Italy, Eurasia",7865km,7865,162.97ms,162.97,48.55%,48.55,162.81ms,162.81,163.21ms,163.21,0.20ms,0.2,2018-11-10 12:19:47
"Asheville United States, North America",2645km,2645,49.08ms,49.08,53.98%,53.98,48.91ms,48.91,49.36ms,49.36,0.18ms,0.18,2018-11-10 12:19:47
"Athens Greece, Eurasia",8908km,8908,173.82ms,173.82,51.49%,51.49,173.56ms,173.56,174.99ms,174.99,0.67ms,0.67,2018-11-10 12:19:47
"Atlanta United States, North America",2712km,2712,81.62ms,81.62,33.48%,33.48,81.35ms,81.35,82.73ms,82.73,0.46ms,0.46,2018-11-10 12:19:47
"Auckland New Zealand, Oceania",12467km,12467,232.60ms,232.6,53.74%,53.74,232.31ms,232.31,235.50ms,235.5,0.81ms,0.81,2018-11-10 12:19:47
"Austin United States, North America",2541km,2541,69.63ms,69.63,36.83%,36.83,57.82ms,57.82,118.81ms,118.81,13.05ms,13.05,2018-11-10 12:19:47
"Baltimore United States, North America",2708km,2708,51.67ms,51.67,53.10%,53.1,51.16ms,51.16,55.97ms,55.97,0.97ms,0.97,2018-11-10 12:19:47
