City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16350km,16350,247.56ms,247.56,66.19%,66.19,247.25ms,247.25,249.47ms,249.47,0.47ms,0.47,2018-11-10 12:19:16
"Albany United States, North America",1350km,1350,108.67ms,108.67,12.50%,12.5,49.09ms,49.09,197.26ms,197.26,40.01ms,40.01,2018-11-10 12:19:16
"Alblasserdam Netherlands, Eurasia",6988km,6988,119.81ms,119.81,58.72%,58.72,119.40ms,119.4,123.72ms,123.72,0.88ms,0.88,2018-11-10 12:19:16
"Albuquerque United States, North America",2380km,2380,74.84ms,74.84,32.16%,32.16,70.04ms,70.04,110.33ms,110.33,10.22ms,10.22,2018-11-10 12:19:16
"Algiers Algeria, Africa",7478km,7478,161.65ms,161.65,46.45%,46.45,161.09ms,161.09,162.74ms,162.74,0.60ms,0.6,2018-11-10 12:19:16
"Amsterdam Netherlands, Eurasia",6977km,6977,130.55ms,130.55,53.67%,53.67,130.34ms,130.34,130.82ms,130.82,0.16ms,0.16,2018-11-10 12:19:16
"Anchorage United States, North America",5804km,5804,119.86ms,119.86,48.77%,48.77,119.65ms,119.65,120.18ms,120.18,0.36ms,0.36,2018-11-10 12:19:16
"Ankara Turkey, Eurasia",9518km,9518,165.24ms,165.24,57.68%,57.68,164.45ms,164.45,178.36ms,178.36,2.50ms,2.5,2018-11-10 12:19:16
"Antwerp Belgium, Eurasia",6995km,6995,128.61ms,128.61,54.65%,54.65,128.52ms,128.52,128.76ms,128.76,0.39ms,0.39,2018-11-10 12:19:16
"Arezzo Italy, Eurasia",7842km,7842,143.68ms,143.68,54.84%,54.84,143.57ms,143.57,144.00ms,144.0,0.30ms,0.3,2018-11-10 12:19:16
"Asheville United States, North America",413km,413,44.93ms,44.93,9.39%,9.39,44.80ms,44.8,45.04ms,45.04,0.19ms,0.19,2018-11-10 12:19:16
"Athens Greece, Eurasia",9012km,9012,171.10ms,171.1,52.70%,52.7,170.86ms,170.86,173.18ms,173.18,0.70ms,0.7,2018-11-10 12:19:16
"Atlanta United States, North America",358km,358,29.31ms,29.31,12.34%,12.34,28.84ms,28.84,31.73ms,31.73,0.75ms,0.75,2018-11-10 12:19:16
"Auckland New Zealand, Oceania",13232km,13232,303.86ms,303.86,43.67%,43.67,303.70ms,303.7,304.41ms,304.41,0.47ms,0.47,2018-11-10 12:19:16
"Austin United States, North America",1596km,1596,65.39ms,65.39,24.55%,24.55,52.94ms,52.94,134.68ms,134.68,16.26ms,16.26,2018-11-10 12:19:16
"Baltimore United States, North America",897km,897,42.53ms,42.53,21.36%,21.36,41.92ms,41.92,50.29ms,50.29,1.51ms,1.51,2018-11-10 12:19:16
"Bangalore India, Eurasia",14519km,14519,241.36ms,241.36,60.24%,60.24,241.29ms,241.29,241.51ms,241.51,0.48ms,0.48,2018-11-10 12:19:16
"Bangkok Thailand, Eurasia",14920km,14920,281.60ms,281.6,53.10%,53.1,264.89ms,264.89,434.65ms,434.65,30.96ms,30.96,2018-11-10 12:19:16
"Barcelona Spain, Eurasia",7208km,7208,155.13ms,155.13,46.50%,46.5,154.58ms,154.58,159.94ms,159.94,1.30ms,1.3,2018-11-10 12:19:16
"Basel Switzerland, Eurasia",7352km,7352,139.66ms,139.66,52.89%,52.89,139.51ms,139.51,139.91ms,139.91,0.16ms,0.16,2018-11-10 12:19:16
"Belfast United Kingdom, Eurasia",6233km,6233,138.90ms,138.9,45.17%,45.17,138.76ms,138.76,139.05ms,139.05,0.41ms,0.41,2018-11-10 12:19:17
"Bergen Norway, Eurasia",6763km,6763,160.34ms,160.34,42.27%,42.27,160.18ms,160.18,160.97ms,160.97,0.29ms,0.29,2018-11-10 12:19:17
"Berkeley Springs United States, North America",877km,877,86.35ms,86.35,10.20%,10.2,86.21ms,86.21,86.61ms,86.61,0.38ms,0.38,2018-11-10 12:19:17
"Bern Switzerland, Eurasia",7368km,7368,135.39ms,135.39,54.58%,54.58,135.19ms,135.19,135.52ms,135.52,0.28ms,0.28,2018-11-10 12:19:17
"Bogota Colombia, South America",3143km,3143,103.98ms,103.98,30.51%,30.51,103.35ms,103.35,110.90ms,110.9,1.59ms,1.59,2018-11-10 12:19:17
"Boston United States, North America",1445km,1445,50.74ms,50.74,28.90%,28.9,50.49ms,50.49,51.22ms,51.22,0.20ms,0.2,2018-11-10 12:19:17
"Brasilia Brazil, South America",6394km,6394,158.41ms,158.41,40.47%,40.47,157.77ms,157.77,164.06ms,164.06,1.54ms,1.54,2018-11-10 12:19:17
"Bratislava Slovakia, Eurasia",7968km,7968,148.02ms,148.02,53.84%,53.84,147.87ms,147.87,148.87ms,148.87,0.36ms,0.36,2018-11-10 12:19:17
"Brisbane Australia, Oceania",14823km,14823,305.13ms,305.13,48.60%,48.6,305.00ms,305.0,305.28ms,305.28,0.77ms,0.77,2018-11-10 12:19:17
"Bristol United Kingdom, Eurasia",6521km,6521,115.00ms,115.0,56.70%,56.7,114.80ms,114.8,115.81ms,115.81,0.46ms,0.46,2018-11-10 12:19:17
"Brno Czech Republic, Eurasia",7882km,7882,144.39ms,144.39,54.74%,54.74,144.28ms,144.28,144.55ms,144.55,0.43ms,0.43,2018-11-10 12:19:17
