City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",6897km,6897,302.09ms,302.09,22.84%,22.84,301.20ms,301.2,303.89ms,303.89,0.91ms,0.91,2018-11-07 08:03:49
"Albany United States, North America",12714km,12714,356.64ms,356.64,35.71%,35.71,346.99ms,346.99,366.86ms,366.86,6.00ms,6.0,2018-11-07 08:03:49
"Alblasserdam Netherlands, Eurasia",9294km,9294,284.90ms,284.9,32.73%,32.73,271.00ms,271.0,298.67ms,298.67,6.61ms,6.61,2018-11-07 06:58:27
"Albuquerque United States, North America",12306km,12306,224.32ms,224.32,54.94%,54.94,208.28ms,208.28,242.47ms,242.47,9.11ms,9.11,2018-11-07 06:58:28
"Algiers Algeria, Africa",10238km,10238,381.59ms,381.59,26.87%,26.87,370.52ms,370.52,394.37ms,394.37,6.73ms,6.73,2018-11-07 06:58:28
"Amsterdam Netherlands, Eurasia",9268km,9268,305.84ms,305.84,30.39%,30.39,293.29ms,293.29,318.81ms,318.81,6.73ms,6.73,2018-11-07 06:58:28
"Anchorage United States, North America",8140km,8140,226.43ms,226.43,36.02%,36.02,226.17ms,226.17,228.22ms,228.22,0.77ms,0.77,2018-11-07 06:58:28
"Ankara Turkey, Eurasia",7700km,7700,262.60ms,262.6,29.39%,29.39,262.18ms,262.18,265.48ms,265.48,0.79ms,0.79,2018-11-07 06:58:28
"Arezzo Italy, Eurasia",9229km,9229,213.05ms,213.05,43.33%,43.33,212.61ms,212.61,217.91ms,217.91,1.04ms,1.04,2018-11-06 09:02:13
"Auckland New Zealand, Oceania",9166km,9166,262.30ms,262.3,34.98%,34.98,261.80ms,261.8,265.13ms,265.13,1.04ms,1.04,2018-10-30 09:03:01
"Bogota Colombia, South America",16875km,16875,340.79ms,340.79,49.63%,49.63,323.55ms,323.55,353.32ms,353.32,9.18ms,9.18,2018-11-07 06:58:28
"Boston United States, North America",12782km,12782,305.77ms,305.77,41.91%,41.91,305.38ms,305.38,306.10ms,306.1,0.56ms,0.56,2018-11-07 06:58:28
"Brasilia Brazil, South America",17982km,17982,348.08ms,348.08,51.67%,51.67,343.61ms,343.61,420.75ms,420.75,13.93ms,13.93,2018-11-07 06:58:28
"Bratislava Slovakia, Eurasia",8655km,8655,336.61ms,336.61,25.76%,25.76,334.62ms,334.62,345.32ms,345.32,2.43ms,2.43,2018-11-07 06:58:28
"Brisbane Australia, Oceania",6962km,6962,160.37ms,160.37,43.51%,43.51,159.42ms,159.42,163.15ms,163.15,1.34ms,1.34,2018-11-07 06:58:28
"Bristol United Kingdom, Eurasia",9744km,9744,333.25ms,333.25,29.26%,29.26,321.08ms,321.08,362.44ms,362.44,11.70ms,11.7,2018-11-07 06:58:28
"Brno Czech Republic, Eurasia",8648km,8648,224.21ms,224.21,38.61%,38.61,224.08ms,224.08,224.69ms,224.69,0.58ms,0.58,2018-11-07 06:58:28
"Bruges Belgium, Eurasia",9415km,9415,212.65ms,212.65,44.41%,44.41,203.87ms,203.87,238.82ms,238.82,8.20ms,8.2,2018-11-07 06:58:28
"Bursa Turkey, Eurasia",8009km,8009,261.73ms,261.73,30.69%,30.69,261.40ms,261.4,262.58ms,262.58,0.72ms,0.72,2018-11-09 14:02:58
"Cheltenham United Kingdom, Eurasia",9687km,9687,229.01ms,229.01,42.30%,42.3,215.44ms,215.44,244.19ms,244.19,8.36ms,8.36,2018-11-07 06:58:28
"Columbus United States, North America",12846km,12846,371.30ms,371.3,34.63%,34.63,293.61ms,293.61,434.19ms,434.19,45.71ms,45.71,2018-10-28 05:04:01
"Falkenstein Germany, Eurasia",8879km,8879,221.39ms,221.39,40.18%,40.18,220.18ms,220.18,226.29ms,226.29,1.70ms,1.7,2018-11-07 05:59:16
"Fez Morocco, Africa",11015km,11015,312.43ms,312.43,35.30%,35.3,311.88ms,311.88,313.22ms,313.22,0.46ms,0.46,2018-11-07 05:59:16
"Frankfurt Germany, Eurasia",9133km,9133,328.00ms,328.0,27.93%,27.93,315.50ms,315.5,350.94ms,350.94,9.81ms,9.81,2018-11-07 05:59:16
"Fremont United States, North America",11133km,11133,206.48ms,206.48,54.04%,54.04,167.60ms,167.6,223.68ms,223.68,15.22ms,15.22,2018-11-07 05:59:16
"Frosinone Italy, Eurasia",9179km,9179,348.04ms,348.04,26.38%,26.38,321.41ms,321.41,365.32ms,365.32,12.80ms,12.8,2018-11-07 05:59:16
"Gdansk Poland, Eurasia",8329km,8329,237.70ms,237.7,35.14%,35.14,233.61ms,233.61,257.76ms,257.76,5.96ms,5.96,2018-11-07 05:59:16
"Geneva Switzerland, Eurasia",9502km,9502,261.90ms,261.9,36.41%,36.41,240.22ms,240.22,349.82ms,349.82,19.12ms,19.12,2018-11-07 05:59:16
"Honolulu United States, North America",8938km,8938,246.28ms,246.28,36.33%,36.33,229.73ms,229.73,256.20ms,256.2,8.94ms,8.94,2018-10-31 17:04:39
"Izmir Turkey, Eurasia",8220km,8220,444.34ms,444.34,18.51%,18.51,429.60ms,429.6,452.60ms,452.6,6.75ms,6.75,2018-11-07 18:03:50
"Lisbon Portugal, Eurasia",11004km,11004,406.69ms,406.69,27.10%,27.1,395.75ms,395.75,417.95ms,417.95,6.17ms,6.17,2018-11-04 14:02:22
"Los Angeles United States, North America",11642km,11642,191.14ms,191.14,60.95%,60.95,181.35ms,181.35,193.87ms,193.87,2.61ms,2.61,2018-11-07 04:58:39
"Louisville United States, North America",12949km,12949,221.83ms,221.83,58.59%,58.59,214.46ms,214.46,254.05ms,254.05,9.91ms,9.91,2018-11-07 04:58:39
"Lugano Switzerland, Eurasia",9317km,9317,372.99ms,372.99,25.05%,25.05,364.10ms,364.1,385.69ms,385.69,6.01ms,6.01,2018-11-07 04:58:39
"Luxembourg Luxembourg, Eurasia",9319km,9319,265.94ms,265.94,35.17%,35.17,253.79ms,253.79,350.75ms,350.75,27.81ms,27.81,2018-11-07 04:58:39
"Lyon France, Eurasia",9616km,9616,235.36ms,235.36,40.92%,40.92,232.70ms,232.7,245.20ms,245.2,3.10ms,3.1,2018-11-07 04:00:00
"Madrid Spain, Eurasia",10513km,10513,231.29ms,231.29,45.51%,45.51,231.18ms,231.18,231.94ms,231.94,0.36ms,0.36,2018-11-07 04:58:39
"Maidstone United Kingdom, Eurasia",9574km,9574,268.22ms,268.22,35.72%,35.72,268.03ms,268.03,268.47ms,268.47,0.61ms,0.61,2018-11-07 04:58:39
"Malaysia Malaysia, Eurasia",2537km,2537,137.41ms,137.41,18.52%,18.52,102.59ms,102.59,193.62ms,193.62,23.03ms,23.03,2018-11-07 04:58:39
"Marseille France, Eurasia",9707km,9707,426.56ms,426.56,22.79%,22.79,393.94ms,393.94,445.84ms,445.84,13.12ms,13.12,2018-10-31 18:03:49
"Medellin Colombia, South America",16651km,16651,367.10ms,367.1,45.37%,45.37,345.45ms,345.45,384.67ms,384.67,12.45ms,12.45,2018-11-06 09:02:13
"Milwaukee United States, North America",12387km,12387,323.61ms,323.61,38.35%,38.35,283.21ms,283.21,357.80ms,357.8,20.10ms,20.1,2018-11-07 06:58:28
"Minneapolis United States, North America",11926km,11926,371.79ms,371.79,32.15%,32.15,304.32ms,304.32,402.17ms,402.17,21.57ms,21.57,2018-11-07 06:58:28
"Montevideo Uruguay, South America",18352km,18352,464.39ms,464.39,39.55%,39.55,434.96ms,434.96,482.26ms,482.26,13.87ms,13.87,2018-11-07 06:58:28
"Monticello United States, North America",12362km,12362,276.91ms,276.91,44.79%,44.79,250.52ms,250.52,288.80ms,288.8,9.34ms,9.34,2018-11-07 06:58:28
"Montreal Canada, North America",12412km,12412,298.82ms,298.82,41.65%,41.65,272.21ms,272.21,319.82ms,319.82,13.91ms,13.91,2018-11-07 05:59:16
"Moscow Russia, Eurasia",7115km,7115,129.41ms,129.41,55.16%,55.16,128.74ms,128.74,130.80ms,130.8,0.60ms,0.6,2018-11-07 06:58:28
"Munich Germany, Eurasia",9036km,9036,212.60ms,212.6,42.62%,42.62,209.09ms,209.09,232.60ms,232.6,4.56ms,4.56,2018-11-07 06:58:28
