City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14308km,14308,337.82ms,337.82,42.46%,42.46,337.41ms,337.41,339.32ms,339.32,0.64ms,0.64,2018-11-10 12:20:14
"Albany United States, North America",6686km,6686,171.13ms,171.13,39.10%,39.1,110.34ms,110.34,244.18ms,244.18,37.42ms,37.42,2018-11-10 12:20:14
"Alblasserdam Netherlands, Eurasia",1817km,1817,52.02ms,52.02,34.94%,34.94,51.28ms,51.28,54.70ms,54.7,0.80ms,0.8,2018-11-10 12:20:14
"Albuquerque United States, North America",8735km,8735,169.54ms,169.54,51.69%,51.69,164.16ms,164.16,210.41ms,210.41,13.00ms,13.0,2018-11-10 12:20:14
"Algiers Algeria, Africa",3225km,3225,92.89ms,92.89,35.05%,35.05,92.18ms,92.18,94.87ms,94.87,0.64ms,0.64,2018-11-10 12:20:14
"Amsterdam Netherlands, Eurasia",1784km,1784,41.91ms,41.91,43.51%,43.51,41.40ms,41.4,45.22ms,45.22,0.77ms,0.77,2018-11-10 12:20:14
"Anchorage United States, North America",6543km,6543,197.29ms,197.29,33.21%,33.21,196.87ms,196.87,199.15ms,199.15,0.60ms,0.6,2018-11-10 12:20:14
"Ankara Turkey, Eurasia",2233km,2233,78.97ms,78.97,28.63%,28.63,78.40ms,78.4,81.63ms,81.63,0.83ms,0.83,2018-11-10 12:20:14
"Antwerp Belgium, Eurasia",1877km,1877,40.98ms,40.98,46.92%,46.92,40.74ms,40.74,42.28ms,42.28,0.33ms,0.33,2018-11-10 12:20:14
"Arezzo Italy, Eurasia",2213km,2213,55.81ms,55.81,40.24%,40.24,55.46ms,55.46,58.85ms,58.85,0.82ms,0.82,2018-11-10 12:20:14
"Asheville United States, North America",7760km,7760,134.51ms,134.51,57.91%,57.91,134.29ms,134.29,136.67ms,136.67,0.56ms,0.56,2018-11-10 12:20:14
"Athens Greece, Eurasia",2489km,2489,71.58ms,71.58,35.06%,35.06,71.26ms,71.26,73.49ms,73.49,0.60ms,0.6,2018-11-10 12:20:14
"Atlanta United States, North America",8021km,8021,131.63ms,131.63,61.23%,61.23,131.39ms,131.39,132.57ms,132.57,0.54ms,0.54,2018-11-10 12:20:14
"Auckland New Zealand, Oceania",16425km,16425,338.14ms,338.14,48.59%,48.59,337.92ms,337.92,339.18ms,339.18,0.47ms,0.47,2018-11-10 12:20:14
"Austin United States, North America",8925km,8925,163.60ms,163.6,54.75%,54.75,151.16ms,151.16,190.68ms,190.68,9.73ms,9.73,2018-11-10 12:20:14
"Baltimore United States, North America",7140km,7140,120.49ms,120.49,59.50%,59.5,120.08ms,120.08,121.89ms,121.89,0.51ms,0.51,2018-11-10 12:20:14
"Bangalore India, Eurasia",6486km,6486,164.56ms,164.56,39.55%,39.55,164.28ms,164.28,166.25ms,166.25,0.48ms,0.48,2018-11-10 12:20:14
"Bangkok Thailand, Eurasia",7590km,7590,190.07ms,190.07,39.95%,39.95,182.23ms,182.23,292.66ms,292.66,20.61ms,20.61,2018-11-10 12:20:14
"Barcelona Spain, Eurasia",2821km,2821,66.17ms,66.17,42.74%,42.74,65.54ms,65.54,68.75ms,68.75,0.88ms,0.88,2018-11-10 12:20:14
"Basel Switzerland, Eurasia",2013km,2013,43.08ms,43.08,46.81%,46.81,42.84ms,42.84,46.15ms,46.15,0.64ms,0.64,2018-11-10 12:20:14
"Belfast United Kingdom, Eurasia",2227km,2227,51.01ms,51.01,43.67%,43.67,50.47ms,50.47,56.89ms,56.89,1.15ms,1.15,2018-11-10 12:20:14
"Bergen Norway, Eurasia",1373km,1373,32.87ms,32.87,42.91%,42.91,32.40ms,32.4,35.24ms,35.24,0.76ms,0.76,2018-11-10 12:20:14
"Berkeley Springs United States, North America",7181km,7181,123.13ms,123.13,58.38%,58.38,122.83ms,122.83,124.12ms,124.12,0.56ms,0.56,2018-11-10 12:20:14
"Bern Switzerland, Eurasia",2073km,2073,57.05ms,57.05,36.37%,36.37,56.69ms,56.69,57.88ms,57.88,0.45ms,0.45,2018-11-10 12:20:14
"Bogota Colombia, South America",10358km,10358,216.97ms,216.97,47.95%,47.95,216.19ms,216.19,222.29ms,222.29,1.55ms,1.55,2018-11-10 12:20:15
"Boston United States, North America",6597km,6597,107.33ms,107.33,61.65%,61.65,106.97ms,106.97,109.47ms,109.47,0.64ms,0.64,2018-11-10 12:20:15
"Brasilia Brazil, South America",10885km,10885,250.50ms,250.5,43.54%,43.54,249.47ms,249.47,258.88ms,258.88,1.85ms,1.85,2018-11-10 12:20:15
"Bratislava Slovakia, Eurasia",1564km,1564,48.23ms,48.23,32.58%,32.58,47.65ms,47.65,52.45ms,52.45,1.08ms,1.08,2018-11-10 12:20:15
"Brisbane Australia, Oceania",14432km,14432,269.41ms,269.41,53.65%,53.65,269.11ms,269.11,271.91ms,271.91,0.84ms,0.84,2018-11-10 12:20:15
"Bristol United Kingdom, Eurasia",2237km,2237,43.44ms,43.44,52.02%,52.02,43.00ms,43.0,45.26ms,45.26,0.55ms,0.55,2018-11-10 12:20:15
"Brno Czech Republic, Eurasia",1479km,1479,39.22ms,39.22,37.92%,37.92,38.93ms,38.93,40.63ms,40.63,0.46ms,0.46,2018-11-10 12:20:15
"Bruges Belgium, Eurasia",1939km,1939,45.93ms,45.93,43.09%,43.09,45.49ms,45.49,49.41ms,49.41,0.78ms,0.78,2018-11-10 12:20:15
"Brunswick United States, North America",6405km,6405,114.84ms,114.84,56.18%,56.18,114.50ms,114.5,118.78ms,118.78,0.79ms,0.79,2018-11-10 12:20:15
"Brussels Belgium, Eurasia",1907km,1907,42.20ms,42.2,45.40%,45.4,41.93ms,41.93,43.92ms,43.92,0.43ms,0.43,2018-11-10 12:20:15
