City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",17141km,17141,234.40ms,234.4,73.25%,73.25,234.06ms,234.06,238.59ms,238.59,0.90ms,0.9,2018-11-10 12:18:20
"Albany United States, North America",189km,189,60.24ms,60.24,3.15%,3.15,5.16ms,5.16,128.14ms,128.14,38.93ms,38.93,2018-11-10 12:18:20
"Alblasserdam Netherlands, Eurasia",5814km,5814,74.19ms,74.19,78.57%,78.57,73.92ms,73.92,76.37ms,76.37,0.51ms,0.51,2018-11-10 12:18:20
"Albuquerque United States, North America",2951km,2951,61.41ms,61.41,48.38%,48.38,56.35ms,56.35,105.57ms,105.57,12.00ms,12.0,2018-11-10 12:18:20
"Algiers Algeria, Africa",6427km,6427,106.85ms,106.85,60.63%,60.63,106.36ms,106.36,107.23ms,107.23,0.36ms,0.36,2018-11-10 12:18:20
"Amsterdam Netherlands, Eurasia",5800km,5800,76.12ms,76.12,76.32%,76.32,75.90ms,75.9,76.39ms,76.39,0.35ms,0.35,2018-11-10 12:18:20
"Anchorage United States, North America",5406km,5406,101.81ms,101.81,53.52%,53.52,101.54ms,101.54,102.18ms,102.18,0.37ms,0.37,2018-11-10 12:18:20
"Ankara Turkey, Eurasia",8345km,8345,133.82ms,133.82,62.74%,62.74,133.25ms,133.25,142.66ms,142.66,1.69ms,1.69,2018-11-10 12:18:20
"Antwerp Belgium, Eurasia",5824km,5824,82.29ms,82.29,71.02%,71.02,82.21ms,82.21,82.34ms,82.34,0.32ms,0.32,2018-11-10 12:18:20
"Arezzo Italy, Eurasia",6705km,6705,102.47ms,102.47,65.74%,65.74,102.33ms,102.33,103.84ms,103.84,0.33ms,0.33,2018-11-10 12:18:20
"Asheville United States, North America",992km,992,22.48ms,22.48,45.09%,45.09,22.36ms,22.36,22.58ms,22.58,0.07ms,0.07,2018-11-10 12:18:20
"Athens Greece, Eurasia",7874km,7874,124.38ms,124.38,63.50%,63.5,124.11ms,124.11,125.86ms,125.86,0.51ms,0.51,2018-11-10 12:18:20
"Atlanta United States, North America",1254km,1254,19.57ms,19.57,66.00%,66.0,19.26ms,19.26,20.75ms,20.75,0.35ms,0.35,2018-11-10 12:18:20
"Auckland New Zealand, Oceania",14248km,14248,226.63ms,226.63,63.04%,63.04,226.49ms,226.49,226.76ms,226.76,0.52ms,0.52,2018-11-10 12:18:20
"Austin United States, North America",2484km,2484,46.30ms,46.3,54.00%,54.0,37.19ms,37.19,79.22ms,79.22,10.22ms,10.22,2018-11-10 12:18:20
"Baltimore United States, North America",327km,327,10.40ms,10.4,32.70%,32.7,9.83ms,9.83,14.38ms,14.38,0.88ms,0.88,2018-11-10 12:18:20
"Bangalore India, Eurasia",13318km,13318,251.24ms,251.24,53.06%,53.06,251.13ms,251.13,251.36ms,251.36,0.67ms,0.67,2018-11-10 12:18:20
"Bangkok Thailand, Eurasia",13894km,13894,257.07ms,257.07,54.06%,54.06,246.91ms,246.91,298.39ms,298.39,16.02ms,16.02,2018-11-10 12:18:20
"Barcelona Spain, Eurasia",6115km,6115,93.93ms,93.93,65.75%,65.75,93.60ms,93.6,94.24ms,94.24,0.25ms,0.25,2018-11-10 12:18:20
"Basel Switzerland, Eurasia",6198km,6198,93.85ms,93.85,66.65%,66.65,93.67ms,93.67,93.96ms,93.96,0.33ms,0.33,2018-11-10 12:18:20
"Belfast United Kingdom, Eurasia",5053km,5053,84.45ms,84.45,60.15%,60.15,84.37ms,84.37,84.55ms,84.55,0.32ms,0.32,2018-11-10 12:18:20
"Bergen Norway, Eurasia",5560km,5560,111.64ms,111.64,50.09%,50.09,110.86ms,110.86,119.13ms,119.13,1.75ms,1.75,2018-11-10 12:18:20
"Berkeley Springs United States, North America",427km,427,22.63ms,22.63,19.41%,19.41,22.44ms,22.44,22.91ms,22.91,0.23ms,0.23,2018-11-10 12:18:20
"Bern Switzerland, Eurasia",6218km,6218,103.98ms,103.98,60.37%,60.37,103.75ms,103.75,104.13ms,104.13,0.41ms,0.41,2018-11-10 12:18:20
"Bogota Colombia, South America",4055km,4055,95.48ms,95.48,42.68%,42.68,95.21ms,95.21,99.03ms,99.03,0.76ms,0.76,2018-11-10 12:18:20
"Boston United States, North America",251km,251,5.76ms,5.76,50.20%,50.2,5.32ms,5.32,8.43ms,8.43,0.52ms,0.52,2018-11-10 12:18:20
