City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16910km,16910,268.05ms,268.05,63.10%,63.1,267.78ms,267.78,270.58ms,270.58,0.81ms,0.81,2018-11-10 12:18:34
"Albany United States, North America",197km,197,68.67ms,68.67,2.90%,2.9,4.12ms,4.12,154.41ms,154.41,44.40ms,44.4,2018-11-10 12:18:34
"Alblasserdam Netherlands, Eurasia",5836km,5836,76.49ms,76.49,76.79%,76.79,76.20ms,76.2,78.17ms,78.17,0.56ms,0.56,2018-11-10 12:18:34
"Albuquerque United States, North America",2756km,2756,68.56ms,68.56,40.53%,40.53,62.94ms,62.94,113.46ms,113.46,11.73ms,11.73,2018-11-10 12:18:34
"Algiers Algeria, Africa",6539km,6539,108.86ms,108.86,60.55%,60.55,108.37ms,108.37,110.50ms,110.5,0.55ms,0.55,2018-11-10 12:18:34
"Amsterdam Netherlands, Eurasia",5819km,5819,89.62ms,89.62,65.38%,65.38,89.38ms,89.38,90.41ms,90.41,0.40ms,0.4,2018-11-10 12:18:34
"Anchorage United States, North America",5098km,5098,108.81ms,108.81,47.20%,47.2,108.62ms,108.62,109.06ms,109.06,0.39ms,0.39,2018-11-10 12:18:34
"Ankara Turkey, Eurasia",8363km,8363,125.94ms,125.94,66.90%,66.9,125.23ms,125.23,140.41ms,140.41,2.72ms,2.72,2018-11-10 12:18:34
"Antwerp Belgium, Eurasia",5851km,5851,84.59ms,84.59,69.65%,69.65,84.42ms,84.42,85.23ms,85.23,0.27ms,0.27,2018-11-10 12:18:34
"Arezzo Italy, Eurasia",6761km,6761,105.95ms,105.95,64.39%,64.39,105.83ms,105.83,106.29ms,106.29,0.44ms,0.44,2018-11-10 12:18:34
"Asheville United States, North America",994km,994,30.68ms,30.68,33.13%,33.13,30.60ms,30.6,31.24ms,31.24,0.27ms,0.27,2018-11-10 12:18:34
"Athens Greece, Eurasia",7926km,7926,126.75ms,126.75,62.90%,62.9,126.42ms,126.42,128.33ms,128.33,0.56ms,0.56,2018-11-10 12:18:34
"Atlanta United States, North America",1257km,1257,24.67ms,24.67,52.38%,52.38,24.21ms,24.21,29.22ms,29.22,0.97ms,0.97,2018-11-10 12:18:34
"Auckland New Zealand, Oceania",14117km,14117,231.64ms,231.64,61.11%,61.11,231.41ms,231.41,232.66ms,232.66,0.48ms,0.48,2018-11-10 12:18:34
"Austin United States, North America",2384km,2384,53.74ms,53.74,44.98%,44.98,41.67ms,41.67,122.46ms,122.46,17.90ms,17.9,2018-11-10 12:18:34
"Baltimore United States, North America",420km,420,16.13ms,16.13,26.25%,26.25,15.89ms,15.89,18.27ms,18.27,0.50ms,0.5,2018-11-10 12:18:34
"Bangalore India, Eurasia",13240km,13240,212.99ms,212.99,62.45%,62.45,212.66ms,212.66,214.36ms,214.36,0.64ms,0.64,2018-11-10 12:18:34
