City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14616km,14616,328.12ms,328.12,44.56%,44.56,327.72ms,327.72,329.01ms,329.01,0.65ms,0.65,2018-11-10 12:20:08
"Albany United States, North America",6456km,6456,167.64ms,167.64,38.66%,38.66,101.86ms,101.86,254.04ms,254.04,38.52ms,38.52,2018-11-10 12:20:08
"Alblasserdam Netherlands, Eurasia",1507km,1507,26.96ms,26.96,57.96%,57.96,26.65ms,26.65,27.51ms,27.51,0.22ms,0.22,2018-11-10 12:20:09
"Albuquerque United States, North America",8594km,8594,157.16ms,157.16,54.74%,54.74,154.53ms,154.53,192.13ms,192.13,7.66ms,7.66,2018-11-10 12:20:09
"Algiers Algeria, Africa",2963km,2963,80.21ms,80.21,37.04%,37.04,79.74ms,79.74,81.24ms,81.24,0.44ms,0.44,2018-11-10 12:20:09
"Amsterdam Netherlands, Eurasia",1473km,1473,38.38ms,38.38,38.76%,38.76,38.17ms,38.17,38.63ms,38.63,0.15ms,0.15,2018-11-10 12:20:09
"Anchorage United States, North America",6593km,6593,188.06ms,188.06,35.07%,35.07,187.80ms,187.8,188.41ms,188.41,0.51ms,0.51,2018-11-10 12:20:09
"Ankara Turkey, Eurasia",2242km,2242,68.36ms,68.36,32.97%,32.97,67.92ms,67.92,71.26ms,71.26,0.69ms,0.69,2018-11-10 12:20:09
"Antwerp Belgium, Eurasia",1568km,1568,56.62ms,56.62,28.00%,28.0,56.47ms,56.47,56.98ms,56.98,0.34ms,0.34,2018-11-10 12:20:09
"Arezzo Italy, Eurasia",1979km,1979,44.03ms,44.03,44.98%,44.98,43.77ms,43.77,44.39ms,44.39,0.32ms,0.32,2018-11-10 12:20:09
"Asheville United States, North America",7538km,7538,125.63ms,125.63,60.30%,60.3,125.45ms,125.45,125.97ms,125.97,0.48ms,0.48,2018-11-10 12:20:09
"Athens Greece, Eurasia",2388km,2388,68.61ms,68.61,35.12%,35.12,68.24ms,68.24,71.31ms,71.31,0.68ms,0.68,2018-11-10 12:20:09
"Atlanta United States, North America",7801km,7801,145.11ms,145.11,53.80%,53.8,144.95ms,144.95,145.51ms,145.51,0.30ms,0.3,2018-11-10 12:20:09
"Auckland New Zealand, Oceania",16717km,16717,342.56ms,342.56,48.88%,48.88,342.35ms,342.35,342.83ms,342.83,0.64ms,0.64,2018-11-10 12:20:09
"Austin United States, North America",8742km,8742,150.62ms,150.62,58.28%,58.28,140.31ms,140.31,172.37ms,172.37,9.96ms,9.96,2018-11-10 12:20:09
"Baltimore United States, North America",6909km,6909,113.13ms,113.13,61.14%,61.14,112.71ms,112.71,115.39ms,115.39,0.71ms,0.71,2018-11-10 12:20:09
"Bangalore India, Eurasia",6727km,6727,187.26ms,187.26,35.97%,35.97,186.89ms,186.89,187.65ms,187.65,0.24ms,0.24,2018-11-10 12:20:09
"Bangkok Thailand, Eurasia",7891km,7891,194.22ms,194.22,40.68%,40.68,177.51ms,177.51,278.98ms,278.98,27.16ms,27.16,2018-11-10 12:20:09
"Barcelona Spain, Eurasia",2541km,2541,61.30ms,61.3,41.66%,41.66,60.89ms,60.89,61.82ms,61.82,0.24ms,0.24,2018-11-10 12:20:09
"Basel Switzerland, Eurasia",1731km,1731,30.02ms,30.02,57.70%,57.7,29.88ms,29.88,30.64ms,30.64,0.25ms,0.25,2018-11-10 12:20:09
"Belfast United Kingdom, Eurasia",1914km,1914,45.13ms,45.13,42.53%,42.53,44.95ms,44.95,45.36ms,45.36,0.12ms,0.12,2018-11-10 12:20:09
"Bergen Norway, Eurasia",1083km,1083,22.78ms,22.78,49.23%,49.23,22.47ms,22.47,23.93ms,23.93,0.34ms,0.34,2018-11-10 12:20:09
"Berkeley Springs United States, North America",6955km,6955,115.96ms,115.96,60.48%,60.48,115.76ms,115.76,116.30ms,116.3,0.12ms,0.12,2018-11-10 12:20:09
"Bern Switzerland, Eurasia",1794km,1794,32.28ms,32.28,56.06%,56.06,32.08ms,32.08,32.49ms,32.49,0.24ms,0.24,2018-11-10 12:20:09
"Bogota Colombia, South America",10066km,10066,187.68ms,187.68,53.83%,53.83,186.33ms,186.33,195.60ms,195.6,2.64ms,2.64,2018-11-10 12:20:09
"Boston United States, North America",6359km,6359,104.51ms,104.51,61.14%,61.14,104.28ms,104.28,104.71ms,104.71,0.36ms,0.36,2018-11-10 12:20:09
"Brasilia Brazil, South America",10574km,10574,236.78ms,236.78,44.81%,44.81,221.49ms,221.49,438.76ms,438.76,51.68ms,51.68,2018-11-10 12:20:09
"Bratislava Slovakia, Eurasia",1350km,1350,35.84ms,35.84,38.57%,38.57,35.57ms,35.57,36.16ms,36.16,0.27ms,0.27,2018-11-10 12:20:09
"Brisbane Australia, Oceania",14746km,14746,326.40ms,326.4,45.23%,45.23,326.16ms,326.16,326.63ms,326.63,0.53ms,0.53,2018-11-10 12:20:09
"Bristol United Kingdom, Eurasia",1920km,1920,36.11ms,36.11,53.33%,53.33,35.83ms,35.83,37.10ms,37.1,0.35ms,0.35,2018-11-10 12:20:09
"Brno Czech Republic, Eurasia",1252km,1252,34.32ms,34.32,36.82%,36.82,34.11ms,34.11,34.69ms,34.69,0.21ms,0.21,2018-11-10 12:20:09
"Bruges Belgium, Eurasia",1628km,1628,36.04ms,36.04,45.22%,45.22,35.81ms,35.81,36.35ms,36.35,0.23ms,0.23,2018-11-10 12:20:09
"Brunswick United States, North America",6168km,6168,109.44ms,109.44,56.59%,56.59,109.32ms,109.32,109.74ms,109.74,0.29ms,0.29,2018-11-10 12:20:09
"Brussels Belgium, Eurasia",1599km,1599,29.25ms,29.25,55.14%,55.14,29.02ms,29.02,29.59ms,29.59,0.25ms,0.25,2018-11-10 12:20:09
"Bucharest Romania, Eurasia",1672km,1672,46.42ms,46.42,36.35%,36.35,46.27ms,46.27,46.79ms,46.79,0.28ms,0.28,2018-11-10 12:20:09
"Budapest Hungary, Eurasia",1378km,1378,42.78ms,42.78,32.81%,32.81,42.19ms,42.19,44.02ms,44.02,0.41ms,0.41,2018-11-10 12:20:09
"Buenos Aires Argentina, South America",12906km,12906,267.91ms,267.91,48.34%,48.34,263.17ms,263.17,280.47ms,280.47,5.38ms,5.38,2018-11-10 12:20:09
"Buffalo United States, North America",6687km,6687,135.50ms,135.5,49.53%,49.53,132.48ms,132.48,158.60ms,158.6,5.33ms,5.33,2018-11-10 12:20:09
"Bursa Turkey, Eurasia",2162km,2162,64.11ms,64.11,33.78%,33.78,63.83ms,63.83,65.68ms,65.68,0.33ms,0.33,2018-11-10 12:20:09
"Cairo Egypt, Africa",3303km,3303,96.04ms,96.04,34.41%,34.41,89.21ms,89.21,113.97ms,113.97,6.84ms,6.84,2018-11-10 12:20:09
"Calgary Canada, North America",7184km,7184,170.82ms,170.82,42.26%,42.26,170.02ms,170.02,173.40ms,173.4,0.81ms,0.81,2018-11-10 12:20:09
"Canberra Australia, Oceania",15243km,15243,317.45ms,317.45,48.09%,48.09,317.16ms,317.16,318.30ms,318.3,0.56ms,0.56,2018-11-10 12:20:09
"Cape Town South Africa, Africa",10406km,10406,192.66ms,192.66,54.20%,54.2,192.40ms,192.4,194.29ms,194.29,0.58ms,0.58,2018-11-10 12:20:09
"Caracas Venezuela, South America",9101km,9101,170.10ms,170.1,53.54%,53.54,169.15ms,169.15,174.20ms,174.2,1.00ms,1.0,2018-11-10 12:20:09
"Cardiff United Kingdom, Eurasia",1951km,1951,38.44ms,38.44,51.34%,51.34,37.76ms,37.76,42.93ms,42.93,0.92ms,0.92,2018-11-10 12:20:09
"Carlow Ireland, Eurasia",2072km,2072,46.44ms,46.44,45.04%,45.04,46.27ms,46.27,46.77ms,46.77,0.27ms,0.27,2018-11-10 12:20:09
"Charlotte United States, North America",7492km,7492,115.78ms,115.78,65.15%,65.15,115.65ms,115.65,115.92ms,115.92,0.29ms,0.29,2018-11-10 12:20:09
"Cheltenham United Kingdom, Eurasia",1862km,1862,37.61ms,37.61,50.32%,50.32,37.20ms,37.2,41.49ms,41.49,0.82ms,0.82,2018-11-10 12:20:09
"Chennai India, Eurasia",6853km,6853,207.54ms,207.54,33.11%,33.11,207.37ms,207.37,207.81ms,207.81,0.58ms,0.58,2018-11-10 12:20:09
"Chicago United States, North America",7177km,7177,116.48ms,116.48,61.87%,61.87,116.23ms,116.23,116.90ms,116.9,0.21ms,0.21,2018-11-10 12:20:09
"Chisinau Moldova, Eurasia",1409km,1409,56.91ms,56.91,25.16%,25.16,55.84ms,55.84,61.65ms,61.65,1.53ms,1.53,2018-11-10 12:20:09
"Christchurch New Zealand, Oceania",17220km,17220,357.02ms,357.02,48.24%,48.24,355.59ms,355.59,362.40ms,362.4,1.78ms,1.78,2018-11-10 12:20:09
"Cincinnati United States, North America",7298km,7298,126.21ms,126.21,57.92%,57.92,126.03ms,126.03,126.40ms,126.4,0.22ms,0.22,2018-11-10 12:20:09
"Cleveland United States, North America",6910km,6910,131.06ms,131.06,52.75%,52.75,130.58ms,130.58,135.88ms,135.88,1.00ms,1.0,2018-11-10 12:20:09
"Colorado Springs United States, North America",8147km,8147,160.25ms,160.25,50.92%,50.92,160.03ms,160.03,160.50ms,160.5,0.54ms,0.54,2018-11-10 12:20:09
"Columbus United States, North America",7148km,7148,128.36ms,128.36,55.84%,55.84,127.30ms,127.3,144.12ms,144.12,3.12ms,3.12,2018-11-10 12:20:09
"Copenhagen Denmark, Eurasia",837km,837,27.29ms,27.29,31.00%,31.0,27.01ms,27.01,27.88ms,27.88,0.23ms,0.23,2018-11-10 12:20:09
"Coventry United Kingdom, Eurasia",1798km,1798,36.55ms,36.55,49.94%,49.94,36.34ms,36.34,38.03ms,38.03,0.39ms,0.39,2018-11-10 12:20:09
"Cromwell United States, North America",6505km,6505,107.75ms,107.75,60.79%,60.79,107.48ms,107.48,108.46ms,108.46,0.50ms,0.5,2018-11-10 12:20:09
"Dagupan Philippines, Eurasia",8790km,8790,314.02ms,314.02,27.99%,27.99,313.02ms,313.02,318.41ms,318.41,1.44ms,1.44,2018-11-10 12:20:10
"Dallas United States, North America",8449km,8449,142.23ms,142.23,59.50%,59.5,142.04ms,142.04,142.57ms,142.57,0.46ms,0.46,2018-11-10 12:20:10
"Dar es Salaam Tanzania, Africa",7478km,7478,205.66ms,205.66,36.48%,36.48,205.25ms,205.25,206.84ms,206.84,0.45ms,0.45,2018-11-10 12:20:10
"Denver United States, North America",8065km,8065,138.44ms,138.44,58.44%,58.44,138.03ms,138.03,141.05ms,141.05,0.65ms,0.65,2018-11-10 12:20:10
"Des Moines United States, North America",7451km,7451,131.64ms,131.64,56.88%,56.88,131.38ms,131.38,131.93ms,131.93,0.45ms,0.45,2018-11-10 12:20:10
"Detroit United States, North America",6928km,6928,123.72ms,123.72,56.33%,56.33,123.49ms,123.49,124.50ms,124.5,0.19ms,0.19,2018-11-10 12:20:10
"Dhaka Bangladesh, Eurasia",6387km,6387,217.92ms,217.92,29.43%,29.43,216.35ms,216.35,251.38ms,251.38,6.24ms,6.24,2018-11-10 12:20:10
"Dronten Netherlands, Eurasia",1405km,1405,27.25ms,27.25,52.04%,52.04,26.73ms,26.73,29.46ms,29.46,0.76ms,0.76,2018-11-10 12:20:10
"Dubai United Arab Emirates, Eurasia",4507km,4507,150.33ms,150.33,30.05%,30.05,150.06ms,150.06,151.81ms,151.81,0.32ms,0.32,2018-11-10 12:20:10
"Dublin Ireland, Eurasia",2003km,2003,43.33ms,43.33,46.58%,46.58,41.19ms,41.19,98.67ms,98.67,10.28ms,10.28,2018-11-10 12:20:10
"Dusseldorf Germany, Eurasia",1449km,1449,28.57ms,28.57,51.75%,51.75,28.38ms,28.38,28.93ms,28.93,0.21ms,0.21,2018-11-10 12:20:10
"Edinburgh United Kingdom, Eurasia",1692km,1692,42.49ms,42.49,40.29%,40.29,42.38ms,42.38,42.77ms,42.77,0.16ms,0.16,2018-11-10 12:20:10
"Edmonton Canada, North America",6906km,6906,164.72ms,164.72,42.11%,42.11,164.41ms,164.41,165.23ms,165.23,0.25ms,0.25,2018-11-10 12:20:10
"Eindhoven Netherlands, Eurasia",1497km,1497,31.69ms,31.69,48.29%,48.29,31.43ms,31.43,32.27ms,32.27,0.26ms,0.26,2018-11-10 12:20:10
"Falkenstein Germany, Eurasia",1268km,1268,33.13ms,33.13,38.42%,38.42,33.02ms,33.02,33.54ms,33.54,0.22ms,0.22,2018-11-10 12:20:10
"Fez Morocco, Africa",3561km,3561,89.57ms,89.57,40.01%,40.01,88.10ms,88.1,108.70ms,108.7,3.73ms,3.73,2018-11-10 12:20:10
"Frankfurt Germany, Eurasia",1454km,1454,24.14ms,24.14,60.58%,60.58,23.98ms,23.98,24.42ms,24.42,0.15ms,0.15,2018-11-10 12:20:10
"Fremont United States, North America",8807km,8807,164.70ms,164.7,53.70%,53.7,164.40ms,164.4,165.27ms,165.27,0.56ms,0.56,2018-11-10 12:20:10
"Frosinone Italy, Eurasia",2120km,2120,47.07ms,47.07,45.11%,45.11,46.93ms,46.93,47.46ms,47.46,0.10ms,0.1,2018-11-10 12:20:10
"Gdansk Poland, Eurasia",676km,676,23.81ms,23.81,29.39%,29.39,23.49ms,23.49,25.27ms,25.27,0.35ms,0.35,2018-11-10 12:20:10
"Geneva Switzerland, Eurasia",1920km,1920,33.53ms,33.53,58.18%,58.18,32.70ms,32.7,45.30ms,45.3,2.25ms,2.25,2018-11-10 12:20:10
"Gothenburg Sweden, Eurasia",765km,765,12.42ms,12.42,63.75%,63.75,12.26ms,12.26,13.23ms,13.23,0.20ms,0.2,2018-11-10 12:20:10
"Green Bay United States, North America",6940km,6940,129.26ms,129.26,53.80%,53.8,129.00ms,129.0,129.61ms,129.61,0.27ms,0.27,2018-11-10 12:20:10
"Groningen Netherlands, Eurasia",1311km,1311,30.75ms,30.75,43.70%,43.7,30.43ms,30.43,32.19ms,32.19,0.46ms,0.46,2018-11-10 12:20:10
"Guadalajara Mexico, North America",9944km,9944,199.51ms,199.51,49.97%,49.97,199.30ms,199.3,199.61ms,199.61,0.49ms,0.49,2018-11-10 12:20:10
"Guatemala Guatemala, North America",9940km,9940,296.74ms,296.74,33.58%,33.58,247.30ms,247.3,393.97ms,393.97,31.60ms,31.6,2018-11-10 12:20:10
"Halifax Canada, North America",5785km,5785,127.34ms,127.34,45.55%,45.55,127.12ms,127.12,127.73ms,127.73,0.39ms,0.39,2018-11-10 12:20:10
"Hamburg Germany, Eurasia",1112km,1112,19.97ms,19.97,58.53%,58.53,19.76ms,19.76,20.28ms,20.28,0.21ms,0.21,2018-11-10 12:20:10
"Hangzhou China, Eurasia",7441km,7441,307.50ms,307.5,24.24%,24.24,288.92ms,288.92,338.28ms,338.28,13.53ms,13.53,2018-11-10 12:20:10
"Hanoi Vietnam, Eurasia",7505km,7505,331.30ms,331.3,22.67%,22.67,322.27ms,322.27,349.42ms,349.42,7.08ms,7.08,2018-11-10 12:20:10
"Helsinki Finland, Eurasia",86km,86,2.64ms,2.64,43.00%,43.0,1.80ms,1.8,13.08ms,13.08,2.14ms,2.14,2018-11-10 12:20:10
"Heredia Costa Rica, North America",10089km,10089,195.00ms,195.0,52.01%,52.01,194.47ms,194.47,200.57ms,200.57,1.09ms,1.09,2018-11-10 12:20:10
"Ho Chi Minh City Vietnam, Eurasia",8516km,8516,209.30ms,209.3,40.75%,40.75,208.96ms,208.96,210.63ms,210.63,0.72ms,0.72,2018-11-10 12:20:10
"Hong Kong Hong Kong, Eurasia",7856km,7856,212.28ms,212.28,37.06%,37.06,211.92ms,211.92,212.63ms,212.63,0.66ms,0.66,2018-11-10 12:20:10
"Honolulu United States, North America",11037km,11037,211.31ms,211.31,52.31%,52.31,211.16ms,211.16,211.54ms,211.54,0.65ms,0.65,2018-11-10 12:20:10
"Houston United States, North America",8688km,8688,144.60ms,144.6,60.33%,60.33,143.75ms,143.75,156.06ms,156.06,2.23ms,2.23,2018-11-10 12:20:10
"Hyderabad India, Eurasia",6342km,6342,193.63ms,193.63,32.86%,32.86,193.40ms,193.4,195.75ms,195.75,0.68ms,0.68,2018-11-10 12:20:10
"Indianapolis United States, North America",7309km,7309,126.44ms,126.44,58.01%,58.01,126.26ms,126.26,126.85ms,126.85,0.10ms,0.1,2018-11-10 12:20:10
"Indore India, Eurasia",5690km,5690,154.78ms,154.78,36.95%,36.95,154.57ms,154.57,155.03ms,155.03,0.31ms,0.31,2018-11-10 12:20:10
"Istanbul Turkey, Eurasia",2069km,2069,61.83ms,61.83,33.92%,33.92,59.54ms,59.54,89.28ms,89.28,5.65ms,5.65,2018-11-10 12:20:10
"Izmir Turkey, Eurasia",2343km,2343,68.23ms,68.23,34.46%,34.46,68.01ms,68.01,68.59ms,68.59,0.29ms,0.29,2018-11-10 12:20:10
"Jackson United States, North America",8209km,8209,140.50ms,140.5,58.64%,58.64,140.16ms,140.16,141.36ms,141.36,0.50ms,0.5,2018-11-10 12:20:10
"Jacksonville United States, North America",7996km,7996,123.30ms,123.3,65.01%,65.01,123.04ms,123.04,123.95ms,123.95,0.24ms,0.24,2018-11-10 12:20:10
"Jakarta Indonesia, Eurasia",10147km,10147,267.57ms,267.57,38.00%,38.0,267.28ms,267.28,268.60ms,268.6,0.69ms,0.69,2018-11-10 12:20:10
"Jerusalem Israel, Eurasia",3174km,3174,91.73ms,91.73,34.88%,34.88,91.53ms,91.53,91.98ms,91.98,0.31ms,0.31,2018-11-10 12:20:10
