City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13118km,13118,351.47ms,351.47,37.37%,37.37,351.33ms,351.33,351.75ms,351.75,0.80ms,0.8,2018-11-10 12:20:32
"Albany United States, North America",8975km,8975,199.60ms,199.6,45.10%,45.1,131.48ms,131.48,266.07ms,266.07,38.67ms,38.67,2018-11-10 12:20:32
"Alblasserdam Netherlands, Eurasia",3288km,3288,56.76ms,56.76,58.71%,58.71,56.32ms,56.32,60.80ms,60.8,0.85ms,0.85,2018-11-10 12:20:32
"Albuquerque United States, North America",11534km,11534,178.80ms,178.8,64.80%,64.8,175.14ms,175.14,231.57ms,231.57,12.46ms,12.46,2018-11-10 12:20:32
"Algiers Algeria, Africa",2951km,2951,70.02ms,70.02,42.16%,42.16,69.30ms,69.3,72.37ms,72.37,0.64ms,0.64,2018-11-10 12:20:32
"Amsterdam Netherlands, Eurasia",3309km,3309,68.40ms,68.4,48.66%,48.66,68.25ms,68.25,68.61ms,68.61,0.28ms,0.28,2018-11-10 12:20:32
"Anchorage United States, North America",9634km,9634,212.92ms,212.92,45.44%,45.44,212.76ms,212.76,213.40ms,213.4,0.53ms,0.53,2018-11-10 12:20:32
"Ankara Turkey, Eurasia",891km,891,101.95ms,101.95,8.82%,8.82,101.30ms,101.3,107.35ms,107.35,1.44ms,1.44,2018-11-10 12:20:32
"Antwerp Belgium, Eurasia",3267km,3267,69.00ms,69.0,48.04%,48.04,68.89ms,68.89,69.34ms,69.34,0.20ms,0.2,2018-11-10 12:20:32
"Arezzo Italy, Eurasia",2374km,2374,92.46ms,92.46,25.80%,25.8,92.31ms,92.31,93.65ms,93.65,0.41ms,0.41,2018-11-10 12:20:32
"Asheville United States, North America",10062km,10062,151.16ms,151.16,66.64%,66.64,151.06ms,151.06,151.71ms,151.71,0.54ms,0.54,2018-11-10 12:20:32
"Athens Greece, Eurasia",1208km,1208,95.57ms,95.57,12.72%,12.72,95.31ms,95.31,97.63ms,97.63,0.49ms,0.49,2018-11-10 12:20:32
"Atlanta United States, North America",10325km,10325,151.15ms,151.15,68.38%,68.38,151.03ms,151.03,151.67ms,151.67,0.48ms,0.48,2018-11-10 12:20:32
"Auckland New Zealand, Oceania",16328km,16328,360.64ms,360.64,45.36%,45.36,360.51ms,360.51,360.98ms,360.98,0.24ms,0.24,2018-11-10 12:20:32
"Austin United States, North America",11477km,11477,178.41ms,178.41,64.48%,64.48,166.71ms,166.71,222.41ms,222.41,12.73ms,12.73,2018-11-10 12:20:32
