City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15955km,15955,355.04ms,355.04,44.94%,44.94,354.72ms,354.72,355.86ms,355.86,0.55ms,0.55,2018-11-10 12:19:30
"Albany United States, North America",5677km,5677,151.20ms,151.2,37.60%,37.6,82.73ms,82.73,216.53ms,216.53,36.71ms,36.71,2018-11-10 12:19:30
"Alblasserdam Netherlands, Eurasia",33km,33,1.51ms,1.51,33.00%,33.0,1.43ms,1.43,1.77ms,1.77,0.10ms,0.1,2018-11-10 12:19:30
"Albuquerque United States, North America",8240km,8240,137.95ms,137.95,60.15%,60.15,131.50ms,131.5,180.42ms,180.42,15.05ms,15.05,2018-11-10 12:19:30
"Algiers Algeria, Africa",1707km,1707,42.89ms,42.89,40.64%,40.64,42.33ms,42.33,43.66ms,43.66,0.34ms,0.34,2018-11-10 12:19:30
"Amsterdam Netherlands, Eurasia",35km,35,3.72ms,3.72,11.67%,11.67,3.58ms,3.58,3.96ms,3.96,0.12ms,0.12,2018-11-10 12:19:30
"Anchorage United States, North America",7212km,7212,179.39ms,179.39,40.29%,40.29,179.10ms,179.1,179.84ms,179.84,0.46ms,0.46,2018-11-10 12:19:30
"Ankara Turkey, Eurasia",2561km,2561,48.24ms,48.24,53.35%,53.35,47.97ms,47.97,50.06ms,50.06,0.46ms,0.46,2018-11-10 12:19:30
"Antwerp Belgium, Eurasia",96km,96,21.54ms,21.54,4.57%,4.57,21.44ms,21.44,21.67ms,21.67,0.19ms,0.19,2018-11-10 12:19:31
"Arezzo Italy, Eurasia",1110km,1110,33.43ms,33.43,33.64%,33.64,33.32ms,33.32,33.56ms,33.56,0.17ms,0.17,2018-11-10 12:19:31
"Asheville United States, North America",6772km,6772,95.43ms,95.43,71.28%,71.28,95.38ms,95.38,95.52ms,95.52,0.20ms,0.2,2018-11-10 12:19:31
"Athens Greece, Eurasia",2175km,2175,52.01ms,52.01,41.83%,41.83,51.46ms,51.46,58.45ms,58.45,1.27ms,1.27,2018-11-10 12:19:31
"Atlanta United States, North America",7036km,7036,95.56ms,95.56,74.06%,74.06,95.44ms,95.44,95.94ms,95.94,0.33ms,0.33,2018-11-10 12:19:31
"Auckland New Zealand, Oceania",18166km,18166,301.46ms,301.46,60.35%,60.35,301.34ms,301.34,302.93ms,302.93,0.55ms,0.55,2018-11-10 12:19:31
"Austin United States, North America",8158km,8158,123.04ms,123.04,66.33%,66.33,112.45ms,112.45,144.77ms,144.77,8.37ms,8.37,2018-11-10 12:19:31
"Baltimore United States, North America",6110km,6110,83.07ms,83.07,73.61%,73.61,82.51ms,82.51,89.04ms,89.04,1.24ms,1.24,2018-11-10 12:19:31
"Bangalore India, Eurasia",7735km,7735,156.27ms,156.27,49.58%,49.58,156.19ms,156.19,156.41ms,156.41,0.45ms,0.45,2018-11-10 12:19:31
"Bangkok Thailand, Eurasia",9222km,9222,267.52ms,267.52,34.54%,34.54,250.24ms,250.24,329.80ms,329.8,24.93ms,24.93,2018-11-10 12:19:31
"Barcelona Spain, Eurasia",1200km,1200,49.73ms,49.73,24.49%,24.49,49.53ms,49.53,49.95ms,49.95,0.18ms,0.18,2018-11-10 12:19:31
"Basel Switzerland, Eurasia",555km,555,17.99ms,17.99,32.65%,32.65,17.87ms,17.87,19.48ms,19.48,0.28ms,0.28,2018-11-10 12:19:31
"Belfast United Kingdom, Eurasia",734km,734,22.73ms,22.73,33.36%,33.36,22.63ms,22.63,22.95ms,22.95,0.21ms,0.21,2018-11-10 12:19:31
"Bergen Norway, Eurasia",924km,924,38.65ms,38.65,24.32%,24.32,38.47ms,38.47,39.16ms,39.16,0.30ms,0.3,2018-11-10 12:19:31
"Berkeley Springs United States, North America",6187km,6187,91.86ms,91.86,67.99%,67.99,91.65ms,91.65,92.19ms,92.19,0.39ms,0.39,2018-11-10 12:19:31
"Bern Switzerland, Eurasia",614km,614,33.60ms,33.6,18.61%,18.61,33.34ms,33.34,34.79ms,34.79,0.30ms,0.3,2018-11-10 12:19:31
"Bogota Colombia, South America",8814km,8814,191.03ms,191.03,46.15%,46.15,190.27ms,190.27,199.85ms,199.85,1.92ms,1.92,2018-11-10 12:19:31
"Boston United States, North America",5533km,5533,70.15ms,70.15,79.04%,79.04,69.91ms,69.91,72.36ms,72.36,0.50ms,0.5,2018-11-10 12:19:31
"Brasilia Brazil, South America",9065km,9065,236.01ms,236.01,38.41%,38.41,224.34ms,224.34,530.61ms,530.61,56.73ms,56.73,2018-11-10 12:19:31
"Bratislava Slovakia, Eurasia",1010km,1010,29.77ms,29.77,34.83%,34.83,29.63ms,29.63,30.47ms,30.47,0.19ms,0.19,2018-11-10 12:19:31
"Brisbane Australia, Oceania",16248km,16248,291.54ms,291.54,55.84%,55.84,291.44ms,291.44,292.21ms,292.21,0.65ms,0.65,2018-11-10 12:19:31
"Bristol United Kingdom, Eurasia",480km,480,11.00ms,11.0,43.64%,43.64,10.83ms,10.83,12.32ms,12.32,0.29ms,0.29,2018-11-10 12:19:31
"Brno Czech Republic, Eurasia",923km,923,18.57ms,18.57,51.28%,51.28,18.48ms,18.48,18.63ms,18.63,0.14ms,0.14,2018-11-10 12:19:31
"Bruges Belgium, Eurasia",121km,121,9.30ms,9.3,13.44%,13.44,9.19ms,9.19,9.59ms,9.59,0.15ms,0.15,2018-11-10 12:19:31
