City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14457km,14457,368.02ms,368.02,39.29%,39.29,366.63ms,366.63,372.38ms,372.38,1.68ms,1.68,2018-11-10 12:20:38
"Albany United States, North America",7543km,7543,202.04ms,202.04,37.34%,37.34,130.79ms,130.79,263.64ms,263.64,34.47ms,34.47,2018-11-10 12:20:38
"Alblasserdam Netherlands, Eurasia",1868km,1868,54.27ms,54.27,34.59%,34.59,53.53ms,53.53,57.98ms,57.98,0.82ms,0.82,2018-11-10 12:20:38
"Albuquerque United States, North America",10139km,10139,184.12ms,184.12,55.10%,55.1,179.63ms,179.63,219.10ms,219.1,9.07ms,9.07,2018-11-10 12:20:38
"Algiers Algeria, Africa",1771km,1771,54.02ms,54.02,32.80%,32.8,52.65ms,52.65,64.60ms,64.6,2.21ms,2.21,2018-11-10 12:20:38
"Amsterdam Netherlands, Eurasia",1893km,1893,63.81ms,63.81,30.05%,30.05,63.36ms,63.36,67.59ms,67.59,0.84ms,0.84,2018-11-10 12:20:38
"Anchorage United States, North America",8671km,8671,225.46ms,225.46,38.54%,38.54,224.58ms,224.58,230.19ms,230.19,1.43ms,1.43,2018-11-10 12:20:38
"Ankara Turkey, Eurasia",848km,848,94.64ms,94.64,9.02%,9.02,93.55ms,93.55,107.58ms,107.58,2.63ms,2.63,2018-11-10 12:20:38
"Antwerp Belgium, Eurasia",1842km,1842,71.56ms,71.56,25.94%,25.94,70.69ms,70.69,80.60ms,80.6,1.87ms,1.87,2018-11-10 12:20:38
"Arezzo Italy, Eurasia",962km,962,62.49ms,62.49,15.52%,15.52,61.94ms,61.94,64.77ms,64.77,0.80ms,0.8,2018-11-10 12:20:38
"Asheville United States, North America",8630km,8630,143.83ms,143.83,60.35%,60.35,143.47ms,143.47,146.16ms,146.16,0.66ms,0.66,2018-11-10 12:20:38
"Athens Greece, Eurasia",306km,306,10.00ms,10.0,30.60%,30.6,9.30ms,9.3,13.36ms,13.36,1.06ms,1.06,2018-11-10 12:20:38
"Atlanta United States, North America",8893km,8893,151.18ms,151.18,58.89%,58.89,150.16ms,150.16,155.97ms,155.97,1.61ms,1.61,2018-11-10 12:20:38
"Auckland New Zealand, Oceania",17552km,17552,424.44ms,424.44,41.40%,41.4,423.82ms,423.82,429.51ms,429.51,1.49ms,1.49,2018-11-10 12:20:38
"Austin United States, North America",10048km,10048,175.67ms,175.67,57.42%,57.42,164.59ms,164.59,228.02ms,228.02,14.03ms,14.03,2018-11-10 12:20:38
"Baltimore United States, North America",7965km,7965,136.12ms,136.12,58.57%,58.57,134.72ms,134.72,141.19ms,141.19,1.62ms,1.62,2018-11-10 12:20:38
"Bangalore India, Eurasia",6117km,6117,177.87ms,177.87,34.56%,34.56,177.34ms,177.34,181.52ms,181.52,0.87ms,0.87,2018-11-10 12:20:38
"Bangkok Thailand, Eurasia",7979km,7979,224.40ms,224.4,35.62%,35.62,206.35ms,206.35,350.35ms,350.35,35.27ms,35.27,2018-11-10 12:20:38
"Barcelona Spain, Eurasia",1737km,1737,91.66ms,91.66,19.09%,19.09,90.72ms,90.72,96.41ms,96.41,1.28ms,1.28,2018-11-10 12:20:38
"Basel Switzerland, Eurasia",1440km,1440,67.08ms,67.08,21.49%,21.49,66.67ms,66.67,68.23ms,68.23,0.55ms,0.55,2018-11-10 12:20:38
"Belfast United Kingdom, Eurasia",2630km,2630,71.94ms,71.94,37.04%,37.04,71.17ms,71.17,74.96ms,74.96,1.10ms,1.1,2018-11-10 12:20:38
"Bergen Norway, Eurasia",2503km,2503,94.44ms,94.44,26.63%,26.63,93.78ms,93.78,98.18ms,98.18,0.98ms,0.98,2018-11-10 12:20:38
"Berkeley Springs United States, North America",8050km,8050,149.58ms,149.58,54.03%,54.03,148.59ms,148.59,155.69ms,155.69,1.74ms,1.74,2018-11-10 12:20:38
"Bern Switzerland, Eurasia",1421km,1421,58.91ms,58.91,24.50%,24.5,58.30ms,58.3,63.91ms,63.91,1.32ms,1.32,2018-11-10 12:20:38
"Bogota Colombia, South America",10262km,10262,217.78ms,217.78,47.29%,47.29,217.00ms,217.0,224.23ms,224.23,1.48ms,1.48,2018-11-10 12:20:38
"Boston United States, North America",7386km,7386,128.59ms,128.59,57.70%,57.7,127.88ms,127.88,131.79ms,131.79,1.08ms,1.08,2018-11-10 12:20:38
"Brasilia Brazil, South America",9608km,9608,267.95ms,267.95,35.99%,35.99,255.75ms,255.75,553.75ms,553.75,55.11ms,55.11,2018-11-10 12:20:38
"Bratislava Slovakia, Eurasia",951km,951,59.23ms,59.23,16.12%,16.12,58.15ms,58.15,62.98ms,62.98,1.27ms,1.27,2018-11-10 12:20:38
"Brisbane Australia, Oceania",15266km,15266,348.83ms,348.83,43.87%,43.87,347.95ms,347.95,359.54ms,359.54,2.18ms,2.18,2018-11-10 12:20:38
"Bristol United Kingdom, Eurasia",2287km,2287,58.28ms,58.28,39.43%,39.43,57.66ms,57.66,62.59ms,62.59,0.91ms,0.91,2018-11-10 12:20:38
"Brno Czech Republic, Eurasia",1071km,1071,79.65ms,79.65,13.56%,13.56,79.14ms,79.14,81.58ms,81.58,0.57ms,0.57,2018-11-10 12:20:38
"Bruges Belgium, Eurasia",1912km,1912,59.42ms,59.42,32.41%,32.41,58.59ms,58.59,62.73ms,62.73,1.08ms,1.08,2018-11-10 12:20:38
"Brunswick United States, North America",7216km,7216,140.43ms,140.43,51.54%,51.54,139.74ms,139.74,144.41ms,144.41,1.01ms,1.01,2018-11-10 12:20:38
"Brussels Belgium, Eurasia",1824km,1824,60.36ms,60.36,30.40%,30.4,59.61ms,59.61,64.68ms,64.68,1.31ms,1.31,2018-11-10 12:20:38
"Bucharest Romania, Eurasia",494km,494,63.62ms,63.62,7.84%,7.84,62.32ms,62.32,70.28ms,70.28,1.88ms,1.88,2018-11-10 12:20:39
"Budapest Hungary, Eurasia",821km,821,67.68ms,67.68,12.25%,12.25,66.02ms,66.02,73.58ms,73.58,1.72ms,1.72,2018-11-10 12:20:39
"Buenos Aires Argentina, South America",11787km,11787,283.98ms,283.98,41.65%,41.65,279.40ms,279.4,304.89ms,304.89,5.98ms,5.98,2018-11-10 12:20:39
"Buffalo United States, North America",7868km,7868,161.16ms,161.16,48.87%,48.87,157.82ms,157.82,172.66ms,172.66,3.52ms,3.52,2018-11-10 12:20:39
"Bursa Turkey, Eurasia",523km,523,101.18ms,101.18,5.18%,5.18,100.24ms,100.24,108.30ms,108.3,1.75ms,1.75,2018-11-10 12:20:39
"Cairo Egypt, Africa",1397km,1397,124.01ms,124.01,11.27%,11.27,111.63ms,111.63,150.37ms,150.37,9.66ms,9.66,2018-11-10 12:20:39
"Calgary Canada, North America",8999km,8999,208.98ms,208.98,43.26%,43.26,207.13ms,207.13,225.43ms,225.43,3.47ms,3.47,2018-11-10 12:20:39
"Canberra Australia, Oceania",15342km,15342,371.79ms,371.79,41.35%,41.35,370.03ms,370.03,391.72ms,391.72,3.90ms,3.9,2018-11-10 12:20:39
"Cape Town South Africa, Africa",8313km,8313,197.58ms,197.58,42.20%,42.2,196.98ms,196.98,199.90ms,199.9,0.69ms,0.69,2018-11-10 12:20:39
"Caracas Venezuela, South America",9237km,9237,208.12ms,208.12,44.41%,44.41,206.92ms,206.92,216.82ms,216.82,1.91ms,1.91,2018-11-10 12:20:39
"Cardiff United Kingdom, Eurasia",2327km,2327,66.27ms,66.27,35.26%,35.26,65.14ms,65.14,71.86ms,71.86,1.30ms,1.3,2018-11-10 12:20:39
"Carlow Ireland, Eurasia",2619km,2619,74.05ms,74.05,35.39%,35.39,73.08ms,73.08,79.38ms,79.38,1.30ms,1.3,2018-11-10 12:20:39
"Charlotte United States, North America",8541km,8541,149.78ms,149.78,57.32%,57.32,148.84ms,148.84,153.64ms,153.64,1.28ms,1.28,2018-11-10 12:20:39
"Cheltenham United Kingdom, Eurasia",2274km,2274,61.97ms,61.97,37.28%,37.28,61.31ms,61.31,64.58ms,64.58,0.85ms,0.85,2018-11-10 12:20:39
"Chennai India, Eurasia",6330km,6330,187.29ms,187.29,33.85%,33.85,186.43ms,186.43,194.87ms,194.87,1.68ms,1.68,2018-11-10 12:20:39
"Chicago United States, North America",8490km,8490,148.80ms,148.8,57.36%,57.36,148.18ms,148.18,155.85ms,155.85,1.36ms,1.36,2018-11-10 12:20:39
"Chisinau Moldova, Eurasia",854km,854,73.36ms,73.36,11.70%,11.7,72.32ms,72.32,77.77ms,77.77,1.36ms,1.36,2018-11-10 12:20:39
"Christchurch New Zealand, Oceania",17513km,17513,440.76ms,440.76,39.80%,39.8,439.94ms,439.94,448.53ms,448.53,1.80ms,1.8,2018-11-10 12:20:39
"Cincinnati United States, North America",8501km,8501,150.40ms,150.4,56.67%,56.67,148.67ms,148.67,161.12ms,161.12,2.85ms,2.85,2018-11-10 12:20:39
"Cleveland United States, North America",8109km,8109,155.20ms,155.2,52.32%,52.32,154.39ms,154.39,157.68ms,157.68,1.09ms,1.09,2018-11-10 12:20:39
"Colorado Springs United States, North America",9707km,9707,171.59ms,171.59,56.77%,56.77,170.80ms,170.8,179.97ms,179.97,1.79ms,1.79,2018-11-10 12:20:39
"Columbus United States, North America",8340km,8340,153.65ms,153.65,54.51%,54.51,151.82ms,151.82,167.44ms,167.44,3.11ms,3.11,2018-11-10 12:20:39
"Copenhagen Denmark, Eurasia",1833km,1833,71.57ms,71.57,25.82%,25.82,70.67ms,70.67,75.96ms,75.96,1.18ms,1.18,2018-11-10 12:20:39
"Coventry United Kingdom, Eurasia",2262km,2262,66.39ms,66.39,34.27%,34.27,65.59ms,65.59,72.01ms,72.01,1.43ms,1.43,2018-11-10 12:20:39
"Cromwell United States, North America",7542km,7542,142.77ms,142.77,53.11%,53.11,142.26ms,142.26,145.21ms,145.21,0.67ms,0.67,2018-11-10 12:20:39
"Dagupan Philippines, Eurasia",9464km,9464,382.96ms,382.96,24.77%,24.77,380.91ms,380.91,393.99ms,393.99,2.88ms,2.88,2018-11-10 12:20:39
"Dallas United States, North America",9776km,9776,158.25ms,158.25,61.87%,61.87,157.29ms,157.29,164.18ms,164.18,1.58ms,1.58,2018-11-10 12:20:39
