City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14819km,14819,338.21ms,338.21,43.84%,43.84,337.67ms,337.67,339.63ms,339.63,0.85ms,0.85,2018-11-10 12:20:08
"Albany United States, North America",6679km,6679,163.88ms,163.88,40.98%,40.98,97.46ms,97.46,235.84ms,235.84,38.18ms,38.18,2018-11-10 12:20:08
"Alblasserdam Netherlands, Eurasia",1117km,1117,25.83ms,25.83,44.68%,44.68,25.59ms,25.59,26.31ms,26.31,0.23ms,0.23,2018-11-10 12:20:08
"Albuquerque United States, North America",9058km,9058,157.82ms,157.82,57.69%,57.69,154.40ms,154.4,203.11ms,203.11,10.33ms,10.33,2018-11-10 12:20:08
"Algiers Algeria, Africa",2221km,2221,88.42ms,88.42,25.24%,25.24,87.83ms,87.83,89.40ms,89.4,0.36ms,0.36,2018-11-10 12:20:08
"Amsterdam Netherlands, Eurasia",1107km,1107,32.60ms,32.6,34.59%,34.59,32.28ms,32.28,32.84ms,32.84,0.22ms,0.22,2018-11-10 12:20:08
"Anchorage United States, North America",7376km,7376,191.00ms,191.0,38.82%,38.82,190.78ms,190.78,191.29ms,191.29,0.59ms,0.59,2018-11-10 12:20:08
"Ankara Turkey, Eurasia",1640km,1640,68.91ms,68.91,24.12%,24.12,68.27ms,68.27,81.58ms,81.58,2.37ms,2.37,2018-11-10 12:20:08
"Antwerp Belgium, Eurasia",1147km,1147,30.65ms,30.65,38.23%,38.23,30.54ms,30.54,30.82ms,30.82,0.12ms,0.12,2018-11-10 12:20:08
"Arezzo Italy, Eurasia",1187km,1187,61.31ms,61.31,19.46%,19.46,61.09ms,61.09,61.45ms,61.45,0.34ms,0.34,2018-11-10 12:20:08
"Asheville United States, North America",7776km,7776,124.92ms,124.92,62.71%,62.71,124.59ms,124.59,125.05ms,125.05,0.19ms,0.19,2018-11-10 12:20:08
"Athens Greece, Eurasia",1600km,1600,62.66ms,62.66,25.81%,25.81,62.27ms,62.27,62.98ms,62.98,0.27ms,0.27,2018-11-10 12:20:08
"Atlanta United States, North America",8042km,8042,123.23ms,123.23,65.38%,65.38,122.83ms,122.83,125.18ms,125.18,0.53ms,0.53,2018-11-10 12:20:08
"Auckland New Zealand, Oceania",17350km,17350,290.73ms,290.73,59.83%,59.83,290.42ms,290.42,291.97ms,291.97,0.45ms,0.45,2018-11-10 12:20:08
"Austin United States, North America",9091km,9091,153.78ms,153.78,59.42%,59.42,140.59ms,140.59,191.62ms,191.62,11.98ms,11.98,2018-11-10 12:20:08
"Baltimore United States, North America",7124km,7124,114.48ms,114.48,62.49%,62.49,113.95ms,113.95,119.06ms,119.06,0.94ms,0.94,2018-11-10 12:20:08
"Bangalore India, Eurasia",6628km,6628,167.59ms,167.59,39.69%,39.69,167.22ms,167.22,168.32ms,168.32,0.61ms,0.61,2018-11-10 12:20:08
"Bangkok Thailand, Eurasia",8091km,8091,217.63ms,217.63,37.29%,37.29,214.38ms,214.38,246.10ms,246.1,7.63ms,7.63,2018-11-10 12:20:08
"Barcelona Spain, Eurasia",1864km,1864,61.33ms,61.33,30.56%,30.56,60.85ms,60.85,61.96ms,61.96,0.33ms,0.33,2018-11-10 12:20:08
