City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15696km,15696,335.52ms,335.52,46.85%,46.85,334.57ms,334.57,337.06ms,337.06,0.97ms,0.97,2018-11-10 12:19:44
"Albany United States, North America",6175km,6175,153.79ms,153.79,40.36%,40.36,89.91ms,89.91,221.43ms,221.43,36.09ms,36.09,2018-11-10 12:19:44
"Alblasserdam Netherlands, Eurasia",573km,573,16.56ms,16.56,35.81%,35.81,16.30ms,16.3,17.36ms,17.36,0.26ms,0.26,2018-11-10 12:19:44
"Albuquerque United States, North America",8806km,8806,146.22ms,146.22,60.32%,60.32,142.66ms,142.66,194.31ms,194.31,11.58ms,11.58,2018-11-10 12:19:44
"Algiers Algeria, Africa",1263km,1263,33.47ms,33.47,38.27%,38.27,32.69ms,32.69,34.54ms,34.54,0.34ms,0.34,2018-11-10 12:19:44
"Amsterdam Netherlands, Eurasia",613km,613,25.75ms,25.75,24.52%,24.52,25.50ms,25.5,26.45ms,26.45,0.27ms,0.27,2018-11-10 12:19:44
"Anchorage United States, North America",7789km,7789,175.12ms,175.12,44.51%,44.51,174.80ms,174.8,175.38ms,175.38,0.42ms,0.42,2018-11-10 12:19:44
"Ankara Turkey, Eurasia",2114km,2114,73.50ms,73.5,28.96%,28.96,73.06ms,73.06,74.87ms,74.87,0.45ms,0.45,2018-11-10 12:19:44
"Antwerp Belgium, Eurasia",522km,522,29.90ms,29.9,18.00%,18.0,29.72ms,29.72,30.13ms,30.13,0.18ms,0.18,2018-11-10 12:19:44
"Arezzo Italy, Eurasia",505km,505,15.13ms,15.13,33.67%,33.67,14.66ms,14.66,20.21ms,20.21,1.08ms,1.08,2018-11-10 12:19:44
"Asheville United States, North America",7263km,7263,126.96ms,126.96,57.64%,57.64,126.69ms,126.69,130.93ms,130.93,0.81ms,0.81,2018-11-10 12:19:44
"Athens Greece, Eurasia",1618km,1618,43.95ms,43.95,37.63%,37.63,43.61ms,43.61,45.85ms,45.85,0.48ms,0.48,2018-11-10 12:19:44
"Atlanta United States, North America",7526km,7526,111.67ms,111.67,67.80%,67.8,111.47ms,111.47,112.48ms,112.48,0.46ms,0.46,2018-11-10 12:19:44
"Auckland New Zealand, Oceania",18392km,18392,317.27ms,317.27,58.02%,58.02,316.97ms,316.97,319.80ms,319.8,0.79ms,0.79,2018-11-10 12:19:44
"Austin United States, North America",8684km,8684,140.17ms,140.17,62.03%,62.03,129.25ms,129.25,168.32ms,168.32,11.21ms,11.21,2018-11-10 12:19:44
"Baltimore United States, North America",6598km,6598,114.04ms,114.04,57.88%,57.88,113.55ms,113.55,115.24ms,115.24,0.64ms,0.64,2018-11-10 12:19:44
"Bangalore India, Eurasia",7380km,7380,156.41ms,156.41,47.31%,47.31,155.26ms,155.26,157.17ms,157.17,0.59ms,0.59,2018-11-10 12:19:44
"Bangkok Thailand, Eurasia",9034km,9034,267.50ms,267.5,33.84%,33.84,265.08ms,265.08,299.19ms,299.19,6.73ms,6.73,2018-11-10 12:19:44
"Barcelona Spain, Eurasia",835km,835,28.68ms,28.68,29.82%,29.82,28.29ms,28.29,29.91ms,29.91,0.40ms,0.4,2018-11-10 12:19:44
"Basel Switzerland, Eurasia",74km,74,1.67ms,1.67,74.00%,74.0,1.53ms,1.53,2.05ms,2.05,0.14ms,0.14,2018-11-10 12:19:44
"Belfast United Kingdom, Eurasia",1289km,1289,34.14ms,34.14,37.91%,37.91,33.96ms,33.96,34.38ms,34.38,0.12ms,0.12,2018-11-10 12:19:44
"Bergen Norway, Eurasia",1461km,1461,48.27ms,48.27,30.44%,30.44,48.05ms,48.05,50.23ms,50.23,0.45ms,0.45,2018-11-10 12:19:44
"Berkeley Springs United States, North America",6683km,6683,116.66ms,116.66,57.61%,57.61,116.22ms,116.22,117.82ms,117.82,0.54ms,0.54,2018-11-10 12:19:44
"Bern Switzerland, Eurasia",94km,94,4.16ms,4.16,23.50%,23.5,3.76ms,3.76,8.04ms,8.04,0.78ms,0.78,2018-11-10 12:19:44
"Bogota Colombia, South America",9078km,9078,188.94ms,188.94,48.29%,48.29,188.31ms,188.31,193.31ms,193.31,1.36ms,1.36,2018-11-10 12:19:44
"Boston United States, North America",6019km,6019,88.65ms,88.65,68.40%,68.4,88.23ms,88.23,92.27ms,92.27,0.74ms,0.74,2018-11-10 12:19:44
