City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",17107km,17107,230.06ms,230.06,74.38%,74.38,229.80ms,229.8,230.92ms,230.92,0.71ms,0.71,2018-11-10 12:19:14
"Alblasserdam Netherlands, Eurasia",5707km,5707,123.22ms,123.22,46.40%,46.4,73.19ms,73.19,216.00ms,216.0,45.65ms,45.65,2018-11-10 12:19:14
"Albuquerque United States, North America",2945km,2945,81.30ms,81.3,36.36%,36.36,60.58ms,60.58,159.54ms,159.54,31.99ms,31.99,2018-11-10 12:19:14
"Algiers Algeria, Africa",6372km,6372,104.63ms,104.63,61.27%,61.27,104.18ms,104.18,105.33ms,105.33,0.39ms,0.39,2018-11-10 12:19:14
"Amsterdam Netherlands, Eurasia",5692km,5692,87.04ms,87.04,65.43%,65.43,78.56ms,78.56,153.75ms,153.75,17.86ms,17.86,2018-11-10 12:19:14
"Anchorage United States, North America",5248km,5248,98.89ms,98.89,53.55%,53.55,94.06ms,94.06,166.66ms,166.66,15.88ms,15.88,2018-11-10 12:19:14
"Ankara Turkey, Eurasia",8237km,8237,128.54ms,128.54,64.35%,64.35,124.35ms,124.35,222.93ms,222.93,17.67ms,17.67,2018-11-10 12:19:14
"Antwerp Belgium, Eurasia",5720km,5720,99.79ms,99.79,57.78%,57.78,81.76ms,81.76,182.86ms,182.86,33.23ms,33.23,2018-11-10 12:19:14
"Arezzo Italy, Eurasia",6617km,6617,110.70ms,110.7,60.15%,60.15,102.87ms,102.87,195.97ms,195.97,23.14ms,23.14,2018-11-10 12:19:14
"Asheville United States, North America",1097km,1097,27.76ms,27.76,40.63%,40.63,23.84ms,23.84,78.91ms,78.91,11.98ms,11.98,2018-11-10 12:19:14
"Athens Greece, Eurasia",7784km,7784,185.11ms,185.11,42.08%,42.08,123.57ms,123.57,261.04ms,261.04,40.07ms,40.07,2018-11-10 12:19:14
