City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15926km,15926,336.80ms,336.8,47.40%,47.4,336.37ms,336.37,337.98ms,337.98,0.74ms,0.74,2018-11-10 12:19:16
"Albany United States, North America",5692km,5692,126.45ms,126.45,45.17%,45.17,86.76ms,86.76,207.11ms,207.11,41.60ms,41.6,2018-11-10 12:19:16
"Alblasserdam Netherlands, Eurasia",48km,48,4.19ms,4.19,12.00%,12.0,3.92ms,3.92,4.56ms,4.56,0.17ms,0.17,2018-11-10 12:19:16
"Albuquerque United States, North America",8246km,8246,129.03ms,129.03,63.92%,63.92,124.47ms,124.47,173.05ms,173.05,12.46ms,12.46,2018-11-10 12:19:16
"Algiers Algeria, Africa",1733km,1733,49.38ms,49.38,35.37%,35.37,48.56ms,48.56,52.04ms,52.04,0.61ms,0.61,2018-11-10 12:19:16
"Anchorage United States, North America",7195km,7195,168.06ms,168.06,42.83%,42.83,167.61ms,167.61,168.62ms,168.62,0.54ms,0.54,2018-11-10 12:19:17
"Ankara Turkey, Eurasia",2545km,2545,56.35ms,56.35,45.45%,45.45,56.07ms,56.07,57.34ms,57.34,0.37ms,0.37,2018-11-10 12:19:17
"Antwerp Belgium, Eurasia",121km,121,8.43ms,8.43,15.12%,15.12,8.25ms,8.25,8.67ms,8.67,0.18ms,0.18,2018-11-10 12:19:17
"Arezzo Italy, Eurasia",1116km,1116,33.11ms,33.11,33.82%,33.82,32.95ms,32.95,33.38ms,33.38,0.23ms,0.23,2018-11-10 12:19:17
"Asheville United States, North America",6787km,6787,93.87ms,93.87,72.98%,72.98,93.69ms,93.69,94.03ms,94.03,0.44ms,0.44,2018-11-10 12:19:17
"Athens Greece, Eurasia",2170km,2170,58.01ms,58.01,37.41%,37.41,57.65ms,57.65,60.87ms,60.87,0.66ms,0.66,2018-11-10 12:19:17
"Atlanta United States, North America",7052km,7052,100.44ms,100.44,70.52%,70.52,99.88ms,99.88,105.71ms,105.71,1.10ms,1.1,2018-11-10 12:19:17
"Auckland New Zealand, Oceania",18132km,18132,303.64ms,303.64,59.84%,59.84,303.45ms,303.45,303.89ms,303.89,0.37ms,0.37,2018-11-10 12:19:17
"Austin United States, North America",8170km,8170,126.29ms,126.29,64.84%,64.84,115.31ms,115.31,180.47ms,180.47,15.96ms,15.96,2018-11-10 12:19:17
"Baltimore United States, North America",6126km,6126,86.51ms,86.51,71.23%,71.23,86.10ms,86.1,88.10ms,88.1,0.64ms,0.64,2018-11-10 12:19:17
"Bangalore India, Eurasia",7712km,7712,165.04ms,165.04,46.74%,46.74,164.80ms,164.8,165.42ms,165.42,0.51ms,0.51,2018-11-10 12:19:17
"Bangkok Thailand, Eurasia",9191km,9191,210.46ms,210.46,43.77%,43.77,203.91ms,203.91,245.69ms,245.69,11.37ms,11.37,2018-11-10 12:19:17
"Barcelona Spain, Eurasia",1228km,1228,40.13ms,40.13,30.70%,30.7,39.65ms,39.65,43.06ms,43.06,0.74ms,0.74,2018-11-10 12:19:17
"Basel Switzerland, Eurasia",566km,566,27.58ms,27.58,20.96%,20.96,27.39ms,27.39,27.82ms,27.82,0.22ms,0.22,2018-11-10 12:19:17
"Belfast United Kingdom, Eurasia",748km,748,23.84ms,23.84,32.52%,32.52,23.59ms,23.59,25.08ms,25.08,0.29ms,0.29,2018-11-10 12:19:17
"Bergen Norway, Eurasia",899km,899,40.28ms,40.28,22.48%,22.48,39.87ms,39.87,45.34ms,45.34,0.97ms,0.97,2018-11-10 12:19:17
"Berkeley Springs United States, North America",6202km,6202,99.51ms,99.51,62.65%,62.65,99.28ms,99.28,99.83ms,99.83,0.35ms,0.35,2018-11-10 12:19:17
"Bern Switzerland, Eurasia",627km,627,33.39ms,33.39,19.00%,19.0,33.12ms,33.12,33.69ms,33.69,0.18ms,0.18,2018-11-10 12:19:17
"Bogota Colombia, South America",8843km,8843,200.00ms,200.0,44.44%,44.44,199.46ms,199.46,209.16ms,209.16,1.75ms,1.75,2018-11-10 12:19:17
"Boston United States, North America",5549km,5549,79.25ms,79.25,70.24%,70.24,78.94ms,78.94,79.69ms,79.69,0.20ms,0.2,2018-11-10 12:19:17
"Brasilia Brazil, South America",9101km,9101,237.81ms,237.81,38.40%,38.4,235.63ms,235.63,245.49ms,245.49,3.06ms,3.06,2018-11-10 12:19:17
"Bratislava Slovakia, Eurasia",994km,994,39.67ms,39.67,25.49%,25.49,39.47ms,39.47,40.80ms,40.8,0.36ms,0.36,2018-11-10 12:19:17
"Brisbane Australia, Oceania",16213km,16213,323.03ms,323.03,50.20%,50.2,322.73ms,322.73,324.03ms,324.03,0.65ms,0.65,2018-11-10 12:19:17
"Bristol United Kingdom, Eurasia",508km,508,12.65ms,12.65,42.33%,42.33,12.38ms,12.38,13.46ms,13.46,0.27ms,0.27,2018-11-10 12:19:17
"Brno Czech Republic, Eurasia",905km,905,26.46ms,26.46,34.81%,34.81,26.29ms,26.29,26.91ms,26.91,0.19ms,0.19,2018-11-10 12:19:17
"Bruges Belgium, Eurasia",157km,157,16.84ms,16.84,9.81%,9.81,16.27ms,16.27,22.64ms,22.64,1.22ms,1.22,2018-11-10 12:19:17
