City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15411km,15411,338.77ms,338.77,45.59%,45.59,338.35ms,338.35,341.86ms,341.86,0.98ms,0.98,2018-11-10 12:19:48
"Albany United States, North America",6617km,6617,136.13ms,136.13,48.65%,48.65,102.90ms,102.9,232.77ms,232.77,42.54ms,42.54,2018-11-10 12:19:48
"Alblasserdam Netherlands, Eurasia",1077km,1077,33.15ms,33.15,32.64%,32.64,33.01ms,33.01,34.54ms,34.54,0.35ms,0.35,2018-11-10 12:19:48
"Albuquerque United States, North America",9291km,9291,161.27ms,161.27,57.71%,57.71,156.01ms,156.01,204.89ms,204.89,11.77ms,11.77,2018-11-10 12:19:48
"Algiers Algeria, Africa",1057km,1057,40.02ms,40.02,26.43%,26.43,39.21ms,39.21,42.12ms,42.12,0.61ms,0.61,2018-11-10 12:19:48
"Amsterdam Netherlands, Eurasia",1116km,1116,33.18ms,33.18,33.82%,33.82,32.98ms,32.98,34.01ms,34.01,0.33ms,0.33,2018-11-10 12:19:48
"Anchorage United States, North America",8260km,8260,207.01ms,207.01,39.90%,39.9,206.68ms,206.68,207.73ms,207.73,0.52ms,0.52,2018-11-10 12:19:48
"Ankara Turkey, Eurasia",1782km,1782,63.51ms,63.51,28.29%,28.29,63.26ms,63.26,65.26ms,65.26,0.47ms,0.47,2018-11-10 12:19:48
"Antwerp Belgium, Eurasia",1027km,1027,28.12ms,28.12,36.68%,36.68,28.02ms,28.02,29.28ms,29.28,0.27ms,0.27,2018-11-10 12:19:48
"Asheville United States, North America",7697km,7697,118.98ms,118.98,65.23%,65.23,118.81ms,118.81,120.08ms,120.08,0.54ms,0.54,2018-11-10 12:19:48
"Athens Greece, Eurasia",1169km,1169,61.38ms,61.38,19.16%,19.16,61.21ms,61.21,62.12ms,62.12,0.38ms,0.38,2018-11-10 12:19:48
