City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14784km,14784,218.17ms,218.17,67.82%,67.82,214.73ms,214.73,229.07ms,229.07,3.74ms,3.74,2018-11-10 12:19:27
"Albany United States, North America",2541km,2541,73.57ms,73.57,34.81%,34.81,38.78ms,38.78,162.17ms,162.17,40.85ms,40.85,2018-11-10 12:19:27
"Alblasserdam Netherlands, Eurasia",8190km,8190,115.81ms,115.81,71.22%,71.22,113.66ms,113.66,137.99ms,137.99,4.62ms,4.62,2018-11-10 12:19:27
"Albuquerque United States, North America",989km,989,35.13ms,35.13,28.26%,28.26,26.68ms,26.68,75.84ms,75.84,14.89ms,14.89,2018-11-10 12:19:27
"Algiers Algeria, Africa",8911km,8911,146.88ms,146.88,61.03%,61.03,139.80ms,139.8,216.73ms,216.73,14.26ms,14.26,2018-11-10 12:19:27
"Amsterdam Netherlands, Eurasia",8170km,8170,122.19ms,122.19,66.97%,66.97,115.52ms,115.52,174.26ms,174.26,13.44ms,13.44,2018-11-10 12:19:27
"Anchorage United States, North America",5097km,5097,104.07ms,104.07,49.01%,49.01,97.87ms,97.87,170.94ms,170.94,15.46ms,15.46,2018-11-10 12:19:27
"Ankara Turkey, Eurasia",10698km,10698,164.34ms,164.34,65.23%,65.23,155.41ms,155.41,232.62ms,232.62,19.13ms,19.13,2018-11-10 12:19:27
"Antwerp Belgium, Eurasia",8209km,8209,128.05ms,128.05,64.13%,64.13,117.50ms,117.5,197.38ms,197.38,15.37ms,15.37,2018-11-10 12:19:27
"Arezzo Italy, Eurasia",9140km,9140,148.06ms,148.06,61.76%,61.76,138.23ms,138.23,200.12ms,200.12,14.17ms,14.17,2018-11-10 12:19:27
"Asheville United States, North America",1536km,1536,49.52ms,49.52,31.35%,31.35,40.76ms,40.76,89.35ms,89.35,11.79ms,11.79,2018-11-10 12:19:27
"Athens Greece, Eurasia",10300km,10300,169.99ms,169.99,60.95%,60.95,161.56ms,161.56,230.29ms,230.29,12.53ms,12.53,2018-11-10 12:19:28
"Atlanta United States, North America",1317km,1317,27.42ms,27.42,48.78%,48.78,18.72ms,18.72,105.13ms,105.13,16.67ms,16.67,2018-11-10 12:19:28
"Auckland New Zealand, Oceania",11766km,11766,205.53ms,205.53,57.40%,57.4,197.40ms,197.4,240.55ms,240.55,9.25ms,9.25,2018-11-10 12:19:28
"Baltimore United States, North America",2169km,2169,49.72ms,49.72,44.27%,44.27,39.51ms,39.51,79.46ms,79.46,11.18ms,11.18,2018-11-10 12:19:28
"Bangalore India, Eurasia",15187km,15187,262.31ms,262.31,57.97%,57.97,255.84ms,255.84,360.18ms,360.18,18.63ms,18.63,2018-11-10 12:19:28
"Bangkok Thailand, Eurasia",14751km,14751,265.85ms,265.85,55.66%,55.66,251.63ms,251.63,342.88ms,342.88,19.45ms,19.45,2018-11-10 12:19:28
"Barcelona Spain, Eurasia",8587km,8587,136.65ms,136.65,63.14%,63.14,126.95ms,126.95,207.00ms,207.0,16.46ms,16.46,2018-11-10 12:19:28
"Basel Switzerland, Eurasia",8612km,8612,137.43ms,137.43,62.86%,62.86,132.46ms,132.46,155.28ms,155.28,6.02ms,6.02,2018-11-10 12:19:28
"Belfast United Kingdom, Eurasia",7424km,7424,133.87ms,133.87,55.82%,55.82,125.17ms,125.17,167.85ms,167.85,9.84ms,9.84,2018-11-10 12:19:28
"Bergen Norway, Eurasia",7791km,7791,156.27ms,156.27,49.94%,49.94,149.81ms,149.81,197.02ms,197.02,9.31ms,9.31,2018-11-10 12:19:28
"Berkeley Springs United States, North America",2056km,2056,49.69ms,49.69,41.96%,41.96,42.83ms,42.83,74.47ms,74.47,7.58ms,7.58,2018-11-10 12:19:28
"Bern Switzerland, Eurasia",8638km,8638,169.91ms,169.91,51.11%,51.11,152.07ms,152.07,229.89ms,229.89,22.81ms,22.81,2018-11-10 12:19:28
"Bogota Colombia, South America",3782km,3782,112.44ms,112.44,33.77%,33.77,93.30ms,93.3,180.16ms,180.16,23.19ms,23.19,2018-11-10 12:19:28
"Boston United States, North America",2728km,2728,54.34ms,54.34,50.52%,50.52,41.41ms,41.41,96.36ms,96.36,15.60ms,15.6,2018-11-10 12:19:28
"Brasilia Brazil, South America",7397km,7397,171.57ms,171.57,43.26%,43.26,148.36ms,148.36,617.89ms,617.89,84.82ms,84.82,2018-11-10 12:19:28
"Bratislava Slovakia, Eurasia",9160km,9160,146.86ms,146.86,62.74%,62.74,141.05ms,141.05,190.12ms,190.12,9.44ms,9.44,2018-11-10 12:19:28
"Brisbane Australia, Oceania",13234km,13234,194.10ms,194.1,68.22%,68.22,188.53ms,188.53,270.97ms,270.97,14.66ms,14.66,2018-11-10 12:19:28
"Bristol United Kingdom, Eurasia",7761km,7761,116.04ms,116.04,66.91%,66.91,108.11ms,108.11,147.24ms,147.24,10.90ms,10.9,2018-11-10 12:19:28
"Brno Czech Republic, Eurasia",9060km,9060,159.23ms,159.23,56.98%,56.98,146.70ms,146.7,202.64ms,202.64,14.68ms,14.68,2018-11-10 12:19:28
"Bruges Belgium, Eurasia",8137km,8137,125.11ms,125.11,65.10%,65.1,112.76ms,112.76,179.47ms,179.47,17.19ms,17.19,2018-11-10 12:19:28
"Brunswick United States, North America",2875km,2875,51.34ms,51.34,56.37%,56.37,45.99ms,45.99,67.86ms,67.86,5.55ms,5.55,2018-11-10 12:19:28
"Brussels Belgium, Eurasia",8226km,8226,126.79ms,126.79,65.29%,65.29,115.47ms,115.47,177.33ms,177.33,14.76ms,14.76,2018-11-10 12:19:28
"Bucharest Romania, Eurasia",9953km,9953,157.06ms,157.06,63.39%,63.39,153.37ms,153.37,171.27ms,171.27,4.45ms,4.45,2018-11-10 12:19:28
"Budapest Hungary, Eurasia",9318km,9318,154.84ms,154.84,60.51%,60.51,145.56ms,145.56,205.94ms,205.94,12.89ms,12.89,2018-11-10 12:19:28
"Buenos Aires Argentina, South America",8310km,8310,177.21ms,177.21,46.95%,46.95,168.33ms,168.33,196.68ms,196.68,8.26ms,8.26,2018-11-10 12:19:28
"Buffalo United States, North America",2185km,2185,50.95ms,50.95,43.70%,43.7,43.71ms,43.71,75.89ms,75.89,8.40ms,8.4,2018-11-10 12:19:28
"Bursa Turkey, Eurasia",10458km,10458,162.13ms,162.13,64.56%,64.56,151.21ms,151.21,218.88ms,218.88,14.67ms,14.67,2018-11-10 12:19:28
"Cairo Egypt, Africa",11410km,11410,177.00ms,177.0,64.83%,64.83,167.04ms,167.04,236.00ms,236.0,13.60ms,13.6,2018-11-10 12:19:28
"Calgary Canada, North America",2678km,2678,82.49ms,82.49,32.66%,32.66,72.44ms,72.44,152.27ms,152.27,17.17ms,17.17,2018-11-10 12:19:28
"Canberra Australia, Oceania",13860km,13860,230.99ms,230.99,60.26%,60.26,220.13ms,220.13,280.19ms,280.19,16.26ms,16.26,2018-11-10 12:19:28
"Cape Town South Africa, Africa",14091km,14091,260.20ms,260.2,54.20%,54.2,251.05ms,251.05,305.64ms,305.64,12.21ms,12.21,2018-11-10 12:19:28
"Caracas Venezuela, South America",3873km,3873,86.52ms,86.52,45.03%,45.03,78.09ms,78.09,119.27ms,119.27,9.12ms,9.12,2018-11-10 12:19:28
"Cardiff United Kingdom, Eurasia",7722km,7722,147.82ms,147.82,52.53%,52.53,112.04ms,112.04,218.90ms,218.9,29.38ms,29.38,2018-11-10 12:19:28
"Carlow Ireland, Eurasia",7429km,7429,136.68ms,136.68,54.62%,54.62,125.83ms,125.83,182.86ms,182.86,12.17ms,12.17,2018-11-10 12:19:28
"Charlotte United States, North America",1673km,1673,36.25ms,36.25,46.47%,46.47,25.68ms,25.68,96.85ms,96.85,15.39ms,15.39,2018-11-10 12:19:28
"Cheltenham United Kingdom, Eurasia",7774km,7774,121.79ms,121.79,64.25%,64.25,110.58ms,110.58,202.25ms,202.25,18.15ms,18.15,2018-11-10 12:19:28
"Chennai India, Eurasia",15196km,15196,253.18ms,253.18,60.06%,60.06,244.59ms,244.59,276.40ms,276.4,8.61ms,8.61,2018-11-10 12:19:28
"Chicago United States, North America",1575km,1575,41.92ms,41.92,38.41%,38.41,32.92ms,32.92,88.18ms,88.18,14.47ms,14.47,2018-11-10 12:19:28
"Chisinau Moldova, Eurasia",9904km,9904,176.95ms,176.95,56.27%,56.27,162.92ms,162.92,234.89ms,234.89,18.70ms,18.7,2018-11-10 12:19:28
"Christchurch New Zealand, Oceania",12241km,12241,236.35ms,236.35,51.87%,51.87,232.58ms,232.58,265.47ms,265.47,6.38ms,6.38,2018-11-10 12:19:28
"Cincinnati United States, North America",1557km,1557,36.70ms,36.7,43.25%,43.25,30.55ms,30.55,64.70ms,64.7,7.25ms,7.25,2018-11-10 12:19:28
"Cleveland United States, North America",1943km,1943,53.32ms,53.32,36.66%,36.66,46.12ms,46.12,118.19ms,118.19,13.45ms,13.45,2018-11-10 12:19:28
"Colorado Springs United States, North America",1154km,1154,31.46ms,31.46,37.23%,37.23,26.73ms,26.73,46.94ms,46.94,5.50ms,5.5,2018-11-10 12:19:28
"Columbus United States, North America",1718km,1718,42.34ms,42.34,40.90%,40.9,37.45ms,37.45,62.91ms,62.91,6.00ms,6.0,2018-11-10 12:19:28
"Copenhagen Denmark, Eurasia",8420km,8420,136.24ms,136.24,61.91%,61.91,131.69ms,131.69,163.87ms,163.87,6.03ms,6.03,2018-11-10 12:19:28
"Coventry United Kingdom, Eurasia",7786km,7786,114.96ms,114.96,68.30%,68.3,111.24ms,111.24,125.41ms,125.41,3.40ms,3.4,2018-11-10 12:19:28
"Cromwell United States, North America",2575km,2575,52.90ms,52.9,49.52%,49.52,45.20ms,45.2,142.31ms,142.31,17.49ms,17.49,2018-11-10 12:19:28
"Dagupan Philippines, Eurasia",13453km,13453,208.70ms,208.7,64.68%,64.68,196.49ms,196.49,244.28ms,244.28,11.47ms,11.47,2018-11-10 12:19:28
"Dallas United States, North America",295km,295,17.29ms,17.29,17.35%,17.35,7.99ms,7.99,70.92ms,70.92,15.36ms,15.36,2018-11-10 12:19:28
"Dar es Salaam Tanzania, Africa",14839km,14839,258.15ms,258.15,57.52%,57.52,244.60ms,244.6,359.68ms,359.68,22.72ms,22.72,2018-11-10 12:19:28
"Denver United States, North America",1243km,1243,40.40ms,40.4,31.07%,31.07,30.64ms,30.64,88.62ms,88.62,12.24ms,12.24,2018-11-10 12:19:28
"Des Moines United States, North America",1314km,1314,35.52ms,35.52,37.54%,37.54,21.57ms,21.57,73.37ms,73.37,15.38ms,15.38,2018-11-10 12:19:28
"Detroit United States, North America",1877km,1877,39.80ms,39.8,48.13%,48.13,34.15ms,34.15,54.11ms,54.11,6.20ms,6.2,2018-11-10 12:19:28
"Dhaka Bangladesh, Eurasia",13957km,13957,272.81ms,272.81,51.31%,51.31,267.81ms,267.81,290.05ms,290.05,5.34ms,5.34,2018-11-10 12:19:28
"Dronten Netherlands, Eurasia",8219km,8219,118.88ms,118.88,69.65%,69.65,111.70ms,111.7,156.04ms,156.04,9.71ms,9.71,2018-11-10 12:19:28
"Dubai United Arab Emirates, Eurasia",13243km,13243,236.27ms,236.27,56.11%,56.11,229.62ms,229.62,267.56ms,267.56,10.26ms,10.26,2018-11-10 12:19:28
"Dublin Ireland, Eurasia",7452km,7452,117.84ms,117.84,63.69%,63.69,113.30ms,113.3,160.04ms,160.04,8.96ms,8.96,2018-11-10 12:19:28
"Dusseldorf Germany, Eurasia",8353km,8353,134.59ms,134.59,62.34%,62.34,126.95ms,126.95,173.72ms,173.72,13.02ms,13.02,2018-11-10 12:19:28
"Edinburgh United Kingdom, Eurasia",7533km,7533,128.35ms,128.35,58.85%,58.85,119.46ms,119.46,187.86ms,187.86,15.14ms,15.14,2018-11-10 12:19:28
"Edmonton Canada, North America",2898km,2898,83.62ms,83.62,34.92%,34.92,80.45ms,80.45,104.17ms,104.17,4.58ms,4.58,2018-11-10 12:19:28
"Eindhoven Netherlands, Eurasia",8262km,8262,124.13ms,124.13,66.63%,66.63,116.92ms,116.92,155.88ms,155.88,7.88ms,7.88,2018-11-10 12:19:28
"Falkenstein Germany, Eurasia",8730km,8730,137.01ms,137.01,63.72%,63.72,130.85ms,130.85,156.76ms,156.76,6.77ms,6.77,2018-11-10 12:19:28
