City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",6742km,6742,210.64ms,210.64,32.10%,32.1,210.35ms,210.35,211.51ms,211.51,0.66ms,0.66,2018-11-10 12:21:29
"Albany United States, North America",13709km,13709,296.59ms,296.59,46.31%,46.31,260.98ms,260.98,363.30ms,363.3,39.90ms,39.9,2018-11-10 12:21:29
"Alblasserdam Netherlands, Eurasia",9205km,9205,246.47ms,246.47,37.42%,37.42,246.22ms,246.22,248.12ms,248.12,0.55ms,0.55,2018-11-10 12:21:29
"Albuquerque United States, North America",13880km,13880,287.18ms,287.18,48.36%,48.36,277.55ms,277.55,356.40ms,356.4,17.68ms,17.68,2018-11-10 12:21:29
"Algiers Algeria, Africa",9744km,9744,179.98ms,179.98,54.44%,54.44,177.88ms,177.88,205.18ms,205.18,5.20ms,5.2,2018-11-10 12:21:29
"Amsterdam Netherlands, Eurasia",9191km,9191,205.48ms,205.48,44.83%,44.83,204.06ms,204.06,230.02ms,230.02,4.64ms,4.64,2018-11-10 12:21:29
"Anchorage United States, North America",9683km,9683,269.71ms,269.71,36.00%,36.0,269.16ms,269.16,272.46ms,272.46,0.88ms,0.88,2018-11-10 12:21:29
"Ankara Turkey, Eurasia",7133km,7133,250.26ms,250.26,28.53%,28.53,247.74ms,247.74,268.71ms,268.71,5.22ms,5.22,2018-11-10 12:21:29
"Antwerp Belgium, Eurasia",9238km,9238,179.92ms,179.92,51.61%,51.61,165.16ms,165.16,299.25ms,299.25,34.94ms,34.94,2018-11-10 12:21:29
"Arezzo Italy, Eurasia",8853km,8853,165.09ms,165.09,53.65%,53.65,164.49ms,164.49,174.49ms,174.49,1.81ms,1.81,2018-11-10 12:21:29
"Asheville United States, North America",14522km,14522,240.91ms,240.91,60.51%,60.51,238.92ms,238.92,248.91ms,248.91,2.38ms,2.38,2018-11-10 12:21:29
"Athens Greece, Eurasia",7924km,7924,393.78ms,393.78,20.16%,20.16,391.25ms,391.25,425.22ms,425.22,7.56ms,7.56,2018-11-10 12:21:29
"Atlanta United States, North America",14712km,14712,247.60ms,247.6,59.56%,59.56,244.19ms,244.19,271.43ms,271.43,7.31ms,7.31,2018-11-10 12:21:29
"Auckland New Zealand, Oceania",9574km,9574,180.18ms,180.18,53.19%,53.19,149.60ms,149.6,326.54ms,326.54,43.60ms,43.6,2018-11-10 12:21:29
"Austin United States, North America",14751km,14751,270.55ms,270.55,54.63%,54.63,252.37ms,252.37,346.24ms,346.24,19.34ms,19.34,2018-11-10 12:21:29
"Baltimore United States, North America",14114km,14114,236.31ms,236.31,59.81%,59.81,226.21ms,226.21,326.55ms,326.55,19.98ms,19.98,2018-11-10 12:21:29
"Bangalore India, Eurasia",2477km,2477,185.05ms,185.05,13.39%,13.39,183.16ms,183.16,204.25ms,204.25,4.94ms,4.94,2018-11-10 12:21:29
"Barcelona Spain, Eurasia",9680km,9680,304.96ms,304.96,31.84%,31.84,300.73ms,300.73,351.49ms,351.49,10.07ms,10.07,2018-11-10 12:21:29
"Basel Switzerland, Eurasia",9100km,9100,271.30ms,271.3,33.58%,33.58,269.85ms,269.85,291.15ms,291.15,4.20ms,4.2,2018-11-10 12:21:29
"Belfast United Kingdom, Eurasia",9788km,9788,184.18ms,184.18,53.20%,53.2,182.68ms,182.68,208.96ms,208.96,4.80ms,4.8,2018-11-10 12:21:29
"Bergen Norway, Eurasia",8963km,8963,297.35ms,297.35,30.18%,30.18,297.02ms,297.02,299.17ms,299.17,0.71ms,0.71,2018-11-10 12:21:29
"Berkeley Springs United States, North America",14082km,14082,260.87ms,260.87,54.16%,54.16,258.83ms,258.83,273.33ms,273.33,3.86ms,3.86,2018-11-10 12:21:29
"Bern Switzerland, Eurasia",9124km,9124,175.25ms,175.25,52.14%,52.14,173.83ms,173.83,187.27ms,187.27,3.02ms,3.02,2018-11-10 12:21:29
"Bogota Colombia, South America",17893km,17893,319.01ms,319.01,56.09%,56.09,316.68ms,316.68,334.58ms,334.58,4.70ms,4.7,2018-11-10 12:21:29
"Boston United States, North America",13720km,13720,270.96ms,270.96,50.81%,50.81,262.85ms,262.85,342.69ms,342.69,17.13ms,17.13,2018-11-10 12:21:29
"Brasilia Brazil, South America",16613km,16613,392.00ms,392.0,42.49%,42.49,356.53ms,356.53,805.06ms,805.06,90.25ms,90.25,2018-11-10 12:21:29
"Bratislava Slovakia, Eurasia",8388km,8388,180.08ms,180.08,46.60%,46.6,171.64ms,171.64,221.33ms,221.33,13.48ms,13.48,2018-11-10 12:21:29
"Brisbane Australia, Oceania",7287km,7287,176.41ms,176.41,41.40%,41.4,163.11ms,163.11,267.73ms,267.73,26.81ms,26.81,2018-11-10 12:21:29
"Bristol United Kingdom, Eurasia",9697km,9697,173.06ms,173.06,56.05%,56.05,158.20ms,158.2,228.42ms,228.42,19.15ms,19.15,2018-11-10 12:21:29
"Brno Czech Republic, Eurasia",8414km,8414,192.65ms,192.65,43.82%,43.82,183.58ms,183.58,250.22ms,250.22,15.95ms,15.95,2018-11-10 12:21:29
"Bruges Belgium, Eurasia",9317km,9317,274.70ms,274.7,34.00%,34.0,271.61ms,271.61,302.10ms,302.1,6.38ms,6.38,2018-11-10 12:21:29
"Brunswick United States, North America",13534km,13534,246.59ms,246.59,55.02%,55.02,244.13ms,244.13,265.44ms,265.44,5.20ms,5.2,2018-11-10 12:21:29
"Brussels Belgium, Eurasia",9251km,9251,274.56ms,274.56,33.76%,33.76,263.08ms,263.08,341.35ms,341.35,21.87ms,21.87,2018-11-10 12:21:29
"Bucharest Romania, Eurasia",7710km,7710,190.30ms,190.3,40.58%,40.58,189.52ms,189.52,200.59ms,200.59,1.99ms,1.99,2018-11-10 12:21:29
"Budapest Hungary, Eurasia",8248km,8248,172.99ms,172.99,47.95%,47.95,171.43ms,171.43,179.47ms,179.47,2.28ms,2.28,2018-11-10 12:21:29
"Buenos Aires Argentina, South America",16876km,16876,416.08ms,416.08,40.57%,40.57,406.97ms,406.97,484.00ms,484.0,15.29ms,15.29,2018-11-10 12:21:29
"Buffalo United States, North America",13720km,13720,284.98ms,284.98,48.31%,48.31,272.27ms,272.27,354.01ms,354.01,20.87ms,20.87,2018-11-10 12:21:29
"Bursa Turkey, Eurasia",7459km,7459,272.18ms,272.18,27.42%,27.42,240.24ms,240.24,373.59ms,373.59,38.62ms,38.62,2018-11-10 12:21:29
"Cairo Egypt, Africa",7270km,7270,247.84ms,247.84,29.43%,29.43,234.61ms,234.61,269.57ms,269.57,9.80ms,9.8,2018-11-10 12:21:29
"Calgary Canada, North America",12073km,12073,308.95ms,308.95,39.20%,39.2,297.60ms,297.6,403.72ms,403.72,21.24ms,21.24,2018-11-10 12:21:29
"Canberra Australia, Oceania",7482km,7482,167.33ms,167.33,44.80%,44.8,165.26ms,165.26,188.37ms,188.37,4.74ms,4.74,2018-11-10 12:21:29
"Cape Town South Africa, Africa",10147km,10147,302.65ms,302.65,33.60%,33.6,297.40ms,297.4,330.54ms,330.54,10.01ms,10.01,2018-11-10 12:21:29
"Caracas Venezuela, South America",16987km,16987,320.78ms,320.78,53.08%,53.08,308.42ms,308.42,439.86ms,439.86,30.59ms,30.59,2018-11-10 12:21:29
"Cardiff United Kingdom, Eurasia",9735km,9735,162.90ms,162.9,60.09%,60.09,159.30ms,159.3,183.60ms,183.6,5.78ms,5.78,2018-11-10 12:21:29
"Carlow Ireland, Eurasia",9922km,9922,173.59ms,173.59,57.35%,57.35,168.04ms,168.04,254.51ms,254.51,15.63ms,15.63,2018-11-10 12:21:29
"Charlotte United States, North America",14571km,14571,248.16ms,248.16,58.75%,58.75,246.83ms,246.83,264.29ms,264.29,3.30ms,3.3,2018-11-10 12:21:29
"Cheltenham United Kingdom, Eurasia",9648km,9648,292.62ms,292.62,33.04%,33.04,291.44ms,291.44,301.21ms,301.21,2.25ms,2.25,2018-11-10 12:21:29
"Chennai India, Eurasia",2187km,2187,161.54ms,161.54,13.58%,13.58,160.42ms,160.42,174.00ms,174.0,2.68ms,2.68,2018-11-10 12:21:29
"Chicago United States, North America",13780km,13780,250.67ms,250.67,55.12%,55.12,250.15ms,250.15,254.35ms,254.35,0.85ms,0.85,2018-11-10 12:21:29
"Chisinau Moldova, Eurasia",7503km,7503,200.27ms,200.27,37.52%,37.52,197.38ms,197.38,233.88ms,233.88,7.71ms,7.71,2018-11-10 12:21:29
"Christchurch New Zealand, Oceania",9674km,9674,275.42ms,275.42,35.18%,35.18,274.14ms,274.14,289.81ms,289.81,3.14ms,3.14,2018-11-10 12:21:29
"Cincinnati United States, North America",14119km,14119,253.91ms,253.91,55.81%,55.81,245.40ms,245.4,335.52ms,335.52,16.75ms,16.75,2018-11-10 12:21:29
"Cleveland United States, North America",13851km,13851,266.08ms,266.08,52.07%,52.07,263.77ms,263.77,293.77ms,293.77,5.45ms,5.45,2018-11-10 12:21:29
"Colorado Springs United States, North America",13606km,13606,277.45ms,277.45,49.12%,49.12,269.69ms,269.69,309.28ms,309.28,8.59ms,8.59,2018-11-10 12:21:29
"Columbus United States, North America",14035km,14035,250.61ms,250.61,56.14%,56.14,244.83ms,244.83,295.44ms,295.44,9.26ms,9.26,2018-11-10 12:21:29
"Copenhagen Denmark, Eurasia",8621km,8621,201.61ms,201.61,42.89%,42.89,200.75ms,200.75,204.67ms,204.67,0.89ms,0.89,2018-11-10 12:21:29
"Coventry United Kingdom, Eurasia",9594km,9594,159.78ms,159.78,60.34%,60.34,158.18ms,158.18,174.12ms,174.12,3.58ms,3.58,2018-11-10 12:21:29
"Cromwell United States, North America",13824km,13824,243.24ms,243.24,56.89%,56.89,239.86ms,239.86,248.76ms,248.76,2.85ms,2.85,2018-11-10 12:21:30
"Dagupan Philippines, Eurasia",2147km,2147,71.75ms,71.75,30.24%,30.24,69.16ms,69.16,97.55ms,97.55,6.16ms,6.16,2018-11-10 12:21:30
"Dallas United States, North America",14528km,14528,261.69ms,261.69,55.66%,55.66,257.29ms,257.29,287.56ms,287.56,6.27ms,6.27,2018-11-10 12:21:30
"Dar es Salaam Tanzania, Africa",7131km,7131,342.66ms,342.66,20.85%,20.85,340.86ms,340.86,380.41ms,380.41,7.06ms,7.06,2018-11-10 12:21:30
"Denver United States, North America",13513km,13513,229.10ms,229.1,59.01%,59.01,228.30ms,228.3,236.02ms,236.02,1.72ms,1.72,2018-11-10 12:21:30
"Des Moines United States, North America",13697km,13697,268.99ms,268.99,51.11%,51.11,264.74ms,264.74,300.44ms,300.44,10.04ms,10.04,2018-11-10 12:21:30
"Detroit United States, North America",13772km,13772,244.50ms,244.5,56.44%,56.44,243.69ms,243.69,258.78ms,258.78,2.67ms,2.67,2018-11-10 12:21:30
"Dhaka Bangladesh, Eurasia",1534km,1534,203.97ms,203.97,7.56%,7.56,201.94ms,201.94,238.57ms,238.57,6.62ms,6.62,2018-11-10 12:21:30
"Dronten Netherlands, Eurasia",9118km,9118,172.75ms,172.75,53.01%,53.01,171.42ms,171.42,180.43ms,180.43,1.94ms,1.94,2018-11-10 12:21:30
"Dubai United Arab Emirates, Eurasia",4875km,4875,184.44ms,184.44,26.49%,26.49,183.57ms,183.57,199.93ms,199.93,2.95ms,2.95,2018-11-10 12:21:30
"Dublin Ireland, Eurasia",9859km,9859,206.16ms,206.16,47.86%,47.86,178.26ms,178.26,286.13ms,286.13,32.01ms,32.01,2018-11-10 12:21:30
"Dusseldorf Germany, Eurasia",9076km,9076,171.61ms,171.61,53.08%,53.08,171.25ms,171.25,174.07ms,174.07,0.55ms,0.55,2018-11-10 12:21:30
"Edinburgh United Kingdom, Eurasia",9574km,9574,165.38ms,165.38,58.02%,58.02,164.01ms,164.01,181.04ms,181.04,3.21ms,3.21,2018-11-10 12:21:30
"Edmonton Canada, North America",11855km,11855,314.34ms,314.34,37.75%,37.75,285.11ms,285.11,365.49ms,365.49,22.89ms,22.89,2018-11-10 12:21:30
"Eindhoven Netherlands, Eurasia",9160km,9160,179.97ms,179.97,51.17%,51.17,160.16ms,160.16,302.09ms,302.09,36.50ms,36.5,2018-11-10 12:21:30
"Falkenstein Germany, Eurasia",8703km,8703,165.28ms,165.28,52.75%,52.75,157.73ms,157.73,224.79ms,224.79,15.72ms,15.72,2018-11-10 12:21:30
"Fez Morocco, Africa",10532km,10532,247.11ms,247.11,42.64%,42.64,246.20ms,246.2,254.90ms,254.9,1.67ms,1.67,2018-11-10 12:21:30
"Frankfurt Germany, Eurasia",8968km,8968,153.83ms,153.83,58.61%,58.61,152.75ms,152.75,171.49ms,171.49,3.58ms,3.58,2018-11-10 12:21:30
"Fremont United States, North America",12795km,12795,206.97ms,206.97,62.11%,62.11,206.45ms,206.45,210.36ms,210.36,0.97ms,0.97,2018-11-10 12:21:30
"Frosinone Italy, Eurasia",8740km,8740,188.23ms,188.23,46.49%,46.49,187.82ms,187.82,191.66ms,191.66,0.85ms,0.85,2018-11-10 12:21:30
"Gdansk Poland, Eurasia",8245km,8245,190.81ms,190.81,43.39%,43.39,190.49ms,190.49,192.05ms,192.05,0.34ms,0.34,2018-11-10 12:21:30
"Geneva Switzerland, Eurasia",9242km,9242,164.31ms,164.31,56.35%,56.35,162.33ms,162.33,187.36ms,187.36,4.73ms,4.73,2018-11-10 12:21:30
"Gothenburg Sweden, Eurasia",8633km,8633,197.76ms,197.76,43.82%,43.82,196.91ms,196.91,211.61ms,211.61,2.76ms,2.76,2018-11-10 12:21:30
"Green Bay United States, North America",13482km,13482,310.39ms,310.39,43.49%,43.49,300.87ms,300.87,316.32ms,316.32,5.24ms,5.24,2018-11-10 12:21:30
"Groningen Netherlands, Eurasia",9046km,9046,163.74ms,163.74,55.50%,55.5,161.26ms,161.26,185.78ms,185.78,5.44ms,5.44,2018-11-10 12:21:30
"Guadalajara Mexico, North America",15390km,15390,249.29ms,249.29,61.81%,61.81,244.92ms,244.92,307.94ms,307.94,12.22ms,12.22,2018-11-10 12:21:30
"Guatemala Guatemala, North America",17490km,17490,466.09ms,466.09,37.53%,37.53,361.33ms,361.33,796.41ms,796.41,108.01ms,108.01,2018-11-10 12:21:30
"Halifax Canada, North America",13328km,13328,253.53ms,253.53,52.68%,52.68,252.17ms,252.17,266.49ms,266.49,2.91ms,2.91,2018-11-10 12:21:30
"Hamburg Germany, Eurasia",8815km,8815,176.91ms,176.91,50.09%,50.09,176.44ms,176.44,185.56ms,185.56,1.66ms,1.66,2018-11-10 12:21:30
"Hangzhou China, Eurasia",2727km,2727,268.38ms,268.38,10.18%,10.18,258.25ms,258.25,396.59ms,396.59,25.40ms,25.4,2018-11-10 12:21:30
"Hanoi Vietnam, Eurasia",987km,987,83.62ms,83.62,11.89%,11.89,82.01ms,82.01,101.86ms,101.86,4.24ms,4.24,2018-11-10 12:21:30
"Helsinki Finland, Eurasia",7904km,7904,190.97ms,190.97,41.60%,41.6,186.37ms,186.37,247.47ms,247.47,13.40ms,13.4,2018-11-10 12:21:30
"Heredia Costa Rica, North America",17330km,17330,320.09ms,320.09,54.16%,54.16,316.64ms,316.64,342.01ms,342.01,6.68ms,6.68,2018-11-10 12:21:30
"Ho Chi Minh City Vietnam, Eurasia",743km,743,222.60ms,222.6,3.35%,3.35,208.72ms,208.72,290.69ms,290.69,24.18ms,24.18,2018-11-10 12:21:30
"Hong Kong Hong Kong, Eurasia",1729km,1729,78.96ms,78.96,22.17%,22.17,66.31ms,66.31,188.69ms,188.69,31.50ms,31.5,2018-11-10 12:21:30
"Honolulu United States, North America",10630km,10630,250.56ms,250.56,42.52%,42.52,249.72ms,249.72,259.01ms,259.01,1.76ms,1.76,2018-11-10 12:21:30
"Houston United States, North America",14891km,14891,244.80ms,244.8,61.03%,61.03,243.51ms,243.51,252.93ms,252.93,2.38ms,2.38,2018-11-10 12:21:30
"Hyderabad India, Eurasia",2391km,2391,238.74ms,238.74,10.05%,10.05,226.19ms,226.19,286.80ms,286.8,10.57ms,10.57,2018-11-10 12:21:30
"Indianapolis United States, North America",14028km,14028,262.32ms,262.32,53.54%,53.54,261.36ms,261.36,274.46ms,274.46,2.70ms,2.7,2018-11-10 12:21:30
"Indore India, Eurasia",2780km,2780,298.38ms,298.38,9.33%,9.33,297.35ms,297.35,316.15ms,316.15,3.37ms,3.37,2018-11-10 12:21:30
"Istanbul Turkey, Eurasia",7468km,7468,202.24ms,202.24,36.97%,36.97,200.13ms,200.13,221.98ms,221.98,5.21ms,5.21,2018-11-10 12:21:30
"Izmir Turkey, Eurasia",7623km,7623,303.69ms,303.69,25.16%,25.16,302.99ms,302.99,314.25ms,314.25,2.02ms,2.02,2018-11-10 12:21:30
"Jackson United States, North America",14774km,14774,257.40ms,257.4,57.49%,57.49,254.30ms,254.3,272.82ms,272.82,3.99ms,3.99,2018-11-10 12:21:30
"Jacksonville United States, North America",15112km,15112,251.35ms,251.35,60.21%,60.21,251.03ms,251.03,253.48ms,253.48,0.63ms,0.63,2018-11-10 12:21:30
"Jakarta Indonesia, Eurasia",2317km,2317,221.06ms,221.06,10.48%,10.48,220.34ms,220.34,227.86ms,227.86,1.49ms,1.49,2018-11-10 12:21:30
"Jerusalem Israel, Eurasia",6887km,6887,213.90ms,213.9,32.33%,32.33,210.16ms,210.16,221.96ms,221.96,3.23ms,3.23,2018-11-10 12:21:30
"Joao Pessoa Brazil, South America",15084km,15084,351.85ms,351.85,42.97%,42.97,347.97ms,347.97,363.65ms,363.65,3.87ms,3.87,2018-11-10 12:21:30
"Johannesburg South Africa, Africa",8999km,8999,309.27ms,309.27,29.12%,29.12,305.92ms,305.92,319.39ms,319.39,3.21ms,3.21,2018-11-10 12:21:30
"Kampala Uganda, Africa",7617km,7617,310.42ms,310.42,24.57%,24.57,309.88ms,309.88,311.70ms,311.7,0.79ms,0.79,2018-11-10 12:21:30
"Kansas City United States, North America",13937km,13937,237.40ms,237.4,58.81%,58.81,235.61ms,235.61,248.93ms,248.93,3.36ms,3.36,2018-11-10 12:21:30
"Karaganda Kazakhstan, Eurasia",4717km,4717,237.50ms,237.5,19.90%,19.9,237.05ms,237.05,241.59ms,241.59,0.79ms,0.79,2018-11-10 12:21:30
"Kiev Ukraine, Eurasia",7421km,7421,199.55ms,199.55,37.29%,37.29,198.79ms,198.79,204.05ms,204.05,1.25ms,1.25,2018-11-10 12:21:30
