City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16183km,16183,360.35ms,360.35,44.95%,44.95,360.06ms,360.06,361.44ms,361.44,0.86ms,0.86,2018-11-10 12:19:56
"Albany United States, North America",6046km,6046,130.62ms,130.62,46.51%,46.51,92.87ms,92.87,220.53ms,220.53,44.82ms,44.82,2018-11-10 12:19:56
"Alblasserdam Netherlands, Eurasia",1180km,1180,39.39ms,39.39,30.26%,30.26,39.11ms,39.11,39.77ms,39.77,0.21ms,0.21,2018-11-10 12:19:56
"Albuquerque United States, North America",8839km,8839,164.02ms,164.02,53.90%,53.9,159.29ms,159.29,208.26ms,208.26,11.06ms,11.06,2018-11-10 12:19:56
"Algiers Algeria, Africa",520km,520,30.50ms,30.5,17.33%,17.33,29.91ms,29.91,32.73ms,32.73,0.62ms,0.62,2018-11-10 12:19:56
"Amsterdam Netherlands, Eurasia",1228km,1228,40.03ms,40.03,30.70%,30.7,39.66ms,39.66,40.43ms,40.43,0.21ms,0.21,2018-11-10 12:19:56
"Anchorage United States, North America",8332km,8332,190.22ms,190.22,43.85%,43.85,189.75ms,189.75,191.68ms,191.68,0.68ms,0.68,2018-11-10 12:19:56
"Ankara Turkey, Eurasia",2581km,2581,77.99ms,77.99,33.52%,33.52,77.65ms,77.65,79.64ms,79.64,0.48ms,0.48,2018-11-10 12:19:56
"Antwerp Belgium, Eurasia",1106km,1106,29.41ms,29.41,38.14%,38.14,29.12ms,29.12,29.70ms,29.7,0.20ms,0.2,2018-11-10 12:19:56
"Arezzo Italy, Eurasia",828km,828,38.43ms,38.43,21.79%,21.79,38.18ms,38.18,38.72ms,38.72,0.20ms,0.2,2018-11-10 12:19:56
"Asheville United States, North America",7100km,7100,120.84ms,120.84,59.17%,59.17,120.64ms,120.64,121.56ms,121.56,0.43ms,0.43,2018-11-10 12:19:56
"Athens Greece, Eurasia",1878km,1878,70.65ms,70.65,26.83%,26.83,70.31ms,70.31,71.22ms,71.22,0.36ms,0.36,2018-11-10 12:19:56
"Atlanta United States, North America",7354km,7354,110.10ms,110.1,66.85%,66.85,109.60ms,109.6,115.10ms,115.1,1.05ms,1.05,2018-11-10 12:19:56
"Auckland New Zealand, Oceania",19204km,19204,317.12ms,317.12,60.58%,60.58,316.88ms,316.88,317.54ms,317.54,0.54ms,0.54,2018-11-10 12:19:56
"Austin United States, North America",8587km,8587,138.22ms,138.22,62.22%,62.22,127.36ms,127.36,159.19ms,159.19,10.09ms,10.09,2018-11-10 12:19:56
"Baltimore United States, North America",6439km,6439,107.92ms,107.92,60.18%,60.18,107.27ms,107.27,112.48ms,112.48,1.06ms,1.06,2018-11-10 12:19:56
"Bangalore India, Eurasia",7851km,7851,270.26ms,270.26,29.08%,29.08,269.98ms,269.98,270.52ms,270.52,0.73ms,0.73,2018-11-10 12:19:56
"Bangkok Thailand, Eurasia",9680km,9680,310.81ms,310.81,31.23%,31.23,300.63ms,300.63,439.19ms,439.19,25.70ms,25.7,2018-11-10 12:19:56
"Basel Switzerland, Eurasia",809km,809,29.20ms,29.2,27.90%,27.9,28.91ms,28.91,29.53ms,29.53,0.27ms,0.27,2018-11-10 12:19:56
"Belfast United Kingdom, Eurasia",1585km,1585,43.42ms,43.42,36.86%,36.86,43.23ms,43.23,43.70ms,43.7,0.26ms,0.26,2018-11-10 12:19:56
"Bergen Norway, Eurasia",2123km,2123,65.55ms,65.55,32.66%,32.66,64.69ms,64.69,70.67ms,70.67,1.31ms,1.31,2018-11-10 12:19:56
"Berkeley Springs United States, North America",6539km,6539,119.50ms,119.5,54.95%,54.95,119.18ms,119.18,119.88ms,119.88,0.20ms,0.2,2018-11-10 12:19:56
"Bern Switzerland, Eurasia",747km,747,54.65ms,54.65,13.83%,13.83,54.32ms,54.32,55.07ms,55.07,0.34ms,0.34,2018-11-10 12:19:56
"Bogota Colombia, South America",8526km,8526,186.34ms,186.34,45.84%,45.84,185.52ms,185.52,195.53ms,195.53,1.98ms,1.98,2018-11-10 12:19:56
"Boston United States, North America",5866km,5866,89.61ms,89.61,65.91%,65.91,89.22ms,89.22,91.28ms,91.28,0.44ms,0.44,2018-11-10 12:19:56
"Brasilia Brazil, South America",8177km,8177,244.79ms,244.79,33.51%,33.51,243.37ms,243.37,252.75ms,252.75,2.15ms,2.15,2018-11-10 12:19:56
"Bratislava Slovakia, Eurasia",1395km,1395,42.99ms,42.99,33.21%,33.21,42.86ms,42.86,43.42ms,43.42,0.24ms,0.24,2018-11-10 12:19:56
"Brisbane Australia, Oceania",16953km,16953,308.24ms,308.24,55.04%,55.04,308.07ms,308.07,308.48ms,308.48,0.74ms,0.74,2018-11-10 12:19:56
