City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15106km,15106,328.77ms,328.77,46.05%,46.05,328.32ms,328.32,331.55ms,331.55,0.86ms,0.86,2018-11-10 12:19:37
"Albany United States, North America",6594km,6594,131.04ms,131.04,50.34%,50.34,95.07ms,95.07,213.45ms,213.45,42.65ms,42.65,2018-11-10 12:19:37
"Alblasserdam Netherlands, Eurasia",895km,895,29.05ms,29.05,30.86%,30.86,28.70ms,28.7,29.84ms,29.84,0.30ms,0.3,2018-11-10 12:19:37
"Albuquerque United States, North America",9099km,9099,148.50ms,148.5,61.48%,61.48,143.76ms,143.76,193.14ms,193.14,11.37ms,11.37,2018-11-10 12:19:37
"Algiers Algeria, Africa",1764km,1764,59.78ms,59.78,29.90%,29.9,59.21ms,59.21,61.90ms,61.9,0.56ms,0.56,2018-11-10 12:19:37
"Amsterdam Netherlands, Eurasia",905km,905,26.46ms,26.46,34.81%,34.81,26.28ms,26.28,26.71ms,26.71,0.24ms,0.24,2018-11-10 12:19:37
"Anchorage United States, North America",7680km,7680,192.75ms,192.75,40.00%,40.0,192.55ms,192.55,193.30ms,193.3,0.35ms,0.35,2018-11-10 12:19:37
"Ankara Turkey, Eurasia",1643km,1643,78.78ms,78.78,21.06%,21.06,78.24ms,78.24,88.09ms,88.09,1.76ms,1.76,2018-11-10 12:19:37
"Antwerp Belgium, Eurasia",896km,896,41.69ms,41.69,21.85%,21.85,41.61ms,41.61,42.04ms,42.04,0.19ms,0.19,2018-11-10 12:19:37
"Arezzo Italy, Eurasia",733km,733,35.39ms,35.39,20.94%,20.94,35.29ms,35.29,35.52ms,35.52,0.06ms,0.06,2018-11-10 12:19:37
"Asheville United States, North America",7690km,7690,117.86ms,117.86,65.73%,65.73,117.80ms,117.8,117.99ms,117.99,0.10ms,0.1,2018-11-10 12:19:37
"Athens Greece, Eurasia",1372km,1372,48.36ms,48.36,28.58%,28.58,48.14ms,48.14,51.20ms,51.2,0.56ms,0.56,2018-11-10 12:19:37
"Atlanta United States, North America",7955km,7955,116.47ms,116.47,68.58%,68.58,116.31ms,116.31,116.72ms,116.72,0.29ms,0.29,2018-11-10 12:19:37
"Auckland New Zealand, Oceania",17786km,17786,283.84ms,283.84,62.85%,62.85,283.72ms,283.72,284.11ms,284.11,0.74ms,0.74,2018-11-10 12:19:37
"Austin United States, North America",9060km,9060,152.86ms,152.86,59.61%,59.61,146.53ms,146.53,183.45ms,183.45,9.65ms,9.65,2018-11-10 12:19:37
"Baltimore United States, North America",7030km,7030,107.48ms,107.48,65.70%,65.7,106.92ms,106.92,114.11ms,114.11,1.44ms,1.44,2018-11-10 12:19:37
"Bangalore India, Eurasia",6828km,6828,166.52ms,166.52,41.13%,41.13,166.41ms,166.41,166.63ms,166.63,0.51ms,0.51,2018-11-10 12:19:37
"Bangkok Thailand, Eurasia",8414km,8414,184.22ms,184.22,45.73%,45.73,183.32ms,183.32,197.18ms,197.18,2.52ms,2.52,2018-11-10 12:19:37
"Barcelona Spain, Eurasia",1421km,1421,50.99ms,50.99,28.42%,28.42,50.68ms,50.68,51.40ms,51.4,0.29ms,0.29,2018-11-10 12:19:37
"Basel Switzerland, Eurasia",690km,690,18.18ms,18.18,38.33%,38.33,18.05ms,18.05,18.45ms,18.45,0.18ms,0.18,2018-11-10 12:19:37
"Belfast United Kingdom, Eurasia",1650km,1650,38.88ms,38.88,43.42%,43.42,38.75ms,38.75,39.15ms,39.15,0.26ms,0.26,2018-11-10 12:19:37
"Bergen Norway, Eurasia",1434km,1434,50.20ms,50.2,28.68%,28.68,50.02ms,50.02,50.66ms,50.66,0.34ms,0.34,2018-11-10 12:19:37
"Berkeley Springs United States, North America",7104km,7104,118.02ms,118.02,60.20%,60.2,117.87ms,117.87,118.48ms,118.48,0.19ms,0.19,2018-11-10 12:19:37
