City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15974km,15974,320.10ms,320.1,49.92%,49.92,319.87ms,319.87,321.00ms,321.0,0.67ms,0.67,2018-11-10 12:19:16
"Albany United States, North America",5733km,5733,111.67ms,111.67,51.65%,51.65,78.65ms,78.65,178.01ms,178.01,39.01ms,39.01,2018-11-10 12:19:16
"Alblasserdam Netherlands, Eurasia",114km,114,6.01ms,6.01,19.00%,19.0,5.80ms,5.8,6.36ms,6.36,0.17ms,0.17,2018-11-10 12:19:16
"Albuquerque United States, North America",8325km,8325,134.28ms,134.28,62.13%,62.13,130.95ms,130.95,177.23ms,177.23,9.81ms,9.81,2018-11-10 12:19:16
"Algiers Algeria, Africa",1571km,1571,36.64ms,36.64,43.64%,43.64,36.15ms,36.15,37.18ms,37.18,0.33ms,0.33,2018-11-10 12:19:16
"Amsterdam Netherlands, Eurasia",163km,163,13.96ms,13.96,12.54%,12.54,13.76ms,13.76,14.43ms,14.43,0.18ms,0.18,2018-11-10 12:19:16
"Anchorage United States, North America",7346km,7346,178.32ms,178.32,41.27%,41.27,178.15ms,178.15,178.65ms,178.65,0.45ms,0.45,2018-11-10 12:19:16
"Ankara Turkey, Eurasia",2514km,2514,56.58ms,56.58,44.89%,44.89,56.42ms,56.42,56.74ms,56.74,0.18ms,0.18,2018-11-10 12:19:16
"Antwerp Belgium, Eurasia",41km,41,9.94ms,9.94,4.56%,4.56,9.80ms,9.8,10.12ms,10.12,0.09ms,0.09,2018-11-10 12:19:16
"Arezzo Italy, Eurasia",997km,997,31.89ms,31.89,32.16%,32.16,31.78ms,31.78,32.02ms,32.02,0.25ms,0.25,2018-11-10 12:19:17
"Asheville United States, North America",6825km,6825,92.41ms,92.41,74.18%,74.18,92.36ms,92.36,92.50ms,92.5,0.40ms,0.4,2018-11-10 12:19:17
"Athens Greece, Eurasia",2090km,2090,53.43ms,53.43,39.43%,39.43,53.29ms,53.29,53.95ms,53.95,0.24ms,0.24,2018-11-10 12:19:17
"Atlanta United States, North America",7089km,7089,103.22ms,103.22,68.83%,68.83,102.95ms,102.95,105.02ms,105.02,0.57ms,0.57,2018-11-10 12:19:17
"Auckland New Zealand, Oceania",18285km,18285,309.85ms,309.85,59.17%,59.17,309.75ms,309.75,310.71ms,310.71,0.62ms,0.62,2018-11-10 12:19:17
"Austin United States, North America",8226km,8226,127.91ms,127.91,64.77%,64.77,115.25ms,115.25,195.98ms,195.98,15.86ms,15.86,2018-11-10 12:19:17
"Baltimore United States, North America",6162km,6162,80.95ms,80.95,77.03%,77.03,80.38ms,80.38,89.20ms,89.2,1.59ms,1.59,2018-11-10 12:19:17
"Bangalore India, Eurasia",7721km,7721,133.85ms,133.85,58.05%,58.05,133.71ms,133.71,134.19ms,134.19,0.41ms,0.41,2018-11-10 12:19:17
"Bangkok Thailand, Eurasia",9251km,9251,268.81ms,268.81,34.52%,34.52,263.13ms,263.13,294.16ms,294.16,8.62ms,8.62,2018-11-10 12:19:17
"Barcelona Spain, Eurasia",1065km,1065,25.04ms,25.04,42.60%,42.6,24.89ms,24.89,25.47ms,25.47,0.25ms,0.25,2018-11-10 12:19:17
"Basel Switzerland, Eurasia",435km,435,22.88ms,22.88,19.77%,19.77,22.82ms,22.82,22.99ms,22.99,0.04ms,0.04,2018-11-10 12:19:17
"Belfast United Kingdom, Eurasia",807km,807,23.33ms,23.33,35.09%,35.09,23.24ms,23.24,23.48ms,23.48,0.11ms,0.11,2018-11-10 12:19:17
"Bergen Norway, Eurasia",1061km,1061,40.67ms,40.67,26.52%,26.52,40.14ms,40.14,47.49ms,47.49,1.39ms,1.39,2018-11-10 12:19:17
