City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14310km,14310,375.18ms,375.18,38.16%,38.16,374.69ms,374.69,384.87ms,384.87,1.97ms,1.97,2018-11-10 12:20:18
"Albany United States, North America",7490km,7490,143.27ms,143.27,52.38%,52.38,107.87ms,107.87,205.81ms,205.81,39.10ms,39.1,2018-11-10 12:20:18
"Alblasserdam Netherlands, Eurasia",1785km,1785,32.92ms,32.92,55.78%,55.78,32.62ms,32.62,33.52ms,33.52,0.22ms,0.22,2018-11-10 12:20:18
"Albuquerque United States, North America",9970km,9970,166.91ms,166.91,60.06%,60.06,162.89ms,162.89,204.28ms,204.28,9.11ms,9.11,2018-11-10 12:20:18
"Algiers Algeria, Africa",2115km,2115,72.61ms,72.61,29.38%,29.38,72.12ms,72.12,73.88ms,73.88,0.44ms,0.44,2018-11-10 12:20:18
"Amsterdam Netherlands, Eurasia",1798km,1798,32.84ms,32.84,56.19%,56.19,32.69ms,32.69,33.03ms,33.03,0.27ms,0.27,2018-11-10 12:20:18
"Anchorage United States, North America",8265km,8265,211.20ms,211.2,39.17%,39.17,210.89ms,210.89,212.79ms,212.79,0.58ms,0.58,2018-11-10 12:20:18
"Ankara Turkey, Eurasia",747km,747,61.95ms,61.95,12.25%,12.25,61.44ms,61.44,69.49ms,69.49,1.46ms,1.46,2018-11-10 12:20:18
"Antwerp Belgium, Eurasia",1779km,1779,46.48ms,46.48,38.67%,38.67,46.33ms,46.33,46.62ms,46.62,0.09ms,0.09,2018-11-10 12:20:18
"Arezzo Italy, Eurasia",1142km,1142,61.91ms,61.91,18.72%,18.72,61.68ms,61.68,63.18ms,63.18,0.47ms,0.47,2018-11-10 12:20:18
"Asheville United States, North America",8585km,8585,137.67ms,137.67,62.66%,62.66,137.52ms,137.52,138.56ms,138.56,0.46ms,0.46,2018-11-10 12:20:18
"Athens Greece, Eurasia",744km,744,22.26ms,22.26,33.82%,33.82,22.10ms,22.1,23.24ms,23.24,0.30ms,0.3,2018-11-10 12:20:18
"Atlanta United States, North America",8850km,8850,132.88ms,132.88,67.05%,67.05,132.77ms,132.77,133.37ms,133.37,0.28ms,0.28,2018-11-10 12:20:18
"Auckland New Zealand, Oceania",17262km,17262,386.32ms,386.32,44.72%,44.72,386.22ms,386.22,386.49ms,386.49,0.40ms,0.4,2018-11-10 12:20:18
