City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16689km,16689,251.19ms,251.19,66.49%,66.49,249.06ms,249.06,258.57ms,258.57,2.42ms,2.42,2018-11-10 12:18:37
"Albany United States, North America",417km,417,51.04ms,51.04,8.18%,8.18,18.43ms,18.43,121.64ms,121.64,39.40ms,39.4,2018-11-10 12:18:37
"Alblasserdam Netherlands, Eurasia",6017km,6017,86.79ms,86.79,69.97%,69.97,83.40ms,83.4,116.53ms,116.53,7.20ms,7.2,2018-11-10 12:18:37
"Albuquerque United States, North America",2534km,2534,59.53ms,59.53,42.95%,42.95,54.76ms,54.76,101.60ms,101.6,12.01ms,12.01,2018-11-10 12:18:38
"Algiers Algeria, Africa",6750km,6750,120.68ms,120.68,56.25%,56.25,117.15ms,117.15,138.75ms,138.75,4.63ms,4.63,2018-11-10 12:18:38
"Amsterdam Netherlands, Eurasia",5999km,5999,88.61ms,88.61,68.17%,68.17,87.03ms,87.03,97.00ms,97.0,2.48ms,2.48,2018-11-10 12:18:38
"Anchorage United States, North America",4968km,4968,94.28ms,94.28,52.85%,52.85,89.21ms,89.21,110.04ms,110.04,5.59ms,5.59,2018-11-10 12:18:38
"Ankara Turkey, Eurasia",8539km,8539,138.23ms,138.23,61.88%,61.88,135.54ms,135.54,162.26ms,162.26,4.93ms,4.93,2018-11-10 12:18:38
"Antwerp Belgium, Eurasia",6034km,6034,118.00ms,118.0,51.57%,51.57,115.28ms,115.28,126.40ms,126.4,2.87ms,2.87,2018-11-10 12:18:38
"Arezzo Italy, Eurasia",6955km,6955,121.59ms,121.59,57.48%,57.48,120.29ms,120.29,127.90ms,127.9,1.79ms,1.79,2018-11-10 12:18:38
"Asheville United States, North America",869km,869,29.68ms,29.68,29.97%,29.97,27.94ms,27.94,41.65ms,41.65,2.99ms,2.99,2018-11-10 12:18:38
"Athens Greece, Eurasia",8117km,8117,146.50ms,146.5,55.60%,55.6,145.75ms,145.75,149.97ms,149.97,1.13ms,1.13,2018-11-10 12:18:38
"Atlanta United States, North America",1123km,1123,31.59ms,31.59,36.23%,36.23,30.07ms,30.07,39.91ms,39.91,2.20ms,2.2,2018-11-10 12:18:38
"Auckland New Zealand, Oceania",13902km,13902,231.47ms,231.47,60.18%,60.18,228.55ms,228.55,255.03ms,255.03,5.30ms,5.3,2018-11-10 12:18:38
"Austin United States, North America",2185km,2185,54.55ms,54.55,40.46%,40.46,44.11ms,44.11,84.67ms,84.67,10.30ms,10.3,2018-11-10 12:18:38
"Baltimore United States, North America",443km,443,19.80ms,19.8,23.32%,23.32,18.00ms,18.0,29.39ms,29.39,2.47ms,2.47,2018-11-10 12:18:38
"Bangalore India, Eurasia",13361km,13361,236.16ms,236.16,56.61%,56.61,233.97ms,233.97,251.62ms,251.62,4.13ms,4.13,2018-11-10 12:18:38
"Bangkok Thailand, Eurasia",13720km,13720,274.48ms,274.48,50.07%,50.07,272.13ms,272.13,283.09ms,283.09,3.13ms,3.13,2018-11-10 12:18:38
"Barcelona Spain, Eurasia",6409km,6409,125.79ms,125.79,51.27%,51.27,121.01ms,121.01,143.96ms,143.96,5.92ms,5.92,2018-11-10 12:18:38
"Basel Switzerland, Eurasia",6430km,6430,124.57ms,124.57,51.85%,51.85,118.48ms,118.48,147.01ms,147.01,7.78ms,7.78,2018-11-10 12:18:38
"Belfast United Kingdom, Eurasia",5252km,5252,95.38ms,95.38,55.28%,55.28,93.92ms,93.92,105.55ms,105.55,2.58ms,2.58,2018-11-10 12:18:38
"Bergen Norway, Eurasia",5682km,5682,123.59ms,123.59,46.20%,46.2,120.70ms,120.7,145.18ms,145.18,6.07ms,6.07,2018-11-10 12:18:38
"Berkeley Springs United States, North America",366km,366,28.47ms,28.47,13.07%,13.07,25.55ms,25.55,51.42ms,51.42,5.59ms,5.59,2018-11-10 12:18:38
"Bern Switzerland, Eurasia",6455km,6455,123.75ms,123.75,52.48%,52.48,121.80ms,121.8,136.14ms,136.14,3.65ms,3.65,2018-11-10 12:18:38
"Bogota Colombia, South America",4284km,4284,101.39ms,101.39,42.42%,42.42,98.16ms,98.16,123.12ms,123.12,5.93ms,5.93,2018-11-10 12:18:38
"Boston United States, North America",642km,642,20.40ms,20.4,32.10%,32.1,17.13ms,17.13,44.98ms,44.98,6.06ms,6.06,2018-11-10 12:18:38
"Brasilia Brazil, South America",7254km,7254,163.73ms,163.73,44.50%,44.5,158.34ms,158.34,187.08ms,187.08,6.04ms,6.04,2018-11-10 12:18:38
"Bratislava Slovakia, Eurasia",6993km,6993,124.05ms,124.05,56.40%,56.4,123.31ms,123.31,128.32ms,128.32,1.08ms,1.08,2018-11-10 12:18:38
"Brisbane Australia, Oceania",15086km,15086,223.78ms,223.78,67.65%,67.65,220.78ms,220.78,243.00ms,243.0,5.10ms,5.1,2018-11-10 12:18:38
"Bristol United Kingdom, Eurasia",5580km,5580,84.05ms,84.05,66.43%,66.43,82.50ms,82.5,90.23ms,90.23,2.20ms,2.2,2018-11-10 12:18:38
"Brno Czech Republic, Eurasia",6897km,6897,136.21ms,136.21,50.71%,50.71,133.41ms,133.41,181.32ms,181.32,8.55ms,8.55,2018-11-10 12:18:38
"Bruges Belgium, Eurasia",5961km,5961,91.75ms,91.75,65.51%,65.51,89.54ms,89.54,98.77ms,98.77,2.16ms,2.16,2018-11-10 12:18:38
"Brunswick United States, North America",729km,729,26.05ms,26.05,28.04%,28.04,21.92ms,21.92,42.27ms,42.27,5.81ms,5.81,2018-11-10 12:18:38
"Brussels Belgium, Eurasia",6049km,6049,90.14ms,90.14,67.21%,67.21,86.99ms,86.99,113.35ms,113.35,5.52ms,5.52,2018-11-10 12:18:38
"Bucharest Romania, Eurasia",7792km,7792,136.42ms,136.42,57.29%,57.29,132.65ms,132.65,157.21ms,157.21,5.87ms,5.87,2018-11-10 12:18:38
"Budapest Hungary, Eurasia",7153km,7153,124.86ms,124.86,57.69%,57.69,123.58ms,123.58,128.91ms,128.91,1.45ms,1.45,2018-11-10 12:18:38
"Buenos Aires Argentina, South America",8867km,8867,166.10ms,166.1,53.42%,53.42,159.46ms,159.46,191.44ms,191.44,8.44ms,8.44,2018-11-10 12:18:38
"Bursa Turkey, Eurasia",8289km,8289,141.80ms,141.8,58.79%,58.79,138.42ms,138.42,156.14ms,156.14,4.45ms,4.45,2018-11-10 12:18:38
"Cairo Egypt, Africa",9225km,9225,139.66ms,139.66,66.37%,66.37,135.31ms,135.31,152.66ms,152.66,4.01ms,4.01,2018-11-10 12:18:38
"Calgary Canada, North America",2789km,2789,84.77ms,84.77,33.20%,33.2,81.86ms,81.86,92.12ms,92.12,3.11ms,3.11,2018-11-10 12:18:38
"Canberra Australia, Oceania",15850km,15850,231.48ms,231.48,68.61%,68.61,229.92ms,229.92,240.45ms,240.45,2.14ms,2.14,2018-11-10 12:18:38
"Cape Town South Africa, Africa",13039km,13039,223.04ms,223.04,58.47%,58.47,220.76ms,220.76,233.22ms,233.22,3.20ms,3.2,2018-11-10 12:18:38
"Caracas Venezuela, South America",3786km,3786,84.23ms,84.23,45.07%,45.07,81.24ms,81.24,97.37ms,97.37,3.87ms,3.87,2018-11-10 12:18:38
"Cardiff United Kingdom, Eurasia",5541km,5541,86.13ms,86.13,64.43%,64.43,82.94ms,82.94,97.96ms,97.96,3.72ms,3.72,2018-11-10 12:18:38
"Carlow Ireland, Eurasia",5249km,5249,94.83ms,94.83,55.84%,55.84,92.48ms,92.48,101.91ms,101.91,3.02ms,3.02,2018-11-10 12:18:38
"Charlotte United States, North America",868km,868,31.66ms,31.66,28.00%,28.0,28.40ms,28.4,56.68ms,56.68,6.32ms,6.32,2018-11-10 12:18:38
"Cheltenham United Kingdom, Eurasia",5594km,5594,87.04ms,87.04,64.30%,64.3,85.36ms,85.36,99.73ms,99.73,3.14ms,3.14,2018-11-10 12:18:38
"Chennai India, Eurasia",13442km,13442,243.38ms,243.38,55.32%,55.32,241.26ms,241.26,261.00ms,261.0,4.17ms,4.17,2018-11-10 12:18:38
"Chicago United States, North America",729km,729,26.73ms,26.73,28.04%,28.04,24.06ms,24.06,43.99ms,43.99,4.42ms,4.42,2018-11-10 12:18:38
"Chisinau Moldova, Eurasia",7765km,7765,170.48ms,170.48,45.68%,45.68,166.00ms,166.0,193.91ms,193.91,6.45ms,6.45,2018-11-10 12:18:38
"Christchurch New Zealand, Oceania",14413km,14413,212.87ms,212.87,67.99%,67.99,211.68ms,211.68,224.63ms,224.63,2.65ms,2.65,2018-11-10 12:18:38
"Cincinnati United States, North America",633km,633,25.73ms,25.73,25.32%,25.32,24.04ms,24.04,36.55ms,36.55,2.60ms,2.6,2018-11-10 12:18:38
"Cleveland United States, North America",242km,242,34.82ms,34.82,7.12%,7.12,33.34ms,33.34,41.33ms,41.33,2.22ms,2.22,2018-11-10 12:18:38
"Colorado Springs United States, North America",2215km,2215,48.39ms,48.39,46.15%,46.15,46.21ms,46.21,60.75ms,60.75,4.13ms,4.13,2018-11-10 12:18:38
"Columbus United States, North America",473km,473,32.78ms,32.78,14.78%,14.78,29.90ms,29.9,48.22ms,48.22,4.34ms,4.34,2018-11-10 12:18:38
"Copenhagen Denmark, Eurasia",6286km,6286,95.84ms,95.84,66.17%,66.17,93.56ms,93.56,123.88ms,123.88,5.82ms,5.82,2018-11-10 12:18:38
"Coventry United Kingdom, Eurasia",5609km,5609,88.51ms,88.51,63.74%,63.74,86.19ms,86.19,113.64ms,113.64,5.13ms,5.13,2018-11-10 12:18:38
"Cromwell United States, North America",532km,532,32.04ms,32.04,16.62%,16.62,27.62ms,27.62,58.31ms,58.31,6.49ms,6.49,2018-11-10 12:18:38
"Dagupan Philippines, Eurasia",13179km,13179,241.56ms,241.56,54.68%,54.68,238.09ms,238.09,263.89ms,263.89,5.42ms,5.42,2018-11-10 12:18:38
"Dallas United States, North America",1927km,1927,43.68ms,43.68,44.81%,44.81,40.81ms,40.81,67.87ms,67.87,5.43ms,5.43,2018-11-10 12:18:38
"Dar es Salaam Tanzania, Africa",12800km,12800,219.68ms,219.68,58.45%,58.45,218.06ms,218.06,226.81ms,226.81,2.33ms,2.33,2018-11-10 12:18:38
"Denver United States, North America",2199km,2199,41.79ms,41.79,53.63%,53.63,39.84ms,39.84,58.70ms,58.7,3.83ms,3.83,2018-11-10 12:18:39
"Des Moines United States, North America",1220km,1220,30.06ms,30.06,40.67%,40.67,26.21ms,26.21,56.43ms,56.43,6.91ms,6.91,2018-11-10 12:18:39
"Detroit United States, North America",346km,346,30.70ms,30.7,11.53%,11.53,28.55ms,28.55,54.92ms,54.92,5.13ms,5.13,2018-11-10 12:18:39
