City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13336km,13336,368.41ms,368.41,36.24%,36.24,364.22ms,364.22,388.18ms,388.18,4.27ms,4.27,2018-11-10 12:20:38
"Albany United States, North America",8885km,8885,173.52ms,173.52,51.36%,51.36,137.19ms,137.19,235.65ms,235.65,38.80ms,38.8,2018-11-10 12:20:38
"Alblasserdam Netherlands, Eurasia",3260km,3260,63.47ms,63.47,51.75%,51.75,62.87ms,62.87,64.99ms,64.99,0.64ms,0.64,2018-11-10 12:20:38
"Albuquerque United States, North America",11533km,11533,179.74ms,179.74,64.43%,64.43,175.96ms,175.96,221.79ms,221.79,9.74ms,9.74,2018-11-10 12:20:38
"Algiers Algeria, Africa",2708km,2708,75.56ms,75.56,36.11%,36.11,74.02ms,74.02,86.48ms,86.48,2.90ms,2.9,2018-11-10 12:20:38
"Amsterdam Netherlands, Eurasia",3287km,3287,61.59ms,61.59,53.89%,53.89,58.68ms,58.68,64.34ms,64.34,1.68ms,1.68,2018-11-10 12:20:38
"Anchorage United States, North America",9868km,9868,237.59ms,237.59,41.64%,41.64,236.78ms,236.78,240.24ms,240.24,0.82ms,0.82,2018-11-10 12:20:38
"Ankara Turkey, Eurasia",1108km,1108,111.25ms,111.25,9.98%,9.98,108.46ms,108.46,117.59ms,117.59,2.00ms,2.0,2018-11-10 12:20:38
"Antwerp Belgium, Eurasia",3230km,3230,65.28ms,65.28,49.69%,49.69,64.44ms,64.44,68.65ms,68.65,0.83ms,0.83,2018-11-10 12:20:38
"Arezzo Italy, Eurasia",2270km,2270,56.36ms,56.36,40.54%,40.54,54.23ms,54.23,67.48ms,67.48,2.33ms,2.33,2018-11-10 12:20:38
"Asheville United States, North America",9960km,9960,160.60ms,160.6,62.25%,62.25,148.72ms,148.72,192.00ms,192.0,8.70ms,8.7,2018-11-10 12:20:38
"Athens Greece, Eurasia",1118km,1118,98.67ms,98.67,11.41%,11.41,94.90ms,94.9,114.68ms,114.68,4.46ms,4.46,2018-11-10 12:20:38
"Atlanta United States, North America",10219km,10219,149.02ms,149.02,68.58%,68.58,147.31ms,147.31,151.63ms,151.63,1.20ms,1.2,2018-11-10 12:20:38
"Auckland New Zealand, Oceania",16573km,16573,352.84ms,352.84,47.08%,47.08,345.02ms,345.02,377.78ms,377.78,6.55ms,6.55,2018-11-10 12:20:38
"Austin United States, North America",11410km,11410,179.37ms,179.37,63.74%,63.74,167.42ms,167.42,200.16ms,200.16,8.88ms,8.88,2018-11-10 12:20:38
"Baltimore United States, North America",9296km,9296,132.28ms,132.28,70.42%,70.42,130.27ms,130.27,141.00ms,141.0,2.59ms,2.59,2018-11-10 12:20:38
