City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16456km,16456,226.71ms,226.71,72.81%,72.81,224.41ms,224.41,230.41ms,230.41,2.06ms,2.06,2018-11-10 12:18:35
"Albany United States, North America",1035km,1035,49.27ms,49.27,21.12%,21.12,16.30ms,16.3,113.21ms,113.21,38.79ms,38.79,2018-11-10 12:18:35
"Alblasserdam Netherlands, Eurasia",6722km,6722,95.64ms,95.64,70.76%,70.76,95.39ms,95.39,99.24ms,99.24,0.86ms,0.86,2018-11-10 12:18:35
"Albuquerque United States, North America",2336km,2336,57.58ms,57.58,40.98%,40.98,54.36ms,54.36,91.82ms,91.82,8.16ms,8.16,2018-11-10 12:18:35
"Algiers Algeria, Africa",7285km,7285,121.68ms,121.68,60.21%,60.21,120.97ms,120.97,123.48ms,123.48,0.48ms,0.48,2018-11-10 12:18:35
"Amsterdam Netherlands, Eurasia",6708km,6708,98.56ms,98.56,68.45%,68.45,98.41ms,98.41,99.06ms,99.06,0.18ms,0.18,2018-11-10 12:18:35
"Anchorage United States, North America",5533km,5533,104.93ms,104.93,53.20%,53.2,104.77ms,104.77,105.23ms,105.23,0.46ms,0.46,2018-11-10 12:18:35
"Ankara Turkey, Eurasia",9254km,9254,134.50ms,134.5,69.06%,69.06,134.29ms,134.29,135.63ms,135.63,0.26ms,0.26,2018-11-10 12:18:35
"Antwerp Belgium, Eurasia",6731km,6731,95.11ms,95.11,70.85%,70.85,95.03ms,95.03,95.25ms,95.25,0.31ms,0.31,2018-11-10 12:18:35
"Arezzo Italy, Eurasia",7603km,7603,125.09ms,125.09,60.82%,60.82,124.90ms,124.9,127.93ms,127.93,0.63ms,0.63,2018-11-10 12:18:35
"Asheville United States, North America",160km,160,24.06ms,24.06,6.67%,6.67,23.96ms,23.96,24.16ms,24.16,0.04ms,0.04,2018-11-10 12:18:35
"Athens Greece, Eurasia",8772km,8772,138.38ms,138.38,63.57%,63.57,138.11ms,138.11,140.01ms,140.01,0.41ms,0.41,2018-11-10 12:18:35
"Atlanta United States, North America",364km,364,5.33ms,5.33,72.80%,72.8,5.23ms,5.23,5.84ms,5.84,0.13ms,0.13,2018-11-10 12:18:35
"Auckland New Zealand, Oceania",13410km,13410,209.99ms,209.99,64.16%,64.16,209.90ms,209.9,210.56ms,210.56,0.59ms,0.59,2018-11-10 12:18:35
"Austin United States, North America",1673km,1673,35.36ms,35.36,47.80%,47.8,25.61ms,25.61,76.33ms,76.33,12.49ms,12.49,2018-11-10 12:18:35
"Baltimore United States, North America",585km,585,13.78ms,13.78,45.00%,45.0,13.48ms,13.48,14.65ms,14.65,0.29ms,0.29,2018-11-10 12:18:35
"Bangalore India, Eurasia",14198km,14198,259.25ms,259.25,54.82%,54.82,259.12ms,259.12,259.84ms,259.84,0.51ms,0.51,2018-11-10 12:18:35
"Bangkok Thailand, Eurasia",14571km,14571,253.60ms,253.6,57.59%,57.59,248.60ms,248.6,278.87ms,278.87,8.09ms,8.09,2018-11-10 12:18:35
"Barcelona Spain, Eurasia",6993km,6993,104.85ms,104.85,67.24%,67.24,104.64ms,104.64,105.07ms,105.07,0.23ms,0.23,2018-11-10 12:18:35
"Basel Switzerland, Eurasia",7101km,7101,110.03ms,110.03,64.55%,64.55,109.93ms,109.93,110.30ms,110.3,0.42ms,0.42,2018-11-10 12:18:35
"Belfast United Kingdom, Eurasia",5962km,5962,102.16ms,102.16,58.45%,58.45,102.05ms,102.05,102.25ms,102.25,0.44ms,0.44,2018-11-10 12:18:35
"Bergen Norway, Eurasia",6463km,6463,128.80ms,128.8,50.49%,50.49,128.29ms,128.29,135.12ms,135.12,1.24ms,1.24,2018-11-10 12:18:35
"Berkeley Springs United States, North America",541km,541,25.57ms,25.57,21.64%,21.64,25.48ms,25.48,25.74ms,25.74,0.18ms,0.18,2018-11-10 12:18:35
"Bern Switzerland, Eurasia",7120km,7120,111.16ms,111.16,64.14%,64.14,110.99ms,110.99,111.24ms,111.24,0.31ms,0.31,2018-11-10 12:18:35
"Bogota Colombia, South America",3477km,3477,78.62ms,78.62,44.58%,44.58,78.28ms,78.28,82.83ms,82.83,0.83ms,0.83,2018-11-10 12:18:35
"Boston United States, North America",1159km,1159,18.98ms,18.98,64.39%,64.39,18.78ms,18.78,19.40ms,19.4,0.15ms,0.15,2018-11-10 12:18:35
"Brasilia Brazil, South America",6655km,6655,136.43ms,136.43,48.93%,48.93,134.80ms,134.8,145.40ms,145.4,2.67ms,2.67,2018-11-10 12:18:35
"Bratislava Slovakia, Eurasia",7702km,7702,119.34ms,119.34,64.72%,64.72,119.23ms,119.23,119.58ms,119.58,0.14ms,0.14,2018-11-10 12:18:35
"Brisbane Australia, Oceania",14892km,14892,201.03ms,201.03,74.09%,74.09,200.97ms,200.97,201.18ms,201.18,0.31ms,0.31,2018-11-10 12:18:35
"Bristol United Kingdom, Eurasia",6262km,6262,88.07ms,88.07,71.16%,71.16,87.94ms,87.94,88.75ms,88.75,0.28ms,0.28,2018-11-10 12:18:35
"Brno Czech Republic, Eurasia",7613km,7613,117.76ms,117.76,65.07%,65.07,117.68ms,117.68,117.95ms,117.95,0.36ms,0.36,2018-11-10 12:18:35
"Bruges Belgium, Eurasia",6655km,6655,96.11ms,96.11,69.32%,69.32,95.87ms,95.87,97.96ms,97.96,0.56ms,0.56,2018-11-10 12:18:35
"Brunswick United States, North America",1340km,1340,23.56ms,23.56,58.26%,58.26,23.43ms,23.43,23.73ms,23.73,0.09ms,0.09,2018-11-10 12:18:35
"Brussels Belgium, Eurasia",6743km,6743,99.59ms,99.59,68.11%,68.11,99.52ms,99.52,99.79ms,99.79,0.27ms,0.27,2018-11-10 12:18:35
"Bucharest Romania, Eurasia",8507km,8507,133.10ms,133.1,63.96%,63.96,133.02ms,133.02,133.21ms,133.21,0.25ms,0.25,2018-11-10 12:18:35
"Budapest Hungary, Eurasia",7864km,7864,121.95ms,121.95,64.99%,64.99,121.42ms,121.42,122.52ms,122.52,0.52ms,0.52,2018-11-10 12:18:35
"Buenos Aires Argentina, South America",8110km,8110,164.05ms,164.05,49.45%,49.45,157.30ms,157.3,192.66ms,192.66,8.77ms,8.77,2018-11-10 12:18:35
"Buffalo United States, North America",868km,868,29.14ms,29.14,29.93%,29.93,28.35ms,28.35,35.00ms,35.0,1.52ms,1.52,2018-11-10 12:18:35
"Bursa Turkey, Eurasia",8987km,8987,143.99ms,143.99,62.85%,62.85,143.81ms,143.81,144.52ms,144.52,0.41ms,0.41,2018-11-10 12:18:35
"Cairo Egypt, Africa",9862km,9862,152.52ms,152.52,64.88%,64.88,148.15ms,148.15,204.51ms,204.51,9.86ms,9.86,2018-11-10 12:18:35
"Calgary Canada, North America",3178km,3178,77.90ms,77.9,41.27%,41.27,76.38ms,76.38,92.85ms,92.85,3.16ms,3.16,2018-11-10 12:18:35
"Canberra Australia, Oceania",15533km,15533,223.40ms,223.4,69.65%,69.65,222.94ms,222.94,224.59ms,224.59,0.70ms,0.7,2018-11-10 12:18:35
"Cape Town South Africa, Africa",12853km,12853,231.62ms,231.62,55.64%,55.64,231.39ms,231.39,234.83ms,234.83,0.79ms,0.79,2018-11-10 12:18:35
"Caracas Venezuela, South America",3093km,3093,72.52ms,72.52,42.96%,42.96,71.65ms,71.65,76.39ms,76.39,0.95ms,0.95,2018-11-10 12:18:35
"Cardiff United Kingdom, Eurasia",6222km,6222,93.72ms,93.72,66.90%,66.9,93.43ms,93.43,94.36ms,94.36,0.37ms,0.37,2018-11-10 12:18:35
"Carlow Ireland, Eurasia",5937km,5937,97.33ms,97.33,61.21%,61.21,97.12ms,97.12,98.86ms,98.86,0.46ms,0.46,2018-11-10 12:18:35
"Cheltenham United Kingdom, Eurasia",6282km,6282,86.20ms,86.2,73.05%,73.05,86.13ms,86.13,86.29ms,86.29,0.14ms,0.14,2018-11-10 12:18:35
"Chennai India, Eurasia",14290km,14290,235.91ms,235.91,60.81%,60.81,235.74ms,235.74,236.18ms,236.18,0.26ms,0.26,2018-11-10 12:18:35
