City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16601km,16601,312.90ms,312.9,53.21%,53.21,303.88ms,303.88,381.19ms,381.19,20.18ms,20.18,2018-11-10 12:20:56
"Albany United States, North America",4958km,4958,181.52ms,181.52,27.39%,27.39,73.11ms,73.11,395.89ms,395.89,82.28ms,82.28,2018-11-10 12:20:56
"Alblasserdam Netherlands, Eurasia",754km,754,68.34ms,68.34,11.09%,11.09,16.72ms,16.72,201.78ms,201.78,50.42ms,50.42,2018-11-10 12:20:56
"Albuquerque United States, North America",7569km,7569,129.53ms,129.53,58.67%,58.67,122.07ms,122.07,168.44ms,168.44,12.80ms,12.8,2018-11-10 12:20:56
"Algiers Algeria, Africa",1981km,1981,49.56ms,49.56,40.43%,40.43,48.02ms,48.02,55.33ms,55.33,1.55ms,1.55,2018-11-10 12:20:56
"Amsterdam Netherlands, Eurasia",745km,745,30.29ms,30.29,24.83%,24.83,18.50ms,18.5,101.51ms,101.51,22.72ms,22.72,2018-11-10 12:20:56
"Anchorage United States, North America",6880km,6880,159.35ms,159.35,43.27%,43.27,157.91ms,157.91,192.95ms,192.95,6.27ms,6.27,2018-11-10 12:20:56
"Ankara Turkey, Eurasia",3284km,3284,89.91ms,89.91,36.90%,36.9,73.39ms,73.39,289.98ms,289.98,43.78ms,43.78,2018-11-10 12:20:56
"Antwerp Belgium, Eurasia",762km,762,84.18ms,84.18,9.07%,9.07,33.09ms,33.09,144.08ms,144.08,36.21ms,36.21,2018-11-10 12:20:56
"Arezzo Italy, Eurasia",1722km,1722,51.11ms,51.11,33.76%,33.76,39.22ms,39.22,110.88ms,110.88,19.38ms,19.38,2018-11-10 12:20:56
"Asheville United States, North America",6051km,6051,102.64ms,102.64,59.32%,59.32,99.12ms,99.12,174.84ms,174.84,13.92ms,13.92,2018-11-10 12:20:56
"Athens Greece, Eurasia",2856km,2856,73.88ms,73.88,39.12%,39.12,70.58ms,70.58,107.02ms,107.02,8.87ms,8.87,2018-11-10 12:20:56
"Atlanta United States, North America",6315km,6315,120.80ms,120.8,52.62%,52.62,109.14ms,109.14,161.41ms,161.41,16.77ms,16.77,2018-11-10 12:20:56
"Auckland New Zealand, Oceania",18183km,18183,362.95ms,362.95,50.23%,50.23,306.18ms,306.18,480.55ms,480.55,45.20ms,45.2,2018-11-10 12:20:56
"Austin United States, North America",7452km,7452,127.16ms,127.16,58.68%,58.68,113.49ms,113.49,171.78ms,171.78,15.23ms,15.23,2018-11-10 12:20:56
"Baltimore United States, North America",5388km,5388,93.89ms,93.89,57.94%,57.94,87.66ms,87.66,139.32ms,139.32,12.19ms,12.19,2018-11-10 12:20:56
"Bangalore India, Eurasia",8450km,8450,168.88ms,168.88,50.30%,50.3,162.19ms,162.19,221.06ms,221.06,15.73ms,15.73,2018-11-10 12:20:56
"Bangkok Thailand, Eurasia",9859km,9859,218.94ms,218.94,45.22%,45.22,178.32ms,178.32,335.05ms,335.05,39.89ms,39.89,2018-11-10 12:20:56
"Barcelona Spain, Eurasia",1471km,1471,58.54ms,58.54,25.36%,25.36,36.79ms,36.79,147.57ms,147.57,28.08ms,28.08,2018-11-10 12:20:56
"Basel Switzerland, Eurasia",1170km,1170,98.25ms,98.25,11.94%,11.94,30.82ms,30.82,263.67ms,263.67,70.68ms,70.68,2018-11-10 12:20:56
"Belfast United Kingdom, Eurasia",140km,140,61.31ms,61.31,2.30%,2.3,13.70ms,13.7,210.61ms,210.61,39.38ms,39.38,2018-11-10 12:20:56
"Bergen Norway, Eurasia",1050km,1050,143.73ms,143.73,7.34%,7.34,55.27ms,55.27,289.98ms,289.98,59.86ms,59.86,2018-11-10 12:20:56
"Berkeley Springs United States, North America",5467km,5467,179.62ms,179.62,30.54%,30.54,104.01ms,104.01,323.79ms,323.79,61.78ms,61.78,2018-11-10 12:20:56
"Bern Switzerland, Eurasia",1205km,1205,168.44ms,168.44,7.17%,7.17,47.88ms,47.88,317.70ms,317.7,68.26ms,68.26,2018-11-10 12:20:56
"Bogota Colombia, South America",8142km,8142,360.45ms,360.45,22.62%,22.62,280.28ms,280.28,514.15ms,514.15,54.86ms,54.86,2018-11-10 12:20:56
"Boston United States, North America",4810km,4810,153.97ms,153.97,31.44%,31.44,73.17ms,73.17,293.29ms,293.29,56.27ms,56.27,2018-11-10 12:20:56
"Brasilia Brazil, South America",8655km,8655,251.37ms,251.37,34.48%,34.48,229.65ms,229.65,348.51ms,348.51,28.51ms,28.51,2018-11-10 12:20:56
"Bratislava Slovakia, Eurasia",1734km,1734,35.93ms,35.93,49.54%,49.54,33.19ms,33.19,68.88ms,68.88,8.76ms,8.76,2018-11-10 12:20:56
"Brisbane Australia, Oceania",16677km,16677,296.81ms,296.81,56.34%,56.34,290.66ms,290.66,333.54ms,333.54,11.75ms,11.75,2018-11-10 12:20:56
"Bristol United Kingdom, Eurasia",326km,326,15.46ms,15.46,21.73%,21.73,12.91ms,12.91,72.43ms,72.43,10.63ms,10.63,2018-11-10 12:20:56
"Brno Czech Republic, Eurasia",1649km,1649,69.61ms,69.61,23.90%,23.9,38.35ms,38.35,265.17ms,265.17,64.01ms,64.01,2018-11-10 12:20:56
"Bruges Belgium, Eurasia",687km,687,27.13ms,27.13,25.44%,25.44,14.82ms,14.82,125.07ms,125.07,24.05ms,24.05,2018-11-10 12:20:56
"Brunswick United States, North America",4635km,4635,94.54ms,94.54,49.31%,49.31,81.23ms,81.23,142.98ms,142.98,21.72ms,21.72,2018-11-10 12:20:56
"Brussels Belgium, Eurasia",775km,775,51.57ms,51.57,15.20%,15.2,16.78ms,16.78,107.29ms,107.29,25.40ms,25.4,2018-11-10 12:20:56
"Bucharest Romania, Eurasia",2539km,2539,67.75ms,67.75,37.90%,37.9,50.83ms,50.83,133.18ms,133.18,21.54ms,21.54,2018-11-10 12:20:56
"Budapest Hungary, Eurasia",1895km,1895,42.01ms,42.01,45.12%,45.12,39.27ms,39.27,82.01ms,82.01,7.78ms,7.78,2018-11-10 12:20:56
"Buenos Aires Argentina, South America",10995km,10995,252.74ms,252.74,43.63%,43.63,229.03ms,229.03,427.00ms,427.0,40.10ms,40.1,2018-11-10 12:20:56
"Buffalo United States, North America",5274km,5274,110.36ms,110.36,47.95%,47.95,89.58ms,89.58,164.66ms,164.66,20.78ms,20.78,2018-11-10 12:20:56
"Bursa Turkey, Eurasia",3019km,3019,102.02ms,102.02,29.60%,29.6,72.27ms,72.27,182.07ms,182.07,34.57ms,34.57,2018-11-10 12:20:56
"Cairo Egypt, Africa",3973km,3973,177.50ms,177.5,22.45%,22.45,96.43ms,96.43,351.79ms,351.79,59.10ms,59.1,2018-11-10 12:20:56
"Calgary Canada, North America",6605km,6605,279.71ms,279.71,23.67%,23.67,196.62ms,196.62,394.22ms,394.22,57.45ms,57.45,2018-11-10 12:20:56
"Canberra Australia, Oceania",17243km,17243,387.25ms,387.25,44.56%,44.56,290.62ms,290.62,529.39ms,529.39,68.53ms,68.53,2018-11-10 12:20:56
