City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15239km,15239,344.69ms,344.69,44.30%,44.3,344.40ms,344.4,345.58ms,345.58,0.80ms,0.8,2018-11-10 12:20:12
"Albany United States, North America",6848km,6848,153.40ms,153.4,44.76%,44.76,103.40ms,103.4,232.19ms,232.19,43.08ms,43.08,2018-11-10 12:20:12
"Alblasserdam Netherlands, Eurasia",1323km,1323,37.40ms,37.4,35.76%,35.76,37.16ms,37.16,38.09ms,38.09,0.24ms,0.24,2018-11-10 12:20:12
"Albuquerque United States, North America",9535km,9535,158.91ms,158.91,60.35%,60.35,153.31ms,153.31,205.48ms,205.48,13.00ms,13.0,2018-11-10 12:20:12
"Algiers Algeria, Africa",1061km,1061,41.65ms,41.65,25.88%,25.88,41.23ms,41.23,42.00ms,42.0,0.26ms,0.26,2018-11-10 12:20:12
"Amsterdam Netherlands, Eurasia",1361km,1361,40.11ms,40.11,34.02%,34.02,39.85ms,39.85,40.92ms,40.92,0.34ms,0.34,2018-11-10 12:20:12
"Anchorage United States, North America",8481km,8481,193.99ms,193.99,43.94%,43.94,193.50ms,193.5,194.49ms,194.49,0.59ms,0.59,2018-11-10 12:20:12
"Ankara Turkey, Eurasia",1627km,1627,53.12ms,53.12,30.70%,30.7,52.64ms,52.64,56.85ms,56.85,0.95ms,0.95,2018-11-10 12:20:12
"Antwerp Belgium, Eurasia",1275km,1275,40.08ms,40.08,31.88%,31.88,39.98ms,39.98,40.21ms,40.21,0.19ms,0.19,2018-11-10 12:20:12
"Arezzo Italy, Eurasia",248km,248,22.46ms,22.46,11.27%,11.27,22.39ms,22.39,22.78ms,22.78,0.17ms,0.17,2018-11-10 12:20:12
"Asheville United States, North America",7924km,7924,130.49ms,130.49,60.95%,60.95,130.10ms,130.1,139.42ms,139.42,1.66ms,1.66,2018-11-10 12:20:12
"Athens Greece, Eurasia",953km,953,45.15ms,45.15,21.18%,21.18,44.86ms,44.86,47.94ms,47.94,0.64ms,0.64,2018-11-10 12:20:12
"Atlanta United States, North America",8184km,8184,128.87ms,128.87,63.94%,63.94,128.69ms,128.69,129.24ms,129.24,0.22ms,0.22,2018-11-10 12:20:12
"Auckland New Zealand, Oceania",18311km,18311,330.79ms,330.79,55.49%,55.49,330.68ms,330.68,330.96ms,330.96,0.42ms,0.42,2018-11-10 12:20:12
"Austin United States, North America",9375km,9375,151.05ms,151.05,62.09%,62.09,139.43ms,139.43,199.25ms,199.25,14.59ms,14.59,2018-11-10 12:20:12
"Baltimore United States, North America",7260km,7260,113.60ms,113.6,64.25%,64.25,112.75ms,112.75,117.42ms,117.42,1.24ms,1.24,2018-11-10 12:20:12
"Bangalore India, Eurasia",6900km,6900,204.79ms,204.79,33.82%,33.82,204.63ms,204.63,205.56ms,205.56,0.37ms,0.37,2018-11-10 12:20:12
"Bangkok Thailand, Eurasia",8740km,8740,202.45ms,202.45,43.27%,43.27,187.66ms,187.66,336.87ms,336.87,31.34ms,31.34,2018-11-10 12:20:12
"Barcelona Spain, Eurasia",954km,954,63.69ms,63.69,15.14%,15.14,63.34ms,63.34,65.14ms,65.14,0.41ms,0.41,2018-11-10 12:20:12
"Basel Switzerland, Eurasia",812km,812,46.91ms,46.91,17.65%,17.65,46.77ms,46.77,47.55ms,47.55,0.28ms,0.28,2018-11-10 12:20:12
"Belfast United Kingdom, Eurasia",2031km,2031,53.41ms,53.41,38.32%,38.32,53.24ms,53.24,53.61ms,53.61,0.09ms,0.09,2018-11-10 12:20:12
