City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",6100km,6100,198.65ms,198.65,30.81%,30.81,198.04ms,198.04,206.31ms,206.31,1.49ms,1.49,2018-11-10 12:23:41
"Albany United States, North America",14062km,14062,293.84ms,293.84,47.99%,47.99,233.22ms,233.22,334.50ms,334.5,32.98ms,32.98,2018-11-10 12:23:41
"Alblasserdam Netherlands, Eurasia",9871km,9871,189.33ms,189.33,52.23%,52.23,188.72ms,188.72,194.49ms,194.49,1.36ms,1.36,2018-11-10 12:23:41
"Albuquerque United States, North America",13829km,13829,223.15ms,223.15,62.01%,62.01,218.82ms,218.82,277.90ms,277.9,12.98ms,12.98,2018-11-10 12:23:42
"Algiers Algeria, Africa",10471km,10471,298.13ms,298.13,35.14%,35.14,297.15ms,297.15,301.06ms,301.06,0.80ms,0.8,2018-11-10 12:23:42
"Amsterdam Netherlands, Eurasia",9854km,9854,233.60ms,233.6,42.29%,42.29,233.04ms,233.04,238.91ms,238.91,1.16ms,1.16,2018-11-10 12:23:42
"Anchorage United States, North America",9663km,9663,244.14ms,244.14,39.60%,39.6,233.79ms,233.79,460.76ms,460.76,42.26ms,42.26,2018-11-10 12:23:42
"Ankara Turkey, Eurasia",7859km,7859,405.70ms,405.7,19.40%,19.4,396.64ms,396.64,653.71ms,653.71,46.07ms,46.07,2018-11-10 12:23:42
"Antwerp Belgium, Eurasia",9907km,9907,193.15ms,193.15,51.33%,51.33,191.30ms,191.3,208.15ms,208.15,4.89ms,4.89,2018-11-10 12:23:42
"Arezzo Italy, Eurasia",9563km,9563,214.70ms,214.7,44.69%,44.69,213.92ms,213.92,218.16ms,218.16,1.07ms,1.07,2018-11-10 12:23:42
"Asheville United States, North America",14767km,14767,281.71ms,281.71,52.55%,52.55,281.41ms,281.41,286.50ms,286.5,1.17ms,1.17,2018-11-10 12:23:42
"Athens Greece, Eurasia",8655km,8655,318.14ms,318.14,27.22%,27.22,317.63ms,317.63,320.19ms,320.19,0.64ms,0.64,2018-11-10 12:23:42
"Atlanta United States, North America",14927km,14927,250.97ms,250.97,59.71%,59.71,250.78ms,250.78,251.43ms,251.43,0.62ms,0.62,2018-11-10 12:23:42
"Auckland New Zealand, Oceania",8853km,8853,179.10ms,179.1,49.46%,49.46,173.38ms,173.38,209.02ms,209.02,9.89ms,9.89,2018-11-10 12:23:42
"Austin United States, North America",14760km,14760,298.87ms,298.87,49.53%,49.53,255.59ms,255.59,541.49ms,541.49,85.68ms,85.68,2018-11-10 12:23:42
"Baltimore United States, North America",14437km,14437,312.43ms,312.43,46.27%,46.27,255.56ms,255.56,947.37ms,947.37,156.33ms,156.33,2018-11-10 12:23:42
"Bangalore India, Eurasia",3167km,3167,196.83ms,196.83,16.16%,16.16,196.03ms,196.03,210.38ms,210.38,2.66ms,2.66,2018-11-10 12:23:42
"Bangkok Thailand, Eurasia",743km,743,210.71ms,210.71,3.54%,3.54,208.52ms,208.52,229.58ms,229.58,4.50ms,4.5,2018-11-10 12:23:42
"Barcelona Spain, Eurasia",10392km,10392,285.71ms,285.71,36.46%,36.46,284.33ms,284.33,306.13ms,306.13,4.01ms,4.01,2018-11-10 12:23:42
"Basel Switzerland, Eurasia",9790km,9790,366.56ms,366.56,26.75%,26.75,360.44ms,360.44,532.76ms,532.76,30.88ms,30.88,2018-11-10 12:23:42
"Belfast United Kingdom, Eurasia",10426km,10426,286.97ms,286.97,36.45%,36.45,275.42ms,275.42,567.60ms,567.6,53.31ms,53.31,2018-11-10 12:23:42
"Bergen Norway, Eurasia",9575km,9575,305.18ms,305.18,31.39%,31.39,304.72ms,304.72,308.07ms,308.07,1.08ms,1.08,2018-11-10 12:23:42
"Berkeley Springs United States, North America",14386km,14386,250.77ms,250.77,57.54%,57.54,250.47ms,250.47,252.70ms,252.7,0.60ms,0.6,2018-11-10 12:23:42
"Bern Switzerland, Eurasia",9817km,9817,203.80ms,203.8,48.36%,48.36,203.43ms,203.43,208.90ms,208.9,1.02ms,1.02,2018-11-10 12:23:42
"Bogota Colombia, South America",18303km,18303,473.05ms,473.05,38.70%,38.7,331.21ms,331.21,4356.87ms,4356.87,722.21ms,722.21,2018-11-10 12:23:42
"Boston United States, North America",14100km,14100,256.63ms,256.63,55.08%,55.08,256.41ms,256.41,256.95ms,256.95,0.23ms,0.23,2018-11-10 12:23:42
"Brasilia Brazil, South America",17209km,17209,362.10ms,362.1,47.54%,47.54,360.76ms,360.76,372.17ms,372.17,3.29ms,3.29,2018-11-10 12:23:42
"Bratislava Slovakia, Eurasia",9080km,9080,262.09ms,262.09,34.66%,34.66,231.89ms,231.89,546.41ms,546.41,88.83ms,88.83,2018-11-10 12:23:42
"Brisbane Australia, Oceania",6567km,6567,231.81ms,231.81,28.43%,28.43,214.78ms,214.78,534.99ms,534.99,62.89ms,62.89,2018-11-10 12:23:42
"Bristol United Kingdom, Eurasia",10358km,10358,270.14ms,270.14,38.36%,38.36,269.94ms,269.94,270.53ms,270.53,0.39ms,0.39,2018-11-10 12:23:42
"Brno Czech Republic, Eurasia",9102km,9102,365.58ms,365.58,24.94%,24.94,238.44ms,238.44,4049.11ms,4049.11,684.01ms,684.01,2018-11-10 12:23:42
"Bruges Belgium, Eurasia",9985km,9985,232.48ms,232.48,43.04%,43.04,231.64ms,231.64,238.49ms,238.49,1.50ms,1.5,2018-11-10 12:23:42
"Brunswick United States, North America",13923km,13923,230.47ms,230.47,60.53%,60.53,229.83ms,229.83,234.88ms,234.88,1.21ms,1.21,2018-11-10 12:23:42
"Brussels Belgium, Eurasia",9922km,9922,206.47ms,206.47,48.17%,48.17,196.37ms,196.37,408.48ms,408.48,39.23ms,39.23,2018-11-10 12:23:42
"Bucharest Romania, Eurasia",8420km,8420,341.58ms,341.58,24.69%,24.69,311.16ms,311.16,761.04ms,761.04,103.24ms,103.24,2018-11-10 12:23:42
"Budapest Hungary, Eurasia",8944km,8944,474.00ms,474.0,18.91%,18.91,287.91ms,287.91,5837.38ms,5837.38,995.96ms,995.96,2018-11-10 12:23:42
"Buenos Aires Argentina, South America",16970km,16970,371.79ms,371.79,45.74%,45.74,368.39ms,368.39,395.78ms,395.78,6.00ms,6.0,2018-11-10 12:23:42
"Buffalo United States, North America",14020km,14020,485.85ms,485.85,28.91%,28.91,267.39ms,267.39,4097.96ms,4097.96,809.93ms,809.93,2018-11-10 12:23:42
"Bursa Turkey, Eurasia",8184km,8184,315.77ms,315.77,25.98%,25.98,315.24ms,315.24,318.41ms,318.41,0.83ms,0.83,2018-11-10 12:23:42
"Cairo Egypt, Africa",8013km,8013,284.81ms,284.81,28.21%,28.21,252.27ms,252.27,541.13ms,541.13,74.28ms,74.28,2018-11-10 12:23:42
"Calgary Canada, North America",12100km,12100,212.65ms,212.65,57.08%,57.08,210.33ms,210.33,225.49ms,225.49,3.56ms,3.56,2018-11-10 12:23:42
"Canberra Australia, Oceania",6801km,6801,331.50ms,331.5,20.55%,20.55,322.92ms,322.92,558.56ms,558.56,42.92ms,42.92,2018-11-10 12:23:42
"Cape Town South Africa, Africa",10517km,10517,431.22ms,431.22,24.40%,24.4,430.86ms,430.86,433.44ms,433.44,0.62ms,0.62,2018-11-10 12:23:42
"Caracas Venezuela, South America",17545km,17545,453.04ms,453.04,38.73%,38.73,267.58ms,267.58,5799.94ms,5799.94,992.90ms,992.9,2018-11-10 12:23:42
"Cardiff United Kingdom, Eurasia",10395km,10395,395.54ms,395.54,26.32%,26.32,292.12ms,292.12,3364.95ms,3364.95,551.41ms,551.41,2018-11-10 12:23:42
"Carlow Ireland, Eurasia",10569km,10569,202.38ms,202.38,52.32%,52.32,201.67ms,201.67,205.99ms,205.99,1.28ms,1.28,2018-11-10 12:23:42
"Charlotte United States, North America",14838km,14838,270.73ms,270.73,54.96%,54.96,270.13ms,270.13,274.18ms,274.18,1.18ms,1.18,2018-11-10 12:23:42
"Cheltenham United Kingdom, Eurasia",10307km,10307,288.56ms,288.56,35.79%,35.79,288.30ms,288.3,289.44ms,289.44,0.54ms,0.54,2018-11-10 12:23:42
"Chennai India, Eurasia",2877km,2877,210.52ms,210.52,13.70%,13.7,194.11ms,194.11,442.60ms,442.6,60.21ms,60.21,2018-11-10 12:23:42
"Chicago United States, North America",13982km,13982,229.98ms,229.98,61.06%,61.06,229.43ms,229.43,235.08ms,235.08,1.24ms,1.24,2018-11-10 12:23:42
"Chisinau Moldova, Eurasia",8202km,8202,253.62ms,253.62,32.42%,32.42,252.61ms,252.61,259.37ms,259.37,1.64ms,1.64,2018-11-10 12:23:42
"Christchurch New Zealand, Oceania",8980km,8980,423.49ms,423.49,21.23%,21.23,283.37ms,283.37,3934.87ms,3934.87,659.12ms,659.12,2018-11-10 12:23:42
"Cincinnati United States, North America",14349km,14349,235.38ms,235.38,61.06%,61.06,234.91ms,234.91,238.42ms,238.42,0.92ms,0.92,2018-11-10 12:23:42
"Cleveland United States, North America",14123km,14123,229.57ms,229.57,61.67%,61.67,229.06ms,229.06,231.92ms,231.92,0.68ms,0.68,2018-11-10 12:23:42
