City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",8603km,8603,320.55ms,320.55,26.88%,26.88,320.39ms,320.39,321.05ms,321.05,0.64ms,0.64,2018-11-10 12:22:10
"Albany United States, North America",12755km,12755,299.35ms,299.35,42.66%,42.66,243.75ms,243.75,363.60ms,363.6,39.07ms,39.07,2018-11-10 12:22:10
"Alblasserdam Netherlands, Eurasia",7394km,7394,140.88ms,140.88,52.81%,52.81,140.75ms,140.75,141.21ms,141.21,0.34ms,0.34,2018-11-10 12:22:10
"Albuquerque United States, North America",14159km,14159,263.87ms,263.87,53.84%,53.84,260.30ms,260.3,301.70ms,301.7,9.86ms,9.86,2018-11-10 12:22:10
"Algiers Algeria, Africa",7586km,7586,133.04ms,133.04,57.04%,57.04,132.51ms,132.51,133.86ms,133.86,0.43ms,0.43,2018-11-10 12:22:10
"Amsterdam Netherlands, Eurasia",7392km,7392,162.48ms,162.48,45.63%,45.63,162.18ms,162.18,162.89ms,162.89,0.32ms,0.32,2018-11-10 12:22:10
"Anchorage United States, North America",10288km,10288,260.38ms,260.38,39.57%,39.57,260.13ms,260.13,260.99ms,260.99,0.73ms,0.73,2018-11-10 12:22:10
"Ankara Turkey, Eurasia",5036km,5036,331.22ms,331.22,15.21%,15.21,330.81ms,330.81,338.75ms,338.75,1.43ms,1.43,2018-11-10 12:22:10
"Antwerp Belgium, Eurasia",7409km,7409,144.96ms,144.96,51.45%,51.45,144.71ms,144.71,145.39ms,145.39,0.26ms,0.26,2018-11-10 12:22:10
"Arezzo Italy, Eurasia",6816km,6816,144.47ms,144.47,47.33%,47.33,144.34ms,144.34,144.66ms,144.66,0.29ms,0.29,2018-11-10 12:22:10
"Asheville United States, North America",13798km,13798,253.80ms,253.8,54.54%,54.54,253.55ms,253.55,254.03ms,254.03,0.68ms,0.68,2018-11-10 12:22:10
"Athens Greece, Eurasia",5765km,5765,187.08ms,187.08,30.83%,30.83,184.22ms,184.22,199.26ms,199.26,3.75ms,3.75,2018-11-10 12:22:10
"Atlanta United States, North America",14051km,14051,255.33ms,255.33,55.10%,55.1,246.78ms,246.78,267.90ms,267.9,8.15ms,8.15,2018-11-10 12:22:10
"Auckland New Zealand, Oceania",11702km,11702,286.43ms,286.43,40.92%,40.92,279.20ms,279.2,297.94ms,297.94,8.58ms,8.58,2018-11-10 12:22:10
"Austin United States, North America",14709km,14709,249.82ms,249.82,59.07%,59.07,233.90ms,233.9,290.26ms,290.26,12.23ms,12.23,2018-11-10 12:22:10
