City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",11408km,11408,388.59ms,388.59,29.40%,29.4,388.11ms,388.11,394.76ms,394.76,1.35ms,1.35,2018-11-10 12:21:31
"Albany United States, North America",9232km,9232,234.64ms,234.64,39.45%,39.45,169.48ms,169.48,319.28ms,319.28,40.47ms,40.47,2018-11-10 12:21:31
"Alblasserdam Netherlands, Eurasia",4635km,4635,110.67ms,110.67,42.14%,42.14,110.25ms,110.25,117.74ms,117.74,1.38ms,1.38,2018-11-10 12:21:31
"Albuquerque United States, North America",10572km,10572,232.50ms,232.5,45.57%,45.57,219.07ms,219.07,281.59ms,281.59,13.95ms,13.95,2018-11-10 12:21:31
"Algiers Algeria, Africa",5641km,5641,143.80ms,143.8,39.45%,39.45,143.18ms,143.18,146.55ms,146.55,0.70ms,0.7,2018-11-10 12:21:31
"Amsterdam Netherlands, Eurasia",4611km,4611,113.86ms,113.86,40.81%,40.81,107.63ms,107.63,120.97ms,120.97,6.42ms,6.42,2018-11-10 12:21:31
"Anchorage United States, North America",7086km,7086,263.93ms,263.93,26.94%,26.94,263.55ms,263.55,265.57ms,265.57,0.81ms,0.81,2018-11-10 12:21:32
"Ankara Turkey, Eurasia",3315km,3315,131.40ms,131.4,25.31%,25.31,130.54ms,130.54,141.71ms,141.71,2.12ms,2.12,2018-11-10 12:21:32
"Antwerp Belgium, Eurasia",4682km,4682,114.21ms,114.21,41.07%,41.07,114.08ms,114.08,115.19ms,115.19,0.45ms,0.45,2018-11-10 12:21:32
"Arezzo Italy, Eurasia",4600km,4600,111.27ms,111.27,41.44%,41.44,110.95ms,110.95,112.42ms,112.42,0.44ms,0.44,2018-11-10 12:21:32
"Asheville United States, North America",10222km,10222,196.01ms,196.01,52.15%,52.15,195.89ms,195.89,196.54ms,196.54,0.53ms,0.53,2018-11-10 12:21:32
"Athens Greece, Eurasia",4093km,4093,124.42ms,124.42,33.01%,33.01,123.98ms,123.98,125.95ms,125.95,0.57ms,0.57,2018-11-10 12:21:32
"Atlanta United States, North America",10464km,10464,184.95ms,184.95,56.87%,56.87,184.54ms,184.54,187.94ms,187.94,0.74ms,0.74,2018-11-10 12:21:32
