City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13516km,13516,178.52ms,178.52,75.93%,75.93,178.36ms,178.36,178.90ms,178.9,0.58ms,0.58,2018-11-10 12:19:56
"Albany United States, North America",3596km,3596,143.44ms,143.44,25.15%,25.15,86.05ms,86.05,218.09ms,218.09,40.61ms,40.61,2018-11-10 12:19:56
"Alblasserdam Netherlands, Eurasia",8628km,8628,152.07ms,152.07,56.76%,56.76,151.72ms,151.72,155.61ms,155.61,0.85ms,0.85,2018-11-10 12:19:56
"Albuquerque United States, North America",779km,779,57.34ms,57.34,13.67%,13.67,50.17ms,50.17,98.59ms,98.59,15.15ms,15.15,2018-11-10 12:19:56
"Algiers Algeria, Africa",9715km,9715,180.87ms,180.87,53.97%,53.97,180.51ms,180.51,181.37ms,181.37,0.40ms,0.4,2018-11-10 12:19:56
"Amsterdam Netherlands, Eurasia",8597km,8597,141.65ms,141.65,60.97%,60.97,141.45ms,141.45,142.03ms,142.03,0.34ms,0.34,2018-11-10 12:19:56
"Anchorage United States, North America",3702km,3702,62.47ms,62.47,59.71%,59.71,62.34ms,62.34,62.84ms,62.84,0.35ms,0.35,2018-11-10 12:19:56
"Ankara Turkey, Eurasia",10954km,10954,214.66ms,214.66,51.19%,51.19,214.35ms,214.35,217.34ms,217.34,0.82ms,0.82,2018-11-10 12:19:56
"Antwerp Belgium, Eurasia",8665km,8665,150.87ms,150.87,57.77%,57.77,150.72ms,150.72,151.60ms,151.6,0.52ms,0.52,2018-11-10 12:19:56
"Arezzo Italy, Eurasia",9678km,9678,160.59ms,160.59,60.49%,60.49,160.42ms,160.42,161.21ms,161.21,0.37ms,0.37,2018-11-10 12:19:56
"Asheville United States, North America",2925km,2925,67.13ms,67.13,43.66%,43.66,67.02ms,67.02,67.81ms,67.81,0.29ms,0.29,2018-11-10 12:19:56
"Athens Greece, Eurasia",10761km,10761,200.67ms,200.67,53.80%,53.8,200.44ms,200.44,201.82ms,201.82,0.30ms,0.3,2018-11-10 12:19:56
"Atlanta United States, North America",2806km,2806,59.21ms,59.21,47.56%,47.56,58.89ms,58.89,61.25ms,61.25,0.51ms,0.51,2018-11-10 12:19:56
"Auckland New Zealand, Oceania",10860km,10860,166.27ms,166.27,65.42%,65.42,166.00ms,166.0,167.26ms,167.26,0.27ms,0.27,2018-11-10 12:19:56
"Austin United States, North America",1741km,1741,51.50ms,51.5,34.14%,34.14,39.22ms,39.22,122.54ms,122.54,17.04ms,17.04,2018-11-10 12:19:56
"Baltimore United States, North America",3385km,3385,63.56ms,63.56,53.73%,53.73,63.13ms,63.13,67.44ms,67.44,0.80ms,0.8,2018-11-10 12:19:56
"Bangalore India, Eurasia",14402km,14402,210.35ms,210.35,68.58%,68.58,205.11ms,205.11,219.80ms,219.8,5.95ms,5.95,2018-11-10 12:19:56
"Bangkok Thailand, Eurasia",13332km,13332,215.15ms,215.15,62.01%,62.01,204.73ms,204.73,253.53ms,253.53,12.05ms,12.05,2018-11-10 12:19:56
"Barcelona Spain, Eurasia",9301km,9301,184.14ms,184.14,50.55%,50.55,183.94ms,183.94,184.77ms,184.77,0.54ms,0.54,2018-11-10 12:19:56
"Basel Switzerland, Eurasia",9117km,9117,163.85ms,163.85,55.93%,55.93,163.67ms,163.67,164.03ms,164.03,0.29ms,0.29,2018-11-10 12:19:56
"Belfast United Kingdom, Eurasia",7895km,7895,147.07ms,147.07,53.71%,53.71,146.88ms,146.88,147.30ms,147.3,0.49ms,0.49,2018-11-10 12:19:56
"Bergen Norway, Eurasia",8006km,8006,184.56ms,184.56,43.51%,43.51,184.35ms,184.35,185.94ms,185.94,0.46ms,0.46,2018-11-10 12:19:56
"Berkeley Springs United States, North America",3243km,3243,77.97ms,77.97,42.12%,42.12,77.68ms,77.68,78.26ms,78.26,0.20ms,0.2,2018-11-10 12:19:56
"Bern Switzerland, Eurasia",9159km,9159,160.28ms,160.28,57.24%,57.24,159.98ms,159.98,161.10ms,161.1,0.52ms,0.52,2018-11-10 12:19:56
"Bogota Colombia, South America",5463km,5463,134.96ms,134.96,40.77%,40.77,134.24ms,134.24,140.44ms,140.44,1.71ms,1.71,2018-11-10 12:19:56
"Boston United States, North America",3819km,3819,81.15ms,81.15,47.15%,47.15,80.98ms,80.98,81.38ms,81.38,0.19ms,0.19,2018-11-10 12:19:56
"Brasilia Brazil, South America",9113km,9113,195.49ms,195.49,46.73%,46.73,194.46ms,194.46,204.16ms,204.16,2.31ms,2.31,2018-11-10 12:19:56
"Bratislava Slovakia, Eurasia",9525km,9525,166.45ms,166.45,57.38%,57.38,166.36ms,166.36,166.73ms,166.73,0.20ms,0.2,2018-11-10 12:19:56
"Brisbane Australia, Oceania",11914km,11914,165.90ms,165.9,72.21%,72.21,165.73ms,165.73,166.19ms,166.19,0.41ms,0.41,2018-11-10 12:19:56
"Bristol United Kingdom, Eurasia",8285km,8285,132.94ms,132.94,62.77%,62.77,132.70ms,132.7,133.54ms,133.54,0.25ms,0.25,2018-11-10 12:19:56
"Brno Czech Republic, Eurasia",9410km,9410,160.47ms,160.47,58.81%,58.81,160.37ms,160.37,160.57ms,160.57,0.16ms,0.16,2018-11-10 12:19:56
"Bruges Belgium, Eurasia",8607km,8607,151.20ms,151.2,57.00%,57.0,150.97ms,150.97,152.87ms,152.87,0.53ms,0.53,2018-11-10 12:19:56
"Brunswick United States, North America",3897km,3897,85.74ms,85.74,45.85%,45.85,85.58ms,85.58,85.87ms,85.87,0.26ms,0.26,2018-11-10 12:19:56
"Brussels Belgium, Eurasia",8691km,8691,145.56ms,145.56,59.94%,59.94,145.46ms,145.46,145.74ms,145.74,0.21ms,0.21,2018-11-10 12:19:56
"Bucharest Romania, Eurasia",10252km,10252,172.67ms,172.67,59.60%,59.6,172.59ms,172.59,172.80ms,172.8,0.57ms,0.57,2018-11-10 12:19:56
"Budapest Hungary, Eurasia",9669km,9669,174.47ms,174.47,55.57%,55.57,173.99ms,173.99,174.92ms,174.92,0.58ms,0.58,2018-11-10 12:19:56
