City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15662km,15662,340.86ms,340.86,46.06%,46.06,335.99ms,335.99,347.51ms,347.51,2.68ms,2.68,2018-11-10 12:20:12
"Albany United States, North America",6276km,6276,186.75ms,186.75,33.74%,33.74,118.85ms,118.85,260.36ms,260.36,43.00ms,43.0,2018-11-10 12:20:12
"Alblasserdam Netherlands, Eurasia",723km,723,29.20ms,29.2,24.93%,24.93,27.46ms,27.46,33.82ms,33.82,1.42ms,1.42,2018-11-10 12:20:12
"Albuquerque United States, North America",8931km,8931,212.45ms,212.45,42.13%,42.13,204.34ms,204.34,256.68ms,256.68,10.20ms,10.2,2018-11-10 12:20:12
"Algiers Algeria, Africa",1139km,1139,57.59ms,57.59,19.98%,19.98,52.88ms,52.88,64.60ms,64.6,3.28ms,3.28,2018-11-10 12:20:12
"Amsterdam Netherlands, Eurasia",765km,765,30.39ms,30.39,25.50%,25.5,26.50ms,26.5,34.34ms,34.34,1.95ms,1.95,2018-11-10 12:20:12
"Anchorage United States, North America",7944km,7944,226.76ms,226.76,35.15%,35.15,222.02ms,222.02,231.47ms,231.47,2.15ms,2.15,2018-11-10 12:20:12
"Ankara Turkey, Eurasia",2050km,2050,56.54ms,56.54,36.61%,36.61,51.00ms,51.0,72.88ms,72.88,4.30ms,4.3,2018-11-10 12:20:12
"Antwerp Belgium, Eurasia",669km,669,35.26ms,35.26,19.11%,19.11,32.50ms,32.5,40.01ms,40.01,1.75ms,1.75,2018-11-10 12:20:12
"Arezzo Italy, Eurasia",363km,363,22.83ms,22.83,16.50%,16.5,18.63ms,18.63,27.43ms,27.43,1.71ms,1.71,2018-11-10 12:20:12
"Asheville United States, North America",7360km,7360,152.24ms,152.24,48.42%,48.42,146.84ms,146.84,160.10ms,160.1,3.58ms,3.58,2018-11-10 12:20:12
"Athens Greece, Eurasia",1508km,1508,55.61ms,55.61,27.42%,27.42,51.77ms,51.77,62.92ms,62.92,3.14ms,3.14,2018-11-10 12:20:12
"Atlanta United States, North America",7622km,7622,132.60ms,132.6,57.74%,57.74,127.71ms,127.71,138.20ms,138.2,2.97ms,2.97,2018-11-10 12:20:12
"Auckland New Zealand, Oceania",18462km,18462,309.10ms,309.1,59.75%,59.75,304.61ms,304.61,313.55ms,313.55,2.27ms,2.27,2018-11-10 12:20:12
"Austin United States, North America",8792km,8792,175.53ms,175.53,50.24%,50.24,159.89ms,159.89,208.54ms,208.54,12.58ms,12.58,2018-11-10 12:20:12
"Baltimore United States, North America",6695km,6695,141.07ms,141.07,47.48%,47.48,137.15ms,137.15,145.26ms,145.26,2.36ms,2.36,2018-11-10 12:20:12
"Bangalore India, Eurasia",7332km,7332,159.04ms,159.04,46.11%,46.11,153.90ms,153.9,165.90ms,165.9,3.02ms,3.02,2018-11-10 12:20:12
"Bangkok Thailand, Eurasia",9031km,9031,197.90ms,197.9,45.84%,45.84,181.91ms,181.91,287.53ms,287.53,20.94ms,20.94,2018-11-10 12:20:12
"Barcelona Spain, Eurasia",748km,748,43.20ms,43.2,17.40%,17.4,39.32ms,39.32,47.53ms,47.53,2.43ms,2.43,2018-11-10 12:20:12
"Basel Switzerland, Eurasia",202km,202,14.80ms,14.8,14.43%,14.43,7.70ms,7.7,25.81ms,25.81,4.78ms,4.78,2018-11-10 12:20:12
"Belfast United Kingdom, Eurasia",1420km,1420,47.49ms,47.49,30.21%,30.21,41.32ms,41.32,90.78ms,90.78,9.35ms,9.35,2018-11-10 12:20:12
"Bergen Norway, Eurasia",1616km,1616,53.64ms,53.64,30.49%,30.49,48.14ms,48.14,61.17ms,61.17,3.36ms,3.36,2018-11-10 12:20:12
"Berkeley Springs United States, North America",6782km,6782,128.15ms,128.15,52.98%,52.98,122.78ms,122.78,133.06ms,133.06,2.59ms,2.59,2018-11-10 12:20:12
"Bern Switzerland, Eurasia",156km,156,16.40ms,16.4,9.75%,9.75,12.05ms,12.05,21.71ms,21.71,2.90ms,2.9,2018-11-10 12:20:12
"Bogota Colombia, South America",9104km,9104,212.12ms,212.12,42.94%,42.94,207.79ms,207.79,220.57ms,220.57,3.03ms,3.03,2018-11-10 12:20:12
"Boston United States, North America",6116km,6116,121.67ms,121.67,50.55%,50.55,116.62ms,116.62,126.57ms,126.57,2.90ms,2.9,2018-11-10 12:20:12
