City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15986km,15986,318.86ms,318.86,50.27%,50.27,318.44ms,318.44,319.87ms,319.87,0.72ms,0.72,2018-11-10 12:19:47
"Albany United States, North America",6002km,6002,141.35ms,141.35,42.57%,42.57,81.11ms,81.11,205.68ms,205.68,38.90ms,38.9,2018-11-10 12:19:47
"Alblasserdam Netherlands, Eurasia",679km,679,19.12ms,19.12,35.74%,35.74,17.92ms,17.92,47.18ms,47.18,5.21ms,5.21,2018-11-10 12:19:47
"Albuquerque United States, North America",8700km,8700,161.05ms,161.05,54.04%,54.04,154.39ms,154.39,201.71ms,201.71,13.34ms,13.34,2018-11-10 12:19:47
"Algiers Algeria, Africa",1011km,1011,38.42ms,38.42,26.61%,26.61,37.56ms,37.56,40.66ms,40.66,0.54ms,0.54,2018-11-10 12:19:47
"Amsterdam Netherlands, Eurasia",727km,727,24.65ms,24.65,30.29%,30.29,24.54ms,24.54,24.89ms,24.89,0.24ms,0.24,2018-11-10 12:19:47
"Anchorage United States, North America",7905km,7905,167.90ms,167.9,47.34%,47.34,167.69ms,167.69,168.13ms,168.13,0.42ms,0.42,2018-11-10 12:19:47
"Ankara Turkey, Eurasia",2367km,2367,69.40ms,69.4,34.30%,34.3,68.71ms,68.71,79.70ms,79.7,1.97ms,1.97,2018-11-10 12:19:47
"Antwerp Belgium, Eurasia",608km,608,21.34ms,21.34,28.95%,28.95,21.25ms,21.25,21.51ms,21.51,0.18ms,0.18,2018-11-10 12:19:47
"Arezzo Italy, Eurasia",616km,616,32.22ms,32.22,19.25%,19.25,32.15ms,32.15,32.36ms,32.36,0.07ms,0.07,2018-11-10 12:19:47
"Asheville United States, North America",7081km,7081,103.95ms,103.95,68.75%,68.75,103.86ms,103.86,104.03ms,104.03,0.43ms,0.43,2018-11-10 12:19:47
"Athens Greece, Eurasia",1786km,1786,60.01ms,60.01,29.77%,29.77,59.71ms,59.71,61.55ms,61.55,0.51ms,0.51,2018-11-10 12:19:47
"Atlanta United States, North America",7342km,7342,102.75ms,102.75,71.98%,71.98,102.58ms,102.58,103.31ms,103.31,0.36ms,0.36,2018-11-10 12:19:47
"Auckland New Zealand, Oceania",18724km,18724,301.96ms,301.96,62.21%,62.21,301.85ms,301.85,302.18ms,302.18,0.62ms,0.62,2018-11-10 12:19:47
"Austin United States, North America",8529km,8529,131.78ms,131.78,65.11%,65.11,121.30ms,121.3,176.64ms,176.64,12.64ms,12.64,2018-11-10 12:19:47
"Baltimore United States, North America",6416km,6416,90.67ms,90.67,71.29%,71.29,89.00ms,89.0,129.64ms,129.64,7.26ms,7.26,2018-11-10 12:19:47
"Bangalore India, Eurasia",7653km,7653,141.18ms,141.18,54.28%,54.28,141.08ms,141.08,141.73ms,141.73,0.26ms,0.26,2018-11-10 12:19:47
"Bangkok Thailand, Eurasia",9354km,9354,171.31ms,171.31,54.70%,54.7,168.29ms,168.29,203.47ms,203.47,6.88ms,6.88,2018-11-10 12:19:47
"Barcelona Spain, Eurasia",529km,529,33.86ms,33.86,16.03%,16.03,33.65ms,33.65,34.13ms,34.13,0.13ms,0.13,2018-11-10 12:19:47
"Basel Switzerland, Eurasia",294km,294,29.54ms,29.54,10.14%,10.14,29.44ms,29.44,30.16ms,30.16,0.24ms,0.24,2018-11-10 12:19:47
"Belfast United Kingdom, Eurasia",1240km,1240,29.83ms,29.83,42.76%,42.76,29.69ms,29.69,30.15ms,30.15,0.21ms,0.21,2018-11-10 12:19:47
