City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14138km,14138,245.82ms,245.82,57.71%,57.71,245.70ms,245.7,246.29ms,246.29,0.36ms,0.36,2018-11-10 12:19:44
"Albany United States, North America",3516km,3516,124.53ms,124.53,28.35%,28.35,68.93ms,68.93,175.77ms,175.77,38.62ms,38.62,2018-11-10 12:19:44
"Alblasserdam Netherlands, Eurasia",9224km,9224,139.16ms,139.16,66.36%,66.36,138.84ms,138.84,139.44ms,139.44,0.43ms,0.43,2018-11-10 12:19:44
"Albuquerque United States, North America",1892km,1892,53.25ms,53.25,35.70%,35.7,47.44ms,47.44,99.95ms,99.95,12.16ms,12.16,2018-11-10 12:19:44
"Algiers Algeria, Africa",9758km,9758,174.27ms,174.27,56.08%,56.08,173.67ms,173.67,176.43ms,176.43,0.56ms,0.56,2018-11-10 12:19:44
"Amsterdam Netherlands, Eurasia",9209km,9209,146.92ms,146.92,63.08%,63.08,146.76ms,146.76,147.31ms,147.31,0.49ms,0.49,2018-11-10 12:19:44
"Anchorage United States, North America",6076km,6076,101.27ms,101.27,60.16%,60.16,101.07ms,101.07,101.42ms,101.42,0.44ms,0.44,2018-11-10 12:19:44
"Ankara Turkey, Eurasia",11754km,11754,191.67ms,191.67,61.54%,61.54,191.51ms,191.51,192.18ms,192.18,0.45ms,0.45,2018-11-10 12:19:44
"Antwerp Belgium, Eurasia",9236km,9236,137.79ms,137.79,67.42%,67.42,137.59ms,137.59,138.03ms,138.03,0.20ms,0.2,2018-11-10 12:19:44
"Arezzo Italy, Eurasia",10114km,10114,174.11ms,174.11,58.13%,58.13,173.95ms,173.95,174.80ms,174.8,0.57ms,0.57,2018-11-10 12:19:44
"Asheville United States, North America",2423km,2423,58.80ms,58.8,41.78%,41.78,58.73ms,58.73,58.87ms,58.87,0.24ms,0.24,2018-11-10 12:19:44
"Athens Greece, Eurasia",11284km,11284,190.93ms,190.93,59.39%,59.39,190.61ms,190.61,193.89ms,193.89,0.64ms,0.64,2018-11-10 12:19:44
"Atlanta United States, North America",2159km,2159,74.51ms,74.51,29.18%,29.18,74.22ms,74.22,77.12ms,77.12,0.65ms,0.65,2018-11-10 12:19:44
"Auckland New Zealand, Oceania",10960km,10960,223.94ms,223.94,49.15%,49.15,223.85ms,223.85,224.07ms,224.07,0.25ms,0.25,2018-11-10 12:19:44
"Austin United States, North America",1211km,1211,43.61ms,43.61,28.16%,28.16,34.88ms,34.88,76.43ms,76.43,11.05ms,11.05,2018-11-10 12:19:44
"Baltimore United States, North America",3087km,3087,58.60ms,58.6,53.22%,53.22,58.15ms,58.15,61.72ms,61.72,0.84ms,0.84,2018-11-10 12:19:44
"Bangalore India, Eurasia",16398km,16398,274.16ms,274.16,59.85%,59.85,268.81ms,268.81,283.69ms,283.69,6.05ms,6.05,2018-11-10 12:19:44
"Bangkok Thailand, Eurasia",15750km,15750,259.20ms,259.2,60.81%,60.81,253.96ms,253.96,291.64ms,291.64,8.87ms,8.87,2018-11-10 12:19:44
"Barcelona Spain, Eurasia",9491km,9491,162.01ms,162.01,58.59%,58.59,161.70ms,161.7,162.37ms,162.37,0.25ms,0.25,2018-11-10 12:19:44
"Basel Switzerland, Eurasia",9612km,9612,157.58ms,157.58,61.22%,61.22,157.50ms,157.5,157.68ms,157.68,0.44ms,0.44,2018-11-10 12:19:44
"Belfast United Kingdom, Eurasia",8461km,8461,149.32ms,149.32,56.79%,56.79,149.15ms,149.15,149.55ms,149.55,0.22ms,0.22,2018-11-10 12:19:44
"Bergen Norway, Eurasia",8903km,8903,161.85ms,161.85,55.30%,55.3,161.59ms,161.59,164.29ms,164.29,0.62ms,0.62,2018-11-10 12:19:44
"Berkeley Springs United States, North America",3007km,3007,64.51ms,64.51,46.98%,46.98,64.36ms,64.36,64.75ms,64.75,0.11ms,0.11,2018-11-10 12:19:44
"Bern Switzerland, Eurasia",9631km,9631,164.38ms,164.38,58.73%,58.73,164.27ms,164.27,164.56ms,164.56,0.07ms,0.07,2018-11-10 12:19:44
"Bogota Colombia, South America",3178km,3178,109.90ms,109.9,29.16%,29.16,109.73ms,109.73,110.18ms,110.18,0.23ms,0.23,2018-11-10 12:19:44
"Boston United States, North America",3666km,3666,74.57ms,74.57,49.54%,49.54,74.43ms,74.43,75.39ms,75.39,0.17ms,0.17,2018-11-10 12:19:44
"Brasilia Brazil, South America",6838km,6838,193.47ms,193.47,35.43%,35.43,186.65ms,186.65,348.92ms,348.92,29.51ms,29.51,2018-11-10 12:19:44
"Bratislava Slovakia, Eurasia",10204km,10204,157.12ms,157.12,64.99%,64.99,156.99ms,156.99,157.41ms,157.41,0.54ms,0.54,2018-11-10 12:19:44
"Brisbane Australia, Oceania",12700km,12700,197.57ms,197.57,64.47%,64.47,197.36ms,197.36,200.00ms,200.0,0.46ms,0.46,2018-11-10 12:19:44
"Bristol United Kingdom, Eurasia",8771km,8771,139.38ms,139.38,63.10%,63.1,139.21ms,139.21,139.70ms,139.7,0.24ms,0.24,2018-11-10 12:19:44
"Brno Czech Republic, Eurasia",10111km,10111,162.33ms,162.33,62.41%,62.41,162.22ms,162.22,162.41ms,162.41,0.33ms,0.33,2018-11-10 12:19:44
"Bruges Belgium, Eurasia",9161km,9161,139.57ms,139.57,65.91%,65.91,139.41ms,139.41,139.92ms,139.92,0.51ms,0.51,2018-11-10 12:19:44
"Brunswick United States, North America",3839km,3839,75.97ms,75.97,51.19%,51.19,75.84ms,75.84,76.19ms,76.19,0.38ms,0.38,2018-11-10 12:19:44
"Brussels Belgium, Eurasia",9248km,9248,134.81ms,134.81,69.01%,69.01,134.69ms,134.69,135.06ms,135.06,0.42ms,0.42,2018-11-10 12:19:44
"Bucharest Romania, Eurasia",11006km,11006,177.28ms,177.28,62.18%,62.18,177.14ms,177.14,177.50ms,177.5,0.47ms,0.47,2018-11-10 12:19:44
"Budapest Hungary, Eurasia",10364km,10364,163.55ms,163.55,63.58%,63.58,163.08ms,163.08,164.21ms,164.21,0.54ms,0.54,2018-11-10 12:19:44
"Buenos Aires Argentina, South America",7394km,7394,223.61ms,223.61,33.16%,33.16,217.47ms,217.47,242.34ms,242.34,6.30ms,6.3,2018-11-10 12:19:44
"Buffalo United States, North America",3225km,3225,71.83ms,71.83,45.42%,45.42,69.61ms,69.61,89.32ms,89.32,3.83ms,3.83,2018-11-10 12:19:45
"Bursa Turkey, Eurasia",11493km,11493,200.77ms,200.77,57.47%,57.47,200.57ms,200.57,201.26ms,201.26,0.39ms,0.39,2018-11-10 12:19:45
"Cairo Egypt, Africa",12370km,12370,194.90ms,194.9,63.76%,63.76,191.89ms,191.89,208.01ms,208.01,3.03ms,3.03,2018-11-10 12:19:45
"Calgary Canada, North America",3752km,3752,80.37ms,80.37,46.90%,46.9,79.01ms,79.01,87.85ms,87.85,2.05ms,2.05,2018-11-10 12:19:45
"Canberra Australia, Oceania",13181km,13181,233.50ms,233.5,56.57%,56.57,233.21ms,233.21,236.54ms,236.54,0.81ms,0.81,2018-11-10 12:19:45
