City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",17073km,17073,244.52ms,244.52,69.97%,69.97,244.22ms,244.22,245.42ms,245.42,0.44ms,0.44,2018-11-10 12:18:27
"Albany United States, North America",307km,307,64.18ms,64.18,4.80%,4.8,10.90ms,10.9,111.62ms,111.62,37.11ms,37.11,2018-11-10 12:18:27
"Alblasserdam Netherlands, Eurasia",5504km,5504,80.86ms,80.86,68.80%,68.8,80.79ms,80.79,81.15ms,81.15,0.08ms,0.08,2018-11-10 12:18:27
"Albuquerque United States, North America",3006km,3006,56.32ms,56.32,53.68%,53.68,52.70ms,52.7,89.94ms,89.94,8.42ms,8.42,2018-11-10 12:18:27
"Algiers Algeria, Africa",6246km,6246,116.02ms,116.02,53.84%,53.84,115.55ms,115.55,116.82ms,116.82,0.48ms,0.48,2018-11-10 12:18:27
"Amsterdam Netherlands, Eurasia",5487km,5487,83.91ms,83.91,66.11%,66.11,83.80ms,83.8,84.28ms,84.28,0.23ms,0.23,2018-11-10 12:18:27
"Anchorage United States, North America",5025km,5025,90.38ms,90.38,55.83%,55.83,90.05ms,90.05,91.36ms,91.36,0.32ms,0.32,2018-11-10 12:18:27
"Ankara Turkey, Eurasia",8028km,8028,129.80ms,129.8,62.23%,62.23,129.60ms,129.6,130.56ms,130.56,0.43ms,0.43,2018-11-10 12:18:27
"Antwerp Belgium, Eurasia",5520km,5520,87.12ms,87.12,63.45%,63.45,87.02ms,87.02,88.01ms,88.01,0.44ms,0.44,2018-11-10 12:18:27
"Arezzo Italy, Eurasia",6440km,6440,110.69ms,110.69,58.55%,58.55,110.61ms,110.61,110.86ms,110.86,0.20ms,0.2,2018-11-10 12:18:27
"Asheville United States, North America",1336km,1336,31.93ms,31.93,43.10%,43.1,31.89ms,31.89,32.07ms,32.07,0.24ms,0.24,2018-11-10 12:18:27
"Athens Greece, Eurasia",7602km,7602,129.21ms,129.21,58.93%,58.93,129.04ms,129.04,129.54ms,129.54,0.52ms,0.52,2018-11-10 12:18:27
"Atlanta United States, North America",1600km,1600,26.36ms,26.36,61.54%,61.54,25.93ms,25.93,30.27ms,30.27,0.91ms,0.91,2018-11-10 12:18:27
"Auckland New Zealand, Oceania",14396km,14396,264.69ms,264.69,54.53%,54.53,264.48ms,264.48,266.31ms,266.31,0.74ms,0.74,2018-11-10 12:18:27
"Austin United States, North America",2700km,2700,52.78ms,52.78,51.92%,51.92,43.39ms,43.39,78.12ms,78.12,10.73ms,10.73,2018-11-10 12:18:27
"Baltimore United States, North America",736km,736,16.41ms,16.41,46.00%,46.0,16.05ms,16.05,17.50ms,17.5,0.39ms,0.39,2018-11-10 12:18:27
"Bangalore India, Eurasia",12899km,12899,212.53ms,212.53,60.84%,60.84,212.42ms,212.42,212.72ms,212.72,0.32ms,0.32,2018-11-10 12:18:27
"Bangkok Thailand, Eurasia",13402km,13402,273.75ms,273.75,49.09%,49.09,270.80ms,270.8,300.63ms,300.63,6.76ms,6.76,2018-11-10 12:18:27
"Barcelona Spain, Eurasia",5899km,5899,103.13ms,103.13,57.27%,57.27,102.96ms,102.96,103.46ms,103.46,0.15ms,0.15,2018-11-10 12:18:27
"Basel Switzerland, Eurasia",5915km,5915,98.55ms,98.55,60.36%,60.36,98.50ms,98.5,98.71ms,98.71,0.26ms,0.26,2018-11-10 12:18:27
"Belfast United Kingdom, Eurasia",4739km,4739,92.56ms,92.56,51.51%,51.51,92.46ms,92.46,93.04ms,93.04,0.32ms,0.32,2018-11-10 12:18:27
"Bergen Norway, Eurasia",5185km,5185,116.37ms,116.37,44.70%,44.7,115.90ms,115.9,124.05ms,124.05,1.51ms,1.51,2018-11-10 12:18:27
"Berkeley Springs United States, North America",757km,757,24.67ms,24.67,31.54%,31.54,24.50ms,24.5,24.94ms,24.94,0.16ms,0.16,2018-11-10 12:18:27
"Bern Switzerland, Eurasia",5940km,5940,119.13ms,119.13,49.92%,49.92,119.00ms,119.0,119.43ms,119.43,0.33ms,0.33,2018-11-10 12:18:27
"Bogota Colombia, South America",4550km,4550,101.93ms,101.93,45.05%,45.05,101.56ms,101.56,106.27ms,106.27,0.89ms,0.89,2018-11-10 12:18:27
"Boston United States, North America",403km,403,9.70ms,9.7,44.78%,44.78,9.36ms,9.36,11.30ms,11.3,0.39ms,0.39,2018-11-10 12:18:27
"Brasilia Brazil, South America",7292km,7292,175.08ms,175.08,41.67%,41.67,170.51ms,170.51,222.88ms,222.88,11.38ms,11.38,2018-11-10 12:18:27
"Bratislava Slovakia, Eurasia",6481km,6481,102.64ms,102.64,63.54%,63.54,102.57ms,102.57,102.70ms,102.7,0.32ms,0.32,2018-11-10 12:18:27
"Brisbane Australia, Oceania",15476km,15476,237.84ms,237.84,65.30%,65.3,237.75ms,237.75,238.79ms,238.79,0.56ms,0.56,2018-11-10 12:18:27
"Bristol United Kingdom, Eurasia",5065km,5065,80.28ms,80.28,63.31%,63.31,80.09ms,80.09,81.45ms,81.45,0.47ms,0.47,2018-11-10 12:18:27
"Brno Czech Republic, Eurasia",6385km,6385,104.95ms,104.95,61.39%,61.39,104.83ms,104.83,106.35ms,106.35,0.37ms,0.37,2018-11-10 12:18:27
