City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13806km,13806,356.15ms,356.15,38.78%,38.78,355.34ms,355.34,357.75ms,357.75,0.62ms,0.62,2018-11-10 12:20:22
"Albany United States, North America",7315km,7315,184.44ms,184.44,39.76%,39.76,123.81ms,123.81,243.98ms,243.98,36.27ms,36.27,2018-11-10 12:20:22
"Alblasserdam Netherlands, Eurasia",2185km,2185,52.38ms,52.38,42.02%,42.02,51.19ms,51.19,54.05ms,54.05,0.60ms,0.6,2018-11-10 12:20:22
"Albuquerque United States, North America",9359km,9359,174.91ms,174.91,53.79%,53.79,168.27ms,168.27,218.14ms,218.14,13.93ms,13.93,2018-11-10 12:20:22
"Algiers Algeria, Africa",3337km,3337,85.25ms,85.25,39.26%,39.26,83.66ms,83.66,86.49ms,86.49,0.62ms,0.62,2018-11-10 12:20:22
"Amsterdam Netherlands, Eurasia",2163km,2163,48.74ms,48.74,45.06%,45.06,47.91ms,47.91,50.33ms,50.33,0.58ms,0.58,2018-11-10 12:20:22
"Anchorage United States, North America",6994km,6994,211.64ms,211.64,33.15%,33.15,210.87ms,210.87,213.32ms,213.32,0.64ms,0.64,2018-11-10 12:20:22
"Ankara Turkey, Eurasia",1793km,1793,87.86ms,87.86,20.61%,20.61,86.94ms,86.94,90.69ms,90.69,0.93ms,0.93,2018-11-10 12:20:22
"Antwerp Belgium, Eurasia",2232km,2232,51.79ms,51.79,43.76%,43.76,51.08ms,51.08,52.67ms,52.67,0.53ms,0.53,2018-11-10 12:20:22
"Arezzo Italy, Eurasia",2281km,2281,81.67ms,81.67,28.16%,28.16,81.08ms,81.08,82.52ms,82.52,0.51ms,0.51,2018-11-10 12:20:22
"Asheville United States, North America",8392km,8392,140.94ms,140.94,59.94%,59.94,140.12ms,140.12,142.04ms,142.04,0.67ms,0.67,2018-11-10 12:20:22
"Athens Greece, Eurasia",2233km,2233,90.22ms,90.22,24.81%,24.81,89.22ms,89.22,91.99ms,91.99,0.84ms,0.84,2018-11-10 12:20:22
"Atlanta United States, North America",8654km,8654,140.73ms,140.73,61.81%,61.81,139.94ms,139.94,142.30ms,142.3,0.84ms,0.84,2018-11-10 12:20:22
"Auckland New Zealand, Oceania",16200km,16200,347.27ms,347.27,46.69%,46.69,346.54ms,346.54,348.30ms,348.3,0.92ms,0.92,2018-11-10 12:20:22
"Austin United States, North America",9560km,9560,169.05ms,169.05,56.57%,56.57,160.20ms,160.2,192.62ms,192.62,10.15ms,10.15,2018-11-10 12:20:22
"Baltimore United States, North America",7768km,7768,127.74ms,127.74,61.17%,61.17,126.92ms,126.92,129.68ms,129.68,0.72ms,0.72,2018-11-10 12:20:23
"Bangalore India, Eurasia",5863km,5863,177.16ms,177.16,33.12%,33.12,176.56ms,176.56,178.74ms,178.74,0.74ms,0.74,2018-11-10 12:20:23
"Bangkok Thailand, Eurasia",7065km,7065,217.24ms,217.24,32.56%,32.56,212.75ms,212.75,245.40ms,245.4,6.94ms,6.94,2018-11-10 12:20:23
"Barcelona Spain, Eurasia",3010km,3010,72.87ms,72.87,41.81%,41.81,72.02ms,72.02,73.83ms,73.83,0.50ms,0.5,2018-11-10 12:20:23
"Basel Switzerland, Eurasia",2240km,2240,54.39ms,54.39,41.48%,41.48,53.69ms,53.69,55.37ms,55.37,0.48ms,0.48,2018-11-10 12:20:23
"Belfast United Kingdom, Eurasia",2723km,2723,63.87ms,63.87,43.22%,43.22,62.95ms,62.95,65.60ms,65.6,0.64ms,0.64,2018-11-10 12:20:23
"Bergen Norway, Eurasia",1945km,1945,57.65ms,57.65,34.12%,34.12,56.90ms,56.9,63.93ms,63.93,1.26ms,1.26,2018-11-10 12:20:23
"Berkeley Springs United States, North America",7811km,7811,130.84ms,130.84,60.08%,60.08,130.01ms,130.01,132.12ms,132.12,0.60ms,0.6,2018-11-10 12:20:23
"Bern Switzerland, Eurasia",2289km,2289,66.64ms,66.64,34.68%,34.68,66.02ms,66.02,68.11ms,68.11,0.57ms,0.57,2018-11-10 12:20:23
"Bogota Colombia, South America",10912km,10912,223.79ms,223.79,48.93%,48.93,222.84ms,222.84,229.34ms,229.34,1.17ms,1.17,2018-11-10 12:20:23
"Boston United States, North America",7221km,7221,130.32ms,130.32,55.55%,55.55,129.41ms,129.41,132.69ms,132.69,0.65ms,0.65,2018-11-10 12:20:23
"Brasilia Brazil, South America",11179km,11179,275.51ms,275.51,40.65%,40.65,264.59ms,264.59,548.29ms,548.29,50.69ms,50.69,2018-11-10 12:20:23
"Bratislava Slovakia, Eurasia",1631km,1631,48.47ms,48.47,33.98%,33.98,47.84ms,47.84,49.61ms,49.61,0.54ms,0.54,2018-11-10 12:20:23
"Brisbane Australia, Oceania",14076km,14076,350.13ms,350.13,40.22%,40.22,349.22ms,349.22,351.55ms,351.55,0.61ms,0.61,2018-11-10 12:20:23
"Bristol United Kingdom, Eurasia",2657km,2657,51.24ms,51.24,52.10%,52.1,50.51ms,50.51,52.60ms,52.6,0.61ms,0.61,2018-11-10 12:20:23
"Brno Czech Republic, Eurasia",1589km,1589,47.65ms,47.65,33.81%,33.81,46.70ms,46.7,49.25ms,49.25,0.60ms,0.6,2018-11-10 12:20:23
"Bruges Belgium, Eurasia",2305km,2305,58.77ms,58.77,39.74%,39.74,58.05ms,58.05,60.62ms,60.62,0.65ms,0.65,2018-11-10 12:20:23
"Brunswick United States, North America",7029km,7029,130.90ms,130.9,54.07%,54.07,130.21ms,130.21,132.18ms,132.18,0.63ms,0.63,2018-11-10 12:20:23
"Brussels Belgium, Eurasia",2253km,2253,45.75ms,45.75,50.07%,50.07,45.04ms,45.04,48.48ms,48.48,0.68ms,0.68,2018-11-10 12:20:23
"Bucharest Romania, Eurasia",1500km,1500,72.57ms,72.57,20.83%,20.83,71.88ms,71.88,73.97ms,73.97,0.57ms,0.57,2018-11-10 12:20:23
"Budapest Hungary, Eurasia",1568km,1568,56.92ms,56.92,28.00%,28.0,55.99ms,55.99,58.02ms,58.02,0.50ms,0.5,2018-11-10 12:20:23
"Buenos Aires Argentina, South America",13479km,13479,273.85ms,273.85,49.37%,49.37,269.25ms,269.25,285.22ms,285.22,4.78ms,4.78,2018-11-10 12:20:23
"Buffalo United States, North America",7536km,7536,135.77ms,135.77,55.82%,55.82,133.68ms,133.68,143.36ms,143.36,2.55ms,2.55,2018-11-10 12:20:23
"Bursa Turkey, Eurasia",1842km,1842,83.76ms,83.76,22.19%,22.19,82.91ms,82.91,85.11ms,85.11,0.61ms,0.61,2018-11-10 12:20:23
"Cairo Egypt, Africa",2902km,2902,111.51ms,111.51,26.14%,26.14,104.74ms,104.74,126.93ms,126.93,5.71ms,5.71,2018-11-10 12:20:23
"Calgary Canada, North America",7857km,7857,228.09ms,228.09,34.46%,34.46,226.29ms,226.29,235.86ms,235.86,2.30ms,2.3,2018-11-10 12:20:23
"Canberra Australia, Oceania",14487km,14487,340.18ms,340.18,42.61%,42.61,339.41ms,339.41,341.53ms,341.53,0.64ms,0.64,2018-11-10 12:20:23
"Cape Town South Africa, Africa",10145km,10145,190.41ms,190.41,53.39%,53.39,189.51ms,189.51,193.26ms,193.26,0.77ms,0.77,2018-11-10 12:20:23
"Caracas Venezuela, South America",9936km,9936,201.22ms,201.22,49.43%,49.43,200.40ms,200.4,203.48ms,203.48,0.67ms,0.67,2018-11-10 12:20:23
"Cardiff United Kingdom, Eurasia",2692km,2692,52.17ms,52.17,51.77%,51.77,51.42ms,51.42,54.09ms,54.09,0.63ms,0.63,2018-11-10 12:20:23
"Carlow Ireland, Eurasia",2859km,2859,61.18ms,61.18,46.87%,46.87,60.42ms,60.42,62.65ms,62.65,0.51ms,0.51,2018-11-10 12:20:23
"Charlotte United States, North America",8349km,8349,135.47ms,135.47,61.84%,61.84,134.79ms,134.79,136.96ms,136.96,0.69ms,0.69,2018-11-10 12:20:23
"Cheltenham United Kingdom, Eurasia",2603km,2603,55.73ms,55.73,47.33%,47.33,54.78ms,54.78,60.95ms,60.95,1.12ms,1.12,2018-11-10 12:20:23
"Chennai India, Eurasia",5986km,5986,182.16ms,182.16,32.89%,32.89,181.58ms,181.58,183.16ms,183.16,0.51ms,0.51,2018-11-10 12:20:23
"Chicago United States, North America",8005km,8005,150.43ms,150.43,53.37%,53.37,149.84ms,149.84,151.32ms,151.32,0.53ms,0.53,2018-11-10 12:20:23
"Chisinau Moldova, Eurasia",1143km,1143,84.19ms,84.19,13.61%,13.61,83.26ms,83.26,85.41ms,85.41,0.66ms,0.66,2018-11-10 12:20:23
"Christchurch New Zealand, Oceania",16577km,16577,363.48ms,363.48,45.67%,45.67,362.75ms,362.75,364.40ms,364.4,0.84ms,0.84,2018-11-10 12:20:23
"Cincinnati United States, North America",8141km,8141,144.43ms,144.43,56.53%,56.53,143.86ms,143.86,145.50ms,145.5,0.60ms,0.6,2018-11-10 12:20:23
"Cleveland United States, North America",7756km,7756,148.88ms,148.88,52.41%,52.41,147.96ms,147.96,151.82ms,151.82,0.82ms,0.82,2018-11-10 12:20:23
"Colorado Springs United States, North America",8912km,8912,194.96ms,194.96,45.94%,45.94,194.48ms,194.48,195.81ms,195.81,0.48ms,0.48,2018-11-10 12:20:23
"Columbus United States, North America",7993km,7993,153.67ms,153.67,52.24%,52.24,151.63ms,151.63,176.54ms,176.54,4.41ms,4.41,2018-11-10 12:20:23
"Copenhagen Denmark, Eurasia",1560km,1560,43.41ms,43.41,36.28%,36.28,42.75ms,42.75,44.29ms,44.29,0.44ms,0.44,2018-11-10 12:20:23
"Coventry United Kingdom, Eurasia",2545km,2545,51.90ms,51.9,49.90%,49.9,51.08ms,51.08,52.99ms,52.99,0.50ms,0.5,2018-11-10 12:20:23
"Cromwell United States, North America",7367km,7367,125.47ms,125.47,58.94%,58.94,124.77ms,124.77,126.94ms,126.94,0.64ms,0.64,2018-11-10 12:20:23
"Dagupan Philippines, Eurasia",8089km,8089,345.38ms,345.38,23.45%,23.45,343.48ms,343.48,349.96ms,349.96,1.80ms,1.8,2018-11-10 12:20:23
"Dallas United States, North America",9266km,9266,173.64ms,173.64,53.56%,53.56,173.03ms,173.03,174.77ms,174.77,0.68ms,0.68,2018-11-10 12:20:23
"Dar es Salaam Tanzania, Africa",6959km,6959,186.22ms,186.22,37.41%,37.41,184.64ms,184.64,196.65ms,196.65,2.08ms,2.08,2018-11-10 12:20:23
"Denver United States, North America",8826km,8826,162.89ms,162.89,54.48%,54.48,162.26ms,162.26,164.01ms,164.01,0.50ms,0.5,2018-11-10 12:20:23
"Des Moines United States, North America",8259km,8259,160.26ms,160.26,51.62%,51.62,159.32ms,159.32,162.42ms,162.42,0.60ms,0.6,2018-11-10 12:20:23
"Detroit United States, North America",7769km,7769,156.68ms,156.68,49.80%,49.8,156.06ms,156.06,157.79ms,157.79,0.48ms,0.48,2018-11-10 12:20:23
"Dhaka Bangladesh, Eurasia",5550km,5550,231.55ms,231.55,24.03%,24.03,230.63ms,230.63,234.08ms,234.08,1.01ms,1.01,2018-11-10 12:20:23
"Dronten Netherlands, Eurasia",2090km,2090,42.97ms,42.97,49.76%,49.76,41.97ms,41.97,45.66ms,45.66,0.82ms,0.82,2018-11-10 12:20:23
"Dubai United Arab Emirates, Eurasia",3716km,3716,171.59ms,171.59,21.73%,21.73,170.79ms,170.79,172.59ms,172.59,0.57ms,0.57,2018-11-10 12:20:23
"Dublin Ireland, Eurasia",2795km,2795,59.02ms,59.02,47.37%,47.37,56.82ms,56.82,96.29ms,96.29,7.13ms,7.13,2018-11-10 12:20:23
"Dusseldorf Germany, Eurasia",2082km,2082,47.88ms,47.88,44.30%,44.3,47.47ms,47.47,48.70ms,48.7,0.42ms,0.42,2018-11-10 12:20:23
