City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",10997km,10997,416.42ms,416.42,26.44%,26.44,415.83ms,415.83,418.68ms,418.68,0.74ms,0.74,2018-11-10 12:22:43
"Albany United States, North America",11773km,11773,297.03ms,297.03,39.64%,39.64,232.34ms,232.34,379.27ms,379.27,37.60ms,37.6,2018-11-10 12:22:43
"Alblasserdam Netherlands, Eurasia",6637km,6637,158.66ms,158.66,42.01%,42.01,157.56ms,157.56,161.83ms,161.83,1.03ms,1.03,2018-11-10 12:22:43
"Albuquerque United States, North America",14686km,14686,282.78ms,282.78,52.08%,52.08,280.50ms,280.5,319.15ms,319.15,6.91ms,6.91,2018-11-10 12:22:43
"Algiers Algeria, Africa",5479km,5479,176.08ms,176.08,31.13%,31.13,175.44ms,175.44,179.33ms,179.33,0.80ms,0.8,2018-11-10 12:22:43
"Amsterdam Netherlands, Eurasia",6672km,6672,147.25ms,147.25,45.39%,45.39,146.75ms,146.75,148.55ms,148.55,0.66ms,0.66,2018-11-10 12:22:43
"Anchorage United States, North America",13330km,13330,331.59ms,331.59,40.27%,40.27,330.33ms,330.33,337.35ms,337.35,1.26ms,1.26,2018-11-10 12:22:43
"Ankara Turkey, Eurasia",4601km,4601,205.04ms,205.04,22.44%,22.44,204.57ms,204.57,206.08ms,206.08,0.51ms,0.51,2018-11-10 12:22:43
"Antwerp Belgium, Eurasia",6591km,6591,162.33ms,162.33,40.69%,40.69,161.96ms,161.96,163.54ms,163.54,0.60ms,0.6,2018-11-10 12:22:43
"Arezzo Italy, Eurasia",5564km,5564,183.26ms,183.26,30.40%,30.4,182.74ms,182.74,186.11ms,186.11,0.76ms,0.76,2018-11-10 12:22:43
"Asheville United States, North America",12714km,12714,238.15ms,238.15,53.42%,53.42,237.82ms,237.82,238.97ms,238.97,0.62ms,0.62,2018-11-10 12:22:43
"Athens Greece, Eurasia",4568km,4568,174.30ms,174.3,26.25%,26.25,173.69ms,173.69,176.98ms,176.98,0.91ms,0.91,2018-11-10 12:22:43
"Atlanta United States, North America",12935km,12935,275.99ms,275.99,47.04%,47.04,275.33ms,275.33,278.44ms,278.44,0.78ms,0.78,2018-11-10 12:22:43
"Auckland New Zealand, Oceania",13956km,13956,517.87ms,517.87,26.99%,26.99,516.99ms,516.99,521.59ms,521.59,1.33ms,1.33,2018-11-10 12:22:43
"Austin United States, North America",14250km,14250,276.84ms,276.84,51.63%,51.63,269.63ms,269.63,296.42ms,296.42,7.04ms,7.04,2018-11-10 12:22:43
"Baltimore United States, North America",12099km,12099,215.58ms,215.58,56.27%,56.27,214.85ms,214.85,219.06ms,219.06,0.97ms,0.97,2018-11-10 12:22:43
"Bangalore India, Eurasia",4770km,4770,265.44ms,265.44,18.00%,18.0,265.14ms,265.14,265.87ms,265.87,0.38ms,0.38,2018-11-10 12:22:43
"Bangkok Thailand, Eurasia",7209km,7209,258.64ms,258.64,27.94%,27.94,254.58ms,254.58,304.65ms,304.65,10.85ms,10.85,2018-11-10 12:22:43
"Barcelona Spain, Eurasia",5891km,5891,164.44ms,164.44,35.92%,35.92,164.01ms,164.01,165.43ms,165.43,0.54ms,0.54,2018-11-10 12:22:43
"Basel Switzerland, Eurasia",6127km,6127,176.88ms,176.88,34.81%,34.81,176.26ms,176.26,178.59ms,178.59,0.57ms,0.57,2018-11-10 12:22:43
"Belfast United Kingdom, Eurasia",7338km,7338,181.82ms,181.82,40.54%,40.54,181.32ms,181.32,185.03ms,185.03,0.88ms,0.88,2018-11-10 12:22:43
"Bergen Norway, Eurasia",7374km,7374,187.83ms,187.83,39.43%,39.43,186.74ms,186.74,193.43ms,193.43,1.53ms,1.53,2018-11-10 12:22:43
"Berkeley Springs United States, North America",12222km,12222,253.95ms,253.95,48.31%,48.31,253.35ms,253.35,260.28ms,260.28,1.30ms,1.3,2018-11-10 12:22:43
"Bern Switzerland, Eurasia",6079km,6079,171.41ms,171.41,35.55%,35.55,171.08ms,171.08,172.32ms,172.32,0.53ms,0.53,2018-11-10 12:22:43
"Bogota Colombia, South America",12337km,12337,327.62ms,327.62,37.73%,37.73,327.12ms,327.12,329.21ms,329.21,0.49ms,0.49,2018-11-10 12:22:43
"Boston United States, North America",11567km,11567,230.23ms,230.23,50.29%,50.29,229.66ms,229.66,232.35ms,232.35,0.72ms,0.72,2018-11-10 12:22:43
"Brasilia Brazil, South America",9404km,9404,340.31ms,340.31,27.66%,27.66,339.12ms,339.12,347.97ms,347.97,2.46ms,2.46,2018-11-10 12:22:43
"Bratislava Slovakia, Eurasia",5818km,5818,160.94ms,160.94,36.36%,36.36,160.44ms,160.44,164.03ms,164.03,0.76ms,0.76,2018-11-10 12:22:43
"Brisbane Australia, Oceania",12505km,12505,449.85ms,449.85,27.85%,27.85,449.48ms,449.48,451.63ms,451.63,0.57ms,0.57,2018-11-10 12:22:43
"Bristol United Kingdom, Eurasia",6936km,6936,154.47ms,154.47,45.04%,45.04,154.10ms,154.1,155.44ms,155.44,0.50ms,0.5,2018-11-10 12:22:43
"Brno Czech Republic, Eurasia",5940km,5940,176.32ms,176.32,33.75%,33.75,175.78ms,175.78,179.53ms,179.53,0.80ms,0.8,2018-11-10 12:22:43
"Bruges Belgium, Eurasia",6642km,6642,158.96ms,158.96,42.04%,42.04,158.45ms,158.45,161.96ms,161.96,0.74ms,0.74,2018-11-10 12:22:43
"Brunswick United States, North America",11446km,11446,239.26ms,239.26,47.89%,47.89,238.88ms,238.88,241.24ms,241.24,0.67ms,0.67,2018-11-10 12:22:43
"Brussels Belgium, Eurasia",6561km,6561,193.06ms,193.06,33.99%,33.99,192.29ms,192.29,205.87ms,205.87,2.46ms,2.46,2018-11-10 12:22:43
"Bucharest Romania, Eurasia",5193km,5193,188.96ms,188.96,27.62%,27.62,188.31ms,188.31,192.71ms,192.71,0.91ms,0.91,2018-11-10 12:22:43
"Budapest Hungary, Eurasia",5694km,5694,169.15ms,169.15,33.69%,33.69,168.34ms,168.34,175.49ms,175.49,1.33ms,1.33,2018-11-10 12:22:43
"Buenos Aires Argentina, South America",10404km,10404,359.40ms,359.4,28.98%,28.98,355.69ms,355.69,381.15ms,381.15,5.42ms,5.42,2018-11-10 12:22:43
"Buffalo United States, North America",12172km,12172,231.82ms,231.82,52.69%,52.69,230.59ms,230.59,237.13ms,237.13,1.80ms,1.8,2018-11-10 12:22:43
"Bursa Turkey, Eurasia",4679km,4679,191.50ms,191.5,24.50%,24.5,190.77ms,190.77,195.96ms,195.96,1.06ms,1.06,2018-11-10 12:22:43
"Cairo Egypt, Africa",3535km,3535,161.98ms,161.98,21.96%,21.96,156.61ms,156.61,215.40ms,215.4,10.52ms,10.52,2018-11-10 12:22:43
