City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14637km,14637,272.94ms,272.94,53.81%,53.81,270.15ms,270.15,289.13ms,289.13,4.59ms,4.59,2018-11-10 12:23:35
"Albany United States, North America",3513km,3513,164.55ms,164.55,21.42%,21.42,98.33ms,98.33,248.35ms,248.35,42.54ms,42.54,2018-11-10 12:23:35
"Alblasserdam Netherlands, Eurasia",9084km,9084,169.15ms,169.15,53.75%,53.75,168.46ms,168.46,177.99ms,177.99,1.80ms,1.8,2018-11-10 12:23:35
"Albuquerque United States, North America",2788km,2788,106.00ms,106.0,26.55%,26.55,99.79ms,99.79,150.26ms,150.26,12.46ms,12.46,2018-11-10 12:23:35
"Algiers Algeria, Africa",9354km,9354,233.49ms,233.49,40.15%,40.15,231.91ms,231.91,237.65ms,237.65,1.44ms,1.44,2018-11-10 12:23:35
"Amsterdam Netherlands, Eurasia",9076km,9076,178.46ms,178.46,50.99%,50.99,176.65ms,176.65,191.61ms,191.61,3.29ms,3.29,2018-11-10 12:23:35
"Anchorage United States, North America",6973km,6973,155.91ms,155.91,44.99%,44.99,153.82ms,153.82,165.54ms,165.54,2.98ms,2.98,2018-11-10 12:23:35
"Ankara Turkey, Eurasia",11595km,11595,246.22ms,246.22,47.13%,47.13,240.07ms,240.07,274.56ms,274.56,8.76ms,8.76,2018-11-10 12:23:35
"Antwerp Belgium, Eurasia",9083km,9083,188.88ms,188.88,48.31%,48.31,185.07ms,185.07,201.74ms,201.74,4.73ms,4.73,2018-11-10 12:23:35
"Arezzo Italy, Eurasia",9863km,9863,198.53ms,198.53,49.81%,49.81,196.17ms,196.17,216.59ms,216.59,4.27ms,4.27,2018-11-10 12:23:35
"Asheville United States, North America",2464km,2464,97.78ms,97.78,25.40%,25.4,94.74ms,94.74,108.30ms,108.3,3.84ms,3.84,2018-11-10 12:23:35
"Athens Greece, Eurasia",11020km,11020,225.50ms,225.5,48.98%,48.98,224.00ms,224.0,230.54ms,230.54,1.96ms,1.96,2018-11-10 12:23:35
"Atlanta United States, North America",2214km,2214,80.46ms,80.46,27.68%,27.68,78.01ms,78.01,98.04ms,98.04,4.28ms,4.28,2018-11-10 12:23:35
"Auckland New Zealand, Oceania",11393km,11393,272.82ms,272.82,41.89%,41.89,271.07ms,271.07,281.60ms,281.6,2.78ms,2.78,2018-11-10 12:23:35
"Austin United States, North America",1887km,1887,91.68ms,91.68,20.74%,20.74,80.03ms,80.03,116.98ms,116.98,9.59ms,9.59,2018-11-10 12:23:35
"Baltimore United States, North America",3060km,3060,95.40ms,95.4,32.21%,32.21,92.95ms,92.95,110.74ms,110.74,4.19ms,4.19,2018-11-10 12:23:35
"Bangalore India, Eurasia",16683km,16683,303.64ms,303.64,55.06%,55.06,302.97ms,302.97,307.41ms,307.41,1.06ms,1.06,2018-11-10 12:23:35
"Bangkok Thailand, Eurasia",16639km,16639,321.45ms,321.45,51.83%,51.83,311.49ms,311.49,360.76ms,360.76,10.95ms,10.95,2018-11-10 12:23:35
"Barcelona Spain, Eurasia",9160km,9160,208.70ms,208.7,44.04%,44.04,207.84ms,207.84,215.60ms,215.6,1.72ms,1.72,2018-11-10 12:23:35
"Basel Switzerland, Eurasia",9408km,9408,197.15ms,197.15,47.76%,47.76,196.55ms,196.55,200.77ms,200.77,1.15ms,1.15,2018-11-10 12:23:35
"Belfast United Kingdom, Eurasia",8342km,8342,192.26ms,192.26,43.45%,43.45,191.14ms,191.14,201.91ms,201.91,2.19ms,2.19,2018-11-10 12:23:35
"Bergen Norway, Eurasia",8916km,8916,212.88ms,212.88,42.06%,42.06,210.64ms,210.64,228.99ms,228.99,4.11ms,4.11,2018-11-10 12:23:35
"Berkeley Springs United States, North America",3027km,3027,103.38ms,103.38,29.39%,29.39,101.52ms,101.52,121.69ms,121.69,4.11ms,4.11,2018-11-10 12:23:35
"Bern Switzerland, Eurasia",9416km,9416,191.45ms,191.45,49.30%,49.3,190.57ms,190.57,197.26ms,197.26,1.70ms,1.7,2018-11-10 12:23:35
"Bogota Colombia, South America",2118km,2118,140.86ms,140.86,15.13%,15.13,138.88ms,138.88,153.76ms,153.76,3.14ms,3.14,2018-11-10 12:23:35
"Boston United States, North America",3603km,3603,103.99ms,103.99,34.98%,34.98,101.96ms,101.96,117.13ms,117.13,3.24ms,3.24,2018-11-10 12:23:35
"Brasilia Brazil, South America",5780km,5780,170.41ms,170.41,34.00%,34.0,167.59ms,167.59,184.97ms,184.97,4.25ms,4.25,2018-11-10 12:23:35
"Bratislava Slovakia, Eurasia",10057km,10057,198.11ms,198.11,50.79%,50.79,197.12ms,197.12,213.69ms,213.69,3.18ms,3.18,2018-11-10 12:23:35
"Brisbane Australia, Oceania",13338km,13338,257.70ms,257.7,51.90%,51.9,257.27ms,257.27,260.88ms,260.88,0.86ms,0.86,2018-11-10 12:23:35
