City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",6269km,6269,204.24ms,204.24,30.73%,30.73,204.06ms,204.06,204.57ms,204.57,0.37ms,0.37,2018-11-10 12:23:17
"Albany United States, North America",13979km,13979,335.76ms,335.76,41.73%,41.73,265.63ms,265.63,406.23ms,406.23,39.92ms,39.92,2018-11-10 12:23:17
"Alblasserdam Netherlands, Eurasia",9693km,9693,189.98ms,189.98,51.29%,51.29,189.59ms,189.59,190.41ms,190.41,0.62ms,0.62,2018-11-10 12:23:17
"Albuquerque United States, North America",13860km,13860,222.80ms,222.8,62.43%,62.43,221.48ms,221.48,233.25ms,233.25,2.73ms,2.73,2018-11-10 12:23:17
"Algiers Algeria, Africa",10274km,10274,298.51ms,298.51,34.48%,34.48,297.66ms,297.66,299.24ms,299.24,0.67ms,0.67,2018-11-10 12:23:17
"Amsterdam Netherlands, Eurasia",9677km,9677,277.01ms,277.01,34.94%,34.94,276.84ms,276.84,277.21ms,277.21,0.57ms,0.57,2018-11-10 12:23:17
"Anchorage United States, North America",9679km,9679,251.49ms,251.49,38.56%,38.56,251.29ms,251.29,252.51ms,252.51,0.64ms,0.64,2018-11-10 12:23:17
"Ankara Turkey, Eurasia",7663km,7663,328.82ms,328.82,23.36%,23.36,328.41ms,328.41,332.19ms,332.19,0.92ms,0.92,2018-11-10 12:23:17
"Antwerp Belgium, Eurasia",9729km,9729,207.56ms,207.56,47.00%,47.0,207.46ms,207.46,207.72ms,207.72,0.46ms,0.46,2018-11-10 12:23:17
"Arezzo Italy, Eurasia",9372km,9372,210.32ms,210.32,44.63%,44.63,210.13ms,210.13,210.66ms,210.66,0.62ms,0.62,2018-11-10 12:23:17
"Asheville United States, North America",14717km,14717,245.51ms,245.51,60.07%,60.07,245.45ms,245.45,245.60ms,245.6,0.61ms,0.61,2018-11-10 12:23:17
"Athens Greece, Eurasia",8456km,8456,335.87ms,335.87,25.24%,25.24,335.65ms,335.65,336.80ms,336.8,0.52ms,0.52,2018-11-10 12:23:17
"Atlanta United States, North America",14886km,14886,254.50ms,254.5,58.61%,58.61,254.33ms,254.33,255.77ms,255.77,0.42ms,0.42,2018-11-10 12:23:17
"Auckland New Zealand, Oceania",9048km,9048,191.79ms,191.79,47.37%,47.37,191.56ms,191.56,194.61ms,194.61,0.59ms,0.59,2018-11-10 12:23:17
"Austin United States, North America",14776km,14776,263.36ms,263.36,56.18%,56.18,254.53ms,254.53,293.14ms,293.14,10.13ms,10.13,2018-11-10 12:23:17
"Baltimore United States, North America",14364km,14364,256.95ms,256.95,56.11%,56.11,256.51ms,256.51,261.58ms,261.58,1.06ms,1.06,2018-11-10 12:23:17
"Bangalore India, Eurasia",2972km,2972,195.97ms,195.97,15.24%,15.24,195.87ms,195.87,196.08ms,196.08,0.57ms,0.57,2018-11-10 12:23:17
"Bangkok Thailand, Eurasia",539km,539,174.78ms,174.78,3.10%,3.1,174.16ms,174.16,180.03ms,180.03,1.54ms,1.54,2018-11-10 12:23:17
"Barcelona Spain, Eurasia",10200km,10200,318.83ms,318.83,32.08%,32.08,318.46ms,318.46,319.51ms,319.51,0.52ms,0.52,2018-11-10 12:23:17
"Basel Switzerland, Eurasia",9605km,9605,205.45ms,205.45,46.85%,46.85,205.31ms,205.31,205.59ms,205.59,0.43ms,0.43,2018-11-10 12:23:17
"Belfast United Kingdom, Eurasia",10257km,10257,282.99ms,282.99,36.37%,36.37,282.83ms,282.83,283.25ms,283.25,0.42ms,0.42,2018-11-10 12:23:17
"Bergen Norway, Eurasia",9413km,9413,323.38ms,323.38,29.14%,29.14,322.50ms,322.5,330.94ms,330.94,1.67ms,1.67,2018-11-10 12:23:17
"Berkeley Springs United States, North America",14319km,14319,259.04ms,259.04,55.29%,55.29,258.88ms,258.88,259.53ms,259.53,0.32ms,0.32,2018-11-10 12:23:17
"Bern Switzerland, Eurasia",9631km,9631,216.14ms,216.14,44.59%,44.59,215.95ms,215.95,216.30ms,216.3,0.14ms,0.14,2018-11-10 12:23:17
"Bogota Colombia, South America",18221km,18221,319.77ms,319.77,57.12%,57.12,319.60ms,319.6,320.12ms,320.12,0.43ms,0.43,2018-11-10 12:23:17
"Boston United States, North America",14010km,14010,259.24ms,259.24,54.09%,54.09,259.04ms,259.04,259.63ms,259.63,0.53ms,0.53,2018-11-10 12:23:17
"Brasilia Brazil, South America",17045km,17045,378.08ms,378.08,45.09%,45.09,377.08ms,377.08,387.03ms,387.03,2.42ms,2.42,2018-11-10 12:23:17
"Bratislava Slovakia, Eurasia",8894km,8894,209.44ms,209.44,42.56%,42.56,209.35ms,209.35,209.64ms,209.64,0.55ms,0.55,2018-11-10 12:23:17
"Brisbane Australia, Oceania",6761km,6761,211.12ms,211.12,32.04%,32.04,210.78ms,210.78,212.08ms,212.08,0.66ms,0.66,2018-11-10 12:23:17
