City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15268km,15268,337.52ms,337.52,45.31%,45.31,337.17ms,337.17,339.14ms,339.14,0.65ms,0.65,2018-11-10 12:20:13
"Albany United States, North America",6408km,6408,166.34ms,166.34,38.60%,38.6,101.38ms,101.38,221.47ms,221.47,35.82ms,35.82,2018-11-10 12:20:13
"Alblasserdam Netherlands, Eurasia",711km,711,37.40ms,37.4,19.22%,19.22,36.99ms,36.99,37.77ms,37.77,0.31ms,0.31,2018-11-10 12:20:13
"Albuquerque United States, North America",8918km,8918,164.60ms,164.6,54.38%,54.38,160.17ms,160.17,207.58ms,207.58,12.80ms,12.8,2018-11-10 12:20:13
"Algiers Algeria, Africa",1739km,1739,98.48ms,98.48,17.74%,17.74,98.12ms,98.12,99.42ms,99.42,0.32ms,0.32,2018-11-10 12:20:13
"Amsterdam Netherlands, Eurasia",720km,720,42.59ms,42.59,17.14%,17.14,42.49ms,42.49,42.91ms,42.91,0.22ms,0.22,2018-11-10 12:20:13
"Anchorage United States, North America",7562km,7562,202.20ms,202.2,37.44%,37.44,201.94ms,201.94,202.49ms,202.49,0.23ms,0.23,2018-11-10 12:20:13
"Ankara Turkey, Eurasia",1829km,1829,71.14ms,71.14,25.76%,25.76,70.90ms,70.9,75.17ms,75.17,0.82ms,0.82,2018-11-10 12:20:13
"Antwerp Belgium, Eurasia",716km,716,50.08ms,50.08,14.32%,14.32,50.02ms,50.02,50.14ms,50.14,0.20ms,0.2,2018-11-10 12:20:13
"Arezzo Italy, Eurasia",760km,760,42.68ms,42.68,18.10%,18.1,42.58ms,42.58,42.83ms,42.83,0.10ms,0.1,2018-11-10 12:20:13
"Asheville United States, North America",7504km,7504,128.09ms,128.09,58.62%,58.62,128.04ms,128.04,128.41ms,128.41,0.07ms,0.07,2018-11-10 12:20:13
"Athens Greece, Eurasia",1536km,1536,60.36ms,60.36,25.60%,25.6,60.12ms,60.12,63.62ms,63.62,0.62ms,0.62,2018-11-10 12:20:13
"Atlanta United States, North America",7769km,7769,130.61ms,130.61,59.76%,59.76,130.45ms,130.45,131.55ms,131.55,0.25ms,0.25,2018-11-10 12:20:13
"Auckland New Zealand, Oceania",17866km,17866,298.31ms,298.31,59.95%,59.95,298.12ms,298.12,301.01ms,301.01,0.83ms,0.83,2018-11-10 12:20:13
"Austin United States, North America",8874km,8874,152.74ms,152.74,58.38%,58.38,142.02ms,142.02,172.19ms,172.19,9.18ms,9.18,2018-11-10 12:20:13
"Baltimore United States, North America",6844km,6844,109.75ms,109.75,62.79%,62.79,109.17ms,109.17,113.41ms,113.41,1.14ms,1.14,2018-11-10 12:20:13
"Bangalore India, Eurasia",7004km,7004,185.28ms,185.28,37.86%,37.86,185.21ms,185.21,185.35ms,185.35,0.30ms,0.3,2018-11-10 12:20:13
"Bangkok Thailand, Eurasia",8563km,8563,213.79ms,213.79,40.20%,40.2,208.05ms,208.05,267.66ms,267.66,11.97ms,11.97,2018-11-10 12:20:13
"Barcelona Spain, Eurasia",1353km,1353,69.43ms,69.43,19.61%,19.61,69.09ms,69.09,72.94ms,72.94,0.75ms,0.75,2018-11-10 12:20:13
"Basel Switzerland, Eurasia",573km,573,44.98ms,44.98,13.02%,13.02,44.93ms,44.93,45.11ms,45.11,0.16ms,0.16,2018-11-10 12:20:13
"Belfast United Kingdom, Eurasia",1464km,1464,49.84ms,49.84,29.88%,29.88,49.69ms,49.69,50.17ms,50.17,0.22ms,0.22,2018-11-10 12:20:13
"Bergen Norway, Eurasia",1279km,1279,64.92ms,64.92,19.98%,19.98,64.62ms,64.62,66.90ms,66.9,0.57ms,0.57,2018-11-10 12:20:13
"Berkeley Springs United States, North America",6918km,6918,123.67ms,123.67,56.24%,56.24,123.56ms,123.56,123.97ms,123.97,0.46ms,0.46,2018-11-10 12:20:13
"Bern Switzerland, Eurasia",620km,620,39.08ms,39.08,15.90%,15.9,38.96ms,38.96,39.51ms,39.51,0.22ms,0.22,2018-11-10 12:20:13
"Bogota Colombia, South America",9510km,9510,193.67ms,193.67,49.27%,49.27,193.10ms,193.1,198.29ms,198.29,1.31ms,1.31,2018-11-10 12:20:13
"Boston United States, North America",6267km,6267,123.42ms,123.42,50.95%,50.95,123.28ms,123.28,123.88ms,123.88,0.40ms,0.4,2018-11-10 12:20:13
"Brasilia Brazil, South America",9511km,9511,281.24ms,281.24,33.85%,33.85,262.71ms,262.71,564.85ms,564.85,57.16ms,57.16,2018-11-10 12:20:13
"Bratislava Slovakia, Eurasia",291km,291,16.90ms,16.9,18.19%,18.19,16.76ms,16.76,17.03ms,17.03,0.13ms,0.13,2018-11-10 12:20:13
