City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",9051km,9051,411.29ms,411.29,22.02%,22.02,410.79ms,410.79,416.35ms,416.35,1.14ms,1.14,2018-11-10 12:21:54
"Albany United States, North America",12441km,12441,269.97ms,269.97,46.25%,46.25,198.40ms,198.4,336.82ms,336.82,37.58ms,37.58,2018-11-10 12:21:54
"Alblasserdam Netherlands, Eurasia",6979km,6979,123.51ms,123.51,56.74%,56.74,122.90ms,122.9,128.54ms,128.54,1.17ms,1.17,2018-11-10 12:21:54
"Albuquerque United States, North America",14054km,14054,268.52ms,268.52,52.44%,52.44,266.03ms,266.03,304.08ms,304.08,7.16ms,7.16,2018-11-10 12:21:54
"Algiers Algeria, Africa",7106km,7106,160.64ms,160.64,44.41%,44.41,159.20ms,159.2,172.10ms,172.1,2.84ms,2.84,2018-11-10 12:21:54
"Amsterdam Netherlands, Eurasia",6980km,6980,124.69ms,124.69,56.29%,56.29,124.05ms,124.05,130.72ms,130.72,1.44ms,1.44,2018-11-10 12:21:54
"Anchorage United States, North America",10337km,10337,304.51ms,304.51,34.00%,34.0,303.95ms,303.95,308.59ms,308.59,1.27ms,1.27,2018-11-10 12:21:54
"Ankara Turkey, Eurasia",4578km,4578,166.92ms,166.92,27.58%,27.58,166.31ms,166.31,169.09ms,169.09,0.75ms,0.75,2018-11-10 12:21:54
"Antwerp Belgium, Eurasia",6991km,6991,120.63ms,120.63,58.26%,58.26,120.02ms,120.02,125.85ms,125.85,1.43ms,1.43,2018-11-10 12:21:54
"Arezzo Italy, Eurasia",6361km,6361,116.41ms,116.41,54.84%,54.84,110.72ms,110.72,126.95ms,126.95,5.19ms,5.19,2018-11-10 12:21:54
"Asheville United States, North America",13506km,13506,201.48ms,201.48,67.19%,67.19,201.00ms,201.0,206.78ms,206.78,1.11ms,1.11,2018-11-10 12:21:54
"Athens Greece, Eurasia",5291km,5291,167.91ms,167.91,31.68%,31.68,163.10ms,163.1,179.05ms,179.05,4.61ms,4.61,2018-11-10 12:21:54
"Atlanta United States, North America",13765km,13765,214.57ms,214.57,64.32%,64.32,213.68ms,213.68,219.19ms,219.19,1.47ms,1.47,2018-11-10 12:21:54
"Auckland New Zealand, Oceania",12179km,12179,222.37ms,222.37,54.86%,54.86,222.09ms,222.09,223.27ms,223.27,0.44ms,0.44,2018-11-10 12:21:54
"Austin United States, North America",14521km,14521,268.51ms,268.51,54.18%,54.18,256.38ms,256.38,301.47ms,301.47,10.71ms,10.71,2018-11-10 12:21:54
"Baltimore United States, North America",12895km,12895,249.28ms,249.28,51.79%,51.79,248.07ms,248.07,255.94ms,255.94,1.82ms,1.82,2018-11-10 12:21:54
"Bangalore India, Eurasia",736km,736,21.27ms,21.27,35.05%,35.05,20.93ms,20.93,26.27ms,26.27,0.95ms,0.95,2018-11-10 12:21:54
"Bangkok Thailand, Eurasia",2891km,2891,225.47ms,225.47,12.85%,12.85,208.40ms,208.4,353.23ms,353.23,26.13ms,26.13,2018-11-10 12:21:54
"Barcelona Spain, Eurasia",7151km,7151,201.38ms,201.38,35.58%,35.58,200.28ms,200.28,206.31ms,206.31,1.47ms,1.47,2018-11-10 12:21:54
"Basel Switzerland, Eurasia",6731km,6731,130.88ms,130.88,51.78%,51.78,130.71ms,130.71,131.20ms,131.2,0.27ms,0.27,2018-11-10 12:21:54
"Belfast United Kingdom, Eurasia",7687km,7687,131.31ms,131.31,58.68%,58.68,131.01ms,131.01,133.46ms,133.46,0.66ms,0.66,2018-11-10 12:21:55
"Bergen Norway, Eurasia",7050km,7050,150.03ms,150.03,47.00%,47.0,149.01ms,149.01,156.95ms,156.95,1.73ms,1.73,2018-11-10 12:21:55
"Berkeley Springs United States, North America",12932km,12932,253.79ms,253.79,51.11%,51.11,253.31ms,253.31,256.36ms,256.36,0.65ms,0.65,2018-11-10 12:21:55
"Bern Switzerland, Eurasia",6737km,6737,118.19ms,118.19,57.09%,57.09,115.56ms,115.56,131.16ms,131.16,3.53ms,3.53,2018-11-10 12:21:55
"Bogota Colombia, South America",15665km,15665,287.47ms,287.47,54.58%,54.58,286.27ms,286.27,298.90ms,298.9,2.69ms,2.69,2018-11-10 12:21:55
