City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16796km,16796,232.03ms,232.03,72.40%,72.4,231.78ms,231.78,233.06ms,233.06,0.38ms,0.38,2018-11-10 12:18:36
"Albany United States, North America",657km,657,66.16ms,66.16,9.95%,9.95,10.91ms,10.91,113.09ms,113.09,38.11ms,38.11,2018-11-10 12:18:36
"Alblasserdam Netherlands, Eurasia",6324km,6324,81.97ms,81.97,78.07%,78.07,81.73ms,81.73,82.96ms,82.96,0.35ms,0.35,2018-11-10 12:18:36
"Albuquerque United States, North America",2617km,2617,58.96ms,58.96,45.12%,45.12,53.26ms,53.26,101.95ms,101.95,12.32ms,12.32,2018-11-10 12:18:36
"Algiers Algeria, Africa",6895km,6895,111.26ms,111.26,62.12%,62.12,110.62ms,110.62,111.63ms,111.63,0.38ms,0.38,2018-11-10 12:18:36
"Amsterdam Netherlands, Eurasia",6310km,6310,90.38ms,90.38,70.11%,70.11,90.13ms,90.13,90.58ms,90.58,0.37ms,0.37,2018-11-10 12:18:36
"Anchorage United States, North America",5508km,5508,102.72ms,102.72,54.00%,54.0,102.43ms,102.43,103.23ms,103.23,0.27ms,0.27,2018-11-10 12:18:36
"Ankara Turkey, Eurasia",8855km,8855,138.15ms,138.15,64.17%,64.17,137.87ms,137.87,140.09ms,140.09,0.46ms,0.46,2018-11-10 12:18:36
"Antwerp Belgium, Eurasia",6333km,6333,96.83ms,96.83,65.97%,65.97,96.70ms,96.7,96.98ms,96.98,0.13ms,0.13,2018-11-10 12:18:36
"Arezzo Italy, Eurasia",7204km,7204,103.62ms,103.62,69.94%,69.94,103.49ms,103.49,104.02ms,104.02,0.31ms,0.31,2018-11-10 12:18:36
"Asheville United States, North America",505km,505,14.44ms,14.44,36.07%,36.07,14.27ms,14.27,14.57ms,14.57,0.11ms,0.11,2018-11-10 12:18:36
"Athens Greece, Eurasia",8374km,8374,133.24ms,133.24,62.96%,62.96,132.90ms,132.9,133.99ms,133.99,0.58ms,0.58,2018-11-10 12:18:36
"Atlanta United States, North America",756km,756,13.04ms,13.04,58.15%,58.15,12.72ms,12.72,14.06ms,14.06,0.36ms,0.36,2018-11-10 12:18:36
"Auckland New Zealand, Oceania",13795km,13795,266.83ms,266.83,51.86%,51.86,266.68ms,266.68,267.10ms,267.1,0.43ms,0.43,2018-11-10 12:18:36
"Austin United States, North America",2037km,2037,44.72ms,44.72,46.30%,46.3,31.72ms,31.72,108.16ms,108.16,17.80ms,17.8,2018-11-10 12:18:36
