City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16058km,16058,315.21ms,315.21,50.98%,50.98,315.04ms,315.04,316.05ms,316.05,0.70ms,0.7,2018-11-10 12:19:20
"Albany United States, North America",5664km,5664,141.62ms,141.62,40.17%,40.17,81.28ms,81.28,207.20ms,207.2,39.47ms,39.47,2018-11-10 12:19:20
"Alblasserdam Netherlands, Eurasia",166km,166,10.25ms,10.25,16.60%,16.6,10.07ms,10.07,12.38ms,12.38,0.40ms,0.4,2018-11-10 12:19:20
"Albuquerque United States, North America",8271km,8271,154.58ms,154.58,53.71%,53.71,151.05ms,151.05,196.11ms,196.11,9.60ms,9.6,2018-11-10 12:19:21
"Algiers Algeria, Africa",1550km,1550,36.56ms,36.56,43.06%,43.06,36.06ms,36.06,37.15ms,37.15,0.28ms,0.28,2018-11-10 12:19:21
"Amsterdam Netherlands, Eurasia",207km,207,18.64ms,18.64,11.50%,11.5,18.54ms,18.54,18.85ms,18.85,0.20ms,0.2,2018-11-10 12:19:21
"Anchorage United States, North America",7345km,7345,160.60ms,160.6,45.91%,45.91,160.44ms,160.44,161.00ms,161.0,0.55ms,0.55,2018-11-10 12:19:21
"Ankara Turkey, Eurasia",2587km,2587,64.92ms,64.92,40.42%,40.42,64.48ms,64.48,71.58ms,71.58,1.46ms,1.46,2018-11-10 12:19:21
"Antwerp Belgium, Eurasia",103km,103,6.84ms,6.84,17.17%,17.17,6.76ms,6.76,6.92ms,6.92,0.10ms,0.1,2018-11-10 12:19:21
"Arezzo Italy, Eurasia",1036km,1036,24.12ms,24.12,43.17%,43.17,24.00ms,24.0,24.35ms,24.35,0.20ms,0.2,2018-11-10 12:19:21
"Asheville United States, North America",6756km,6756,92.88ms,92.88,73.43%,73.43,92.83ms,92.83,92.95ms,92.95,0.04ms,0.04,2018-11-10 12:19:21
"Athens Greece, Eurasia",2148km,2148,55.48ms,55.48,39.05%,39.05,55.25ms,55.25,56.22ms,56.22,0.34ms,0.34,2018-11-10 12:19:21
"Atlanta United States, North America",7020km,7020,99.05ms,99.05,70.91%,70.91,98.74ms,98.74,100.02ms,100.02,0.31ms,0.31,2018-11-10 12:19:21
"Auckland New Zealand, Oceania",18340km,18340,293.62ms,293.62,62.59%,62.59,293.52ms,293.52,293.99ms,293.99,0.43ms,0.43,2018-11-10 12:19:21
"Austin United States, North America",8161km,8161,128.45ms,128.45,63.76%,63.76,117.62ms,117.62,153.84ms,153.84,10.05ms,10.05,2018-11-10 12:19:21
"Baltimore United States, North America",6092km,6092,81.05ms,81.05,75.21%,75.21,80.72ms,80.72,82.79ms,82.79,0.65ms,0.65,2018-11-10 12:19:21
"Bangalore India, Eurasia",7802km,7802,152.28ms,152.28,51.33%,51.33,152.24ms,152.24,152.35ms,152.35,0.18ms,0.18,2018-11-10 12:19:21
"Bangkok Thailand, Eurasia",9335km,9335,165.34ms,165.34,56.58%,56.58,158.98ms,158.98,215.52ms,215.52,12.58ms,12.58,2018-11-10 12:19:21
"Barcelona Spain, Eurasia",1037km,1037,28.46ms,28.46,37.04%,37.04,28.25ms,28.25,29.10ms,29.1,0.27ms,0.27,2018-11-10 12:19:21
"Basel Switzerland, Eurasia",473km,473,13.96ms,13.96,36.38%,36.38,13.86ms,13.86,14.24ms,14.24,0.09ms,0.09,2018-11-10 12:19:21
"Belfast United Kingdom, Eurasia",752km,752,18.70ms,18.7,41.78%,41.78,18.61ms,18.61,19.05ms,19.05,0.18ms,0.18,2018-11-10 12:19:21
"Bergen Norway, Eurasia",1086km,1086,45.06ms,45.06,24.13%,24.13,44.87ms,44.87,47.02ms,47.02,0.45ms,0.45,2018-11-10 12:19:21
"Berkeley Springs United States, North America",6173km,6173,87.84ms,87.84,70.95%,70.95,87.72ms,87.72,88.05ms,88.05,0.31ms,0.31,2018-11-10 12:19:21
"Bern Switzerland, Eurasia",520km,520,23.82ms,23.82,22.61%,22.61,23.67ms,23.67,24.09ms,24.09,0.21ms,0.21,2018-11-10 12:19:21
"Bogota Colombia, South America",8718km,8718,159.71ms,159.71,54.83%,54.83,159.15ms,159.15,166.35ms,166.35,1.45ms,1.45,2018-11-10 12:19:21
"Boston United States, North America",5514km,5514,77.25ms,77.25,71.61%,71.61,77.08ms,77.08,77.42ms,77.42,0.35ms,0.35,2018-11-10 12:19:21
"Brasilia Brazil, South America",8905km,8905,222.90ms,222.9,40.11%,40.11,221.50ms,221.5,230.53ms,230.53,2.68ms,2.68,2018-11-10 12:19:21
"Bratislava Slovakia, Eurasia",1045km,1045,25.32ms,25.32,41.80%,41.8,25.23ms,25.23,25.54ms,25.54,0.15ms,0.15,2018-11-10 12:19:21
"Brisbane Australia, Oceania",16400km,16400,281.85ms,281.85,58.36%,58.36,281.71ms,281.71,282.06ms,282.06,0.44ms,0.44,2018-11-10 12:19:21
"Bristol United Kingdom, Eurasia",411km,411,7.50ms,7.5,58.71%,58.71,7.32ms,7.32,8.09ms,8.09,0.18ms,0.18,2018-11-10 12:19:21
"Brno Czech Republic, Eurasia",974km,974,29.41ms,29.41,33.59%,33.59,29.30ms,29.3,29.64ms,29.64,0.24ms,0.24,2018-11-10 12:19:21
"Bruges Belgium, Eurasia",58km,58,16.52ms,16.52,3.62%,3.62,16.19ms,16.19,20.38ms,20.38,0.80ms,0.8,2018-11-10 12:19:21
"Brunswick United States, North America",5340km,5340,84.83ms,84.83,63.57%,63.57,84.74ms,84.74,85.03ms,85.03,0.13ms,0.13,2018-11-10 12:19:21
"Brussels Belgium, Eurasia",84km,84,6.27ms,6.27,14.00%,14.0,6.13ms,6.13,6.40ms,6.4,0.08ms,0.08,2018-11-10 12:19:21
"Bucharest Romania, Eurasia",1847km,1847,40.47ms,40.47,46.17%,46.17,40.33ms,40.33,41.63ms,41.63,0.35ms,0.35,2018-11-10 12:19:21
"Budapest Hungary, Eurasia",1206km,1206,26.71ms,26.71,46.38%,46.38,26.20ms,26.2,27.27ms,27.27,0.33ms,0.33,2018-11-10 12:19:21
"Buenos Aires Argentina, South America",11235km,11235,227.55ms,227.55,49.49%,49.49,222.92ms,222.92,239.70ms,239.7,5.50ms,5.5,2018-11-10 12:19:21
"Buffalo United States, North America",5983km,5983,86.77ms,86.77,69.57%,69.57,83.00ms,83.0,118.82ms,118.82,7.17ms,7.17,2018-11-10 12:19:21
"Bursa Turkey, Eurasia",2315km,2315,65.73ms,65.73,35.62%,35.62,65.57ms,65.57,66.28ms,66.28,0.29ms,0.29,2018-11-10 12:19:21
"Cairo Egypt, Africa",3266km,3266,73.44ms,73.44,44.74%,44.74,67.89ms,67.89,92.96ms,92.96,7.02ms,7.02,2018-11-10 12:19:21
"Calgary Canada, North America",7252km,7252,148.63ms,148.63,49.00%,49.0,147.19ms,147.19,166.79ms,166.79,3.62ms,3.62,2018-11-10 12:19:21
"Canberra Australia, Oceania",16806km,16806,302.46ms,302.46,55.65%,55.65,301.59ms,301.59,311.30ms,311.3,2.36ms,2.36,2018-11-10 12:19:21
"Cape Town South Africa, Africa",9535km,9535,146.68ms,146.68,65.31%,65.31,146.50ms,146.5,147.36ms,147.36,0.29ms,0.29,2018-11-10 12:19:21
"Caracas Venezuela, South America",7711km,7711,150.49ms,150.49,51.41%,51.41,149.85ms,149.85,153.22ms,153.22,0.63ms,0.63,2018-11-10 12:19:21
"Cardiff United Kingdom, Eurasia",453km,453,8.52ms,8.52,56.62%,56.62,8.16ms,8.16,9.67ms,9.67,0.40ms,0.4,2018-11-10 12:19:21
"Carlow Ireland, Eurasia",735km,735,19.29ms,19.29,38.68%,38.68,19.19ms,19.19,19.44ms,19.44,0.16ms,0.16,2018-11-10 12:19:21
"Charlotte United States, North America",6672km,6672,83.62ms,83.62,80.39%,80.39,83.54ms,83.54,83.75ms,83.75,0.36ms,0.36,2018-11-10 12:19:21
"Cheltenham United Kingdom, Eurasia",389km,389,7.85ms,7.85,55.57%,55.57,7.54ms,7.54,13.62ms,13.62,1.09ms,1.09,2018-11-10 12:19:21
"Chennai India, Eurasia",7981km,7981,137.72ms,137.72,58.26%,58.26,137.59ms,137.59,138.17ms,138.17,0.49ms,0.49,2018-11-10 12:19:21
"Chicago United States, North America",6604km,6604,96.06ms,96.06,68.79%,68.79,95.99ms,95.99,96.32ms,96.32,0.41ms,0.41,2018-11-10 12:19:21
"Chisinau Moldova, Eurasia",1917km,1917,43.21ms,43.21,44.58%,44.58,43.03ms,43.03,44.65ms,44.65,0.40ms,0.4,2018-11-10 12:19:21
"Christchurch New Zealand, Oceania",18890km,18890,272.97ms,272.97,69.45%,69.45,272.79ms,272.79,273.15ms,273.15,0.58ms,0.58,2018-11-10 12:19:21
"Cincinnati United States, North America",6616km,6616,99.80ms,99.8,66.83%,66.83,99.72ms,99.72,100.40ms,100.4,0.40ms,0.4,2018-11-10 12:19:22
"Cleveland United States, North America",6224km,6224,105.03ms,105.03,59.28%,59.28,104.88ms,104.88,107.20ms,107.2,0.54ms,0.54,2018-11-10 12:19:22
"Colorado Springs United States, North America",7845km,7845,150.41ms,150.41,52.30%,52.3,148.70ms,148.7,174.34ms,174.34,6.13ms,6.13,2018-11-10 12:19:22
"Columbus United States, North America",6455km,6455,99.73ms,99.73,65.20%,65.2,99.45ms,99.45,101.50ms,101.5,0.58ms,0.58,2018-11-10 12:19:22
"Copenhagen Denmark, Eurasia",834km,834,24.55ms,24.55,34.75%,34.75,24.44ms,24.44,24.66ms,24.66,0.09ms,0.09,2018-11-10 12:19:22
"Coventry United Kingdom, Eurasia",376km,376,8.37ms,8.37,47.00%,47.0,8.29ms,8.29,8.63ms,8.63,0.13ms,0.13,2018-11-10 12:19:22
"Cromwell United States, North America",5669km,5669,86.17ms,86.17,65.92%,65.92,85.97ms,85.97,86.84ms,86.84,0.29ms,0.29,2018-11-10 12:19:22
"Dagupan Philippines, Eurasia",10419km,10419,269.37ms,269.37,38.73%,38.73,268.30ms,268.3,280.47ms,280.47,2.41ms,2.41,2018-11-10 12:19:22
"Dallas United States, North America",7890km,7890,113.44ms,113.44,69.82%,69.82,113.35ms,113.35,113.55ms,113.55,0.46ms,0.46,2018-11-10 12:19:22
"Dar es Salaam Tanzania, Africa",7271km,7271,142.04ms,142.04,51.20%,51.2,141.85ms,141.85,142.55ms,142.55,0.27ms,0.27,2018-11-10 12:19:22
"Denver United States, North America",7780km,7780,114.94ms,114.94,68.25%,68.25,114.89ms,114.89,115.00ms,115.0,0.47ms,0.47,2018-11-10 12:19:22
"Des Moines United States, North America",6982km,6982,114.66ms,114.66,61.25%,61.25,114.60ms,114.6,114.75ms,114.75,0.43ms,0.43,2018-11-10 12:19:22
"Detroit United States, North America",6284km,6284,92.22ms,92.22,68.30%,68.3,92.14ms,92.14,92.76ms,92.76,0.11ms,0.11,2018-11-10 12:19:22
"Dhaka Bangladesh, Eurasia",7803km,7803,180.43ms,180.43,43.35%,43.35,179.57ms,179.57,185.66ms,185.66,1.33ms,1.33,2018-11-10 12:19:22
"Dronten Netherlands, Eurasia",268km,268,11.07ms,11.07,24.36%,24.36,10.88ms,10.88,12.30ms,12.3,0.36ms,0.36,2018-11-10 12:19:22
"Dubai United Arab Emirates, Eurasia",5255km,5255,146.92ms,146.92,35.99%,35.99,146.69ms,146.69,147.21ms,147.21,0.54ms,0.54,2018-11-10 12:19:22
"Dublin Ireland, Eurasia",709km,709,17.43ms,17.43,41.71%,41.71,16.46ms,16.46,40.65ms,40.65,4.32ms,4.32,2018-11-10 12:19:22
"Dusseldorf Germany, Eurasia",259km,259,9.92ms,9.92,28.78%,28.78,9.70ms,9.7,10.18ms,10.18,0.17ms,0.17,2018-11-10 12:19:22
"Edinburgh United Kingdom, Eurasia",721km,721,13.21ms,13.21,55.46%,55.46,13.12ms,13.12,13.38ms,13.38,0.14ms,0.14,2018-11-10 12:19:22
"Edmonton Canada, North America",7009km,7009,124.30ms,124.3,56.52%,56.52,124.17ms,124.17,124.54ms,124.54,0.48ms,0.48,2018-11-10 12:19:22
"Eindhoven Netherlands, Eurasia",180km,180,8.12ms,8.12,22.50%,22.5,7.96ms,7.96,8.42ms,8.42,0.09ms,0.09,2018-11-10 12:19:22
"Falkenstein Germany, Eurasia",648km,648,12.98ms,12.98,54.00%,54.0,12.79ms,12.79,13.69ms,13.69,0.29ms,0.29,2018-11-10 12:19:22
"Fez Morocco, Africa",1966km,1966,86.09ms,86.09,22.86%,22.86,58.64ms,58.64,122.58ms,122.58,22.89ms,22.89,2018-11-10 12:19:22
"Frankfurt Germany, Eurasia",395km,395,10.04ms,10.04,39.50%,39.5,9.93ms,9.93,10.22ms,10.22,0.09ms,0.09,2018-11-10 12:19:22
"Fremont United States, North America",8842km,8842,142.95ms,142.95,62.27%,62.27,142.76ms,142.76,143.16ms,143.16,0.37ms,0.37,2018-11-10 12:19:22
"Frosinone Italy, Eurasia",1284km,1284,27.76ms,27.76,47.56%,47.56,27.64ms,27.64,27.92ms,27.92,0.19ms,0.19,2018-11-10 12:19:22
"Gdansk Poland, Eurasia",1119km,1119,32.51ms,32.51,34.97%,34.97,32.31ms,32.31,33.29ms,33.29,0.30ms,0.3,2018-11-10 12:19:22
"Geneva Switzerland, Eurasia",543km,543,17.66ms,17.66,31.94%,31.94,17.34ms,17.34,21.09ms,21.09,0.69ms,0.69,2018-11-10 12:19:22
"Gothenburg Sweden, Eurasia",965km,965,60.26ms,60.26,16.08%,16.08,60.16ms,60.16,60.58ms,60.58,0.31ms,0.31,2018-11-10 12:19:22
"Green Bay United States, North America",6427km,6427,104.71ms,104.71,61.80%,61.8,104.57ms,104.57,107.24ms,107.24,0.57ms,0.57,2018-11-10 12:19:22
"Groningen Netherlands, Eurasia",364km,364,9.53ms,9.53,40.44%,40.44,9.42ms,9.42,9.76ms,9.76,0.11ms,0.11,2018-11-10 12:19:22
"Guadalajara Mexico, North America",9343km,9343,154.64ms,154.64,60.67%,60.67,154.52ms,154.52,155.87ms,155.87,0.54ms,0.54,2018-11-10 12:19:22
"Guatemala Guatemala, North America",8722km,8722,324.00ms,324.0,26.92%,26.92,253.22ms,253.22,473.84ms,473.84,41.73ms,41.73,2018-11-10 12:19:22
"Halifax Canada, North America",4874km,4874,94.80ms,94.8,51.85%,51.85,94.62ms,94.62,95.45ms,95.45,0.22ms,0.22,2018-11-10 12:19:22
"Hamburg Germany, Eurasia",564km,564,14.56ms,14.56,40.29%,40.29,14.41ms,14.41,14.99ms,14.99,0.14ms,0.14,2018-11-10 12:19:22
"Hangzhou China, Eurasia",9105km,9105,348.74ms,348.74,26.16%,26.16,329.68ms,329.68,360.56ms,360.56,8.51ms,8.51,2018-11-10 12:19:22
"Hanoi Vietnam, Eurasia",9059km,9059,303.49ms,303.49,29.90%,29.9,294.76ms,294.76,321.32ms,321.32,5.27ms,5.27,2018-11-10 12:19:22
"Helsinki Finland, Eurasia",1706km,1706,53.33ms,53.33,32.19%,32.19,53.00ms,53.0,55.88ms,55.88,0.57ms,0.57,2018-11-10 12:19:22
"Heredia Costa Rica, North America",8962km,8962,163.18ms,163.18,54.98%,54.98,162.89ms,162.89,165.74ms,165.74,0.59ms,0.59,2018-11-10 12:19:22
"Ho Chi Minh City Vietnam, Eurasia",10006km,10006,240.47ms,240.47,41.69%,41.69,240.26ms,240.26,241.19ms,241.19,0.66ms,0.66,2018-11-10 12:19:22
"Hong Kong Hong Kong, Eurasia",9476km,9476,277.13ms,277.13,34.21%,34.21,276.95ms,276.95,278.83ms,278.83,0.73ms,0.73,2018-11-10 12:19:22
"Honolulu United States, North America",11799km,11799,181.63ms,181.63,65.19%,65.19,181.48ms,181.48,181.80ms,181.8,0.46ms,0.46,2018-11-10 12:19:22
