City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",17313km,17313,238.72ms,238.72,72.74%,72.74,238.46ms,238.46,240.69ms,240.69,0.38ms,0.38,2018-11-10 12:18:35
"Albany United States, North America",208km,208,62.16ms,62.16,3.35%,3.35,6.94ms,6.94,119.59ms,119.59,38.55ms,38.55,2018-11-10 12:18:35
"Alblasserdam Netherlands, Eurasia",5542km,5542,72.30ms,72.3,76.97%,76.97,72.01ms,72.01,73.48ms,73.48,0.40ms,0.4,2018-11-10 12:18:35
"Albuquerque United States, North America",3154km,3154,70.29ms,70.29,45.06%,45.06,66.06ms,66.06,114.51ms,114.51,10.65ms,10.65,2018-11-10 12:18:35
"Algiers Algeria, Africa",6176km,6176,104.90ms,104.9,59.38%,59.38,104.10ms,104.1,106.98ms,106.98,0.51ms,0.51,2018-11-10 12:18:35
"Amsterdam Netherlands, Eurasia",5527km,5527,74.28ms,74.28,74.69%,74.69,74.03ms,74.03,75.50ms,75.5,0.40ms,0.4,2018-11-10 12:18:35
"Anchorage United States, North America",5377km,5377,107.73ms,107.73,50.25%,50.25,107.48ms,107.48,108.15ms,108.15,0.44ms,0.44,2018-11-10 12:18:35
"Ankara Turkey, Eurasia",8073km,8073,128.89ms,128.89,63.07%,63.07,128.68ms,128.68,129.37ms,129.37,0.30ms,0.3,2018-11-10 12:18:35
"Antwerp Belgium, Eurasia",5552km,5552,80.33ms,80.33,69.40%,69.4,80.19ms,80.19,80.52ms,80.52,0.22ms,0.22,2018-11-10 12:18:35
"Arezzo Italy, Eurasia",6438km,6438,101.87ms,101.87,63.74%,63.74,101.67ms,101.67,102.26ms,102.26,0.34ms,0.34,2018-11-10 12:18:35
"Asheville United States, North America",1261km,1261,32.85ms,32.85,39.41%,39.41,32.71ms,32.71,33.45ms,33.45,0.21ms,0.21,2018-11-10 12:18:35
"Athens Greece, Eurasia",7606km,7606,122.50ms,122.5,62.34%,62.34,122.22ms,122.22,123.41ms,123.41,0.52ms,0.52,2018-11-10 12:18:35
"Atlanta United States, North America",1525km,1525,26.23ms,26.23,58.65%,58.65,25.97ms,25.97,27.75ms,27.75,0.33ms,0.33,2018-11-10 12:18:35
"Auckland New Zealand, Oceania",14492km,14492,233.56ms,233.56,62.20%,62.2,233.34ms,233.34,234.27ms,234.27,0.38ms,0.38,2018-11-10 12:18:35
"Austin United States, North America",2735km,2735,54.35ms,54.35,50.65%,50.65,43.81ms,43.81,83.51ms,83.51,12.52ms,12.52,2018-11-10 12:18:35
"Baltimore United States, North America",598km,598,17.00ms,17.0,37.38%,37.38,16.65ms,16.65,19.65ms,19.65,0.63ms,0.63,2018-11-10 12:18:35
"Bangalore India, Eurasia",13050km,13050,246.06ms,246.06,53.05%,53.05,241.79ms,241.79,256.79ms,256.79,5.71ms,5.71,2018-11-10 12:18:35
"Bangkok Thailand, Eurasia",13675km,13675,266.55ms,266.55,51.41%,51.41,262.62ms,262.62,314.83ms,314.83,10.20ms,10.2,2018-11-10 12:18:35
"Barcelona Spain, Eurasia",5856km,5856,91.81ms,91.81,64.35%,64.35,91.57ms,91.57,92.08ms,92.08,0.19ms,0.19,2018-11-10 12:18:35
"Basel Switzerland, Eurasia",5928km,5928,91.82ms,91.82,65.14%,65.14,91.68ms,91.68,92.19ms,92.19,0.43ms,0.43,2018-11-10 12:18:35
"Belfast United Kingdom, Eurasia",4780km,4780,87.19ms,87.19,54.94%,54.94,86.99ms,86.99,87.42ms,87.42,0.29ms,0.29,2018-11-10 12:18:35
"Bergen Norway, Eurasia",5288km,5288,109.25ms,109.25,48.51%,48.51,108.81ms,108.81,110.57ms,110.57,0.60ms,0.6,2018-11-10 12:18:35
"Berkeley Springs United States, North America",684km,684,26.65ms,26.65,26.31%,26.31,26.43ms,26.43,27.32ms,27.32,0.22ms,0.22,2018-11-10 12:18:35
"Bern Switzerland, Eurasia",5949km,5949,99.31ms,99.31,60.09%,60.09,99.09ms,99.09,100.28ms,100.28,0.30ms,0.3,2018-11-10 12:18:35
"Bogota Colombia, South America",4257km,4257,102.35ms,102.35,41.74%,41.74,101.88ms,101.88,108.88ms,108.88,1.29ms,1.29,2018-11-10 12:18:35
"Boston United States, North America",49km,49,3.73ms,3.73,16.33%,16.33,3.47ms,3.47,4.42ms,4.42,0.17ms,0.17,2018-11-10 12:18:35
"Brasilia Brazil, South America",6938km,6938,165.12ms,165.12,42.05%,42.05,162.37ms,162.37,174.31ms,174.31,3.24ms,3.24,2018-11-10 12:18:36
"Bratislava Slovakia, Eurasia",6522km,6522,103.51ms,103.51,63.32%,63.32,103.36ms,103.36,103.70ms,103.7,0.42ms,0.42,2018-11-10 12:18:36
"Brisbane Australia, Oceania",15710km,15710,224.58ms,224.58,70.13%,70.13,224.48ms,224.48,224.80ms,224.8,0.57ms,0.57,2018-11-10 12:18:36
"Bristol United Kingdom, Eurasia",5086km,5086,68.90ms,68.9,74.79%,74.79,68.69ms,68.69,69.22ms,69.22,0.37ms,0.37,2018-11-10 12:18:36
"Brno Czech Republic, Eurasia",6431km,6431,108.00ms,108.0,60.10%,60.1,107.75ms,107.75,108.89ms,108.89,0.20ms,0.2,2018-11-10 12:18:36
"Bruges Belgium, Eurasia",5476km,5476,73.82ms,73.82,75.01%,75.01,73.31ms,73.31,74.81ms,74.81,0.35ms,0.35,2018-11-10 12:18:36
"Brunswick United States, North America",160km,160,8.20ms,8.2,20.00%,20.0,8.07ms,8.07,8.40ms,8.4,0.09ms,0.09,2018-11-10 12:18:36
"Brussels Belgium, Eurasia",5564km,5564,76.12ms,76.12,73.21%,73.21,76.01ms,76.01,76.28ms,76.28,0.28ms,0.28,2018-11-10 12:18:36
"Bucharest Romania, Eurasia",7326km,7326,109.78ms,109.78,67.21%,67.21,109.63ms,109.63,109.98ms,109.98,0.34ms,0.34,2018-11-10 12:18:36
"Budapest Hungary, Eurasia",6683km,6683,101.94ms,101.94,66.17%,66.17,101.50ms,101.5,104.32ms,104.32,0.67ms,0.67,2018-11-10 12:18:36
"Buenos Aires Argentina, South America",8706km,8706,162.55ms,162.55,53.74%,53.74,157.40ms,157.4,183.98ms,183.98,6.66ms,6.66,2018-11-10 12:18:36
"Buffalo United States, North America",626km,626,21.49ms,21.49,29.81%,29.81,19.14ms,19.14,44.24ms,44.24,4.92ms,4.92,2018-11-10 12:18:36
"Bursa Turkey, Eurasia",7809km,7809,136.34ms,136.34,57.42%,57.42,136.01ms,136.01,137.61ms,137.61,0.44ms,0.44,2018-11-10 12:18:36
"Cairo Egypt, Africa",8704km,8704,138.21ms,138.21,63.07%,63.07,135.39ms,135.39,146.34ms,146.34,2.43ms,2.43,2018-11-10 12:18:36
"Calgary Canada, North America",3331km,3331,90.55ms,90.55,37.01%,37.01,88.52ms,88.52,106.68ms,106.68,3.79ms,3.79,2018-11-10 12:18:36
"Canberra Australia, Oceania",16475km,16475,231.09ms,231.09,71.32%,71.32,230.59ms,230.59,234.46ms,234.46,1.05ms,1.05,2018-11-10 12:18:36
"Cape Town South Africa, Africa",12464km,12464,214.17ms,214.17,58.24%,58.24,213.98ms,213.98,214.65ms,214.65,0.14ms,0.14,2018-11-10 12:18:36
"Caracas Venezuela, South America",3617km,3617,81.20ms,81.2,44.65%,44.65,80.25ms,80.25,84.93ms,84.93,0.94ms,0.94,2018-11-10 12:18:36
"Cardiff United Kingdom, Eurasia",5045km,5045,70.40ms,70.4,72.07%,72.07,70.03ms,70.03,72.85ms,72.85,0.66ms,0.66,2018-11-10 12:18:36
"Carlow Ireland, Eurasia",4759km,4759,79.34ms,79.34,60.24%,60.24,79.18ms,79.18,79.82ms,79.82,0.37ms,0.37,2018-11-10 12:18:36
"Charlotte United States, North America",1182km,1182,26.25ms,26.25,45.46%,45.46,26.01ms,26.01,26.49ms,26.49,0.17ms,0.17,2018-11-10 12:18:36
"Cheltenham United Kingdom, Eurasia",5105km,5105,69.04ms,69.04,73.99%,73.99,68.90ms,68.9,69.27ms,69.27,0.38ms,0.38,2018-11-10 12:18:36
"Chennai India, Eurasia",13159km,13159,239.34ms,239.34,55.06%,55.06,234.28ms,234.28,249.10ms,249.1,6.10ms,6.1,2018-11-10 12:18:36
"Chicago United States, North America",1354km,1354,26.33ms,26.33,52.08%,52.08,26.20ms,26.2,26.53ms,26.53,0.16ms,0.16,2018-11-10 12:18:36
"Chisinau Moldova, Eurasia",7325km,7325,122.77ms,122.77,60.04%,60.04,121.89ms,121.89,127.34ms,127.34,1.48ms,1.48,2018-11-10 12:18:36
"Christchurch New Zealand, Oceania",14975km,14975,256.13ms,256.13,58.50%,58.5,255.89ms,255.89,256.42ms,256.42,0.41ms,0.41,2018-11-10 12:18:36
"Cincinnati United States, North America",1189km,1189,31.30ms,31.3,38.35%,38.35,31.21ms,31.21,31.58ms,31.58,0.10ms,0.1,2018-11-10 12:18:36
"Cleveland United States, North America",843km,843,39.80ms,39.8,21.62%,21.62,39.64ms,39.64,40.68ms,40.68,0.20ms,0.2,2018-11-10 12:18:36
"Colorado Springs United States, North America",2841km,2841,57.52ms,57.52,49.84%,49.84,56.10ms,56.1,84.58ms,84.58,5.19ms,5.19,2018-11-10 12:18:36
"Columbus United States, North America",1032km,1032,28.83ms,28.83,36.86%,36.86,27.53ms,27.53,51.01ms,51.01,4.31ms,4.31,2018-11-10 12:18:36
"Copenhagen Denmark, Eurasia",5862km,5862,87.35ms,87.35,67.38%,67.38,87.23ms,87.23,87.55ms,87.55,0.23ms,0.23,2018-11-10 12:18:36
"Coventry United Kingdom, Eurasia",5125km,5125,70.31ms,70.31,73.21%,73.21,70.23ms,70.23,70.69ms,70.69,0.18ms,0.18,2018-11-10 12:18:36
"Cromwell United States, North America",178km,178,12.36ms,12.36,14.83%,14.83,12.11ms,12.11,12.74ms,12.74,0.17ms,0.17,2018-11-10 12:18:36
"Dagupan Philippines, Eurasia",13372km,13372,225.15ms,225.15,59.43%,59.43,224.21ms,224.21,242.01ms,242.01,3.19ms,3.19,2018-11-10 12:18:36
"Dallas United States, North America",2497km,2497,45.63ms,45.63,55.49%,55.49,45.42ms,45.42,46.95ms,46.95,0.31ms,0.31,2018-11-10 12:18:36
"Dar es Salaam Tanzania, Africa",12190km,12190,237.79ms,237.79,51.43%,51.43,237.51ms,237.51,238.32ms,238.32,0.58ms,0.58,2018-11-10 12:18:36
"Denver United States, North America",2825km,2825,48.54ms,48.54,58.85%,58.85,48.42ms,48.42,48.73ms,48.73,0.11ms,0.11,2018-11-10 12:18:36
"Des Moines United States, North America",1846km,1846,32.95ms,32.95,57.69%,57.69,32.81ms,32.81,33.23ms,33.23,0.27ms,0.27,2018-11-10 12:18:36
"Detroit United States, North America",970km,970,21.84ms,21.84,46.19%,46.19,21.68ms,21.68,22.26ms,22.26,0.23ms,0.23,2018-11-10 12:18:36
"Dhaka Bangladesh, Eurasia",12387km,12387,237.78ms,237.78,52.27%,52.27,237.04ms,237.04,242.27ms,242.27,1.13ms,1.13,2018-11-10 12:18:36
"Dronten Netherlands, Eurasia",5583km,5583,78.71ms,78.71,71.58%,71.58,78.27ms,78.27,83.16ms,83.16,0.89ms,0.89,2018-11-10 12:18:36
"Dubai United Arab Emirates, Eurasia",10709km,10709,205.31ms,205.31,52.24%,52.24,204.85ms,204.85,206.86ms,206.86,0.60ms,0.6,2018-11-10 12:18:36
"Dublin Ireland, Eurasia",4790km,4790,86.65ms,86.65,55.70%,55.7,75.45ms,75.45,124.78ms,124.78,16.52ms,16.52,2018-11-10 12:18:36
"Dusseldorf Germany, Eurasia",5705km,5705,84.82ms,84.82,67.92%,67.92,84.60ms,84.6,84.98ms,84.98,0.26ms,0.26,2018-11-10 12:18:36
"Edinburgh United Kingdom, Eurasia",4918km,4918,81.23ms,81.23,60.72%,60.72,80.96ms,80.96,81.55ms,81.55,0.41ms,0.41,2018-11-10 12:18:36
"Edmonton Canada, North America",3308km,3308,84.49ms,84.49,39.38%,39.38,84.22ms,84.22,85.79ms,85.79,0.29ms,0.29,2018-11-10 12:18:36
"Eindhoven Netherlands, Eurasia",5612km,5612,80.23ms,80.23,70.15%,70.15,80.07ms,80.07,80.40ms,80.4,0.31ms,0.31,2018-11-10 12:18:36
"Falkenstein Germany, Eurasia",6096km,6096,95.91ms,95.91,64.17%,64.17,95.74ms,95.74,96.14ms,96.14,0.34ms,0.34,2018-11-10 12:18:36
"Fez Morocco, Africa",5702km,5702,167.20ms,167.2,34.14%,34.14,141.50ms,141.5,230.90ms,230.9,27.83ms,27.83,2018-11-10 12:18:36
"Frankfurt Germany, Eurasia",5878km,5878,84.79ms,84.79,69.98%,69.98,84.56ms,84.56,87.91ms,87.91,0.64ms,0.64,2018-11-10 12:18:36
"Fremont United States, North America",4290km,4290,77.84ms,77.84,55.71%,55.71,77.66ms,77.66,78.05ms,78.05,0.39ms,0.39,2018-11-10 12:18:36
"Frosinone Italy, Eurasia",6667km,6667,103.82ms,103.82,64.73%,64.73,103.67ms,103.67,104.04ms,104.04,0.12ms,0.12,2018-11-10 12:18:36
"Gdansk Poland, Eurasia",6274km,6274,110.23ms,110.23,57.04%,57.04,109.99ms,109.99,113.02ms,113.02,0.69ms,0.69,2018-11-10 12:18:36
"Geneva Switzerland, Eurasia",5893km,5893,83.65ms,83.65,71.00%,71.0,82.99ms,82.99,91.44ms,91.44,1.63ms,1.63,2018-11-10 12:18:36
"Gothenburg Sweden, Eurasia",5741km,5741,107.07ms,107.07,53.65%,53.65,106.95ms,106.95,107.24ms,107.24,0.29ms,0.29,2018-11-10 12:18:36
"Green Bay United States, North America",1364km,1364,38.88ms,38.88,35.89%,35.89,38.72ms,38.72,39.21ms,39.21,0.23ms,0.23,2018-11-10 12:18:36
"Groningen Netherlands, Eurasia",5608km,5608,83.34ms,83.34,67.57%,67.57,82.97ms,82.97,86.90ms,86.9,0.79ms,0.79,2018-11-10 12:18:36
"Guadalajara Mexico, North America",3871km,3871,62.44ms,62.44,62.44%,62.44,62.31ms,62.31,62.66ms,62.66,0.29ms,0.29,2018-11-10 12:18:36
"Guatemala Guatemala, North America",3844km,3844,266.26ms,266.26,14.45%,14.45,196.82ms,196.82,360.76ms,360.76,37.82ms,37.82,2018-11-10 12:18:36
