City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14684km,14684,217.53ms,217.53,67.67%,67.67,215.11ms,215.11,220.77ms,220.77,2.12ms,2.12,2018-11-10 12:19:17
"Albany United States, North America",2655km,2655,124.88ms,124.88,21.41%,21.41,62.57ms,62.57,198.73ms,198.73,41.78ms,41.78,2018-11-10 12:19:17
"Alblasserdam Netherlands, Eurasia",8306km,8306,132.46ms,132.46,62.92%,62.92,132.25ms,132.25,132.81ms,132.81,0.44ms,0.44,2018-11-10 12:19:17
"Albuquerque United States, North America",990km,990,38.13ms,38.13,26.05%,26.05,32.36ms,32.36,77.80ms,77.8,12.75ms,12.75,2018-11-10 12:19:17
"Algiers Algeria, Africa",9023km,9023,156.59ms,156.59,57.84%,57.84,155.99ms,155.99,157.36ms,157.36,0.50ms,0.5,2018-11-10 12:19:17
"Amsterdam Netherlands, Eurasia",8287km,8287,125.11ms,125.11,66.30%,66.3,124.83ms,124.83,125.43ms,125.43,0.33ms,0.33,2018-11-10 12:19:17
"Anchorage United States, North America",5138km,5138,109.80ms,109.8,47.14%,47.14,109.43ms,109.43,111.74ms,111.74,0.43ms,0.43,2018-11-10 12:19:17
"Ankara Turkey, Eurasia",10815km,10815,172.84ms,172.84,62.88%,62.88,172.21ms,172.21,179.57ms,179.57,1.47ms,1.47,2018-11-10 12:19:17
"Antwerp Belgium, Eurasia",8326km,8326,153.75ms,153.75,54.42%,54.42,153.53ms,153.53,154.89ms,154.89,0.41ms,0.41,2018-11-10 12:19:17
"Arezzo Italy, Eurasia",9256km,9256,163.18ms,163.18,56.79%,56.79,162.81ms,162.81,166.75ms,166.75,0.85ms,0.85,2018-11-10 12:19:17
"Asheville United States, North America",1642km,1642,36.72ms,36.72,45.61%,45.61,36.50ms,36.5,37.31ms,37.31,0.21ms,0.21,2018-11-10 12:19:17
"Athens Greece, Eurasia",10417km,10417,178.92ms,178.92,58.52%,58.52,178.60ms,178.6,179.64ms,179.64,0.62ms,0.62,2018-11-10 12:19:17
"Atlanta United States, North America",1418km,1418,49.88ms,49.88,28.94%,28.94,49.43ms,49.43,53.62ms,53.62,0.93ms,0.93,2018-11-10 12:19:17
"Auckland New Zealand, Oceania",11655km,11655,194.38ms,194.38,60.08%,60.08,193.79ms,193.79,203.42ms,203.42,1.72ms,1.72,2018-11-10 12:19:17
"Austin United States, North America",116km,116,27.84ms,27.84,4.30%,4.3,14.41ms,14.41,97.70ms,97.7,17.39ms,17.39,2018-11-10 12:19:17
"Baltimore United States, North America",2279km,2279,45.32ms,45.32,50.64%,50.64,44.96ms,44.96,46.56ms,46.56,0.44ms,0.44,2018-11-10 12:19:17
"Bangalore India, Eurasia",15286km,15286,279.68ms,279.68,54.79%,54.79,279.46ms,279.46,279.90ms,279.9,0.74ms,0.74,2018-11-10 12:19:17
"Bangkok Thailand, Eurasia",14804km,14804,273.83ms,273.83,54.23%,54.23,269.90ms,269.9,300.69ms,300.69,8.60ms,8.6,2018-11-10 12:19:17
"Barcelona Spain, Eurasia",8701km,8701,162.33ms,162.33,53.71%,53.71,162.05ms,162.05,162.56ms,162.56,0.26ms,0.26,2018-11-10 12:19:17
